YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE),TOTAL EARLY ROUNDS,TOTAL 10TH TEE EARLY RDS.
2013,1,0,28092,D.H. Lee,69.09,1520,22.0,,
2013,2,0,25834,Daniel Summerhays,69.27,1524,22.0,,
2013,3,0,34431,Robert Streb,69.64,1741,25.0,,
2013,4,0,6527,Steve Stricker,69.67,209,3.0,,
2013,5,0,27770,Camilo Villegas,69.68,1533,22.0,,
2013,6,0,27649,Brandt Snedeker,69.71,1185,17.0,,
2013,7,0,30944,Jason Kokrak,69.73,1046,15.0,,
2013,8,0,33419,Cameron Tringale,69.76,2023,29.0,,
2013,9,0,29221,Webb Simpson,69.85,1397,20.0,,
2013,10,0,28089,Jason Day,69.86,1537,22.0,,
2013,11,0,8075,Jerry Kelly,69.88,1817,26.0,,
2013,12,0,33461,Morgan Hoffmann,69.9,1468,21.0,,
2013,13,0,21209,Sergio Garcia,69.92,909,13.0,,
2013,14,0,28307,Matt Every,69.94,1259,18.0,,
2013,15,0,23638,Brendon de Jonge,69.95,2588,37.0,,
2013,16,0,25632,Jimmy Walker,69.96,1959,28.0,,
2013,17,0,26300,Matt Jones,70.0,1890,27.0,,
2013,17,0,23108,Matt Kuchar,70.0,1260,18.0,,
2013,19,0,27095,Nick Watney,70.07,1892,27.0,,
2013,19,0,25804,Bubba Watson,70.07,981,14.0,,
2013,21,0,29420,Billy Horschel,70.1,1472,21.0,,
2013,22,0,24494,Erik Compton,70.11,1332,19.0,,
2013,22,0,26331,Charl Schwartzel,70.11,1262,18.0,,
2013,24,0,34046,Jordan Spieth,70.17,1263,18.0,,
2013,25,0,27933,John Merrick,70.19,2246,32.0,,
2013,25,0,23320,Ryan Palmer,70.19,1825,26.0,,
2013,27,0,23800,Bryce Molder,70.22,2247,32.0,,
2013,28,0,6573,Brandt Jobe,70.26,1335,19.0,,
2013,28,0,24024,Zach Johnson,70.26,1335,19.0,,
2013,30,0,23983,Luke Donald,70.27,1054,15.0,,
2013,30,0,25562,Andres Romero,70.27,1054,15.0,,
2013,32,0,24846,Ricky Barnes,70.29,1687,24.0,,
2013,32,0,26679,Kevin Stadler,70.29,2390,34.0,,
2013,34,0,30926,Chris Kirk,70.35,2392,34.0,,
2013,35,0,20160,Charlie Wi,70.37,1337,19.0,,
2013,36,0,25686,Jason Dufner,70.42,1831,26.0,,
2013,36,0,28135,Aaron Watkins,70.42,845,12.0,,
2013,38,0,32200,Roberto Castro,70.44,2254,32.0,,
2013,38,0,10809,Jim Furyk,70.44,1268,18.0,,
2013,38,0,21961,Charles Howell III,70.44,1761,25.0,,
2013,38,0,24502,Adam Scott,70.44,634,9.0,,
2013,42,0,21753,Brian Davis,70.45,2184,31.0,,
2013,43,0,26596,Ryan Moore,70.46,1832,26.0,,
2013,44,0,23788,D.J. Trahan,70.5,705,10.0,,
2013,45,0,31323,Gary Woodland,70.55,2187,31.0,,
2013,46,0,24663,Y.E. Yang,70.61,1271,18.0,,
2013,47,0,23621,Rory Sabbatini,70.62,1836,26.0,,
2013,48,0,1320,Bob Estes,70.64,1554,22.0,,
2013,49,0,20443,Jin Park,70.65,1201,17.0,,
2013,50,0,10213,Dicky Pride,70.67,1484,21.0,,
2013,50,0,29425,Andrew Svoboda,70.67,1060,15.0,,
2013,52,0,8793,Tiger Woods,70.7,707,10.0,,
2013,53,0,34099,Harris English,70.72,1768,25.0,,
2013,54,0,33141,Keegan Bradley,70.73,1061,15.0,,
2013,55,0,24924,Bill Haas,70.74,1344,19.0,,
2013,56,0,6004,Stephen Ames,70.75,1132,16.0,,
2013,56,0,22405,Justin Rose,70.75,283,4.0,,
2013,58,0,20098,Stuart Appleby,70.76,1203,17.0,,
2013,58,0,19970,Robert Karlsson,70.76,1203,17.0,,
2013,60,0,20104,Ken Duke,70.77,2477,35.0,,
2013,61,0,23325,Vaughn Taylor,70.8,1062,15.0,,
2013,62,0,27436,Graham DeLaet,70.83,2054,29.0,,
2013,62,0,22961,David Mathis,70.83,1275,18.0,,
2013,62,0,30163,Henrik Norlander,70.83,1629,23.0,,
2013,65,0,20848,Ángel Cabrera,70.86,1559,22.0,,
2013,65,0,36884,Ben Kohles,70.86,1559,22.0,,
2013,65,0,26851,Marc Leishman,70.86,1488,21.0,,
2013,68,0,31557,Jim Herman,70.87,1063,15.0,,
2013,69,0,32102,Rickie Fowler,70.88,1134,16.0,,
2013,69,0,30925,Dustin Johnson,70.88,1205,17.0,,
2013,69,0,21528,Henrik Stenson,70.88,1205,17.0,,
2013,69,0,22295,Darron Stiles,70.88,1205,17.0,,
2013,73,0,1724,Jeff Maggert,70.89,1347,19.0,,
2013,73,0,27556,Ted Potter Jr.,70.89,1276,18.0,,
2013,75,0,22056,Cameron Percy,70.9,2056,29.0,,
2013,76,0,22371,Aaron Baddeley,70.91,1560,22.0,,
2013,76,0,34360,Patrick Reed,70.91,1631,23.0,,
2013,78,0,27644,Brian Harman,70.92,1773,25.0,,
2013,78,0,24138,Ian Poulter,70.92,851,12.0,,
2013,78,0,26476,Chez Reavie,70.92,1844,26.0,,
2013,81,0,12510,Chad Campbell,70.93,1915,27.0,,
2013,81,0,20645,John Senden,70.93,2057,29.0,,
2013,83,0,23409,James Driscoll,70.94,1206,17.0,,
2013,83,0,26758,David Hearn,70.94,2341,33.0,,
2013,85,0,27895,Jonas Blixt,70.96,1703,24.0,,
2013,85,0,21731,Freddie Jacobson,70.96,1845,26.0,,
2013,87,0,10860,Justin Leonard,70.97,2129,30.0,,
2013,88,0,24507,Jason Bohn,71.0,1704,24.0,,
2013,88,0,8725,Tom Gillis,71.0,1207,17.0,,
2013,88,0,12716,Charley Hoffman,71.0,1420,20.0,,
2013,88,0,31560,Brian Stuard,71.0,1136,16.0,,
2013,92,0,23353,J.J. Henry,71.04,1847,26.0,,
2013,92,0,30852,Ryo Ishikawa,71.04,1634,23.0,,
2013,94,0,32448,James Hahn,71.05,1350,19.0,,
2013,94,0,26289,Boo Weekley,71.05,2700,38.0,,
2013,96,0,12782,Tim Herron,71.07,1066,15.0,,
2013,97,0,24781,Hunter Mahan,71.09,1564,22.0,,
