YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SMASH FACTOR,TOTAL ATTEMPTS,HIGHEST VALUE,LOWEST VALUE
2013,1,0,23452,Nicolas Colsaerts,1.485,53.445,36,1.485,1.471
2013,1,0,23541,Ben Crane,1.485,80.186,54,1.485,1.481
2013,1,0,21753,Brian Davis,1.485,129.185,87,1.485,1.481
2013,1,0,34099,Harris English,1.485,105.402,71,1.485,1.466
2013,1,0,24358,Robert Garrigus,1.485,60.884,41,1.485,1.484
2013,1,0,34098,Russell Henley,1.485,96.508,65,1.485,1.471
2013,1,0,25444,Justin Hicks,1.485,86.107,58,1.485,1.472
2013,1,0,29420,Billy Horschel,1.485,117.276,79,1.485,1.466
2013,1,0,27936,Martin Laird,1.485,68.292,46,1.485,1.467
2013,1,0,26851,Marc Leishman,1.485,95.011,64,1.485,1.476
2013,1,0,10860,Justin Leonard,1.485,115.827,78,1.485,1.483
2013,1,0,21099,David Lynn,1.485,83.16,56,1.485,1.485
2013,1,0,20443,Jin Park,1.485,68.31,46,1.485,1.485
2013,1,0,25345,Carl Pettersson,1.485,93.525,63,1.49,1.45
2013,1,0,25818,Scott Piercy,1.485,78.685,53,1.49,1.46
2013,1,0,2206,David Toms,1.485,46.035,31,1.485,1.485
2013,1,0,27770,Camilo Villegas,1.485,96.494,65,1.485,1.47
2013,1,0,28310,Lee Williams,1.485,80.18,54,1.485,1.481
2013,19,0,1116,Michael Bradley,1.484,54.902,37,1.485,1.446
2013,19,0,20593,Greg Chalmers,1.484,111.273,75,1.498,1.451
2013,19,0,23135,Tim Clark,1.484,66.798,45,1.485,1.471
2013,19,0,6522,Ernie Els,1.484,66.802,45,1.485,1.468
2013,19,0,30750,Tommy Gainey,1.484,111.284,75,1.485,1.428
2013,19,0,35539,Luke Guthrie,1.484,102.402,69,1.485,1.467
2013,19,0,23353,J.J. Henry,1.484,80.123,54,1.485,1.455
2013,19,0,31557,Jim Herman,1.484,56.379,38,1.485,1.465
2013,19,0,34174,John Huh,1.484,112.789,76,1.5,1.465
2013,19,0,30926,Chris Kirk,1.484,117.202,79,1.485,1.454
2013,19,0,35139,Richard Lee,1.484,108.364,73,1.485,1.465
2013,19,0,34409,David Lingmerth,1.484,90.527,61,1.485,1.446
2013,19,0,1724,Jeff Maggert,1.484,87.579,59,1.485,1.458
2013,19,0,24781,Hunter Mahan,1.484,100.919,68,1.486,1.462
2013,19,0,27933,John Merrick,1.484,97.951,66,1.485,1.469
2013,19,0,29289,S.Y. Noh,1.484,89.068,60,1.485,1.474
2013,19,0,30163,Henrik Norlander,1.484,81.608,55,1.485,1.461
2013,19,0,28475,Jeff Overton,1.484,109.828,74,1.485,1.45
2013,19,0,23320,Ryan Palmer,1.484,93.499,63,1.492,1.432
2013,19,0,24138,Ian Poulter,1.484,53.426,36,1.485,1.466
2013,19,0,26476,Chez Reavie,1.484,108.307,73,1.485,1.464
2013,19,0,24502,Adam Scott,1.484,56.402,38,1.485,1.457
2013,19,0,6567,Vijay Singh,1.484,71.251,48,1.485,1.469
2013,19,0,34046,Jordan Spieth,1.484,105.343,71,1.485,1.463
2013,19,0,6527,Steve Stricker,1.484,51.957,35,1.49,1.466
2013,19,0,31560,Brian Stuard,1.484,99.459,67,1.485,1.456
2013,19,0,23325,Vaughn Taylor,1.484,57.86,39,1.485,1.453
2013,19,0,27330,Josh Teater,1.484,90.51,61,1.485,1.456
2013,19,0,32150,Michael Thompson,1.484,75.697,51,1.485,1.472
2013,19,0,28780,Nicholas Thompson,1.484,129.095,87,1.485,1.455
2013,19,0,23623,Bo Van Pelt,1.484,78.638,53,1.485,1.43
2013,19,0,25804,Bubba Watson,1.484,77.188,52,1.489,1.453
2013,51,0,10885,Robert Allenby,1.483,69.706,47,1.485,1.457
2013,51,0,22371,Aaron Baddeley,1.483,71.188,48,1.485,1.448
