YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
2013,1,0,30925,Dustin Johnson,55.76,488518.0,87606
2013,2,0,24358,Robert Garrigus,55.34,507812.0,91758
2013,3,0,27129,Luke List,55.33,522619.0,94454
2013,4,0,25804,Bubba Watson,55.31,593517.0,107310
2013,5,0,31323,Gary Woodland,55.1,805660.0,146214
2013,6,0,30110,Kyle Stanley,54.82,603177.0,110028
2013,7,0,23452,Nicolas Colsaerts,54.54,345089.0,63274
2013,8,0,33141,Keegan Bradley,54.45,652910.0,119911
2013,9,0,27436,Graham DeLaet,54.25,756317.0,139413
2013,10,0,30944,Jason Kokrak,54.15,696277.0,128575
2013,11,0,23320,Ryan Palmer,54.08,631945.0,116864
2013,12,0,28237,Rory McIlroy,54.05,431083.0,79760
2013,13,0,33869,Eric Meierdierks,54.01,356867.0,66069
2013,14,0,24140,Sean O'Hair,53.89,485359.0,90066
2013,15,0,30692,Scott Stallings,53.84,637919.0,118483
2013,16,0,25818,Scott Piercy,53.8,572406.0,106403
2013,17,0,26331,Charl Schwartzel,53.78,490459.0,91189
2013,18,0,28089,Jason Day,53.71,585569.0,109032
2013,19,0,28500,Martin Flores,53.6,692897.0,129264
2013,20,0,23621,Rory Sabbatini,53.59,628584.0,117302
2013,21,0,25274,Steven Bowditch,53.58,531746.0,99241
2013,21,0,21961,Charles Howell III,53.58,764597.0,142696
2013,23,0,31557,Jim Herman,53.56,392813.0,73341
2013,24,0,33461,Morgan Hoffmann,53.51,442479.0,82694
2013,25,0,32334,Charlie Beljan,53.48,530964.0,99290
2013,25,0,34431,Robert Streb,53.48,547014.0,102291
2013,27,0,33418,Shawn Stefani,53.45,442978.0,82883
2013,28,0,29289,S.Y. Noh,53.41,590883.0,110629
2013,29,0,20848,Ángel Cabrera,53.35,523238.0,98070
2013,30,0,22405,Justin Rose,53.33,414876.0,77792
2013,30,0,24502,Adam Scott,53.33,418638.0,78496
2013,32,0,23497,Tag Ridings,53.22,532251.0,100001
2013,32,0,25632,Jimmy Walker,53.22,742056.0,139431
2013,34,0,29740,Brad Fritsch,53.21,625766.0,117604
2013,35,0,8793,Tiger Woods,53.17,401397.0,75499
2013,36,0,34099,Harris English,53.03,754161.0,142202
2013,36,0,26300,Matt Jones,53.03,648104.0,122218
2013,36,0,34360,Patrick Reed,53.03,649536.0,122480
2013,36,0,29425,Andrew Svoboda,53.03,304296.0,57380
2013,40,0,25900,Lucas Glover,53.02,512926.0,96744
2013,41,0,25562,Andres Romero,52.98,486634.0,91850
