YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2013,1,0,34261,Scott Langley,10.76,353,38
2013,2,0,34046,Jordan Spieth,10.57,331,35
2013,3,0,28259,Sangmoon Bae,10.21,421,43
2013,4,0,6004,Stephen Ames,10.11,267,27
2013,4,0,35539,Luke Guthrie,10.11,356,36
2013,6,0,20593,Greg Chalmers,10.08,387,39
2013,7,0,22792,Peter Hanson,10.06,159,16
2013,8,0,23788,D.J. Trahan,9.96,231,23
2013,9,0,26331,Charl Schwartzel,9.9,293,29
2013,10,0,22371,Aaron Baddeley,9.87,314,31
2013,11,0,27649,Brandt Snedeker,9.82,326,32
2013,12,0,20766,Padraig Harrington,9.77,174,17
2013,13,0,28237,Rory McIlroy,9.72,216,21
2013,14,0,27556,Ted Potter Jr.,9.67,300,29
2013,15,0,1810,Phil Mickelson,9.31,290,27
2013,16,0,24024,Zach Johnson,9.25,389,36
2013,17,0,33461,Morgan Hoffmann,9.18,294,27
2013,18,0,34098,Russell Henley,9.16,415,38
2013,19,0,20104,Ken Duke,9.14,394,36
2013,20,0,21209,Sergio Garcia,9.03,288,26
2013,21,0,23135,Tim Clark,9.0,200,18
2013,22,0,23800,Bryce Molder,8.89,416,37
2013,23,0,28780,Nicholas Thompson,8.82,499,44
2013,24,0,32102,Rickie Fowler,8.81,329,29
2013,25,0,12782,Tim Herron,8.79,239,21
2013,26,0,25572,Graeme McDowell,8.74,206,18
2013,27,0,26476,Chez Reavie,8.67,369,32
2013,28,0,6527,Steve Stricker,8.61,209,18
2013,29,0,23108,Matt Kuchar,8.56,374,32
2013,30,0,23320,Ryan Palmer,8.49,365,31
2013,31,0,23409,James Driscoll,8.47,366,31
2013,32,0,22913,John Rollins,8.44,379,32
2013,33,0,34099,Harris English,8.42,475,40
2013,34,0,25345,Carl Pettersson,8.4,369,31
2013,35,0,30926,Chris Kirk,8.37,406,34
2013,36,0,1320,Bob Estes,8.24,352,29
2013,37,0,25818,Scott Piercy,8.21,341,28
2013,38,0,26679,Kevin Stadler,8.12,382,31
2013,39,0,30711,Colt Knost,8.11,370,30
2013,40,0,23497,Tag Ridings,8.07,347,28
2013,41,0,28475,Jeff Overton,8.05,435,35
2013,42,0,20160,Charlie Wi,7.99,338,27
2013,43,0,28307,Matt Every,7.97,414,33
2013,44,0,27895,Jonas Blixt,7.92,379,30
2013,45,0,37273,Derek Ernst,7.88,292,23
2013,45,0,24399,Scott Gardiner,7.88,292,23
2013,45,0,22806,Doug LaBelle II,7.88,368,29
2013,45,0,34360,Patrick Reed,7.88,406,32
2013,49,0,20848,Ángel Cabrera,7.85,382,30
2013,50,0,27095,Nick Watney,7.83,460,36
2013,51,0,28089,Jason Day,7.8,359,28
2013,52,0,22046,Geoff Ogilvy,7.75,258,20
2013,53,0,24924,Bill Haas,7.71,415,32
2013,54,0,20098,Stuart Appleby,7.68,482,37
2013,55,0,1724,Jeff Maggert,7.62,328,25
2013,55,0,27963,Chris Stroud,7.62,446,34
2013,57,0,21961,Charles Howell III,7.58,488,37
2013,58,0,26289,Boo Weekley,7.57,489,37
2013,59,0,20443,Jin Park,7.54,252,19
2013,60,0,24494,Erik Compton,7.53,385,29
2013,61,0,27436,Graham DeLaet,7.43,525,39
2013,62,0,21731,Freddie Jacobson,7.42,256,19
2013,63,0,33141,Keegan Bradley,7.4,419,31
2013,64,0,28500,Martin Flores,7.39,433,32
2013,65,0,8793,Tiger Woods,7.35,245,18
2013,66,0,28135,Aaron Watkins,7.34,218,16
2013,67,0,22295,Darron Stiles,7.28,206,15
2013,68,0,28092,D.H. Lee,7.26,358,26
2013,69,0,25274,Steven Bowditch,7.23,332,24
2013,69,0,31323,Gary Woodland,7.23,470,34
2013,71,0,27933,John Merrick,7.21,416,30
2013,72,0,34409,David Lingmerth,7.19,306,22
2013,73,0,31202,William McGirt,7.18,418,30
2013,73,0,27214,Kevin Streelman,7.18,418,30
2013,75,0,30750,Tommy Gainey,7.16,405,29
2013,76,0,26951,Johnson Wagner,7.12,337,24
2013,77,0,25562,Andres Romero,7.07,283,20
2013,78,0,29740,Brad Fritsch,7.05,369,26
2013,79,0,30944,Jason Kokrak,7.03,427,30
2013,79,0,21099,David Lynn,7.03,313,22
2013,79,0,25240,D.A. Points,7.03,370,26
2013,82,0,10809,Jim Furyk,7.01,371,26
2013,82,0,32150,Michael Thompson,7.01,314,22
2013,84,0,30925,Dustin Johnson,6.99,286,20
2013,85,0,25632,Jimmy Walker,6.98,401,28
2013,86,0,27770,Camilo Villegas,6.96,345,24
2013,87,0,8075,Jerry Kelly,6.94,360,25
2013,88,0,32200,Roberto Castro,6.93,476,33
2013,89,0,25336,Alistair Presnell,6.88,276,19
2013,90,0,23623,Bo Van Pelt,6.84,307,21
2013,91,0,26596,Ryan Moore,6.81,323,22
2013,92,0,21753,Brian Davis,6.8,397,27
2013,93,0,27408,Martin Kaymer,6.78,295,20
2013,94,0,24507,Jason Bohn,6.76,340,23
2013,95,0,8725,Tom Gillis,6.74,341,23
2013,96,0,27936,Martin Laird,6.73,327,22
2013,97,0,26851,Marc Leishman,6.67,360,24
2013,97,0,24490,George McNeill,6.67,360,24
2013,99,0,25444,Justin Hicks,6.65,391,26
2013,99,0,30852,Ryo Ishikawa,6.65,316,21
2013,101,0,31557,Jim Herman,6.64,271,18
2013,101,0,29425,Andrew Svoboda,6.64,226,15
2013,101,0,28310,Lee Williams,6.64,286,19
2013,104,0,30163,Henrik Norlander,6.63,362,24
2013,105,0,26758,David Hearn,6.62,393,26
2013,106,0,26300,Matt Jones,6.6,394,26
2013,107,0,27330,Josh Teater,6.59,334,22
2013,108,0,23621,Rory Sabbatini,6.57,396,26
2013,109,0,29420,Billy Horschel,6.56,488,32
2013,109,0,24361,Pat Perez,6.56,381,25
2013,109,0,33419,Cameron Tringale,6.56,457,30
2013,112,0,10885,Robert Allenby,6.55,290,19
2013,112,0,27644,Brian Harman,6.55,412,27
2013,112,0,20396,Lee Westwood,6.55,275,18
2013,115,0,21528,Henrik Stenson,6.53,291,19
2013,116,0,12716,Charley Hoffman,6.5,400,26
2013,117,0,1116,Michael Bradley,6.47,278,18
2013,117,0,36884,Ben Kohles,6.47,371,24
2013,119,0,12510,Chad Campbell,6.44,450,29
2013,120,0,21878,Mark Wilson,6.43,311,20
2013,121,0,26497,Casey Wittenberg,6.42,358,23
2013,122,0,29518,Brendan Steele,6.41,499,32
2013,123,0,25834,Daniel Summerhays,6.36,456,29
2013,124,0,29221,Webb Simpson,6.28,382,24
2013,125,0,22621,Ben Curtis,6.25,288,18
2013,125,0,6573,Brandt Jobe,6.25,336,21
2013,127,0,23541,Ben Crane,6.23,321,20
2013,128,0,32448,James Hahn,6.18,372,23
2013,129,0,20229,Stewart Cink,6.13,359,22
2013,130,0,19970,Robert Karlsson,6.07,214,13
2013,131,0,24140,Sean O'Hair,6.06,297,18
2013,131,0,30110,Kyle Stanley,6.06,363,22
2013,133,0,19846,Brian Gay,6.02,332,20
2013,134,0,35139,Richard Lee,6.01,466,28
2013,135,0,23983,Luke Donald,5.98,251,15
2013,135,0,6522,Ernie Els,5.98,251,15
2013,135,0,22961,David Mathis,5.98,351,21
2013,135,0,34431,Robert Streb,5.98,368,22
2013,139,0,34021,Bud Cauley,5.94,286,17
2013,140,0,27120,Troy Matteson,5.92,338,20
2013,141,0,10860,Justin Leonard,5.87,426,25
2013,142,0,29479,Scott Brown,5.86,307,18
2013,143,0,24663,Y.E. Yang,5.83,223,13
2013,144,0,24138,Ian Poulter,5.8,207,12
2013,145,0,30692,Scott Stallings,5.78,346,20
2013,146,0,32334,Charlie Beljan,5.76,330,19
2013,146,0,24781,Hunter Mahan,5.76,451,26
2013,148,0,27129,Luke List,5.75,313,18
2013,149,0,10423,Mike Weir,5.71,210,12
2013,150,0,2206,David Toms,5.65,177,10
2013,151,0,31560,Brian Stuard,5.63,373,21
2013,152,0,29289,S.Y. Noh,5.6,375,21
2013,153,0,24227,Justin Bolli,5.53,253,14
2013,153,0,20645,John Senden,5.53,380,21
2013,155,0,24357,K.J. Choi,5.45,385,21
2013,156,0,32366,Kevin Chappell,5.44,349,19
2013,157,0,25900,Lucas Glover,5.33,319,17
2013,157,0,23353,J.J. Henry,5.33,507,27
2013,159,0,25686,Jason Dufner,5.32,357,19
2013,159,0,24358,Robert Garrigus,5.32,263,14
2013,161,0,34174,John Huh,5.31,452,24
2013,162,0,23452,Nicolas Colsaerts,5.24,229,12
2013,163,0,10213,Dicky Pride,5.23,344,18
2013,164,0,27503,Steve LeBrun,5.17,329,17
2013,165,0,24846,Ricky Barnes,5.12,391,20
2013,166,0,24502,Adam Scott,5.0,260,13
2013,167,0,6567,Vijay Singh,4.86,288,14
2013,168,0,23638,Brendon de Jonge,4.78,544,26
2013,169,0,20691,Greg Owen,4.74,401,19
2013,170,0,22056,Cameron Percy,4.71,340,16
2013,171,0,28679,Fabián Gómez,4.69,320,15
2013,172,0,22378,Trevor Immelman,4.52,398,18
2013,172,0,25804,Bubba Watson,4.52,332,15
2013,174,0,28455,Will Claxton,4.49,334,15
2013,175,0,33418,Shawn Stefani,4.4,273,12
2013,176,0,32698,Bobby Gates,4.29,233,10
2013,177,0,22405,Justin Rose,4.03,273,11
2013,178,0,33869,Eric Meierdierks,3.64,220,8
2013,179,0,23325,Vaughn Taylor,3.23,217,7
2013,180,0,20572,Rod Pampling,2.72,184,5
2014,1,0,25572,Graeme McDowell,11.54,260,30
2014,2,0,24502,Adam Scott,11.04,308,34
2014,3,0,35539,Luke Guthrie,10.81,407,44
2014,4,0,28237,Rory McIlroy,10.77,260,28
2014,5,0,30926,Chris Kirk,10.25,478,49
2014,6,0,21731,Freddie Jacobson,10.09,456,46
2014,7,0,30927,Brendon Todd,9.76,502,49
2014,8,0,27436,Graham DeLaet,9.71,412,40
2014,9,0,29479,Scott Brown,9.64,467,45
2014,10,0,24357,K.J. Choi,9.6,375,36
2014,11,0,29221,Webb Simpson,9.47,433,41
2014,12,0,23983,Luke Donald,9.43,265,25
2014,13,0,21209,Sergio Garcia,9.28,237,22
2014,14,0,1810,Phil Mickelson,9.27,259,24
2014,15,0,29289,S.Y. Noh,9.25,465,43
2014,16,0,27770,Camilo Villegas,9.16,502,46
2014,17,0,26300,Matt Jones,9.14,350,32
2014,18,0,29518,Brendan Steele,9.0,422,38
2014,19,0,24846,Ricky Barnes,8.99,445,40
2014,20,0,34431,Robert Streb,8.94,369,33
2014,21,0,6567,Vijay Singh,8.92,437,39
2014,22,0,12510,Chad Campbell,8.79,273,24
2014,22,0,24490,George McNeill,8.79,398,35
2014,24,0,28259,Sangmoon Bae,8.78,376,33
2014,24,0,19846,Brian Gay,8.78,353,31
2014,26,0,25364,Paul Casey,8.75,240,21
2014,27,0,20593,Greg Chalmers,8.74,412,36
2014,28,0,27214,Kevin Streelman,8.73,332,29
2014,29,0,34261,Scott Langley,8.69,449,39
2014,30,0,26596,Ryan Moore,8.67,346,30
2014,31,0,29926,Danny Lee,8.66,404,35
2014,31,0,32150,Michael Thompson,8.66,381,33
2014,33,0,25834,Daniel Summerhays,8.64,579,50
2014,34,0,23108,Matt Kuchar,8.53,457,39
2014,35,0,25900,Lucas Glover,8.49,271,23
2014,36,0,33418,Shawn Stefani,8.48,330,28
2014,37,0,30925,Dustin Johnson,8.44,225,19
2014,38,0,22405,Justin Rose,8.39,286,24
2014,39,0,24912,Will MacKenzie,8.37,430,36
2014,40,0,20098,Stuart Appleby,8.3,470,39
2014,41,0,22046,Geoff Ogilvy,8.29,410,34
2014,41,0,27649,Brandt Snedeker,8.29,362,30
2014,41,0,27963,Chris Stroud,8.29,398,33
2014,44,0,6522,Ernie Els,8.28,326,27
2014,44,0,24663,Y.E. Yang,8.28,338,28
2014,46,0,34046,Jordan Spieth,8.2,378,31
2014,47,0,34098,Russell Henley,8.19,452,37
2014,48,0,2206,David Toms,8.17,306,25
2014,49,0,23135,Tim Clark,8.16,331,27
2014,50,0,25396,Kevin Na,8.05,435,35
2014,51,0,24024,Zach Johnson,8.04,485,39
2014,52,0,21528,Henrik Stenson,8.03,249,20
2014,53,0,25632,Jimmy Walker,7.97,439,35
2014,54,0,32334,Charlie Beljan,7.96,402,32
2014,55,0,32640,Troy Merritt,7.92,303,24
2014,56,0,27644,Brian Harman,7.9,557,44
2014,57,0,28307,Matt Every,7.89,355,28
2014,58,0,25349,Tim Wilkinson,7.87,381,30
2014,59,0,24138,Ian Poulter,7.82,243,19
2014,60,0,24361,Pat Perez,7.81,448,35
2014,61,0,27933,John Merrick,7.8,436,34
2014,62,0,20645,John Senden,7.74,530,41
2014,63,0,23621,Rory Sabbatini,7.73,362,28
2014,64,0,20396,Lee Westwood,7.66,248,19
2014,65,0,20498,Briny Baird,7.64,288,22
2014,66,0,8075,Jerry Kelly,7.63,380,29
2014,67,0,29222,Billy Hurley III,7.6,434,33
2014,67,0,36689,Brooks Koepka,7.6,250,19
2014,69,0,20160,Charlie Wi,7.55,384,29
2014,70,0,28475,Jeff Overton,7.54,398,30
2014,71,0,21753,Brian Davis,7.5,440,33
2014,72,0,20848,Ángel Cabrera,7.48,361,27
2014,73,0,27408,Martin Kaymer,7.46,268,20
2014,74,0,22371,Aaron Baddeley,7.45,349,26
2014,75,0,22293,Heath Slocum,7.42,391,29
2014,76,0,25562,Andres Romero,7.41,432,32
2014,77,0,35300,Andrew Loupe,7.39,284,21
2014,78,0,7867,Woody Austin,7.37,312,23
2014,78,0,20229,Stewart Cink,7.37,475,35
2014,78,0,23320,Ryan Palmer,7.37,380,28
2014,81,0,22621,Ben Curtis,7.32,396,29
2014,81,0,31193,Jim Renner,7.32,314,23
2014,81,0,23623,Bo Van Pelt,7.32,410,30
2014,84,0,25720,Chad Collins,7.31,342,25
2014,85,0,32102,Rickie Fowler,7.3,356,26
2014,86,0,26758,David Hearn,7.28,453,33
2014,87,0,33141,Keegan Bradley,7.24,387,28
2014,87,0,26331,Charl Schwartzel,7.24,290,21
2014,89,0,24781,Hunter Mahan,7.22,443,32
2014,90,0,33461,Morgan Hoffmann,7.2,528,38
2014,91,0,27895,Jonas Blixt,7.17,237,17
2014,92,0,20157,Retief Goosen,7.16,475,34
2014,93,0,27141,J.B. Holmes,7.14,364,26
2014,94,0,22378,Trevor Immelman,7.13,407,29
2014,95,0,24494,Erik Compton,7.11,450,32
2014,95,0,29478,Kevin Kisner,7.11,422,30
2014,97,0,25444,Justin Hicks,7.09,592,42
2014,97,0,35732,Wes Roach,7.09,282,20
2014,99,0,25240,D.A. Points,7.08,339,24
2014,100,0,24358,Robert Garrigus,7.07,410,29
2014,101,0,32366,Kevin Chappell,7.05,482,34
2014,102,0,25274,Steven Bowditch,7.01,428,30
2014,102,0,31323,Gary Woodland,7.01,428,30
2014,104,0,21961,Charles Howell III,6.99,601,42
2014,105,0,27095,Nick Watney,6.98,344,24
2014,106,0,31557,Jim Herman,6.97,287,20
2014,107,0,26956,Bronson La'Cassie,6.84,190,13
2014,108,0,34174,John Huh,6.83,410,28
2014,109,0,28092,D.H. Lee,6.8,250,17
2014,110,0,12716,Charley Hoffman,6.79,427,29
2014,111,0,23800,Bryce Molder,6.76,370,25
2014,111,0,27556,Ted Potter Jr.,6.76,340,23
2014,113,0,1706,Davis Love III,6.75,385,26
2014,113,0,31560,Brian Stuard,6.75,400,27
2014,115,0,23638,Brendon de Jonge,6.73,550,37
2014,115,0,34360,Patrick Reed,6.73,431,29
2014,117,0,34021,Bud Cauley,6.71,283,19
2014,117,0,31202,William McGirt,6.71,477,32
2014,119,0,29420,Billy Horschel,6.7,463,31
2014,119,0,26851,Marc Leishman,6.7,403,27
2014,121,0,26951,Johnson Wagner,6.65,361,24
