YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2013,1,0,22295,Darron Stiles,"41' 8""",83.333,2,-1
2013,2,0,1724,Jeff Maggert,"51' 3""",102.5,2,-1
2013,3,0,27503,Steve LeBrun,"57' 11""",231.583,4,-4
2013,4,0,6573,Brandt Jobe,"58' 0""",696.25,12,-6
2013,5,0,22913,John Rollins,"59' 3""",948.333,16,-8
2013,6,0,27933,John Merrick,"62' 9""",251.083,4,-2
2013,7,0,30110,Kyle Stanley,"64' 2""",898.583,14,-6
2013,8,0,25686,Jason Dufner,"64' 5""",386.25,6,-4
2013,9,0,32698,Bobby Gates,"65' 3""",456.75,7,-3
2013,10,0,30163,Henrik Norlander,"66' 7""",799.333,12,-9
2013,11,0,27408,Martin Kaymer,"66' 9""",533.75,8,-2
2013,11,0,26289,Boo Weekley,"66' 9""",1202.083,18,-8
2013,13,0,24490,George McNeill,"67' 8""",744.417,11,-7
2013,14,0,25632,Jimmy Walker,"67' 10""",1153.083,17,-8
2013,15,0,25900,Lucas Glover,"67' 11""",815.333,12,-5
2013,16,0,28500,Martin Flores,"68' 1""",816.833,12,-8
2013,17,0,30944,Jason Kokrak,"68' 3""",1159.667,17,-14
2013,18,0,33869,Eric Meierdierks,"69' 0""",414.083,6,-3
2013,19,0,27936,Martin Laird,"69' 4""",970.333,14,-6
2013,20,0,34261,Scott Langley,"69' 8""",557.0,8,-8
2013,21,0,25274,Steven Bowditch,"69' 10""",1186.75,17,-11
2013,21,0,26331,Charl Schwartzel,"69' 10""",1117.417,16,-8
2013,23,0,22378,Trevor Immelman,"70' 8""",565.083,8,-5
2013,24,0,20848,Ángel Cabrera,"71' 2""",996.833,14,-4
2013,25,0,23621,Rory Sabbatini,"71' 11""",1006.833,14,-9
2013,26,0,32448,James Hahn,"72' 1""",1009.167,14,-8
2013,26,0,21961,Charles Howell III,"72' 1""",1008.75,14,-10
2013,28,0,31323,Gary Woodland,"72' 9""",1164.5,16,-5
2013,29,0,28259,Sangmoon Bae,"72' 11""",1167.0,16,-4
2013,30,0,24399,Scott Gardiner,"73' 1""",438.5,6,-1
2013,31,0,21731,Freddie Jacobson,"73' 8""",220.917,3,-1
2013,32,0,20160,Charlie Wi,"74' 8""",448.167,6,-3
2013,33,0,25834,Daniel Summerhays,"74' 9""",1569.583,21,-8
2013,34,0,30750,Tommy Gainey,"75' 2""",1202.0,16,-12
2013,35,0,25818,Scott Piercy,"75' 6""",906.333,12,-6
2013,36,0,26679,Kevin Stadler,"75' 7""",1209.333,16,-8
2013,37,0,29740,Brad Fritsch,"75' 11""",1139.25,15,-11
2013,37,0,26596,Ryan Moore,"75' 11""",759.0,10,-6
2013,39,0,23983,Luke Donald,"76' 11""",384.417,5,-3
2013,40,0,22046,Geoff Ogilvy,"77' 8""",466.167,6,-5
2013,41,0,27436,Graham DeLaet,"77' 9""",1477.5,19,-10
2013,42,0,35539,Luke Guthrie,"77' 10""",622.667,8,-2
2013,42,0,27330,Josh Teater,"77' 10""",1089.417,14,-11
2013,44,0,20098,Stuart Appleby,"78' 3""",704.167,9,-5
