YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
2013,1,0,1116,Michael Bradley,240.0,423315.0,49
2013,2,0,31560,Brian Stuard,242.2,697671.0,80
2013,3,0,6567,Vijay Singh,243.4,744795.0,85
2013,4,0,23621,Rory Sabbatini,243.7,1324863.0,151
2013,5,0,29425,Andrew Svoboda,244.0,570983.0,65
2013,6,0,1320,Bob Estes,245.4,671439.0,76
2013,7,0,22405,Justin Rose,245.5,786659.0,89
2013,8,0,31557,Jim Herman,245.6,848868.0,96
2013,9,0,29740,Brad Fritsch,245.8,1097355.0,124
2013,9,0,27129,Luke List,245.8,982123.0,111
2013,11,0,28455,Will Claxton,246.2,726689.0,82
2013,12,0,10885,Robert Allenby,246.5,585607.0,66
2013,13,0,30925,Dustin Johnson,246.6,1100860.0,124
2013,13,0,34409,David Lingmerth,246.6,745595.0,84
2013,13,0,2206,David Toms,246.6,257436.0,29
2013,16,0,27436,Graham DeLaet,246.7,1412338.0,159
2013,16,0,27503,Steve LeBrun,246.7,737144.0,83
2013,16,0,25336,Alistair Presnell,246.7,586095.0,66
2013,16,0,22295,Darron Stiles,246.7,399645.0,45
2013,20,0,27556,Ted Potter Jr.,246.8,648479.0,73
2013,21,0,20098,Stuart Appleby,247.0,960295.0,108
2013,22,0,21878,Mark Wilson,247.2,596153.0,67
2013,23,0,27770,Camilo Villegas,247.3,952668.0,107
2013,24,0,34261,Scott Langley,247.5,623574.0,70
2013,24,0,24663,Y.E. Yang,247.5,543461.0,61
2013,26,0,33461,Morgan Hoffmann,247.9,874762.0,98
2013,27,0,30926,Chris Kirk,248.0,1285440.0,144
2013,28,0,28259,Sangmoon Bae,248.1,1053938.0,118
2013,28,0,6522,Ernie Els,248.1,803966.0,90
2013,30,0,25444,Justin Hicks,248.2,768338.0,86
2013,30,0,20691,Greg Owen,248.2,1170314.0,131
2013,32,0,20229,Stewart Cink,248.3,893881.0,100
2013,32,0,34360,Patrick Reed,248.3,1215752.0,136
2013,34,0,34431,Robert Streb,248.5,1010733.0,113
2013,35,0,25572,Graeme McDowell,248.8,465819.0,52
2013,36,0,12782,Tim Herron,248.9,528710.0,59
2013,37,0,24227,Justin Bolli,249.0,439193.0,49
