YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
2013,1,0,20098,Stuart Appleby,12,1,1,2,2013130
2013,1,0,27895,Jonas Blixt,12,0,1,7,2013220
2013,1,0,28089,Jason Day,12,3,1,13,2013340
2013,1,0,23108,Matt Kuchar,12,1,1,8,2013340
2013,5,0,28500,Martin Flores,11,1,2,2,2013290
2013,5,0,1577,Lee Janzen,11,1,1,9,2013030
2013,5,0,33418,Shawn Stefani,11,0,1,11,2013100
2013,8,0,24357,K.J. Choi,10,0,2,10,2013100
2013,8,0,29740,Brad Fritsch,10,0,1,1,2013020
2013,8,0,19846,Brian Gay,10,0,1,10,2013370
2013,8,0,25900,Lucas Glover,10,1,2,3,2013090
2013,8,0,22792,Peter Hanson,10,2,4,3,2013240
2013,8,0,34098,Russell Henley,10,0,1,11,2013110
2013,8,0,24781,Hunter Mahan,10,1,1,13,2013320
2013,8,0,28310,Lee Williams,10,0,3,7,2013170
2013,8,0,26497,Casey Wittenberg,10,0,2,5,2013290
2013,17,0,28259,Sangmoon Bae,9,0,2,18,2013260
2013,17,0,25274,Steven Bowditch,9,0,4,2,2013280
2013,17,0,35539,Luke Guthrie,9,1,2,15,2013070
2013,17,0,30925,Dustin Johnson,9,0,3,5,2013320
2013,17,0,19970,Robert Karlsson,9,0,2,14,2013210
2013,17,0,10860,Justin Leonard,9,2,1,13,2013050
2013,17,0,20572,Rod Pampling,9,0,3,7,2013290
2013,17,0,22913,John Rollins,9,2,3,1,2013040
2013,17,0,27214,Kevin Streelman,9,3,4,11,2013030
2013,17,0,28780,Nicholas Thompson,9,4,2,5,2013300
2013,17,0,20396,Lee Westwood,9,0,1,13,2013140
2013,28,0,30978,Kiradech Aphibarnrat,8,3,2,12,2013340
2013,28,0,23541,Ben Crane,8,7,1,4,2013240
2013,28,0,21753,Brian Davis,8,0,1,11,2013220
2013,28,0,34099,Harris English,8,1,4,1,2013150
2013,28,0,32102,Rickie Fowler,8,1,2,7,2013130
2013,28,0,21209,Sergio Garcia,8,0,2,4,2013110
2013,28,0,8725,Tom Gillis,8,3,1,4,2013090
2013,28,0,34174,John Huh,8,1,2,2,2013120
2013,28,0,22806,Doug LaBelle II,8,2,3,8,2013190
2013,28,0,34409,David Lingmerth,8,1,3,16,2013020
2013,28,0,1724,Jeff Maggert,8,0,4,14,2013020
2013,28,0,32839,Hideki Matsuyama,8,8,1,18,2013340
2013,28,0,31202,William McGirt,8,4,4,12,2013300
2013,28,0,34360,Patrick Reed,8,2,4,12,2013320
2013,28,0,23497,Tag Ridings,8,1,1,17,2013130
2013,28,0,25562,Andres Romero,8,0,1,6,2013090
2013,28,0,27649,Brandt Snedeker,8,2,4,7,2013350
2013,28,0,22295,Darron Stiles,8,0,3,11,2013060
2013,28,0,6527,Steve Stricker,8,0,2,3,2013010
2013,28,0,32150,Michael Thompson,8,2,2,1,2013220
2013,28,0,10423,Mike Weir,8,3,2,16,2013190
2013,49,0,6004,Stephen Ames,7,2,4,1,2013020
2013,49,0,21407,Arjun Atwal,7,0,3,11,2013060
2013,49,0,22371,Aaron Baddeley,7,0,2,12,2013250
2013,49,0,12652,Cameron Beckman,7,1,1,6,2013100
2013,49,0,20070,Matt Bettencourt,7,0,1,18,2013100
2013,49,0,32200,Roberto Castro,7,1,4,15,2013230
2013,49,0,20593,Greg Chalmers,7,1,1,11,2013120
2013,49,0,20229,Stewart Cink,7,0,1,18,2013020
2013,49,0,23135,Tim Clark,7,0,1,13,2013020
2013,49,0,10809,Jim Furyk,7,0,2,8,2013320
2013,49,0,29720,Andres Gonzales,7,1,1,11,2013240
2013,49,0,21961,Charles Howell III,7,1,4,4,2013210
2013,49,0,8075,Jerry Kelly,7,0,3,1,2013030
2013,49,0,21099,David Lynn,7,1,2,4,2013110
2013,49,0,25572,Graeme McDowell,7,0,1,14,2013090
2013,49,0,25198,Francesco Molinari,7,1,1,5,2013110
2013,49,0,25396,Kevin Na,7,3,3,13,2013050
2013,49,0,29289,S.Y. Noh,7,1,1,8,2013190
2013,49,0,30163,Henrik Norlander,7,0,4,13,2013020
2013,49,0,24140,Sean O'Hair,7,0,1,18,2013060
2013,49,0,22046,Geoff Ogilvy,7,0,2,7,2013350
2013,49,0,25345,Carl Pettersson,7,1,2,12,2013130
2013,49,0,25240,D.A. Points,7,0,4,11,2013200
2013,49,0,22405,Justin Rose,7,0,2,18,2013340
2013,49,0,23481,Marcel Siem,7,0,2,12,2013320
2013,49,0,29221,Webb Simpson,7,4,2,9,2013350
2013,49,0,34046,Jordan Spieth,7,0,2,13,2013230
2013,49,0,30692,Scott Stallings,7,0,2,7,2013020
2013,49,0,29518,Brendan Steele,7,0,2,6,2013140
2013,49,0,27330,Josh Teater,7,4,1,15,2013020
2013,49,0,2206,David Toms,7,0,2,3,2013240
2013,49,0,2246,Duffy Waldorf,7,0,2,15,2013150
2013,49,0,25632,Jimmy Walker,7,6,4,7,2013230
2013,49,0,20160,Charlie Wi,7,1,4,6,2013060
2013,83,0,32334,Charlie Beljan,6,6,2,2,2013280
2013,83,0,24507,Jason Bohn,6,0,2,4,2013270
2013,83,0,33141,Keegan Bradley,6,0,2,15,2013210
2013,83,0,24925,Jonathan Byrd,6,1,2,16,2013240
2013,83,0,34021,Bud Cauley,6,0,3,4,2013220
2013,83,0,32366,Kevin Chappell,6,2,1,8,2013370
2013,83,0,1203,Russ Cochran,6,0,2,1,2013020
2013,83,0,28937,George Coetzee,6,0,1,18,2013110
2013,83,0,24494,Erik Compton,6,6,3,2,2013370
2013,83,0,23983,Luke Donald,6,0,2,17,2013120
2013,83,0,23409,James Driscoll,6,0,3,15,2013170
2013,83,0,25686,Jason Dufner,6,4,3,12,2013220
2013,83,0,24399,Scott Gardiner,6,0,1,13,2013040
2013,83,0,20157,Retief Goosen,6,6,1,6,2013180
2013,83,0,24924,Bill Haas,6,0,2,12,2013400
2013,83,0,20766,Padraig Harrington,6,2,1,18,2013240
2013,83,0,12782,Tim Herron,6,1,2,8,2013200
2013,83,0,33461,Morgan Hoffmann,6,0,3,3,2013320
2013,83,0,29420,Billy Horschel,6,4,1,6,2013310
2013,83,0,22378,Trevor Immelman,6,1,2,12,2013190
2013,83,0,21731,Freddie Jacobson,6,1,2,7,2013210
2013,83,0,19958,Miguel Angel Jiménez,6,4,1,15,2013310
2013,83,0,30926,Chris Kirk,6,3,1,13,2013090
2013,83,0,30711,Colt Knost,6,2,1,10,2013260
2013,83,0,30944,Jason Kokrak,6,4,1,14,2013120
2013,83,0,27936,Martin Laird,6,3,3,15,2013030
2013,83,0,35139,Richard Lee,6,0,1,3,2013090
2013,83,0,26851,Marc Leishman,6,0,2,17,2013350
2013,83,0,27129,Luke List,6,2,2,12,2013120
2013,83,0,33204,Shane Lowry,6,0,1,5,2013140
2013,83,0,28158,Steve Marino,6,5,2,15,2013030
2013,83,0,27120,Troy Matteson,6,0,1,3,2013210
2013,83,0,27933,John Merrick,6,0,1,16,2013140
2013,83,0,27349,Alex Noren,6,2,1,8,2013090
2013,83,0,20443,Jin Park,6,2,2,16,2013120
2013,83,0,22056,Cameron Percy,6,1,1,4,2013040
2013,83,0,1948,Tim Petrovic,6,3,4,9,2013290
2013,83,0,25818,Scott Piercy,6,0,2,2,2013380
2013,83,0,24138,Ian Poulter,6,1,1,10,2013200
2013,83,0,25336,Alistair Presnell,6,4,1,12,2013030
2013,83,0,10213,Dicky Pride,6,0,2,12,2013200
2013,83,0,26679,Kevin Stadler,6,0,4,6,2013070
2013,83,0,21528,Henrik Stenson,6,4,4,7,2013130
2013,83,0,33448,Justin Thomas,6,6,4,4,2013260
2013,83,0,33419,Cameron Tringale,6,0,2,12,2013030
2013,83,0,26951,Johnson Wagner,6,3,1,12,2013220
2013,83,0,25841,Marc Warren,6,0,1,17,2013350
2013,83,0,27095,Nick Watney,6,0,1,1,2013140
2013,83,0,32139,Danny Willett,6,1,1,12,2013310
2013,132,0,20771,Steven Alker,5,0,1,2,2013020
2013,132,0,33120,Mark Anderson,5,5,3,9,2013020
2013,132,0,1024,Billy Andrade,5,0,1,18,2013320
2013,132,0,24227,Justin Bolli,5,1,2,8,2013210
2013,132,0,12510,Chad Campbell,5,3,4,6,2013240
2013,132,0,37450,Donald Constable,5,0,1,16,2013190
2013,132,0,1249,John Daly,5,1,4,4,2013240
2013,132,0,23638,Brendon de Jonge,5,4,1,2,2013260
2013,132,0,27436,Graham DeLaet,5,0,1,1,2013140
2013,132,0,6251,Chris DiMarco,5,0,2,2,2013320
2013,132,0,25369,Jamie Donaldson,5,1,1,4,2013090
2013,132,0,20104,Ken Duke,5,1,4,9,2013340
2013,132,0,1320,Bob Estes,5,0,1,14,2013150
2013,132,0,28307,Matt Every,5,1,1,10,2013370
2013,132,0,25191,Gonzalo Fernandez-Castaño,5,1,4,14,2013250
2013,132,0,39412,Zack Fischer,5,2,1,9,2013210
2013,132,0,30750,Tommy Gainey,5,0,1,4,2013350
2013,132,0,23718,Nathan Green,5,2,1,13,2013150
2013,132,0,32448,James Hahn,5,1,1,16,2013360
2013,132,0,1473,Todd Hamilton,5,0,3,4,2013060
2013,132,0,27644,Brian Harman,5,1,1,13,2013170
2013,132,0,31557,Jim Herman,5,5,2,16,2013320
2013,132,0,12716,Charley Hoffman,5,1,4,11,2013350
2013,132,0,26908,Yuta Ikeda,5,5,1,4,2013020
2013,132,0,21350,Ryuji Imada,5,0,2,16,2013210
2013,132,0,30852,Ryo Ishikawa,5,0,2,13,2013120
2013,132,0,6573,Brandt Jobe,5,0,4,5,2013220
2013,132,0,26300,Matt Jones,5,1,1,11,2013240
2013,132,0,35087,Bio Kim,5,5,2,12,2013250
2013,132,0,33122,Russell Knox,5,1,2,7,2013100
2013,132,0,23552,Hank Kuehne,5,0,4,10,2013040
2013,132,0,19904,Paul Lawrie,5,0,1,6,2013340
2013,132,0,27503,Steve LeBrun,5,0,2,8,2013270
2013,132,0,28092,D.H. Lee,5,4,1,12,2013040
2013,132,0,26695,Michael Letzig,5,4,2,7,2013290
2013,132,0,1706,Davis Love III,5,0,4,16,2013240
2013,132,0,23548,Bill Lunde,5,0,2,1,2013060
2013,132,0,33199,Matteo Manassero,5,0,1,4,2013340
2013,132,0,28237,Rory McIlroy,5,2,1,6,2013110
2013,132,0,24490,George McNeill,5,0,2,11,2013370
2013,132,0,1810,Phil Mickelson,5,2,4,14,2013040
2013,132,0,26596,Ryan Moore,5,0,1,1,2013220
2013,132,0,22348,Nick O'Hern,5,0,4,2,2013060
