YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 1 PUTTS,TOTAL ROUNDS
2013,1,0,19846,Brian Gay,8.23,650,79
2013,2,0,22371,Aaron Baddeley,8.17,539,66
2013,3,0,10423,Mike Weir,7.91,459,58
2013,4,0,20593,Greg Chalmers,7.85,573,73
2013,5,0,30926,Chris Kirk,7.83,697,89
2013,6,0,27649,Brandt Snedeker,7.7,608,79
2013,6,0,23325,Vaughn Taylor,7.7,354,46
2013,8,0,20160,Charlie Wi,7.69,546,71
2013,9,0,25274,Steven Bowditch,7.65,497,65
2013,10,0,27895,Jonas Blixt,7.62,579,76
2013,10,0,1810,Phil Mickelson,7.62,594,78
2013,12,0,23800,Bryce Molder,7.58,606,80
2013,13,0,6004,Stephen Ames,7.57,371,49
2013,14,0,34360,Patrick Reed,7.55,627,83
2013,15,0,23983,Luke Donald,7.53,437,58
2013,15,0,21731,Freddie Jacobson,7.53,452,60
2013,15,0,27963,Chris Stroud,7.53,663,88
2013,18,0,28089,Jason Day,7.51,601,80
2013,18,0,26758,David Hearn,7.51,661,88
2013,18,0,10860,Justin Leonard,7.51,646,86
2013,21,0,28259,Sangmoon Bae,7.49,622,83
2013,21,0,22792,Peter Hanson,7.49,322,43
2013,23,0,1320,Bob Estes,7.47,493,66
2013,23,0,25562,Andres Romero,7.47,441,59
2013,25,0,21753,Brian Davis,7.46,679,91
2013,25,0,21961,Charles Howell III,7.46,634,85
2013,27,0,28237,Rory McIlroy,7.45,410,55
2013,28,0,23409,James Driscoll,7.43,535,72
2013,29,0,34046,Jordan Spieth,7.41,608,82
2013,30,0,6527,Steve Stricker,7.4,348,47
2013,31,0,23108,Matt Kuchar,7.39,643,87
2013,32,0,23541,Ben Crane,7.38,428,58
2013,32,0,32102,Rickie Fowler,7.38,546,74
2013,34,0,34409,David Lingmerth,7.37,501,68
2013,34,0,28475,Jeff Overton,7.37,575,78
2013,36,0,33461,Morgan Hoffmann,7.36,471,64
2013,37,0,28307,Matt Every,7.34,653,89
2013,37,0,35539,Luke Guthrie,7.34,602,82
2013,39,0,23320,Ryan Palmer,7.33,579,79
2013,39,0,8793,Tiger Woods,7.33,440,60
2013,41,0,30692,Scott Stallings,7.32,578,79
2013,42,0,24494,Erik Compton,7.3,540,74
2013,42,0,22806,Doug LaBelle II,7.3,511,70
2013,44,0,28500,Martin Flores,7.29,605,83
2013,44,0,26300,Matt Jones,7.29,605,83
2013,46,0,34099,Harris English,7.26,690,95
2013,46,0,27644,Brian Harman,7.26,617,85
2013,46,0,25632,Jimmy Walker,7.26,610,84
2013,49,0,21099,David Lynn,7.25,500,69
2013,49,0,28135,Aaron Watkins,7.25,319,44
2013,51,0,8725,Tom Gillis,7.23,470,65
2013,52,0,30944,Jason Kokrak,7.22,563,78
2013,53,0,34098,Russell Henley,7.21,562,78
2013,54,0,12782,Tim Herron,7.2,324,45
2013,54,0,20443,Jin Park,7.2,360,50
2013,56,0,20098,Stuart Appleby,7.19,604,84
2013,56,0,24507,Jason Bohn,7.19,503,70
2013,58,0,28310,Lee Williams,7.18,431,60
2013,59,0,24227,Justin Bolli,7.16,394,55
2013,59,0,23135,Tim Clark,7.16,437,61
2013,61,0,30711,Colt Knost,7.15,465,65
2013,61,0,27556,Ted Potter Jr.,7.15,436,61
2013,63,0,20104,Ken Duke,7.14,621,87
2013,63,0,22295,Darron Stiles,7.14,350,49
2013,63,0,26497,Casey Wittenberg,7.14,500,70
2013,66,0,12716,Charley Hoffman,7.13,599,84
2013,66,0,25834,Daniel Summerhays,7.13,592,83
2013,68,0,28679,Fabián Gómez,7.12,463,65
2013,68,0,35139,Richard Lee,7.12,548,77
2013,68,0,27770,Camilo Villegas,7.12,534,75
2013,71,0,8075,Jerry Kelly,7.11,533,75
2013,71,0,1724,Jeff Maggert,7.11,448,63
2013,71,0,26596,Ryan Moore,7.11,505,71
2013,71,0,33418,Shawn Stefani,7.11,448,63
2013,75,0,31202,William McGirt,7.09,532,75
2013,76,0,29420,Billy Horschel,7.08,680,96
2013,76,0,25572,Graeme McDowell,7.08,347,49
2013,76,0,24138,Ian Poulter,7.08,375,53
2013,79,0,34261,Scott Langley,7.07,530,75
2013,79,0,25336,Alistair Presnell,7.07,403,57
2013,81,0,30750,Tommy Gainey,7.06,593,84
2013,81,0,22056,Cameron Percy,7.06,466,66
2013,81,0,25240,D.A. Points,7.06,614,87
2013,84,0,21209,Sergio Garcia,7.05,444,63
2013,84,0,23621,Rory Sabbatini,7.05,578,82
2013,86,0,26851,Marc Leishman,7.03,541,77
2013,86,0,26331,Charl Schwartzel,7.03,478,68
2013,86,0,29221,Webb Simpson,7.03,619,88
2013,89,0,32200,Roberto Castro,7.02,681,97
2013,89,0,28092,D.H. Lee,7.02,456,65
2013,89,0,2206,David Toms,7.02,309,44
2013,92,0,24357,K.J. Choi,7.01,589,84
2013,93,0,27129,Luke List,7.0,427,61
2013,93,0,33419,Cameron Tringale,7.0,560,80
2013,95,0,33141,Keegan Bradley,6.99,608,87
2013,95,0,32448,James Hahn,6.99,517,74
2013,97,0,19970,Robert Karlsson,6.98,363,52
2013,98,0,25686,Jason Dufner,6.95,535,77
2013,98,0,25345,Carl Pettersson,6.95,556,80
2013,98,0,24663,Y.E. Yang,6.95,389,56
2013,101,0,20766,Padraig Harrington,6.94,340,49
2013,102,0,22046,Geoff Ogilvy,6.91,394,57
2013,103,0,6522,Ernie Els,6.9,428,62
2013,103,0,29740,Brad Fritsch,6.9,531,77
