YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,PUTTS MADE
2013,1,0,21209,Sergio Garcia,2.2
2013,2,0,26331,Charl Schwartzel,2.1
2013,3,0,34098,Russell Henley,2.0
2013,3,0,6527,Steve Stricker,2.0
2013,5,0,28259,Sangmoon Bae,1.9
2013,5,0,20848,Ángel Cabrera,1.9
2013,5,0,24024,Zach Johnson,1.9
2013,5,0,28237,Rory McIlroy,1.9
2013,9,0,28089,Jason Day,1.8
2013,9,0,23108,Matt Kuchar,1.8
2013,9,0,34046,Jordan Spieth,1.8
2013,12,0,27436,Graham DeLaet,1.7
2013,12,0,34099,Harris English,1.7
2013,12,0,32102,Rickie Fowler,1.7
2013,12,0,27408,Martin Kaymer,1.7
2013,12,0,23800,Bryce Molder,1.7
2013,12,0,27649,Brandt Snedeker,1.7
2013,12,0,27095,Nick Watney,1.7
2013,19,0,6004,Stephen Ames,1.6
2013,19,0,33141,Keegan Bradley,1.6
2013,19,0,20593,Greg Chalmers,1.6
2013,19,0,1320,Bob Estes,1.6
2013,19,0,35539,Luke Guthrie,1.6
2013,19,0,24924,Bill Haas,1.6
2013,19,0,22792,Peter Hanson,1.6
2013,19,0,34261,Scott Langley,1.6
2013,19,0,25572,Graeme McDowell,1.6
2013,19,0,1810,Phil Mickelson,1.6
2013,19,0,23320,Ryan Palmer,1.6
2013,19,0,25345,Carl Pettersson,1.6
2013,19,0,21528,Henrik Stenson,1.6
2013,19,0,28780,Nicholas Thompson,1.6
2013,19,0,23788,D.J. Trahan,1.6
2013,19,0,26289,Boo Weekley,1.6
2013,19,0,8793,Tiger Woods,1.6
2013,36,0,20098,Stuart Appleby,1.5
2013,36,0,23409,James Driscoll,1.5
2013,36,0,10809,Jim Furyk,1.5
2013,36,0,20766,Padraig Harrington,1.5
2013,36,0,33461,Morgan Hoffmann,1.5
2013,36,0,21961,Charles Howell III,1.5
2013,36,0,30926,Chris Kirk,1.5
2013,36,0,22806,Doug LaBelle II,1.5
2013,36,0,28475,Jeff Overton,1.5
2013,36,0,25818,Scott Piercy,1.5
2013,36,0,27556,Ted Potter Jr.,1.5
2013,36,0,26476,Chez Reavie,1.5
2013,36,0,22913,John Rollins,1.5
2013,36,0,27214,Kevin Streelman,1.5
2013,50,0,22371,Aaron Baddeley,1.4
2013,50,0,27895,Jonas Blixt,1.4
2013,50,0,20104,Ken Duke,1.4
2013,50,0,12782,Tim Herron,1.4
2013,50,0,29420,Billy Horschel,1.4
2013,50,0,21731,Freddie Jacobson,1.4
2013,50,0,27933,John Merrick,1.4
2013,50,0,26679,Kevin Stadler,1.4
2013,50,0,27963,Chris Stroud,1.4
2013,50,0,31323,Gary Woodland,1.4
2013,60,0,12510,Chad Campbell,1.3
2013,60,0,24494,Erik Compton,1.3
2013,60,0,23983,Luke Donald,1.3
2013,60,0,28307,Matt Every,1.3
2013,60,0,28500,Martin Flores,1.3
2013,60,0,6573,Brandt Jobe,1.3
2013,60,0,8075,Jerry Kelly,1.3
2013,60,0,30711,Colt Knost,1.3
2013,60,0,30944,Jason Kokrak,1.3
2013,60,0,27936,Martin Laird,1.3
2013,60,0,26851,Marc Leishman,1.3
2013,60,0,1724,Jeff Maggert,1.3
2013,60,0,24781,Hunter Mahan,1.3
2013,60,0,31202,William McGirt,1.3
2013,60,0,26596,Ryan Moore,1.3
2013,60,0,22046,Geoff Ogilvy,1.3
2013,60,0,34360,Patrick Reed,1.3
2013,60,0,23497,Tag Ridings,1.3
2013,60,0,29518,Brendan Steele,1.3
2013,60,0,33419,Cameron Tringale,1.3
2013,60,0,25632,Jimmy Walker,1.3
2013,60,0,20396,Lee Westwood,1.3
2013,82,0,25274,Steven Bowditch,1.2
2013,82,0,32200,Roberto Castro,1.2
2013,82,0,24357,K.J. Choi,1.2
2013,82,0,20229,Stewart Cink,1.2
2013,82,0,23135,Tim Clark,1.2
2013,82,0,37273,Derek Ernst,1.2
2013,82,0,29740,Brad Fritsch,1.2
2013,82,0,25444,Justin Hicks,1.2
2013,82,0,12716,Charley Hoffman,1.2
2013,82,0,30925,Dustin Johnson,1.2
2013,82,0,26300,Matt Jones,1.2
2013,82,0,28092,D.H. Lee,1.2
2013,82,0,35139,Richard Lee,1.2
2013,82,0,21099,David Lynn,1.2
2013,82,0,24490,George McNeill,1.2
2013,82,0,30163,Henrik Norlander,1.2
2013,82,0,24361,Pat Perez,1.2
2013,82,0,24502,Adam Scott,1.2
2013,82,0,29221,Webb Simpson,1.2
2013,82,0,27330,Josh Teater,1.2
2013,82,0,32150,Michael Thompson,1.2
2013,82,0,23623,Bo Van Pelt,1.2
2013,82,0,27770,Camilo Villegas,1.2
2013,82,0,20160,Charlie Wi,1.2
2013,106,0,22621,Ben Curtis,1.1
2013,106,0,25686,Jason Dufner,1.1
2013,106,0,6522,Ernie Els,1.1
2013,106,0,30750,Tommy Gainey,1.1
2013,106,0,24399,Scott Gardiner,1.1
2013,106,0,8725,Tom Gillis,1.1
2013,106,0,26758,David Hearn,1.1
2013,106,0,23353,J.J. Henry,1.1
2013,106,0,31557,Jim Herman,1.1
2013,106,0,30852,Ryo Ishikawa,1.1
2013,106,0,10860,Justin Leonard,1.1
2013,106,0,20443,Jin Park,1.1
2013,106,0,25240,D.A. Points,1.1
2013,106,0,24138,Ian Poulter,1.1
2013,106,0,25562,Andres Romero,1.1
2013,106,0,23621,Rory Sabbatini,1.1
2013,106,0,20645,John Senden,1.1
2013,106,0,25834,Daniel Summerhays,1.1
2013,106,0,29425,Andrew Svoboda,1.1
2013,106,0,26951,Johnson Wagner,1.1
2013,106,0,21878,Mark Wilson,1.1
2013,127,0,24507,Jason Bohn,1.0
2013,127,0,29479,Scott Brown,1.0
2013,127,0,23452,Nicolas Colsaerts,1.0
2013,127,0,23541,Ben Crane,1.0
2013,127,0,21753,Brian Davis,1.0
2013,127,0,32448,James Hahn,1.0
2013,127,0,27644,Brian Harman,1.0
2013,127,0,34174,John Huh,1.0
2013,127,0,36884,Ben Kohles,1.0
2013,127,0,34409,David Lingmerth,1.0
2013,127,0,22961,David Mathis,1.0
2013,127,0,25336,Alistair Presnell,1.0
2013,127,0,30110,Kyle Stanley,1.0
2013,127,0,34431,Robert Streb,1.0
2013,127,0,31560,Brian Stuard,1.0
2013,127,0,28310,Lee Williams,1.0
2013,127,0,26497,Casey Wittenberg,1.0
2013,144,0,10885,Robert Allenby,0.9
2013,144,0,1116,Michael Bradley,0.9
2013,144,0,32366,Kevin Chappell,0.9
