YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% TIMES IMPROVED,# OF TIMES IMPROVED,%
2013,1,0,28259,Sangmoon Bae,100.0,1.0,
2013,1,0,27895,Jonas Blixt,100.0,2.0,
2013,1,0,24507,Jason Bohn,100.0,1.0,
2013,1,0,25274,Steven Bowditch,100.0,1.0,
2013,1,0,29479,Scott Brown,100.0,1.0,
2013,1,0,20593,Greg Chalmers,100.0,1.0,
2013,1,0,23135,Tim Clark,100.0,1.0,
2013,1,0,23541,Ben Crane,100.0,1.0,
2013,1,0,28089,Jason Day,100.0,1.0,
2013,1,0,37273,Derek Ernst,100.0,1.0,
2013,1,0,28307,Matt Every,100.0,1.0,
2013,1,0,25900,Lucas Glover,100.0,1.0,
2013,1,0,28679,Fabián Gómez,100.0,1.0,
2013,1,0,32448,James Hahn,100.0,1.0,
2013,1,0,26758,David Hearn,100.0,1.0,
2013,1,0,34098,Russell Henley,100.0,1.0,
2013,1,0,21731,Freddie Jacobson,100.0,1.0,
2013,1,0,30925,Dustin Johnson,100.0,3.0,
2013,1,0,19970,Robert Karlsson,100.0,1.0,
2013,1,0,8075,Jerry Kelly,100.0,1.0,
2013,1,0,30926,Chris Kirk,100.0,1.0,
2013,1,0,34261,Scott Langley,100.0,1.0,
2013,1,0,26851,Marc Leishman,100.0,1.0,
2013,1,0,10860,Justin Leonard,100.0,1.0,
2013,1,0,22961,David Mathis,100.0,1.0,
2013,1,0,25572,Graeme McDowell,100.0,2.0,
2013,1,0,28237,Rory McIlroy,100.0,1.0,
2013,1,0,1810,Phil Mickelson,100.0,4.0,
2013,1,0,22046,Geoff Ogilvy,100.0,1.0,
2013,1,0,25818,Scott Piercy,100.0,1.0,
2013,1,0,25240,D.A. Points,100.0,2.0,
2013,1,0,24502,Adam Scott,100.0,3.0,
2013,1,0,30692,Scott Stallings,100.0,2.0,
2013,1,0,29518,Brendan Steele,100.0,1.0,
2013,1,0,21528,Henrik Stenson,100.0,6.0,
2013,1,0,27214,Kevin Streelman,100.0,2.0,
2013,1,0,31560,Brian Stuard,100.0,1.0,
2013,1,0,25834,Daniel Summerhays,100.0,2.0,
2013,1,0,26951,Johnson Wagner,100.0,1.0,
2013,1,0,25804,Bubba Watson,100.0,2.0,
2013,1,0,26289,Boo Weekley,100.0,1.0,
2013,42,0,10809,Jim Furyk,75.0,3.0,
2013,42,0,29420,Billy Horschel,75.0,3.0,
2013,42,0,23108,Matt Kuchar,75.0,3.0,
2013,42,0,34046,Jordan Spieth,75.0,3.0,
2013,42,0,8793,Tiger Woods,75.0,6.0,
2013,47,0,6527,Steve Stricker,71.4,5.0,
2013,48,0,33141,Keegan Bradley,66.7,2.0,
2013,48,0,27436,Graham DeLaet,66.7,2.0,
2013,48,0,25686,Jason Dufner,66.7,2.0,
2013,48,0,21209,Sergio Garcia,66.7,2.0,
2013,48,0,21961,Charles Howell III,66.7,2.0,
2013,48,0,34360,Patrick Reed,66.7,2.0,
2013,48,0,27649,Brandt Snedeker,66.7,4.0,
