YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,ATTEMPTS
2013,1,0,28237,Rory McIlroy,-.197,
2013,2,0,21209,Sergio Garcia,-.082,
2013,3,0,25804,Bubba Watson,-.057,
2013,4,0,6527,Steve Stricker,-.048,
2013,5,0,23983,Luke Donald,-.028,
2013,6,0,25632,Jimmy Walker,-.021,
2013,7,0,21878,Mark Wilson,-.019,
2013,8,0,22405,Justin Rose,-.015,
2013,8,0,26679,Kevin Stadler,-.015,
2013,10,0,23623,Bo Van Pelt,-.014,
2013,11,0,24358,Robert Garrigus,-.009,
2013,12,0,30926,Chris Kirk,-.008,
2013,13,0,21731,Freddie Jacobson,E,
2013,14,0,21961,Charles Howell III,+.008,
2013,15,0,22792,Peter Hanson,+.013,
2013,15,0,34360,Patrick Reed,+.013,
2013,17,0,20766,Padraig Harrington,+.018,
2013,18,0,25686,Jason Dufner,+.019,
2013,19,0,8793,Tiger Woods,+.021,
2013,20,0,22371,Aaron Baddeley,+.023,
2013,21,0,24502,Adam Scott,+.025,
2013,22,0,6522,Ernie Els,+.029,
2013,23,0,27649,Brandt Snedeker,+.032,
2013,24,0,31323,Gary Woodland,+.033,
2013,25,0,24357,K.J. Choi,+.034,
2013,26,0,24138,Ian Poulter,+.036,
2013,27,0,33419,Cameron Tringale,+.040,
2013,28,0,27408,Martin Kaymer,+.041,
2013,28,0,20443,Jin Park,+.041,
2013,30,0,12716,Charley Hoffman,+.042,
2013,31,0,1810,Phil Mickelson,+.045,
2013,31,0,27556,Ted Potter Jr.,+.045,
2013,33,0,24924,Bill Haas,+.046,
2013,34,0,31557,Jim Herman,+.047,
2013,34,0,27963,Chris Stroud,+.047,
2013,34,0,31560,Brian Stuard,+.047,
2013,37,0,23108,Matt Kuchar,+.048,
2013,38,0,30925,Dustin Johnson,+.053,
2013,39,0,20160,Charlie Wi,+.055,
2013,40,0,6573,Brandt Jobe,+.059,
2013,41,0,29289,S.Y. Noh,+.060,
2013,42,0,20848,Ángel Cabrera,+.063,
2013,42,0,8075,Jerry Kelly,+.063,
2013,44,0,26331,Charl Schwartzel,+.065,
2013,45,0,28307,Matt Every,+.066,
2013,45,0,22913,John Rollins,+.066,
2013,47,0,23409,James Driscoll,+.068,
2013,48,0,26476,Chez Reavie,+.069,
2013,49,0,28259,Sangmoon Bae,+.070,
2013,50,0,24846,Ricky Barnes,+.071,
2013,50,0,30944,Jason Kokrak,+.071,
2013,52,0,25834,Daniel Summerhays,+.072,
2013,53,0,24490,George McNeill,+.073,
2013,54,0,32698,Bobby Gates,+.075,
2013,54,0,33461,Morgan Hoffmann,+.075,
2013,56,0,23541,Ben Crane,+.076,
2013,56,0,21528,Henrik Stenson,+.076,
2013,56,0,20396,Lee Westwood,+.076,
2013,59,0,28092,D.H. Lee,+.077,
2013,60,0,32366,Kevin Chappell,+.080,
2013,61,0,20229,Stewart Cink,+.083,
