YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
2013,1,0,20104,Ken Duke,8.05,84,1043,+0.10
2013,2,0,28092,D.H. Lee,8.63,69,800,+0.03
2013,3,0,23800,Bryce Molder,8.86,87,982,+0.11
2013,4,0,6527,Steve Stricker,9.18,45,490,E
2013,5,0,22295,Darron Stiles,9.28,54,582,+0.22
2013,6,0,21878,Mark Wilson,9.48,66,696,-0.03
2013,7,0,24490,George McNeill,9.67,86,889,+0.10
2013,8,0,8793,Tiger Woods,9.78,58,593,-0.10
2013,9,0,34174,John Huh,9.91,104,1049,+0.07
2013,10,0,25572,Graeme McDowell,10.04,52,518,+0.06
2013,11,0,34046,Jordan Spieth,10.11,94,930,+0.03
2013,12,0,32200,Roberto Castro,10.15,118,1163,-0.01
2013,13,0,24781,Hunter Mahan,10.2,97,951,+0.08
2013,14,0,25444,Justin Hicks,10.26,94,916,+0.17
2013,15,0,10809,Jim Furyk,10.35,92,889,+0.13
2013,16,0,20572,Rod Pampling,10.45,51,488,+0.27
2013,17,0,34261,Scott Langley,10.56,94,890,+0.06
2013,18,0,36884,Ben Kohles,10.63,91,856,+0.18
2013,19,0,23135,Tim Clark,10.7,64,598,+0.11
2013,20,0,30711,Colt Knost,10.74,86,801,+0.20
2013,21,0,23638,Brendon de Jonge,10.75,144,1339,+0.10
2013,22,0,24357,K.J. Choi,10.84,95,876,-0.01
2013,23,0,26300,Matt Jones,10.88,105,965,+0.10
2013,23,0,27095,Nick Watney,10.88,110,1011,+0.05
2013,25,0,28135,Aaron Watkins,10.91,53,486,+0.09
2013,26,0,26289,Boo Weekley,10.92,126,1154,+0.13
2013,27,0,27330,Josh Teater,11.02,92,835,+0.13
2013,28,0,20593,Greg Chalmers,11.06,106,958,+0.01
2013,29,0,21961,Charles Howell III,11.14,123,1104,-0.12
2013,29,0,20160,Charlie Wi,11.14,102,916,+0.11
2013,31,0,26758,David Hearn,11.15,113,1013,+0.14
2013,32,0,29479,Scott Brown,11.3,86,761,+0.15
2013,33,0,26596,Ryan Moore,11.31,90,796,+0.04
2013,34,0,22961,David Mathis,11.32,97,857,+0.14
