YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
2014,18,0,25191,Gonzalo Fernandez-Castaño,7.97,77,966,+0.325
2014,19,0,22913,John Rollins,7.91,74,935,+0.365
2014,20,0,27556,Ted Potter Jr.,7.9,66,835,+0.136
2014,21,0,34563,Chesson Hadley,7.89,78,989,+0.269
2014,22,0,23409,James Driscoll,7.82,63,806,+0.333
2014,23,0,35139,Richard Lee,7.76,66,851,+0.167
2014,24,0,27649,Brandt Snedeker,7.7,71,922,+0.239
2014,25,0,28092,D.H. Lee,7.67,48,626,+0.458
2014,26,0,32200,Roberto Castro,7.54,62,822,+0.113
2014,27,0,24507,Jason Bohn,7.48,76,1016,+0.303
2014,28,0,23135,Tim Clark,7.4,64,865,+0.313
2014,29,0,31560,Brian Stuard,7.27,75,1032,+0.093
2014,30,0,24925,Jonathan Byrd,7.19,65,904,+0.246
2014,30,0,32448,James Hahn,7.19,73,1016,+0.137
2014,32,0,22621,Ben Curtis,7.18,64,891,+0.188
2014,33,0,24490,George McNeill,7.17,70,976,+0.014
2014,34,0,27933,John Merrick,7.16,72,1006,+0.181
2014,35,0,26758,David Hearn,7.09,81,1143,-0.123
2014,35,0,33122,Russell Knox,7.09,82,1156,-0.024
2014,35,0,24361,Pat Perez,7.09,74,1044,+0.176
2014,38,0,28307,Matt Every,7.08,64,904,+0.266
2014,38,0,8075,Jerry Kelly,7.08,65,918,+0.169
2014,40,0,24357,K.J. Choi,7.07,66,934,+0.136
2014,41,0,30944,Jason Kokrak,6.95,59,849,E
2014,42,0,28486,Michael Putnam,6.94,88,1268,+0.193
2014,43,0,26951,Johnson Wagner,6.93,56,808,+0.179
2014,44,0,20098,Stuart Appleby,6.92,81,1170,+0.198
2014,45,0,2206,David Toms,6.91,52,753,+0.058
2014,46,0,25364,Paul Casey,6.84,42,614,+0.071
2014,47,0,23541,Ben Crane,6.81,74,1086,+0.095
2014,47,0,20157,Retief Goosen,6.81,74,1087,+0.176
2014,49,0,37273,Derek Ernst,6.8,60,883,+0.217
2014,50,0,10885,Robert Allenby,6.77,66,975,+0.091
2014,50,0,29222,Billy Hurley III,6.77,68,1005,+0.059
2014,50,0,29289,S.Y. Noh,6.77,71,1048,+0.056
2014,53,0,34174,John Huh,6.75,66,978,+0.061
2014,53,0,31193,Jim Renner,6.75,49,726,+0.204
2014,55,0,25240,D.A. Points,6.74,52,772,+0.154
2014,55,0,35732,Wes Roach,6.74,47,697,+0.319
2014,55,0,29518,Brendan Steele,6.74,66,979,+0.045
2014,58,0,24846,Ricky Barnes,6.71,73,1088,+0.137
2014,58,0,30926,Chris Kirk,6.71,81,1208,+0.111
2014,60,0,24358,Robert Garrigus,6.69,68,1017,+0.191
2014,61,0,23623,Bo Van Pelt,6.64,62,934,+0.145
2014,62,0,25900,Lucas Glover,6.56,43,655,+0.163
2014,63,0,12510,Chad Campbell,6.54,42,642,+0.119
2014,63,0,24140,Sean O'Hair,6.54,61,933,+0.213
2014,63,0,21878,Mark Wilson,6.54,52,795,+0.077
2014,66,0,33418,Shawn Stefani,6.52,52,798,+0.154
2014,67,0,33413,Ben Martin,6.48,57,879,+0.175
2014,68,0,25349,Tim Wilkinson,6.45,64,993,+0.172
2014,69,0,26596,Ryan Moore,6.42,56,872,+0.036
2014,70,0,20593,Greg Chalmers,6.39,65,1017,+0.108
2014,71,0,30852,Ryo Ishikawa,6.38,55,862,+0.145
2014,72,0,21731,Freddie Jacobson,6.29,71,1128,+0.155
2014,72,0,20160,Charlie Wi,6.29,57,906,+0.123
2014,74,0,27436,Graham DeLaet,6.28,56,892,-0.143
2014,75,0,29740,Brad Fritsch,6.25,34,544,+0.206
2014,76,0,27770,Camilo Villegas,6.23,73,1172,+0.151
2014,77,0,24502,Adam Scott,6.22,49,788,+0.061
2014,78,0,28132,Tyrone Van Aswegen,6.17,56,908,+0.232
2014,79,0,27963,Chris Stroud,6.16,62,1007,+0.113
2014,79,0,28780,Nicholas Thompson,6.16,60,974,+0.200
2014,81,0,32334,Charlie Beljan,6.1,57,934,+0.263
2014,82,0,32333,Kevin Tway,6.09,40,657,+0.175
2014,83,0,30927,Brendon Todd,6.07,77,1268,+0.208
2014,84,0,26851,Marc Leishman,6.03,58,962,+0.121
2014,85,0,25396,Kevin Na,5.99,65,1086,+0.092
2014,86,0,20229,Stewart Cink,5.98,60,1004,+0.233
2014,87,0,31202,William McGirt,5.97,70,1172,+0.114
2014,88,0,27330,Josh Teater,5.94,62,1044,+0.097
2014,89,0,34264,Hudson Swafford,5.93,48,810,+0.146
2014,90,0,28500,Martin Flores,5.91,56,948,+0.125
2014,91,0,1706,Davis Love III,5.82,51,876,+0.137
2014,92,0,34409,David Lingmerth,5.79,54,932,+0.074
2014,93,0,30750,Tommy Gainey,5.75,48,835,+0.125
2014,94,0,33419,Cameron Tringale,5.71,78,1366,+0.154
2014,95,0,26331,Charl Schwartzel,5.69,43,756,+0.186
2014,96,0,20645,John Senden,5.67,64,1128,+0.078
2014,97,0,36689,Brooks Koepka,5.63,33,586,+0.091
2014,98,0,28259,Sangmoon Bae,5.61,51,909,+0.059
2014,98,0,23353,J.J. Henry,5.61,61,1088,+0.197
2014,100,0,21753,Brian Davis,5.58,63,1130,+0.270
2014,101,0,26956,Bronson La'Cassie,5.57,28,503,+0.143
2014,102,0,34265,Will Wilcox,5.55,31,559,+0.032
2014,103,0,28475,Jeff Overton,5.54,51,920,+0.294
2014,104,0,24024,Zach Johnson,5.52,65,1178,-0.062
2014,105,0,29479,Scott Brown,5.51,64,1162,+0.094
2014,106,0,25444,Justin Hicks,5.5,69,1254,+0.174
2014,107,0,21528,Henrik Stenson,5.45,29,532,+0.034
2014,108,0,25686,Jason Dufner,5.44,32,588,+0.156
2014,109,0,29478,Kevin Kisner,5.43,53,976,+0.170
2014,110,0,29926,Danny Lee,5.4,52,963,+0.192
2014,111,0,27095,Nick Watney,5.36,42,784,+0.071
2014,112,0,34099,Harris English,5.32,55,1034,+0.018
2014,113,0,24912,Will MacKenzie,5.31,54,1016,+0.241
2014,114,0,34360,Patrick Reed,5.3,55,1038,+0.309
2014,115,0,26679,Kevin Stadler,5.29,48,908,+0.083
2014,116,0,26329,Louis Oosthuizen,5.26,22,418,+0.318
2014,117,0,22405,Justin Rose,5.25,38,724,+0.079
2014,118,0,27895,Jonas Blixt,5.14,31,603,+0.129
2014,119,0,35539,Luke Guthrie,5.1,54,1059,+0.481
2014,120,0,20848,Ángel Cabrera,5.05,43,852,+0.140
2014,120,0,29535,Brice Garnett,5.05,55,1090,+0.418
2014,120,0,27936,Martin Laird,5.05,39,772,+0.359
2014,123,0,32839,Hideki Matsuyama,5.02,45,896,E
2014,124,0,23638,Brendon de Jonge,4.98,64,1284,+0.031
2014,124,0,23621,Rory Sabbatini,4.98,45,904,+0.089
2014,126,0,30110,Kyle Stanley,4.97,50,1006,+0.240
2014,127,0,32366,Kevin Chappell,4.94,60,1214,+0.067
2014,128,0,31557,Jim Herman,4.93,33,670,+0.152
2014,129,0,6567,Vijay Singh,4.9,52,1062,+0.192
2014,130,0,1724,Jeff Maggert,4.88,30,615,+0.333
2014,130,0,24138,Ian Poulter,4.88,28,574,+0.429
2014,130,0,27214,Kevin Streelman,4.88,41,840,+0.049
2014,133,0,34098,Russell Henley,4.84,51,1054,+0.176
2014,133,0,22293,Heath Slocum,4.84,42,867,+0.214
2014,133,0,26289,Boo Weekley,4.84,38,785,+0.079
2014,136,0,27644,Brian Harman,4.76,67,1408,+0.104
2014,137,0,29420,Billy Horschel,4.75,46,968,+0.196
2014,138,0,12716,Charley Hoffman,4.73,50,1058,+0.200
2014,139,0,23108,Matt Kuchar,4.7,50,1064,+0.120
2014,139,0,23320,Ryan Palmer,4.7,44,936,E
2014,141,0,34021,Bud Cauley,4.67,30,643,+0.200
2014,142,0,25274,Steven Bowditch,4.6,50,1088,+0.320
2014,143,0,27064,Jhonattan Vegas,4.59,41,894,+0.171
2014,144,0,32640,Troy Merritt,4.55,35,769,+0.229
2014,145,0,22046,Geoff Ogilvy,4.51,46,1019,-0.065
2014,146,0,25345,Carl Pettersson,4.47,53,1185,+0.113
2014,147,0,21961,Charles Howell III,4.38,58,1324,+0.259
2014,147,0,27120,Troy Matteson,4.38,30,685,+0.400
2014,149,0,34431,Robert Streb,4.35,39,896,-0.179
2014,150,0,26300,Matt Jones,4.3,36,838,+0.333
2014,151,0,35300,Andrew Loupe,4.29,30,699,+0.333
2014,152,0,24924,Bill Haas,4.28,49,1146,-0.061
2014,153,0,32102,Rickie Fowler,4.27,37,866,+0.081
2014,154,0,24494,Erik Compton,4.21,44,1044,+0.205
2014,155,0,35541,John Peterson,4.17,32,767,+0.125
2014,155,0,25562,Andres Romero,4.17,42,1006,+0.286
2014,157,0,34046,Jordan Spieth,4.16,46,1106,+0.152
2014,158,0,27141,J.B. Holmes,4.0,43,1074,+0.209
2014,158,0,25834,Daniel Summerhays,4.0,49,1226,+0.082
2014,160,0,24781,Hunter Mahan,3.97,40,1008,+0.150
2014,161,0,31323,Gary Woodland,3.92,40,1020,+0.100
2014,162,0,29425,Andrew Svoboda,3.8,35,922,+0.029
2014,163,0,25632,Jimmy Walker,3.7,38,1026,+0.079
2014,164,0,28089,Jason Day,3.68,17,462,+0.118
2014,165,0,29461,Jamie Lovemark,3.65,24,657,+0.375
2014,166,0,33141,Keegan Bradley,3.63,34,936,+0.118
2014,167,0,33461,Morgan Hoffmann,3.59,45,1255,+0.289
2014,168,0,29221,Webb Simpson,3.57,37,1036,-0.108
2014,169,0,30692,Scott Stallings,3.53,31,878,+0.194
2014,170,0,6522,Ernie Els,3.52,31,880,+0.419
2014,171,0,27408,Martin Kaymer,3.42,23,672,E
2014,172,0,21209,Sergio Garcia,3.39,19,560,+0.158
2014,173,0,1810,Phil Mickelson,3.14,22,700,+0.227
2014,174,0,20396,Lee Westwood,2.82,17,602,+0.294
2014,175,0,30925,Dustin Johnson,2.77,16,578,+0.250
2014,176,0,25804,Bubba Watson,2.42,19,784,+0.158
2014,177,0,28237,Rory McIlroy,1.93,13,672,-0.077
2022,1,0,30911,Tommy Fleetwood,9.35,52,556,+0.096
2022,2,0,24361,Pat Perez,8.81,62,704,+0.081
2022,3,0,31560,Brian Stuard,8.4,80,952,+0.200
2022,4,0,27095,Nick Watney,8.22,71,864,+0.169
2022,5,0,24138,Ian Poulter,8.17,41,502,-0.049
2022,6,0,48084,Wesley Bryan,7.84,42,536,+0.167
2022,7,0,27139,David Skinns,7.78,56,720,+0.161
2022,8,0,34256,Andrew Putnam,7.64,86,1126,+0.093
2022,9,0,23983,Luke Donald,7.5,54,720,+0.093
2022,10,0,36884,Ben Kohles,7.37,46,624,+0.196
2022,11,0,51950,Max McGreevy,7.25,56,772,+0.143
2022,12,0,47993,Denny McCarthy,7.19,87,1210,-0.011
2022,13,0,40098,Matt Fitzpatrick,6.93,46,664,-0.043
2022,14,0,24924,Bill Haas,6.81,64,940,+0.031
2022,14,0,46414,Aaron Rai,6.81,65,954,+0.077
2022,16,0,29289,S.Y. Noh,6.78,43,634,+0.047
2022,17,0,10381,Curtis Thompson,6.74,41,608,+0.195
2022,18,0,29926,Danny Lee,6.73,37,550,+0.135
2022,19,0,31323,Gary Woodland,6.72,52,774,+0.019
2022,20,0,34610,Matthias Schwab,6.69,51,762,+0.020
2022,21,0,22405,Justin Rose,6.63,35,528,-0.057
2022,22,0,27770,Camilo Villegas,6.62,47,710,+0.277
2022,23,0,19803,Ryan Armour,6.61,32,484,+0.313
2022,24,0,36871,Matthew NeSmith,6.55,71,1084,+0.042
2022,25,0,45522,Christiaan Bezuidenhout,6.54,50,764,+0.160
2022,26,0,29908,C.T. Pan,6.4,63,984,+0.143
2022,27,0,33597,Harry Higgs,6.26,59,942,+0.017
2022,28,0,32102,Rickie Fowler,6.25,49,784,+0.224
2022,29,0,33490,Bo Hoag,6.23,32,514,+0.281
2022,30,0,37212,Paul Barjon,6.21,54,870,+0.222
2022,30,0,32139,Danny Willett,6.21,36,580,+0.083
2022,32,0,47347,Adam Schenk,6.17,66,1070,+0.212
2022,33,0,35879,Kelly Kraft,6.12,48,784,+0.146
2022,34,0,47128,Richy Werenski,6.11,43,704,+0.256
2022,35,0,52374,Brandon Wu,6.07,42,692,+0.214
2022,36,0,30944,Jason Kokrak,6.04,43,712,+0.279
2022,37,0,35110,Brett Drewitt,6.03,35,580,+0.229
2022,38,0,32150,Michael Thompson,6.02,62,1030,+0.065
2022,39,0,30163,Henrik Norlander,6.01,50,832,E
2022,40,0,25493,Nick Taylor,5.99,57,952,+0.018
2022,41,0,50095,Austin Smotherman,5.98,52,870,+0.038
2022,42,0,37189,Harold Varner III,5.96,47,789,+0.149
2022,43,0,29970,Dylan Frittelli,5.92,60,1014,+0.150
2022,44,0,51766,Wyndham Clark,5.89,61,1036,-0.016
2022,45,0,46435,Austin Cook,5.86,43,734,+0.023
2022,46,0,35310,Lanto Griffin,5.84,55,942,+0.145
2022,46,0,36799,Stephan Jaeger,5.84,59,1010,+0.119
2022,48,0,51894,Vince Whaley,5.83,54,926,+0.148
2022,49,0,32640,Troy Merritt,5.81,60,1032,+0.117
2022,50,0,36801,Mark Hubbard,5.77,44,762,-0.023
2022,50,0,30927,Brendon Todd,5.77,56,970,+0.089
2022,52,0,47983,Chad Ramey,5.76,44,764,+0.159
2022,53,0,48699,Callum Tarren,5.75,43,748,+0.140
2022,54,0,34076,Joel Dahmen,5.72,59,1032,-0.068
2022,55,0,53165,Doc Redman,5.71,50,876,-0.120
2022,56,0,33122,Russell Knox,5.64,58,1028,+0.069
2022,57,0,32816,Satoshi Kodaira,5.62,32,569,+0.063
2022,58,0,47988,Nick Hardy,5.59,35,626,+0.086
2022,59,0,40115,Adam Svensson,5.58,65,1164,+0.308
2022,60,0,47529,Mito Pereira,5.57,58,1042,+0.069
2022,61,0,31557,Jim Herman,5.56,33,594,-0.121
2022,62,0,37275,Sam Ryder,5.52,60,1086,+0.200
2022,63,0,26476,Chez Reavie,5.49,57,1038,-0.053
2022,64,0,34174,John Huh,5.48,46,840,+0.065
2022,65,0,47504,Sam Burns,5.43,52,958,+0.077
2022,66,0,23108,Matt Kuchar,5.38,45,836,+0.156
2022,67,0,45609,Tyler Duncan,5.35,48,898,-0.021
2022,68,0,46340,Alex Smalley,5.31,55,1036,+0.091
2022,69,0,47995,Davis Riley,5.28,60,1136,+0.067
2022,70,0,39324,J.J. Spaun,5.24,53,1012,+0.057
2022,71,0,49298,Kramer Hickok,5.19,53,1022,+0.113
2022,71,0,29478,Kevin Kisner,5.19,40,770,+0.050
2022,73,0,29535,Brice Garnett,5.12,43,840,+0.070
2022,74,0,39953,Chase Seiffert,5.08,26,512,-0.038
2022,75,0,46402,Talor Gooch,5.06,39,770,+0.103
2022,76,0,35506,Mackenzie Hughes,5.03,46,914,+0.109
2022,77,0,36699,Patrick Rodgers,5.01,48,958,E
2022,78,0,40006,Erik van Rooyen,5.0,28,560,+0.214
2022,79,0,54783,Dylan Wu,4.94,35,708,+0.200
2022,80,0,49947,Taylor Moore,4.88,53,1086,+0.038
2022,81,0,24925,Jonathan Byrd,4.87,29,596,+0.103
2022,82,0,30978,Kiradech Aphibarnrat,4.84,24,496,-0.083
