YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2013,1,0,34261,Scott Langley,"18' 5""",737.417,40,-4
2013,2,0,8793,Tiger Woods,"19' 5""",233.417,12,-3
2013,3,0,1116,Michael Bradley,"20' 3""",707.917,35,E
2013,4,0,27770,Camilo Villegas,"20' 11""",773.167,37,+2
2013,5,0,30852,Ryo Ishikawa,"21' 6""",1011.917,47,-7
2013,5,0,10860,Justin Leonard,"21' 6""",861.417,40,-3
2013,7,0,26758,David Hearn,"21' 7""",1228.917,57,+9
2013,7,0,34046,Jordan Spieth,"21' 7""",1035.75,48,-2
2013,9,0,32200,Roberto Castro,"21' 11""",1269.667,58,+1
2013,10,0,21753,Brian Davis,"22' 1""",1433.917,65,+2
2013,11,0,30711,Colt Knost,"22' 2""",953.917,43,+6
2013,11,0,27095,Nick Watney,"22' 2""",1308.0,59,+6
2013,13,0,35539,Luke Guthrie,"22' 3""",1225.0,55,-2
2013,14,0,28780,Nicholas Thompson,"22' 7""",1604.917,71,+7
2013,15,0,28259,Sangmoon Bae,"22' 11""",1418.417,62,E
2013,15,0,23135,Tim Clark,"22' 11""",503.5,22,+6
2013,15,0,23983,Luke Donald,"22' 11""",550.667,24,E
2013,18,0,26851,Marc Leishman,"23' 2""",1183.583,51,-1
2013,18,0,27649,Brandt Snedeker,"23' 2""",880.25,38,+1
2013,18,0,21528,Henrik Stenson,"23' 2""",672.167,29,E
2013,21,0,32102,Rickie Fowler,"23' 3""",1257.25,54,-3
2013,21,0,34098,Russell Henley,"23' 3""",954.167,41,-1
2013,21,0,2206,David Toms,"23' 3""",488.083,21,-1
2013,24,0,27436,Graham DeLaet,"23' 4""",1002.25,43,-1
2013,25,0,22961,David Mathis,"23' 5""",1101.25,47,+13
2013,26,0,25444,Justin Hicks,"23' 6""",563.417,24,E
2013,27,0,6522,Ernie Els,"23' 7""",730.167,31,+2
2013,27,0,1810,Phil Mickelson,"23' 7""",1414.25,60,-1
2013,29,0,23452,Nicolas Colsaerts,"23' 10""",1169.083,49,+4
2013,29,0,21731,Freddie Jacobson,"23' 10""",1023.917,43,-6
2013,29,0,22806,Doug LaBelle II,"23' 10""",1049.75,44,+6
2013,29,0,6567,Vijay Singh,"23' 10""",834.917,35,+9
2013,29,0,25834,Daniel Summerhays,"23' 10""",1693.917,71,-3
2013,34,0,32698,Bobby Gates,"23' 11""",1028.167,43,+7
2013,34,0,10423,Mike Weir,"23' 11""",1123.0,47,+4
2013,36,0,25274,Steven Bowditch,"24' 1""",1254.0,52,+7
2013,36,0,27936,Martin Laird,"24' 1""",986.333,41,+8
2013,38,0,26596,Ryan Moore,"24' 2""",943.167,39,+4
2013,38,0,22046,Geoff Ogilvy,"24' 2""",990.333,41,+2
2013,38,0,27963,Chris Stroud,"24' 2""",1037.417,43,-5
2013,41,0,10885,Robert Allenby,"24' 3""",728.083,30,+12
2013,41,0,12782,Tim Herron,"24' 3""",800.583,33,E
2013,43,0,33869,Eric Meierdierks,"24' 4""",923.917,38,+2
2013,44,0,20229,Stewart Cink,"24' 5""",1075.583,44,-1
2013,44,0,28475,Jeff Overton,"24' 5""",1784.917,73,+5
2013,44,0,20160,Charlie Wi,"24' 5""",829.333,34,+1
