YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS,RELATIVE TO PAR
2013,1,0,21878,Mark Wilson,3.3,23,696,+0.304
2013,2,0,23788,D.J. Trahan,3.8,20,522,+0.100
2013,3,0,8075,Jerry Kelly,3.9,35,888,+0.286
2013,4,0,24024,Zach Johnson,4.3,40,936,+0.425
2013,5,0,24781,Hunter Mahan,4.5,43,951,+0.186
2013,5,0,6527,Steve Stricker,4.5,22,490,+0.136
2013,7,0,27436,Graham DeLaet,4.6,51,1116,+0.118
2013,7,0,22295,Darron Stiles,4.6,27,582,+0.259
2013,9,0,20766,Padraig Harrington,4.8,23,483,+0.261
2013,9,0,26596,Ryan Moore,4.8,38,796,+0.184
2013,9,0,21528,Henrik Stenson,4.8,29,607,+0.310
2013,12,0,27644,Brian Harman,4.9,52,1054,+0.346
2013,12,0,23800,Bryce Molder,4.9,48,982,+0.229
2013,12,0,20443,Jin Park,4.9,29,597,+0.172
2013,12,0,34046,Jordan Spieth,4.9,46,930,+0.087
2013,16,0,20160,Charlie Wi,5.0,46,916,+0.130
2013,17,0,24358,Robert Garrigus,5.1,34,672,+0.235
2013,17,0,34098,Russell Henley,5.1,47,915,+0.234
2013,17,0,31557,Jim Herman,5.1,31,610,+0.290
2013,17,0,33869,Eric Meierdierks,5.1,26,508,+0.192
2013,17,0,27556,Ted Potter Jr.,5.1,39,768,+0.256
2013,22,0,23353,J.J. Henry,5.2,53,1028,+0.208
2013,23,0,33141,Keegan Bradley,5.3,53,996,+0.170
2013,23,0,20104,Ken Duke,5.3,55,1043,+0.218
2013,23,0,10809,Jim Furyk,5.3,47,889,+0.106
2013,23,0,22806,Doug LaBelle II,5.3,43,813,+0.326
2013,23,0,26851,Marc Leishman,5.3,47,887,+0.106
2013,23,0,22961,David Mathis,5.3,45,857,+0.244
2013,23,0,24361,Pat Perez,5.3,47,883,+0.149
2013,23,0,26476,Chez Reavie,5.3,49,932,+0.265
2013,31,0,21753,Brian Davis,5.4,62,1153,+0.226
2013,31,0,1320,Bob Estes,5.4,46,858,+0.065
2013,33,0,32334,Charlie Beljan,5.5,41,752,+0.317
2013,33,0,19846,Brian Gay,5.5,54,983,+0.111
2013,33,0,30163,Henrik Norlander,5.5,45,813,+0.178
2013,33,0,26679,Kevin Stadler,5.5,53,958,+0.283
