YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
2013,1,0,22792,Peter Hanson,78.95,15,19
2013,2,0,20229,Stewart Cink,73.91,34,46
2013,3,0,21099,David Lynn,72.5,29,40
2013,4,0,8793,Tiger Woods,72.22,26,36
2013,5,0,23108,Matt Kuchar,71.43,45,63
2013,6,0,24357,K.J. Choi,71.15,37,52
2013,7,0,20766,Padraig Harrington,70.83,17,24
2013,8,0,20098,Stuart Appleby,69.23,45,65
2013,9,0,26497,Casey Wittenberg,68.97,40,58
2013,10,0,8725,Tom Gillis,67.74,42,62
2013,11,0,27649,Brandt Snedeker,67.35,33,49
2013,12,0,25274,Steven Bowditch,67.27,37,55
2013,13,0,33419,Cameron Tringale,67.24,39,58
2013,14,0,1320,Bob Estes,67.19,43,64
2013,14,0,19846,Brian Gay,67.19,43,64
2013,16,0,19970,Robert Karlsson,66.67,24,36
2013,16,0,2206,David Toms,66.67,14,21
2013,18,0,34021,Bud Cauley,66.0,33,50
2013,19,0,28310,Lee Williams,65.91,29,44
2013,20,0,22295,Darron Stiles,65.79,25,38
2013,21,0,34360,Patrick Reed,65.71,46,70
2013,22,0,24138,Ian Poulter,65.63,21,32
2013,23,0,32366,Kevin Chappell,65.52,38,58
2013,24,0,29740,Brad Fritsch,65.43,53,81
2013,25,0,28089,Jason Day,65.38,34,52
2013,25,0,29221,Webb Simpson,65.38,34,52
2013,27,0,29518,Brendan Steele,64.79,46,71
2013,28,0,22405,Justin Rose,64.71,22,34
2013,29,0,23800,Bryce Molder,64.29,45,70
2013,30,0,27120,Troy Matteson,64.0,32,50
2013,31,0,23409,James Driscoll,63.79,37,58
2013,32,0,32102,Rickie Fowler,63.64,35,55
2013,33,0,22806,Doug LaBelle II,63.46,33,52
2013,34,0,25686,Jason Dufner,62.79,27,43
2013,34,0,24502,Adam Scott,62.79,27,43
2013,36,0,24507,Jason Bohn,62.71,37,59
2013,37,0,10423,Mike Weir,62.5,35,56
2013,38,0,23638,Brendon de Jonge,62.34,48,77
2013,39,0,23135,Tim Clark,62.16,23,37
2013,40,0,21753,Brian Davis,62.11,59,95
2013,41,0,1810,Phil Mickelson,61.82,34,55
2013,42,0,23983,Luke Donald,61.54,24,39
2013,42,0,8075,Jerry Kelly,61.54,32,52
2013,42,0,26679,Kevin Stadler,61.54,32,52
2013,45,0,20593,Greg Chalmers,61.4,35,57
2013,46,0,23541,Ben Crane,61.36,27,44
2013,46,0,21209,Sergio Garcia,61.36,27,44
2013,48,0,33141,Keegan Bradley,61.19,41,67
2013,49,0,34046,Jordan Spieth,61.02,36,59
2013,50,0,26596,Ryan Moore,60.87,28,46
2013,51,0,32150,Michael Thompson,60.78,31,51
2013,52,0,27895,Jonas Blixt,60.61,40,66
2013,53,0,1724,Jeff Maggert,60.53,23,38
2013,54,0,22056,Cameron Percy,60.42,29,48
2013,54,0,23497,Tag Ridings,60.42,29,48
2013,56,0,31202,William McGirt,60.38,32,53
2013,57,0,25632,Jimmy Walker,60.32,38,63
2013,58,0,10809,Jim Furyk,60.0,36,60
2013,58,0,21731,Freddie Jacobson,60.0,30,50
2013,58,0,6527,Steve Stricker,60.0,12,20
2013,61,0,12782,Tim Herron,59.52,25,42
2013,62,0,27770,Camilo Villegas,58.93,33,56
2013,63,0,34174,John Huh,58.82,40,68
2013,63,0,34261,Scott Langley,58.82,30,51
2013,65,0,33418,Shawn Stefani,58.7,27,46
2013,66,0,21961,Charles Howell III,58.49,31,53
2013,67,0,22371,Aaron Baddeley,58.33,35,60
2013,67,0,31560,Brian Stuard,58.33,28,48
2013,69,0,24494,Erik Compton,58.06,36,62
2013,69,0,25562,Andres Romero,58.06,36,62
2013,71,0,28500,Martin Flores,57.97,40,69
2013,72,0,27214,Kevin Streelman,57.75,41,71
2013,73,0,24781,Hunter Mahan,57.63,34,59
2013,74,0,27963,Chris Stroud,57.58,38,66
2013,75,0,26331,Charl Schwartzel,57.14,44,77
2013,76,0,28259,Sangmoon Bae,56.94,41,72
2013,76,0,34099,Harris English,56.94,41,72
2013,76,0,28780,Nicholas Thompson,56.94,41,72
2013,79,0,30692,Scott Stallings,56.92,37,65
2013,80,0,35139,Richard Lee,56.34,40,71
2013,81,0,33461,Morgan Hoffmann,56.25,27,48
2013,81,0,26300,Matt Jones,56.25,36,64
2013,83,0,23320,Ryan Palmer,55.93,33,59
2013,84,0,26289,Boo Weekley,55.74,34,61
2013,85,0,34409,David Lingmerth,55.56,35,63
2013,86,0,20160,Charlie Wi,55.29,47,85
2013,87,0,28307,Matt Every,55.26,42,76
2013,88,0,30711,Colt Knost,55.1,27,49
2013,88,0,30163,Henrik Norlander,55.1,27,49
2013,90,0,20691,Greg Owen,55.0,33,60
2013,91,0,6567,Vijay Singh,54.9,28,51
2013,92,0,24924,Bill Haas,54.55,30,55
