YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
2013,1,0,22405,Justin Rose,1.912,0.459,0.961,0.491,46
2013,2,0,8793,Tiger Woods,1.637,-0.142,1.533,0.247,43
2013,3,0,21528,Henrik Stenson,1.614,0.71,0.776,0.128,44
2013,4,0,6527,Steve Stricker,1.474,0.311,0.567,0.596,35
2013,5,0,24502,Adam Scott,1.337,0.734,0.548,0.055,44
2013,6,0,10809,Jim Furyk,1.297,0.023,0.95,0.323,64
2013,7,0,34046,Jordan Spieth,1.291,0.611,0.48,0.2,67
2013,8,0,25804,Bubba Watson,1.164,0.937,0.292,-0.065,59
2013,9,0,33141,Keegan Bradley,1.153,0.698,0.27,0.185,72
2013,10,0,20396,Lee Westwood,1.088,0.439,0.479,0.17,51
2013,11,0,28237,Rory McIlroy,1.077,0.624,0.42,0.032,41
2013,12,0,24924,Bill Haas,0.999,0.365,0.346,0.289,69
2013,12,0,23108,Matt Kuchar,0.999,-0.01,0.731,0.278,69
2013,14,0,27436,Graham DeLaet,0.969,0.488,0.64,-0.159,81
2013,15,0,26331,Charl Schwartzel,0.967,0.195,0.711,0.061,54
2013,16,0,29221,Webb Simpson,0.958,0.216,0.517,0.225,70
2013,17,0,32200,Roberto Castro,0.931,0.204,0.379,0.348,84
2013,18,0,21209,Sergio Garcia,0.928,0.131,0.538,0.259,47
2013,19,0,30925,Dustin Johnson,0.906,0.332,0.663,-0.09,51
2013,20,0,6567,Vijay Singh,0.851,0.371,0.501,-0.021,48
2013,21,0,25686,Jason Dufner,0.812,0.475,0.44,-0.103,61
2013,22,0,1810,Phil Mickelson,0.775,0.021,0.494,0.26,57
2013,23,0,26289,Boo Weekley,0.774,0.594,0.401,-0.221,83
2013,24,0,25900,Lucas Glover,0.765,0.541,0.307,-0.083,52
2013,25,0,23983,Luke Donald,0.752,-0.459,0.583,0.628,46
2013,25,0,24781,Hunter Mahan,0.752,0.417,0.285,0.05,68
2013,27,0,26679,Kevin Stadler,0.751,0.41,0.451,-0.11,69
2013,28,0,23621,Rory Sabbatini,0.743,0.273,0.468,0.002,72
2013,29,0,26300,Matt Jones,0.74,0.396,0.123,0.22,70
2013,30,0,23638,Brendon de Jonge,0.725,0.28,0.414,0.032,97
2013,31,0,32366,Kevin Chappell,0.722,0.276,0.37,0.077,67
2013,32,0,20229,Stewart Cink,0.654,-0.264,0.975,-0.058,56
2013,32,0,25632,Jimmy Walker,0.654,0.082,0.407,0.164,75
2013,34,0,21731,Freddie Jacobson,0.626,0.075,0.304,0.247,46
2013,35,0,27214,Kevin Streelman,0.611,0.406,0.214,-0.008,68
2013,36,0,27770,Camilo Villegas,0.608,-0.183,0.885,-0.095,64
2013,37,0,28089,Jason Day,0.606,0.452,-0.013,0.167,61
2013,38,0,24358,Robert Garrigus,0.553,0.509,0.571,-0.528,49
2013,39,0,23320,Ryan Palmer,0.55,0.411,0.461,-0.323,69
2013,40,0,34174,John Huh,0.525,0.179,0.155,0.19,75
2013,41,0,21878,Mark Wilson,0.51,0.185,0.252,0.072,50
2013,42,0,24357,K.J. Choi,0.508,0.096,0.154,0.258,63
2013,43,0,30926,Chris Kirk,0.506,-0.213,0.62,0.099,81
2013,43,0,27095,Nick Watney,0.506,0.461,0.362,-0.317,73
2013,45,0,28780,Nicholas Thompson,0.505,0.42,0.373,-0.288,86
2013,46,0,24024,Zach Johnson,0.479,0.181,0.251,0.047,67
2013,47,0,22913,John Rollins,0.47,0.164,0.409,-0.103,68
2013,48,0,21753,Brian Davis,0.458,0.051,0.222,0.185,83
2013,49,0,27933,John Merrick,0.454,0.038,0.365,0.051,68
2013,50,0,12716,Charley Hoffman,0.45,0.333,0.262,-0.145,73
2013,51,0,27649,Brandt Snedeker,0.449,-0.025,0.121,0.354,58
2013,52,0,6522,Ernie Els,0.444,0.11,0.191,0.143,48
2013,53,0,1320,Bob Estes,0.424,-0.216,0.277,0.362,62
2013,53,0,21961,Charles Howell III,0.424,0.133,-0.084,0.374,80
