YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
2013,1,0,8075,Jerry Kelly,46.0,23,50
2013,2,0,21878,Mark Wilson,43.18,19,44
2013,3,0,26596,Ryan Moore,42.62,26,61
2013,3,0,34046,Jordan Spieth,42.62,26,61
2013,5,0,20396,Lee Westwood,41.67,20,48
2013,6,0,20160,Charlie Wi,40.54,30,74
2013,7,0,28679,Fabián Gómez,40.0,24,60
2013,8,0,23353,J.J. Henry,38.64,34,88
2013,9,0,25632,Jimmy Walker,37.5,30,80
2013,10,0,32698,Bobby Gates,37.29,22,59
2013,11,0,32366,Kevin Chappell,37.14,26,70
2013,11,0,1320,Bob Estes,37.14,26,70
2013,13,0,24924,Bill Haas,37.1,23,62
2013,14,0,30926,Chris Kirk,36.84,35,95
2013,15,0,29420,Billy Horschel,36.71,29,79
2013,16,0,23541,Ben Crane,36.54,19,52
2013,17,0,32150,Michael Thompson,36.36,24,66
2013,18,0,20645,John Senden,36.17,17,47
2013,19,0,21753,Brian Davis,36.05,31,86
2013,20,0,10423,Mike Weir,35.96,32,89
2013,21,0,27649,Brandt Snedeker,35.38,23,65
2013,22,0,37273,Derek Ernst,35.19,19,54
2013,23,0,31557,Jim Herman,35.14,13,37
2013,23,0,2206,David Toms,35.14,13,37
2013,25,0,25686,Jason Dufner,35.09,20,57
2013,25,0,26300,Matt Jones,35.09,20,57
2013,27,0,27963,Chris Stroud,35.0,35,100
2013,28,0,22792,Peter Hanson,34.62,18,52
2013,28,0,30925,Dustin Johnson,34.62,18,52
2013,30,0,1810,Phil Mickelson,34.55,19,55
2013,31,0,24138,Ian Poulter,34.15,14,41
2013,32,0,20098,Stuart Appleby,34.02,33,97
2013,33,0,29221,Webb Simpson,33.87,21,62
2013,34,0,32200,Roberto Castro,33.33,23,69
2013,34,0,6522,Ernie Els,33.33,15,45
2013,34,0,21209,Sergio Garcia,33.33,13,39
2013,34,0,6567,Vijay Singh,33.33,12,36
2013,34,0,6527,Steve Stricker,33.33,8,24
2013,39,0,34098,Russell Henley,32.86,23,70
2013,40,0,20848,Ángel Cabrera,32.79,20,61
2013,41,0,21731,Freddie Jacobson,32.69,17,52
2013,42,0,34099,Harris English,32.67,33,101
2013,43,0,33418,Shawn Stefani,32.31,21,65
2013,44,0,27214,Kevin Streelman,32.26,20,62
2013,45,0,34409,David Lingmerth,32.0,16,50
2013,46,0,21961,Charles Howell III,31.87,29,91
2013,47,0,35139,Richard Lee,31.76,27,85
2013,48,0,34174,John Huh,31.75,20,63
2013,49,0,27120,Troy Matteson,31.71,26,82
2013,50,0,19846,Brian Gay,31.52,29,92
2013,51,0,23638,Brendon de Jonge,31.4,27,86
2013,52,0,27556,Ted Potter Jr.,31.25,15,48
2013,52,0,31560,Brian Stuard,31.25,25,80
2013,54,0,24781,Hunter Mahan,31.17,24,77
2013,55,0,20104,Ken Duke,31.08,23,74
2013,56,0,27503,Steve LeBrun,31.03,18,58
2013,56,0,25572,Graeme McDowell,31.03,9,29
2013,58,0,23135,Tim Clark,30.95,13,42
2013,59,0,29479,Scott Brown,30.91,17,55
2013,60,0,10860,Justin Leonard,30.77,32,104
2013,61,0,6573,Brandt Jobe,30.65,19,62
2013,62,0,27408,Martin Kaymer,30.61,15,49
2013,63,0,22405,Justin Rose,30.56,11,36
2013,64,0,28089,Jason Day,30.51,18,59
2013,65,0,34261,Scott Langley,30.43,28,92
2013,66,0,26758,David Hearn,30.34,27,89
2013,67,0,25240,D.A. Points,30.3,20,66
2013,67,0,26497,Casey Wittenberg,30.3,30,99
2013,69,0,27895,Jonas Blixt,30.23,26,86
2013,70,0,21099,David Lynn,30.16,19,63
2013,71,0,32334,Charlie Beljan,30.0,21,70
2013,71,0,33461,Morgan Hoffmann,30.0,18,60
2013,71,0,26476,Chez Reavie,30.0,15,50
2013,74,0,28259,Sangmoon Bae,29.9,29,97
2013,74,0,12510,Chad Campbell,29.9,29,97
2013,76,0,34360,Patrick Reed,29.89,26,87
2013,77,0,34431,Robert Streb,29.87,23,77
2013,78,0,31202,William McGirt,29.73,22,74
2013,78,0,28310,Lee Williams,29.73,22,74
2013,80,0,35539,Luke Guthrie,29.58,21,71
2013,81,0,25336,Alistair Presnell,29.51,18,61
2013,82,0,23409,James Driscoll,29.35,27,92
2013,83,0,24361,Pat Perez,29.33,22,75
2013,84,0,1724,Jeff Maggert,29.31,17,58
2013,85,0,27770,Camilo Villegas,29.23,19,65
2013,86,0,30711,Colt Knost,29.21,26,89
2013,87,0,22806,Doug LaBelle II,29.11,23,79
2013,87,0,26851,Marc Leishman,29.11,23,79
2013,89,0,24490,George McNeill,29.03,18,62
2013,90,0,23320,Ryan Palmer,28.95,22,76
2013,91,0,30163,Henrik Norlander,28.81,17,59
2013,91,0,27330,Josh Teater,28.81,17,59
2013,93,0,25834,Daniel Summerhays,28.75,23,80
2013,94,0,29518,Brendan Steele,28.72,27,94
2013,95,0,23452,Nicolas Colsaerts,28.57,10,35
2013,95,0,27436,Graham DeLaet,28.57,20,70
2013,95,0,22046,Geoff Ogilvy,28.57,14,49
2013,95,0,24502,Adam Scott,28.57,10,35
2013,99,0,24507,Jason Bohn,28.38,21,74
2013,100,0,34021,Bud Cauley,28.33,17,60
2013,100,0,32102,Rickie Fowler,28.33,17,60
2013,102,0,20593,Greg Chalmers,28.26,26,92
2013,103,0,33869,Eric Meierdierks,28.21,11,39
2013,104,0,22913,John Rollins,28.05,23,82
2013,105,0,30750,Tommy Gainey,28.04,30,107
2013,106,0,23983,Luke Donald,28.0,14,50
2013,107,0,28455,Will Claxton,27.87,17,61
2013,108,0,24494,Erik Compton,27.85,22,79
2013,109,0,12716,Charley Hoffman,27.78,20,72
2013,110,0,33419,Cameron Tringale,27.63,21,76
2013,111,0,24846,Ricky Barnes,27.59,16,58
2013,111,0,23623,Bo Van Pelt,27.59,16,58
