YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2013,1,0,21209,Sergio Garcia,-0.05
2013,2,0,6527,Steve Stricker,-0.046
2013,3,0,25632,Jimmy Walker,-0.03
2013,4,0,21961,Charles Howell III,-0.028
2013,5,0,29221,Webb Simpson,0.01
2013,6,0,21731,Freddie Jacobson,0.012
2013,7,0,6522,Ernie Els,0.014
2013,8,0,28237,Rory McIlroy,0.015
2013,8,0,22405,Justin Rose,0.015
2013,10,0,24502,Adam Scott,0.022
2013,11,0,34046,Jordan Spieth,0.023
2013,12,0,24924,Bill Haas,0.024
2013,13,0,28089,Jason Day,0.025
2013,14,0,25804,Bubba Watson,0.027
2013,15,0,34099,Harris English,0.031
2013,15,0,24358,Robert Garrigus,0.031
2013,17,0,22056,Cameron Percy,0.035
2013,18,0,34360,Patrick Reed,0.038
2013,19,0,25562,Andres Romero,0.039
2013,20,0,33141,Keegan Bradley,0.04
2013,20,0,27963,Chris Stroud,0.04
2013,22,0,27214,Kevin Streelman,0.042
2013,23,0,27129,Luke List,0.043
2013,23,0,1810,Phil Mickelson,0.043
2013,23,0,26679,Kevin Stadler,0.043
2013,26,0,12716,Charley Hoffman,0.044
2013,27,0,28500,Martin Flores,0.045
2013,28,0,30926,Chris Kirk,0.05
2013,29,0,27330,Josh Teater,0.052
2013,30,0,30925,Dustin Johnson,0.056
2013,31,0,24024,Zach Johnson,0.058
2013,31,0,25818,Scott Piercy,0.058
2013,33,0,27436,Graham DeLaet,0.059
2013,34,0,25240,D.A. Points,0.06
2013,35,0,34098,Russell Henley,0.063
2013,36,0,20396,Lee Westwood,0.064
2013,37,0,22792,Peter Hanson,0.066
2013,37,0,21878,Mark Wilson,0.066
2013,39,0,23983,Luke Donald,0.067
2013,39,0,30944,Jason Kokrak,0.067
2013,41,0,24357,K.J. Choi,0.069
2013,42,0,33418,Shawn Stefani,0.072
2013,43,0,23638,Brendon de Jonge,0.074
2013,44,0,23320,Ryan Palmer,0.075
2013,45,0,22371,Aaron Baddeley,0.076
2013,45,0,32334,Charlie Beljan,0.076
2013,47,0,33419,Cameron Tringale,0.077
2013,47,0,31323,Gary Woodland,0.077
2013,49,0,25834,Daniel Summerhays,0.081
2013,50,0,35139,Richard Lee,0.084
2013,51,0,23409,James Driscoll,0.086
2013,51,0,25686,Jason Dufner,0.086
2013,51,0,27120,Troy Matteson,0.086
2013,54,0,23108,Matt Kuchar,0.087
2013,55,0,26300,Matt Jones,0.089
2013,55,0,27408,Martin Kaymer,0.089
2013,55,0,23623,Bo Van Pelt,0.089
2013,58,0,24138,Ian Poulter,0.09
2013,59,0,28307,Matt Every,0.091
2013,60,0,26951,Johnson Wagner,0.092
2013,61,0,33461,Morgan Hoffmann,0.094
2013,62,0,6004,Stephen Ames,0.099
