YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
2013,1,0,25804,Bubba Watson,159.2,4698756.0,820
2013,2,0,30925,Dustin Johnson,162.3,4072951.0,697
2013,3,0,33141,Keegan Bradley,165.7,5948901.0,997
2013,4,0,25274,Steven Bowditch,165.9,4689171.0,785
2013,4,0,33461,Morgan Hoffmann,165.9,4329945.0,725
2013,6,0,30110,Kyle Stanley,166.1,4957294.0,829
2013,7,0,25818,Scott Piercy,166.5,5093585.0,850
2013,8,0,23452,Nicolas Colsaerts,166.9,2979395.0,496
2013,8,0,24358,Robert Garrigus,166.9,4001126.0,666
2013,8,0,28237,Rory McIlroy,166.9,3371436.0,561
2013,11,0,23621,Rory Sabbatini,167.5,5934907.0,984
2013,12,0,27129,Luke List,167.7,4183285.0,693
2013,13,0,23320,Ryan Palmer,168.4,5747146.0,948
2013,13,0,30692,Scott Stallings,168.4,5485940.0,905
2013,15,0,31323,Gary Woodland,169.1,6941859.0,1140
2013,16,0,33869,Eric Meierdierks,170.0,3114560.0,509
2013,17,0,30944,Jason Kokrak,170.3,6049822.0,987
2013,18,0,32334,Charlie Beljan,170.6,4680700.0,762
2013,18,0,31557,Jim Herman,170.6,3740803.0,609
2013,20,0,28089,Jason Day,170.8,5176383.0,842
2013,21,0,25345,Carl Pettersson,170.9,5432771.0,883
2013,22,0,26331,Charl Schwartzel,171.0,4592658.0,746
2013,22,0,26679,Kevin Stadler,171.0,5849505.0,950
2013,24,0,34431,Robert Streb,171.1,5242377.0,851
2013,25,0,34360,Patrick Reed,171.4,6250933.0,1013
2013,26,0,25686,Jason Dufner,171.5,5242464.0,849
2013,26,0,33418,Shawn Stefani,171.5,4221922.0,684
2013,28,0,28500,Martin Flores,171.6,6437731.0,1042
2013,29,0,23497,Tag Ridings,171.8,4860521.0,786
2013,29,0,22405,Justin Rose,171.8,3920756.0,634
2013,31,0,21961,Charles Howell III,171.9,6771121.0,1094
2013,32,0,20766,Padraig Harrington,172.0,2972067.0,480
2013,32,0,29221,Webb Simpson,172.0,5968326.0,964
2013,34,0,20848,Ángel Cabrera,172.1,4851854.0,783
2013,34,0,29289,S.Y. Noh,172.1,5212008.0,841
2013,34,0,22056,Cameron Percy,172.1,4837973.0,781
2013,37,0,30750,Tommy Gainey,172.2,6399080.0,1032
2013,38,0,25632,Jimmy Walker,172.4,6369159.0,1026
2013,39,0,28307,Matt Every,172.5,6845182.0,1102
2013,39,0,26851,Marc Leishman,172.5,5434840.0,875
2013,39,0,24138,Ian Poulter,172.5,3360262.0,541
2013,39,0,24502,Adam Scott,172.5,3782821.0,609
2013,43,0,24781,Hunter Mahan,172.6,5834664.0,939
