YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
2013,1,0,1810,Phil Mickelson,450,WGC-Cadillac,1,17,8
2013,2,0,30110,Kyle Stanley,428,Hyundai T of C,2,7,656
2013,3,0,24138,Ian Poulter,426,Hyundai T of C,1,12,656
2013,4,0,27436,Graham DeLaet,420,Shell Houston,4,8,729
2013,5,0,32334,Charlie Beljan,418,Hyundai T of C,2,12,656
2013,6,0,25345,Carl Pettersson,416,Hyundai T of C,1,7,656
2013,7,0,20229,Stewart Cink,415,Shell Houston,4,8,729
2013,8,0,31323,Gary Woodland,411,Tampa Bay,1,10,665
2013,9,0,30925,Dustin Johnson,410,Hyundai T of C,2,12,656
2013,10,0,25818,Scott Piercy,409,Hyundai T of C,2,12,656
2013,11,0,22621,Ben Curtis,407,Hyundai T of C,2,7,656
2013,13,0,25686,Jason Dufner,405,Hyundai T of C,2,7,656
2013,15,0,32102,Rickie Fowler,403,Hyundai T of C,2,7,656
2013,16,0,26851,Marc Leishman,402,Hyundai T of C,1,12,656
2013,17,0,26596,Ryan Moore,400,Hyundai T of C,2,7,656
2013,17,0,27556,Ted Potter Jr.,400,Hyundai T of C,3,7,656
2013,20,0,30692,Scott Stallings,399,Hyundai T of C,1,12,656
2013,22,0,29221,Webb Simpson,398,Hyundai T of C,2,7,656
2013,23,0,30750,Tommy Gainey,397,Hyundai T of C,3,12,656
2013,24,0,24490,George McNeill,396,Hyundai T of C,3,17,656
2013,24,0,26951,Johnson Wagner,396,Hyundai T of C,2,7,656
2013,24,0,25804,Bubba Watson,396,Hyundai T of C,2,12,656
2013,31,0,24924,Bill Haas,394,Hyundai T of C,2,7,656
2013,34,0,21878,Mark Wilson,393,Hyundai T of C,2,7,656
2013,37,0,24781,Hunter Mahan,392,Hyundai T of C,2,12,656
2013,43,0,23452,Nicolas Colsaerts,390,WGC-Bridgestone,2,16,36
2013,44,0,33141,Keegan Bradley,389,HP Byron Nelson,4,1,19
2013,49,0,23481,Marcel Siem,387,HP Byron Nelson,4,3,19
2013,49,0,27649,Brandt Snedeker,387,Hyundai T of C,2,12,656
2013,52,0,27770,Camilo Villegas,386,RBC Heritage,4,3,12
2013,52,0,25632,Jimmy Walker,386,HP Byron Nelson,4,1,19
2013,52,0,26289,Boo Weekley,386,Wyndham Champ,1,11,752
2013,60,0,27895,Jonas Blixt,385,Hyundai T of C,3,7,656
2013,60,0,29454,Bernd Wiesberger,385,The Open,2,2,542
2013,69,0,28500,Martin Flores,383,HP Byron Nelson,2,1,19
2013,77,0,20848,Ángel Cabrera,381,HP Byron Nelson,4,1,19
2013,83,0,8793,Tiger Woods,379,WGC-Bridgestone,2,16,36
2013,87,0,28938,Justin Harding,378,The Open,1,1,542
2013,87,0,21528,Henrik Stenson,378,WGC-Bridgestone,2,16,36
2013,90,0,34174,John Huh,377,Hyundai T of C,2,12,656
2013,90,0,35612,John Hurley,377,Phoenix Open,2,5,510
2013,90,0,23621,Rory Sabbatini,377,HP Byron Nelson,3,1,19
2013,90,0,6527,Steve Stricker,377,Hyundai T of C,1,12,656
2013,95,0,34099,Harris English,376,BMW Champ,2,8,789
2013,95,0,26695,Michael Letzig,376,Zurich Classic,2,2,714
2013,95,0,23320,Ryan Palmer,376,HP Byron Nelson,3,1,19
2013,104,0,24024,Zach Johnson,375,Hyundai T of C,2,12,656
2013,112,0,30852,Ryo Ishikawa,374,HP Byron Nelson,4,3,19
2013,112,0,33869,Eric Meierdierks,374,HP Byron Nelson,2,11,19
2013,112,0,23497,Tag Ridings,374,John Deere Clas,1,2,669
2013,112,0,27095,Nick Watney,374,Hyundai T of C,2,18,656
2013,122,0,28259,Sangmoon Bae,373,Phoenix Open,3,15,510
2013,122,0,21961,Charles Howell III,373,HP Byron Nelson,4,3,19
2013,126,0,20766,Padraig Harrington,372,Travelers Champ,4,18,503
2013,126,0,33461,Morgan Hoffmann,372,HP Byron Nelson,3,1,19
2013,126,0,34360,Patrick Reed,372,BMW Champ,2,8,789
2013,134,0,30978,Kiradech Aphibarnrat,371,WGC-Bridgestone,2,16,36
2013,134,0,27129,Luke List,371,Texas Open,2,8,770
2013,134,0,30741,Randy Lowry,371,Shell Houston,1,13,729
2013,134,0,22913,John Rollins,371,HP Byron Nelson,4,3,19
2013,145,0,1249,John Daly,370,HP Byron Nelson,2,1,19
2013,145,0,25900,Lucas Glover,370,Phoenix Open,4,15,510
2013,145,0,31557,Jim Herman,370,Travelers Champ,3,18,503
2013,145,0,25396,Kevin Na,370,Phoenix Open,4,15,510
2013,153,0,24358,Robert Garrigus,369,Arnold Palmer,1,5,9
2013,153,0,30944,Jason Kokrak,369,Wyndham Champ,1,18,752
2013,153,0,25562,Andres Romero,369,John Deere Clas,1,2,669
2013,153,0,33418,Shawn Stefani,369,John Deere Clas,1,2,669
2013,163,0,29892,Steve Dartnall,368,The Open,1,1,542
2013,163,0,20376,Stephen Gallacher,368,WGC-Bridgestone,2,16,36
2013,173,0,24399,Scott Gardiner,367,Farmers Ins.,3,14,4
2013,173,0,12716,Charley Hoffman,367,Shell Houston,4,18,729
2013,173,0,28308,Troy Kelly,367,Phoenix Open,2,15,510
2013,173,0,29289,S.Y. Noh,367,HP Byron Nelson,2,1,19
2013,173,0,20691,Greg Owen,367,Wyndham Champ,1,18,752
2013,173,0,24502,Adam Scott,367,WGC-Bridgestone,2,9,36
2013,191,0,28089,Jason Day,366,HP Byron Nelson,4,1,19
2013,191,0,34563,Chesson Hadley,366,Wyndham Champ,1,18,752
2013,191,0,1706,Davis Love III,366,John Deere Clas,4,10,669
2013,191,0,28237,Rory McIlroy,366,The Barclays,3,12,762
2013,209,0,23541,Ben Crane,365,RBC Heritage,2,15,12
2013,209,0,27644,Brian Harman,365,Sony Open,2,8,6
2013,209,0,6332,Neal Lancaster,365,Wyndham Champ,1,18,752
2013,209,0,21949,Joe Ogilvie,365,HP Byron Nelson,4,1,19
2013,209,0,22056,Cameron Percy,365,HP Byron Nelson,4,3,19
2013,209,0,20645,John Senden,365,Wyndham Champ,1,18,752
2013,209,0,6567,Vijay Singh,365,Canadian Open,4,11,32
2013,209,0,39480,T.J. Vogel,365,John Deere Clas,1,2,669
2013,229,0,10809,Jim Furyk,364,Texas Open,2,8,770
2013,229,0,23353,J.J. Henry,364,Hyundai T of C,1,7,656
2013,248,0,20940,Kenichi Kuboya,363,The Open,1,1,542
2013,248,0,39531,Ken Looper,363,Zurich Classic,1,12,714
2013,248,0,27120,Troy Matteson,363,Phoenix Open,2,6,510
2013,248,0,27214,Kevin Streelman,363,WGC-Bridgestone,2,16,36
2013,248,0,33419,Cameron Tringale,363,The Greenbrier,4,6,771
2013,270,0,24494,Erik Compton,362,Sony Open,2,8,6
2013,270,0,23409,James Driscoll,362,HP Byron Nelson,3,1,19
2013,270,0,30926,Chris Kirk,362,RBC Heritage,3,3,12
2013,270,0,33122,Russell Knox,362,Sony Open,1,5,6
2013,270,0,23552,Hank Kuehne,362,Phoenix Open,1,15,510
2013,270,0,28158,Steve Marino,362,Sony Open,1,18,6
2013,270,0,32839,Hideki Matsuyama,362,Wyndham Champ,1,18,752
2013,270,0,26329,Louis Oosthuizen,362,HP Byron Nelson,3,1,19
2013,270,0,34046,Jordan Spieth,362,Wyndham Champ,1,18,752
2013,302,0,25274,Steven Bowditch,361,John Deere Clas,4,15,669
2013,302,0,1116,Michael Bradley,361,HP Byron Nelson,3,1,19
2013,302,0,28937,George Coetzee,361,Shell Houston,2,18,729
2013,302,0,6522,Ernie Els,361,BMW Champ,1,8,789
2013,302,0,32448,James Hahn,361,RBC Heritage,4,3,12
2013,302,0,24140,Sean O'Hair,361,Honda Classic,4,6,734
2013,302,0,22046,Geoff Ogilvy,361,Wyndham Champ,1,18,752
2013,302,0,26331,Charl Schwartzel,361,HP Byron Nelson,4,10,19
2013,302,0,7013,Wes Short Jr.,361,HP Byron Nelson,4,3,19
2013,302,0,27330,Josh Teater,361,Memorial Tourn,2,17,23
2013,332,0,26679,Kevin Stadler,360,John Deere Clas,1,14,669
2013,332,0,23623,Bo Van Pelt,360,The Open,1,1,542
2013,358,0,12510,Chad Campbell,359,AT&T National,1,15,24
2013,358,0,32366,Kevin Chappell,359,Phoenix Open,4,8,510
2013,358,0,29974,Branden Grace,359,WGC-Cadillac,4,14,8
2013,358,0,26300,Matt Jones,359,Arnold Palmer,4,13,9
2013,358,0,29425,Andrew Svoboda,359,HP Byron Nelson,4,3,19
2013,386,0,37273,Derek Ernst,358,WGC-Bridgestone,2,16,36
2013,386,0,25444,Justin Hicks,358,HP Byron Nelson,3,3,19
2013,386,0,39489,Bobby Massa,358,HP Byron Nelson,1,1,19
2013,386,0,22961,David Mathis,358,Wyndham Champ,1,18,752
2013,386,0,28780,Nicholas Thompson,358,Travelers Champ,4,18,503
2013,414,0,33120,Mark Anderson,357,Sony Open,2,5,6
2013,414,0,23108,Matt Kuchar,357,Hyundai T of C,1,1,656
2013,414,0,34261,Scott Langley,357,Zurich Classic,1,6,714
2013,414,0,27933,John Merrick,357,The Barclays,2,6,762
2013,414,0,30163,Henrik Norlander,357,HP Byron Nelson,4,3,19
2013,414,0,2246,Duffy Waldorf,357,HP Byron Nelson,4,3,19
2013,446,0,22371,Aaron Baddeley,356,John Deere Clas,2,15,669
2013,446,0,37450,Donald Constable,356,Wyndham Champ,2,18,752
2013,446,0,21753,Brian Davis,356,Wyndham Champ,1,4,752
2013,446,0,23638,Brendon de Jonge,356,AT&T National,1,18,24
2013,446,0,27503,Steve LeBrun,356,Texas Open,3,9,770
2013,446,0,25240,D.A. Points,356,The Open,1,1,542
2013,446,0,24459,Richard Sterne,356,WGC-Bridgestone,2,8,36
2013,446,0,20396,Lee Westwood,356,WGC-Bridgestone,2,8,36
2013,474,0,26499,Rafa Cabrera Bello,355,The Open,1,1,542
2013,474,0,39910,Kevin Carrigan,355,Canadian Open,2,5,32
