YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
2013,1,0,19846,Brian Gay,50.69,146,288
2013,2,0,24663,Y.E. Yang,50.0,81,162
2013,3,0,10423,Mike Weir,49.21,62,126
2013,4,0,22371,Aaron Baddeley,47.78,86,180
2013,5,0,23800,Bryce Molder,47.39,145,306
2013,6,0,24227,Justin Bolli,47.22,34,72
2013,7,0,26300,Matt Jones,46.41,142,306
2013,8,0,24507,Jason Bohn,46.3,100,216
2013,9,0,27895,Jonas Blixt,46.15,108,234
2013,10,0,25274,Steven Bowditch,45.96,91,198
2013,11,0,32102,Rickie Fowler,45.56,123,270
2013,12,0,34409,David Lingmerth,45.45,90,198
2013,13,0,23325,Vaughn Taylor,45.14,65,144
2013,14,0,27556,Ted Potter Jr.,45.06,73,162
2013,15,0,34046,Jordan Spieth,44.44,144,324
2013,15,0,33419,Cameron Tringale,44.44,128,288
2013,17,0,28500,Martin Flores,44.1,127,288
2013,18,0,22806,Doug LaBelle II,44.02,103,234
2013,19,0,29420,Billy Horschel,43.94,174,396
2013,19,0,34431,Robert Streb,43.94,87,198
2013,21,0,21961,Charles Howell III,43.83,142,324
2013,22,0,28475,Jeff Overton,43.75,126,288
2013,23,0,25240,D.A. Points,43.7,118,270
2013,24,0,28089,Jason Day,43.61,157,360
2013,25,0,26758,David Hearn,43.46,133,306
2013,25,0,23320,Ryan Palmer,43.46,133,306
2013,27,0,20593,Greg Chalmers,43.16,101,234
2013,28,0,22792,Peter Hanson,43.06,62,144
2013,28,0,28310,Lee Williams,43.06,62,144
2013,30,0,33141,Keegan Bradley,42.98,147,342
2013,31,0,27770,Camilo Villegas,42.96,116,270
2013,32,0,34360,Patrick Reed,42.86,108,252
2013,33,0,27408,Martin Kaymer,42.74,100,234
2013,34,0,1320,Bob Estes,42.59,115,270
2013,34,0,23108,Matt Kuchar,42.59,161,378
2013,36,0,22295,Darron Stiles,42.22,38,90
2013,37,0,30750,Tommy Gainey,42.13,91,216
2013,38,0,25562,Andres Romero,41.98,68,162
2013,39,0,29479,Scott Brown,41.92,83,198
2013,39,0,33461,Morgan Hoffmann,41.92,83,198
2013,39,0,28092,D.H. Lee,41.92,83,198
2013,42,0,23409,James Driscoll,41.88,98,234
2013,43,0,33869,Eric Meierdierks,41.67,30,72
2013,43,0,31560,Brian Stuard,41.67,90,216
2013,45,0,10860,Justin Leonard,41.52,142,342
2013,46,0,33418,Shawn Stefani,41.41,82,198
2013,47,0,22046,Geoff Ogilvy,41.36,67,162
2013,48,0,26851,Marc Leishman,41.11,111,270
2013,49,0,30944,Jason Kokrak,41.03,96,234
2013,49,0,28237,Rory McIlroy,41.03,96,234
2013,51,0,23135,Tim Clark,40.91,81,198
2013,51,0,34261,Scott Langley,40.91,81,198
2013,51,0,24138,Ian Poulter,40.91,81,198
2013,54,0,30925,Dustin Johnson,40.87,103,252
2013,55,0,27963,Chris Stroud,40.85,125,306
2013,56,0,6004,Stephen Ames,40.74,44,108
2013,56,0,25572,Graeme McDowell,40.74,66,162
2013,58,0,25804,Bubba Watson,40.63,117,288
2013,59,0,25345,Carl Pettersson,40.52,124,306
2013,60,0,37273,Derek Ernst,40.48,51,126
2013,61,0,23621,Rory Sabbatini,40.37,109,270
2013,62,0,24494,Erik Compton,40.28,87,216
2013,62,0,23541,Ben Crane,40.28,58,144
2013,62,0,27649,Brandt Snedeker,40.28,116,288
2013,62,0,30692,Scott Stallings,40.28,87,216
2013,66,0,20396,Lee Westwood,40.2,123,306
2013,67,0,12510,Chad Campbell,40.17,94,234
2013,67,0,22913,John Rollins,40.17,94,234
2013,69,0,1810,Phil Mickelson,40.12,130,324
2013,69,0,25632,Jimmy Walker,40.12,130,324
2013,71,0,25818,Scott Piercy,40.08,101,252
2013,72,0,30110,Kyle Stanley,40.0,72,180
2013,73,0,22378,Trevor Immelman,39.9,79,198
2013,73,0,32150,Michael Thompson,39.9,79,198
2013,75,0,21753,Brian Davis,39.87,122,306
2013,75,0,25686,Jason Dufner,39.87,122,306
2013,77,0,27214,Kevin Streelman,39.81,129,324
2013,78,0,27936,Martin Laird,39.74,93,234
2013,78,0,31202,William McGirt,39.74,93,234
2013,80,0,25336,Alistair Presnell,39.68,50,126
2013,81,0,20104,Ken Duke,39.63,107,270
2013,81,0,20645,John Senden,39.63,107,270
2013,83,0,34021,Bud Cauley,39.51,64,162
2013,84,0,29221,Webb Simpson,39.47,135,342
2013,85,0,30163,Henrik Norlander,39.39,78,198
2013,86,0,26596,Ryan Moore,39.29,99,252
2013,87,0,8075,Jerry Kelly,39.26,106,270
2013,88,0,28259,Sangmoon Bae,39.24,113,288
2013,88,0,35139,Richard Lee,39.24,113,288
2013,90,0,30926,Chris Kirk,39.17,141,360
2013,91,0,10885,Robert Allenby,38.89,35,90
2013,91,0,20098,Stuart Appleby,38.89,126,324
2013,91,0,20229,Stewart Cink,38.89,91,234
2013,91,0,22621,Ben Curtis,38.89,63,162
2013,91,0,34099,Harris English,38.89,147,378
2013,91,0,24358,Robert Garrigus,38.89,84,216
2013,91,0,8725,Tom Gillis,38.89,77,198
2013,91,0,21099,David Lynn,38.89,91,234
2013,91,0,2206,David Toms,38.89,56,144
2013,91,0,28135,Aaron Watkins,38.89,21,54
