YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
2013,1,0,23108,Matt Kuchar,72.09,62,86
2013,2,0,22405,Justin Rose,72.0,36,50
2013,3,0,25274,Steven Bowditch,70.51,55,78
2013,4,0,24357,K.J. Choi,69.77,60,86
2013,5,0,20098,Stuart Appleby,67.35,66,98
2013,6,0,27649,Brandt Snedeker,67.11,51,76
2013,7,0,28310,Lee Williams,67.09,53,79
2013,8,0,32366,Kevin Chappell,66.27,55,83
2013,9,0,33418,Shawn Stefani,65.43,53,81
2013,10,0,26497,Casey Wittenberg,65.38,51,78
2013,11,0,28089,Jason Day,64.38,47,73
2013,12,0,22792,Peter Hanson,64.29,18,28
2013,13,0,23541,Ben Crane,63.86,53,83
2013,14,0,32150,Michael Thompson,62.86,44,70
2013,15,0,20766,Padraig Harrington,62.5,25,40
2013,16,0,33419,Cameron Tringale,62.03,49,79
2013,17,0,2206,David Toms,61.76,21,34
2013,18,0,19970,Robert Karlsson,61.67,37,60
2013,18,0,21099,David Lynn,61.67,37,60
2013,20,0,29221,Webb Simpson,61.64,45,73
2013,21,0,21731,Freddie Jacobson,61.54,40,65
2013,22,0,19846,Brian Gay,61.39,62,101
2013,23,0,8725,Tom Gillis,61.05,58,95
2013,24,0,1320,Bob Estes,60.92,53,87
2013,25,0,8793,Tiger Woods,60.78,31,51
2013,26,0,22295,Darron Stiles,60.66,37,61
2013,27,0,34360,Patrick Reed,60.58,63,104
2013,28,0,24781,Hunter Mahan,60.53,46,76
2013,29,0,25562,Andres Romero,60.22,56,93
2013,30,0,27129,Luke List,59.74,46,77
2013,30,0,22056,Cameron Percy,59.74,46,77
2013,32,0,20443,Jin Park,59.68,37,62
2013,33,0,10809,Jim Furyk,59.3,51,86
2013,34,0,23983,Luke Donald,58.93,33,56
2013,35,0,34174,John Huh,58.89,53,90
2013,36,0,20593,Greg Chalmers,58.76,57,97
2013,37,0,34046,Jordan Spieth,58.67,44,75
2013,38,0,21753,Brian Davis,58.65,78,133
2013,39,0,24494,Erik Compton,58.42,59,101
2013,40,0,20229,Stewart Cink,58.33,42,72
2013,41,0,33141,Keegan Bradley,58.23,46,79
2013,42,0,25686,Jason Dufner,57.89,33,57
2013,43,0,27770,Camilo Villegas,57.75,41,71
2013,44,0,23135,Tim Clark,57.58,38,66
2013,45,0,26300,Matt Jones,57.45,54,94
2013,46,0,10423,Mike Weir,57.3,51,89
2013,47,0,22806,Doug LaBelle II,57.28,59,103
2013,48,0,32102,Rickie Fowler,57.14,36,63
2013,49,0,28307,Matt Every,57.0,57,100
2013,50,0,29740,Brad Fritsch,56.84,54,95
2013,51,0,24138,Ian Poulter,56.82,25,44
2013,52,0,27895,Jonas Blixt,56.7,55,97
2013,53,0,6527,Steve Stricker,56.67,17,30
2013,54,0,26331,Charl Schwartzel,56.63,47,83
2013,55,0,31202,William McGirt,56.57,56,99
2013,56,0,20160,Charlie Wi,56.41,66,117
2013,57,0,6567,Vijay Singh,56.34,40,71
2013,58,0,24507,Jason Bohn,56.32,49,87
2013,59,0,28500,Martin Flores,56.25,54,96
2013,60,0,8075,Jerry Kelly,56.18,50,89
2013,60,0,22913,John Rollins,56.18,50,89
2013,62,0,25336,Alistair Presnell,56.16,41,73
2013,63,0,28780,Nicholas Thompson,56.0,56,100
2013,64,0,21528,Henrik Stenson,55.77,29,52
2013,65,0,10213,Dicky Pride,55.43,51,92
2013,66,0,22371,Aaron Baddeley,55.32,52,94
2013,67,0,23497,Tag Ridings,55.26,42,76
