YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2013,1,0,6527,Steve Stricker,-.395
2013,2,0,24502,Adam Scott,-.385
2013,3,0,24357,K.J. Choi,-.379
2013,4,0,27895,Jonas Blixt,-.372
2013,5,0,29420,Billy Horschel,-.357
2013,6,0,32698,Bobby Gates,-.346
2013,7,0,22806,Doug LaBelle II,-.333
2013,8,0,23800,Bryce Molder,-.323
2013,9,0,21209,Sergio Garcia,-.321
2013,10,0,24781,Hunter Mahan,-.320
2013,11,0,22913,John Rollins,-.314
2013,12,0,28307,Matt Every,-.310
2013,13,0,1810,Phil Mickelson,-.304
2013,14,0,22405,Justin Rose,-.300
2013,15,0,19970,Robert Karlsson,-.296
2013,16,0,20104,Ken Duke,-.286
2013,17,0,21961,Charles Howell III,-.283
2013,18,0,33461,Morgan Hoffmann,-.279
2013,19,0,28135,Aaron Watkins,-.278
2013,20,0,26300,Matt Jones,-.277
2013,21,0,35539,Luke Guthrie,-.268
2013,22,0,23541,Ben Crane,-.267
2013,23,0,24924,Bill Haas,-.258
2013,24,0,25274,Steven Bowditch,-.250
2013,24,0,34021,Bud Cauley,-.250
2013,24,0,30944,Jason Kokrak,-.250
2013,24,0,23320,Ryan Palmer,-.250
2013,24,0,25632,Jimmy Walker,-.250
2013,29,0,21753,Brian Davis,-.245
2013,30,0,23135,Tim Clark,-.244
2013,30,0,24138,Ian Poulter,-.244
2013,32,0,23788,D.J. Trahan,-.241
2013,33,0,24494,Erik Compton,-.239
2013,34,0,23108,Matt Kuchar,-.236
2013,35,0,27095,Nick Watney,-.235
2013,36,0,22295,Darron Stiles,-.229
2013,37,0,24507,Jason Bohn,-.219
2013,38,0,30926,Chris Kirk,-.216
2013,39,0,28780,Nicholas Thompson,-.210
2013,40,0,32200,Roberto Castro,-.208
2013,40,0,31557,Jim Herman,-.208
2013,40,0,10860,Justin Leonard,-.208
2013,40,0,21878,Mark Wilson,-.208
2013,44,0,34360,Patrick Reed,-.204
2013,45,0,26476,Chez Reavie,-.197
2013,46,0,30110,Kyle Stanley,-.195
2013,47,0,34046,Jordan Spieth,-.191
2013,48,0,22961,David Mathis,-.190
2013,49,0,29518,Brendan Steele,-.185
2013,50,0,27503,Steve LeBrun,-.184
2013,51,0,27436,Graham DeLaet,-.183
2013,52,0,22371,Aaron Baddeley,-.179
2013,52,0,25818,Scott Piercy,-.179
2013,52,0,20645,John Senden,-.179
2013,55,0,21099,David Lynn,-.178
2013,56,0,28089,Jason Day,-.176
2013,57,0,28500,Martin Flores,-.173
