YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
2014,29,0,24924,Bill Haas,0.265,21.755,82
2014,30,0,34261,Scott Langley,0.262,20.714,79
2014,31,0,6567,Vijay Singh,0.261,19.824,76
2014,32,0,34046,Jordan Spieth,0.26,20.575,79
2014,33,0,24357,K.J. Choi,0.251,16.834,67
2014,34,0,29289,S.Y. Noh,0.248,18.571,75
2014,35,0,25191,Gonzalo Fernandez-Castaño,0.24,16.591,69
2014,36,0,33419,Cameron Tringale,0.23,22.567,98
2014,37,0,35539,Luke Guthrie,0.228,17.303,76
2014,38,0,27895,Jonas Blixt,0.221,9.509,43
2014,39,0,24663,Y.E. Yang,0.22,13.421,61
2014,40,0,27649,Brandt Snedeker,0.217,14.352,66
2014,41,0,33122,Russell Knox,0.215,17.832,83
2014,42,0,21961,Charles Howell III,0.201,19.139,95
2014,43,0,32839,Hideki Matsuyama,0.198,12.657,64
2014,44,0,25686,Jason Dufner,0.192,8.073,42
2014,45,0,29461,Jamie Lovemark,0.181,8.53,47
2014,45,0,28132,Tyrone Van Aswegen,0.181,11.765,65
2014,47,0,22378,Trevor Immelman,0.176,11.8,67
2014,48,0,30926,Chris Kirk,0.169,14.498,86
2014,49,0,24502,Adam Scott,0.166,9.286,56
2014,50,0,8075,Jerry Kelly,0.16,10.528,66
2014,51,0,24925,Jonathan Byrd,0.159,10.305,65
2014,52,0,26300,Matt Jones,0.157,9.43,60
2014,53,0,20593,Greg Chalmers,0.151,10.99,73
2014,54,0,26956,Bronson La'Cassie,0.145,5.21,36
2014,55,0,33461,Morgan Hoffmann,0.125,11.226,90
2014,55,0,27064,Jhonattan Vegas,0.125,8.015,64
2014,57,0,25562,Andres Romero,0.124,8.893,72
2014,57,0,20396,Lee Westwood,0.124,5.335,43
2014,59,0,29222,Billy Hurley III,0.123,8.842,72
2014,60,0,27644,Brian Harman,0.121,12.202,101
2014,61,0,2206,David Toms,0.12,6.468,54
2014,62,0,34431,Robert Streb,0.117,7.474,64
2014,63,0,25804,Bubba Watson,0.111,6.205,56
2014,64,0,26758,David Hearn,0.108,8.831,82
2014,65,0,27466,Spencer Levin,0.107,5.325,50
2014,66,0,28092,D.H. Lee,0.103,4.651,45
2014,67,0,26289,Boo Weekley,0.099,5.552,56
2014,68,0,30852,Ryo Ishikawa,0.095,5.869,62
2014,69,0,23135,Tim Clark,0.094,5.848,62
2014,70,0,24024,Zach Johnson,0.093,7.836,84
2014,71,0,31323,Gary Woodland,0.087,6.353,73
2014,72,0,33418,Shawn Stefani,0.086,4.925,57
2014,73,0,21878,Mark Wilson,0.079,4.498,57
2014,74,0,23320,Ryan Palmer,0.078,5.198,67
2014,75,0,21731,Freddie Jacobson,0.068,5.541,81
2014,76,0,24912,Will MacKenzie,0.067,4.908,73
2014,77,0,27770,Camilo Villegas,0.061,5.114,84
2014,78,0,29740,Brad Fritsch,0.06,2.354,39
2014,79,0,32366,Kevin Chappell,0.058,5.014,87
2014,80,0,22621,Ben Curtis,0.057,3.649,64
2014,81,0,26851,Marc Leishman,0.056,3.854,69
2014,82,0,24490,George McNeill,0.053,3.703,70
2014,83,0,22371,Aaron Baddeley,0.051,3.011,59
2014,84,0,25632,Jimmy Walker,0.048,3.475,73
2014,85,0,34099,Harris English,0.047,3.47,74
2014,85,0,28475,Jeff Overton,0.047,3.085,66
2014,87,0,26596,Ryan Moore,0.041,2.57,62
2014,87,0,22293,Heath Slocum,0.041,2.541,62
2014,89,0,24507,Jason Bohn,0.038,2.761,73
2014,90,0,34174,John Huh,0.033,2.337,70
2014,91,0,24138,Ian Poulter,0.028,1.157,41
2014,92,0,24140,Sean O'Hair,0.026,1.708,67
2014,93,0,28237,Rory McIlroy,0.022,1.063,48
2014,94,0,35139,Richard Lee,0.021,1.291,61
2014,95,0,23541,Ben Crane,0.017,1.328,78
2014,96,0,24846,Ricky Barnes,0.015,1.206,78
2014,96,0,33413,Ben Martin,0.015,0.915,63
2014,98,0,20498,Briny Baird,0.013,0.573,45
2014,99,0,12510,Chad Campbell,0.011,0.518,46
2014,100,0,27436,Graham DeLaet,0.007,0.426,64
2014,101,0,25345,Carl Pettersson,0.006,0.547,85
2014,102,0,25834,Daniel Summerhays,0.005,0.427,88
2014,103,0,27936,Martin Laird,0.004,0.246,55
2014,104,0,32102,Rickie Fowler,0.003,0.183,62
2014,105,0,29535,Brice Garnett,-0.002,-0.189,78
2014,106,0,29479,Scott Brown,-0.005,-0.381,83
2014,107,0,20104,Ken Duke,-0.006,-0.392,66
2014,108,0,26679,Kevin Stadler,-0.012,-0.807,65
2014,109,0,30925,Dustin Johnson,-0.015,-0.606,41
2014,110,0,25240,D.A. Points,-0.021,-1.153,55
2014,111,0,20645,John Senden,-0.023,-1.898,81
2014,112,0,25364,Paul Casey,-0.024,-1.061,44
2014,113,0,12716,Charley Hoffman,-0.026,-1.982,76
2014,114,0,28500,Martin Flores,-0.029,-1.939,68
2014,115,0,28307,Matt Every,-0.031,-2.014,65
2014,116,0,31202,William McGirt,-0.035,-2.943,84
2014,117,0,24361,Pat Perez,-0.039,-2.924,75
2014,118,0,22046,Geoff Ogilvy,-0.05,-3.653,73
2014,119,0,25572,Graeme McDowell,-0.055,-2.546,46
2014,120,0,32150,Michael Thompson,-0.06,-3.618,60
2014,121,0,29518,Brendan Steele,-0.062,-4.326,70
2014,122,0,28486,Michael Putnam,-0.063,-5.717,91
2014,123,0,21528,Henrik Stenson,-0.064,-2.418,38
2014,123,0,29425,Andrew Svoboda,-0.064,-4.239,66
2014,125,0,23638,Brendon de Jonge,-0.071,-6.574,92
2014,126,0,27330,Josh Teater,-0.072,-5.422,75
2014,127,0,30944,Jason Kokrak,-0.074,-4.538,61
2014,128,0,28259,Sangmoon Bae,-0.081,-5.287,65
2014,129,0,23623,Bo Van Pelt,-0.085,-5.662,67
2014,130,0,29420,Billy Horschel,-0.087,-6.035,69
2014,131,0,34563,Chesson Hadley,-0.102,-7.273,71
2014,131,0,32448,James Hahn,-0.102,-7.424,73
2014,131,0,32333,Kevin Tway,-0.102,-4.811,47
2014,134,0,27556,Ted Potter Jr.,-0.104,-6.243,60
2014,135,0,23353,J.J. Henry,-0.105,-8.18,78
2014,136,0,29478,Kevin Kisner,-0.116,-8.119,70
2014,137,0,31560,Brian Stuard,-0.119,-8.775,74
2014,138,0,24358,Robert Garrigus,-0.136,-9.96,73
2014,139,0,34265,Will Wilcox,-0.138,-5.502,40
2014,140,0,34409,David Lingmerth,-0.142,-9.53,67
2014,141,0,23409,James Driscoll,-0.151,-8.767,58
2014,142,0,26951,Johnson Wagner,-0.152,-8.814,58
2014,143,0,24781,Hunter Mahan,-0.153,-10.991,72
2014,144,0,1724,Jeff Maggert,-0.161,-7.079,44
2014,145,0,27214,Kevin Streelman,-0.162,-9.692,60
2014,146,0,32640,Troy Merritt,-0.171,-9.426,55
2014,147,0,33141,Keegan Bradley,-0.19,-12.711,67
2014,148,0,20229,Stewart Cink,-0.192,-13.829,72
2014,149,0,22913,John Rollins,-0.193,-12.912,67
2014,150,0,35300,Andrew Loupe,-0.196,-9.804,50
2014,151,0,23621,Rory Sabbatini,-0.201,-13.057,65
2014,152,0,7867,Woody Austin,-0.21,-11.955,57
2014,153,0,36689,Brooks Koepka,-0.226,-9.483,42
2014,154,0,27120,Troy Matteson,-0.233,-11.441,49
2014,155,0,10885,Robert Allenby,-0.234,-16.381,70
2014,156,0,24494,Erik Compton,-0.235,-17.635,75
2014,157,0,31193,Jim Renner,-0.248,-12.918,52
2014,158,0,27095,Nick Watney,-0.258,-14.463,56
2014,159,0,25900,Lucas Glover,-0.265,-12.465,47
2014,160,0,34098,Russell Henley,-0.272,-20.407,75
2014,160,0,29926,Danny Lee,-0.272,-18.801,69
2014,162,0,30692,Scott Stallings,-0.283,-17.824,63
2014,163,0,1706,Davis Love III,-0.285,-17.945,63
2014,164,0,27408,Martin Kaymer,-0.294,-14.117,48
2014,165,0,35732,Wes Roach,-0.298,-14.92,50
2014,166,0,27933,John Merrick,-0.329,-23.695,72
2014,167,0,26329,Louis Oosthuizen,-0.367,-10.995,30
2014,168,0,28780,Nicholas Thompson,-0.371,-25.964,70
2014,169,0,37273,Derek Ernst,-0.415,-26.17,63
2014,170,0,20848,Ángel Cabrera,-0.434,-26.49,61
2014,171,0,34264,Hudson Swafford,-0.436,-25.271,58
2014,172,0,32334,Charlie Beljan,-0.453,-30.357,67
2014,173,0,30110,Kyle Stanley,-0.511,-36.811,72
2014,174,0,31557,Jim Herman,-0.551,-26.455,48
2014,175,0,35541,John Peterson,-0.614,-33.795,55
2014,176,0,25444,Justin Hicks,-0.631,-56.764,90
2014,177,0,30750,Tommy Gainey,-0.74,-44.405,60
2022,1,0,23108,Matt Kuchar,0.519,31.131,60
2022,2,0,32139,Danny Willett,0.513,21.527,42
2022,3,0,46402,Talor Gooch,0.502,27.609,55
2022,4,0,26300,Matt Jones,0.48,24.496,51
2022,5,0,30911,Tommy Fleetwood,0.467,18.679,40
2022,6,0,24361,Pat Perez,0.46,23.458,51
2022,7,0,40098,Matt Fitzpatrick,0.452,21.709,48
2022,8,0,29420,Billy Horschel,0.413,22.74,55
2022,8,0,21961,Charles Howell III,0.413,19.431,47
2022,10,0,36799,Stephan Jaeger,0.408,29.816,73
2022,10,0,30926,Chris Kirk,0.408,25.679,63
2022,12,0,39971,Sungjae Im,0.383,28.691,75
2022,13,0,24925,Jonathan Byrd,0.382,16.44,43
2022,14,0,33399,Adam Hadwin,0.361,27.399,76
2022,15,0,33448,Justin Thomas,0.355,21.683,61
2022,16,0,23621,Rory Sabbatini,0.351,17.559,50
2022,17,0,24924,Bill Haas,0.349,23.702,68
2022,18,0,37189,Harold Varner III,0.348,19.839,57
2022,19,0,25198,Francesco Molinari,0.336,13.453,40
2022,20,0,34256,Andrew Putnam,0.333,26.983,81
2022,21,0,34098,Russell Henley,0.325,20.444,63
2022,22,0,23983,Luke Donald,0.318,16.526,52
2022,23,0,29478,Kevin Kisner,0.314,17.253,55
2022,24,0,36852,Jim Knous,0.302,10.876,36
2022,25,0,46046,Scottie Scheffler,0.3,19.829,66
2022,26,0,27770,Camilo Villegas,0.298,15.222,51
2022,27,0,34046,Jordan Spieth,0.295,18.006,61
2022,28,0,29289,S.Y. Noh,0.294,13.547,46
2022,29,0,35506,Mackenzie Hughes,0.288,18.987,66
2022,30,0,34360,Patrick Reed,0.28,14.269,51
2022,31,0,32102,Rickie Fowler,0.274,15.353,56
2022,32,0,37455,Si Woo Kim,0.272,22.028,81
2022,33,0,48084,Wesley Bryan,0.271,10.575,39
2022,34,0,35450,Patrick Cantlay,0.266,13.85,52
2022,35,0,45486,Joaquin Niemann,0.263,15.227,58
2022,36,0,47993,Denny McCarthy,0.261,22.705,87
2022,37,0,24138,Ian Poulter,0.251,9.033,36
2022,38,0,27936,Martin Laird,0.24,14.614,61
2022,39,0,48081,Xander Schauffele,0.235,13.41,57
2022,40,0,28089,Jason Day,0.231,11.759,51
2022,41,0,29221,Webb Simpson,0.23,11.938,52
2022,42,0,35891,Cameron Smith,0.223,10.941,49
2022,43,0,28237,Rory McIlroy,0.222,11.543,52
2022,44,0,49771,J.T. Poston,0.218,17.461,80
2022,45,0,47504,Sam Burns,0.217,14.939,69
2022,46,0,29725,Tony Finau,0.206,14.622,71
2022,46,0,32839,Hideki Matsuyama,0.206,11.757,57
2022,48,0,34610,Matthias Schwab,0.204,11.194,55
2022,49,0,27644,Brian Harman,0.186,14.116,76
2022,49,0,34363,Tyrrell Hatton,0.186,8.922,48
2022,51,0,56278,Matthew Wolff,0.183,6.969,38
2022,52,0,25818,Scott Piercy,0.181,12.112,67
2022,53,0,33204,Shane Lowry,0.173,8.316,48
2022,54,0,35110,Brett Drewitt,0.17,7.141,42
2022,55,0,34466,Peter Malnati,0.167,14.519,87
2022,55,0,51634,Sahith Theegala,0.167,15.877,95
2022,57,0,39977,Max Homa,0.165,11.54,70
2022,58,0,31560,Brian Stuard,0.146,10.095,69
2022,59,0,31420,Anirban Lahiri,0.145,8.725,60
2022,60,0,30927,Brendon Todd,0.144,10.067,70
2022,60,0,31323,Gary Woodland,0.144,8.041,56
2022,62,0,35461,Beau Hossler,0.141,9.154,65
2022,63,0,26851,Marc Leishman,0.132,8.321,63
2022,63,0,32150,Michael Thompson,0.132,9.743,74
2022,65,0,22056,Cameron Percy,0.131,4.179,32
2022,66,0,27214,Kevin Streelman,0.129,10.339,80
2022,67,0,34174,John Huh,0.128,7.817,61
2022,68,0,30692,Scott Stallings,0.124,10.425,84
2022,69,0,29535,Brice Garnett,0.117,7.131,61
2022,70,0,33141,Keegan Bradley,0.115,7.607,66
2022,71,0,57366,Cameron Young,0.112,7.843,70
2022,72,0,24024,Zach Johnson,0.111,6.125,55
2022,73,0,23320,Ryan Palmer,0.109,5.425,50
2022,74,0,47483,Will Zalatoris,0.106,6.019,57
2022,75,0,49947,Taylor Moore,0.103,8.052,78
2022,75,0,33419,Cameron Tringale,0.103,7.492,73
2022,77,0,51894,Vince Whaley,0.101,6.754,67
2022,78,0,27129,Luke List,0.099,6.322,64
2022,79,0,29970,Dylan Frittelli,0.096,7.024,73
2022,80,0,39058,Lucas Herbert,0.094,3.744,40
2022,81,0,28252,Seamus Power,0.091,5.351,59
2022,82,0,29908,C.T. Pan,0.08,5.704,71
2022,83,0,39546,Keith Mitchell,0.079,5.684,72
2022,84,0,32791,K.H. Lee,0.077,6.589,86
2022,85,0,49964,Aaron Wise,0.076,5.883,77
2022,86,0,34431,Robert Streb,0.071,5.181,73
2022,87,0,30163,Henrik Norlander,0.061,3.677,60
2022,88,0,32333,Kevin Tway,0.058,3.86,67
2022,89,0,35532,Tom Hoge,0.056,4.117,74
2022,90,0,25493,Nick Taylor,0.051,3.491,69
2022,91,0,47529,Mito Pereira,0.047,3.505,75
2022,92,0,27139,David Skinns,0.045,2.341,52
2022,93,0,27349,Alex Noren,0.042,2.038,48
2022,93,0,46414,Aaron Rai,0.042,2.919,69
2022,95,0,27649,Brandt Snedeker,0.04,1.973,49
2022,96,0,51766,Wyndham Clark,0.039,2.95,75
2022,97,0,45157,Cam Davis,0.038,2.895,76
2022,97,0,23325,Vaughn Taylor,0.038,1.5,40
2022,99,0,45609,Tyler Duncan,0.036,2.33,65
2022,100,0,36326,David Lipsky,0.026,1.907,72
2022,101,0,51997,Andrew Novak,0.024,1.313,54
2022,102,0,48117,Kurt Kitayama,0.016,0.743,46
2022,103,0,45522,Christiaan Bezuidenhout,0.015,0.83,55
2022,103,0,49766,Hank Lebioda,0.015,1.013,68
2022,105,0,46435,Austin Cook,0.013,0.678,53
2022,106,0,51950,Max McGreevy,0.009,0.489,56
2022,107,0,40250,Taylor Pendrith,0.005,0.271,59
2022,107,0,33486,Roger Sloan,0.005,0.329,62
2022,109,0,54628,Lee Hodges,0.002,0.155,83
2022,110,0,29974,Branden Grace,0.001,0.023,43
2022,110,0,39953,Chase Seiffert,0.001,0.03,37
2022,112,0,35449,Adam Long,0.0,-0.003,76
2022,113,0,36801,Mark Hubbard,-0.003,-0.179,55
2022,113,0,47995,Davis Riley,-0.003,-0.239,82
2022,115,0,25686,Jason Dufner,-0.014,-0.562,39
2022,116,0,32640,Troy Merritt,-0.018,-1.302,74
2022,117,0,24980,Scott Gutschewski,-0.023,-0.866,38
2022,118,0,36871,Matthew NeSmith,-0.024,-1.893,78
2022,119,0,28775,Nate Lashley,-0.026,-1.571,61
2022,120,0,48822,Sebastián Muñoz,-0.027,-1.879,69
2022,121,0,33122,Russell Knox,-0.03,-2.256,74
2022,122,0,22405,Justin Rose,-0.032,-1.234,38
