YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
2013,1,0,23983,Luke Donald,0.628,28.891,46
2013,2,0,6527,Steve Stricker,0.596,20.865,35
2013,3,0,22405,Justin Rose,0.491,22.605,46
2013,4,0,10423,Mike Weir,0.399,18.757,47
2013,5,0,23800,Bryce Molder,0.395,28.047,71
2013,6,0,27895,Jonas Blixt,0.394,26.41,67
2013,7,0,20572,Rod Pampling,0.389,13.614,35
2013,8,0,20098,Stuart Appleby,0.387,30.604,79
2013,9,0,28310,Lee Williams,0.38,19.382,51
2013,10,0,21961,Charles Howell III,0.374,29.936,80
2013,11,0,10860,Justin Leonard,0.363,27.197,75
2013,12,0,1320,Bob Estes,0.362,22.461,62
2013,13,0,27649,Brandt Snedeker,0.354,20.51,58
2013,14,0,32200,Roberto Castro,0.348,29.225,84
2013,15,0,19846,Brian Gay,0.336,23.827,71
2013,16,0,27963,Chris Stroud,0.333,26.005,78
2013,17,0,10809,Jim Furyk,0.323,20.691,64
2013,17,0,21099,David Lynn,0.323,18.083,56
2013,19,0,20766,Padraig Harrington,0.321,11.236,35
2013,20,0,25274,Steven Bowditch,0.316,18.355,58
2013,21,0,29289,S.Y. Noh,0.315,19.554,62
2013,22,0,20160,Charlie Wi,0.295,19.468,66
2013,23,0,22371,Aaron Baddeley,0.293,17.284,59
2013,24,0,24138,Ian Poulter,0.29,11.316,39
2013,25,0,24924,Bill Haas,0.289,19.908,69
2013,26,0,28135,Aaron Watkins,0.285,9.964,35
2013,27,0,23108,Matt Kuchar,0.278,19.205,69
2013,28,0,26497,Casey Wittenberg,0.263,16.053,61
2013,29,0,1810,Phil Mickelson,0.26,14.843,57
2013,30,0,21209,Sergio Garcia,0.259,12.17,47
2013,31,0,24357,K.J. Choi,0.258,16.223,63
2013,32,0,21731,Freddie Jacobson,0.247,11.347,46
2013,32,0,8793,Tiger Woods,0.247,10.609,43
2013,34,0,33461,Morgan Hoffmann,0.242,12.805,53
2013,35,0,29221,Webb Simpson,0.225,15.771,70
2013,36,0,26300,Matt Jones,0.22,15.411,70
2013,37,0,34261,Scott Langley,0.215,13.761,64
2013,38,0,22621,Ben Curtis,0.208,9.566,46
2013,39,0,34046,Jordan Spieth,0.2,13.378,67
2013,40,0,12782,Tim Herron,0.197,8.658,44
2013,41,0,34174,John Huh,0.19,14.283,75
2013,42,0,33141,Keegan Bradley,0.185,13.323,72
2013,42,0,21753,Brian Davis,0.185,15.341,83
2013,44,0,27120,Troy Matteson,0.175,10.343,59
2013,45,0,25562,Andres Romero,0.17,8.836,52
2013,45,0,20396,Lee Westwood,0.17,8.654,51
2013,47,0,28089,Jason Day,0.167,10.173,61
2013,48,0,31202,William McGirt,0.165,11.736,71
2013,49,0,25632,Jimmy Walker,0.164,12.308,75
2013,50,0,25240,D.A. Points,0.163,11.085,68
2013,51,0,33419,Cameron Tringale,0.149,11.162,75
2013,52,0,34021,Bud Cauley,0.148,8.282,56
2013,53,0,6522,Ernie Els,0.143,6.871,48
2013,53,0,19970,Robert Karlsson,0.143,5.305,37
2013,55,0,23409,James Driscoll,0.139,8.767,63
2013,55,0,26596,Ryan Moore,0.139,7.911,57
2013,57,0,22792,Peter Hanson,0.138,4.57,33
2013,58,0,20645,John Senden,0.13,7.938,61
2013,59,0,21528,Henrik Stenson,0.128,5.616,44
2013,60,0,8725,Tom Gillis,0.126,7.581,60
2013,60,0,25345,Carl Pettersson,0.126,8.032,64
2013,62,0,8075,Jerry Kelly,0.125,8.031,64
2013,63,0,25336,Alistair Presnell,0.123,5.672,46
2013,64,0,28500,Martin Flores,0.118,8.992,76
2013,65,0,22046,Geoff Ogilvy,0.117,4.923,42
2013,66,0,29518,Brendan Steele,0.105,8.081,77
2013,67,0,30926,Chris Kirk,0.099,8.041,81
2013,68,0,27644,Brian Harman,0.096,7.329,76
2013,69,0,2206,David Toms,0.095,3.024,32
2013,70,0,22378,Trevor Immelman,0.094,5.806,62
2013,71,0,32366,Kevin Chappell,0.077,5.148,67
2013,72,0,32102,Rickie Fowler,0.074,4.364,59
2013,73,0,21878,Mark Wilson,0.072,3.615,50
2013,74,0,25834,Daniel Summerhays,0.067,5.198,78
2013,74,0,32150,Michael Thompson,0.067,3.562,53
2013,76,0,26331,Charl Schwartzel,0.061,3.297,54
2013,77,0,35539,Luke Guthrie,0.055,3.55,65
2013,77,0,24502,Adam Scott,0.055,2.412,44
2013,79,0,27933,John Merrick,0.051,3.445,68
2013,80,0,24781,Hunter Mahan,0.05,3.425,68
2013,81,0,24024,Zach Johnson,0.047,3.124,67
2013,82,0,20691,Greg Owen,0.036,2.346,66
2013,83,0,23638,Brendon de Jonge,0.032,3.121,97
2013,83,0,28237,Rory McIlroy,0.032,1.327,41
2013,85,0,30944,Jason Kokrak,0.029,2.114,72
2013,86,0,20443,Jin Park,0.016,0.674,43
2013,87,0,34360,Patrick Reed,0.011,0.792,74
2013,88,0,23541,Ben Crane,0.005,0.276,55
2013,89,0,23497,Tag Ridings,0.003,0.182,58
2013,89,0,22295,Darron Stiles,0.003,0.145,42
2013,89,0,34431,Robert Streb,0.003,0.21,62
2013,92,0,10213,Dicky Pride,0.002,0.145,59
2013,92,0,23621,Rory Sabbatini,0.002,0.125,72
2013,94,0,25818,Scott Piercy,-0.006,-0.365,62
2013,95,0,27214,Kevin Streelman,-0.008,-0.56,68
2013,96,0,26851,Marc Leishman,-0.009,-0.604,64
2013,97,0,29479,Scott Brown,-0.014,-0.749,55
2013,98,0,28092,D.H. Lee,-0.015,-0.882,58
2013,99,0,23788,D.J. Trahan,-0.018,-0.695,38
2013,100,0,6567,Vijay Singh,-0.021,-1.007,48
2013,101,0,34409,David Lingmerth,-0.022,-1.278,57
2013,102,0,28679,Fabián Gómez,-0.026,-1.454,56
2013,103,0,24490,George McNeill,-0.03,-1.915,64
2013,104,0,12510,Chad Campbell,-0.033,-2.406,72
2013,105,0,32448,James Hahn,-0.034,-2.279,67
2013,106,0,35139,Richard Lee,-0.043,-3.107,72
2013,107,0,23135,Tim Clark,-0.049,-2.1,43
2013,108,0,27556,Ted Potter Jr.,-0.052,-2.873,55
2013,109,0,24361,Pat Perez,-0.055,-3.519,64
2013,110,0,20229,Stewart Cink,-0.058,-3.247,56
2013,110,0,27936,Martin Laird,-0.058,-3.1,53
2013,112,0,20848,Ángel Cabrera,-0.059,-3.358,57
2013,113,0,25572,Graeme McDowell,-0.061,-2.238,37
2013,114,0,25804,Bubba Watson,-0.065,-3.81,59
2013,115,0,1116,Michael Bradley,-0.068,-2.93,43
2013,116,0,29420,Billy Horschel,-0.069,-5.689,83
2013,117,0,24494,Erik Compton,-0.076,-4.953,65
2013,118,0,34099,Harris English,-0.077,-6.298,82
2013,119,0,25900,Lucas Glover,-0.083,-4.3,52
2013,120,0,10885,Robert Allenby,-0.085,-4.445,52
2013,121,0,23353,J.J. Henry,-0.089,-6.603,74
2013,122,0,30925,Dustin Johnson,-0.09,-4.566,51
2013,123,0,22056,Cameron Percy,-0.092,-5.22,57
2013,124,0,24507,Jason Bohn,-0.095,-6.294,66
2013,124,0,27770,Camilo Villegas,-0.095,-6.089,64
2013,126,0,27129,Luke List,-0.097,-5.03,52
2013,127,0,23623,Bo Van Pelt,-0.1,-5.405,54
2013,128,0,20593,Greg Chalmers,-0.102,-7.142,70
2013,129,0,25686,Jason Dufner,-0.103,-6.276,61
2013,129,0,22913,John Rollins,-0.103,-6.974,68
2013,131,0,22961,David Mathis,-0.105,-6.535,62
2013,132,0,26679,Kevin Stadler,-0.11,-7.62,69
2013,133,0,26758,David Hearn,-0.119,-8.698,73
2013,134,0,31560,Brian Stuard,-0.125,-7.879,63
2013,135,0,27330,Josh Teater,-0.133,-8.094,61
2013,136,0,24663,Y.E. Yang,-0.137,-5.615,41
2013,137,0,12716,Charley Hoffman,-0.145,-10.578,73
2013,138,0,6004,Stephen Ames,-0.147,-6.488,44
2013,139,0,29740,Brad Fritsch,-0.152,-10.307,68
2013,140,0,30163,Henrik Norlander,-0.155,-9.146,59
2013,140,0,33418,Shawn Stefani,-0.155,-7.742,50
2013,142,0,27436,Graham DeLaet,-0.159,-12.88,81
2013,143,0,30852,Ryo Ishikawa,-0.165,-9.062,55
2013,144,0,1724,Jeff Maggert,-0.166,-9.477,57
2013,145,0,31557,Jim Herman,-0.176,-7.759,44
2013,146,0,20104,Ken Duke,-0.178,-13.386,75
2013,147,0,26476,Chez Reavie,-0.184,-12.31,67
2013,148,0,27503,Steve LeBrun,-0.185,-9.811,53
2013,149,0,24399,Scott Gardiner,-0.19,-9.9,52
2013,150,0,6573,Brandt Jobe,-0.191,-10.1,53
2013,151,0,24140,Sean O'Hair,-0.198,-10.106,51
2013,152,0,24227,Justin Bolli,-0.21,-9.644,46
2013,152,0,22806,Doug LaBelle II,-0.21,-12.367,59
2013,154,0,28455,Will Claxton,-0.215,-12.012,56
2013,155,0,26289,Boo Weekley,-0.221,-18.324,83
2013,156,0,24846,Ricky Barnes,-0.227,-14.745,65
2013,157,0,34098,Russell Henley,-0.233,-15.408,66
2013,158,0,28307,Matt Every,-0.234,-18.696,80
2013,159,0,30711,Colt Knost,-0.242,-14.033,58
2013,160,0,23325,Vaughn Taylor,-0.247,-9.887,40
2013,161,0,28780,Nicholas Thompson,-0.288,-24.746,86
2013,162,0,32334,Charlie Beljan,-0.306,-16.854,55
2013,163,0,29425,Andrew Svoboda,-0.308,-10.768,35
2013,164,0,27095,Nick Watney,-0.317,-23.138,73
2013,165,0,23320,Ryan Palmer,-0.323,-22.279,69
2013,166,0,32698,Bobby Gates,-0.331,-12.56,38
2013,167,0,27408,Martin Kaymer,-0.335,-14.052,42
2013,168,0,36884,Ben Kohles,-0.354,-21.921,62
2013,169,0,28259,Sangmoon Bae,-0.376,-27.05,72
2013,170,0,28475,Jeff Overton,-0.384,-28.398,74
2013,171,0,30692,Scott Stallings,-0.392,-25.839,66
2013,171,0,31323,Gary Woodland,-0.392,-32.529,83
2013,173,0,30750,Tommy Gainey,-0.411,-30.803,75
2013,174,0,26951,Johnson Wagner,-0.436,-22.672,52
2013,175,0,33869,Eric Meierdierks,-0.501,-18.539,37
2013,176,0,37273,Derek Ernst,-0.526,-25.791,49
2013,177,0,24358,Robert Garrigus,-0.528,-25.848,49
2013,178,0,23452,Nicolas Colsaerts,-0.563,-20.271,36
2013,179,0,25444,Justin Hicks,-0.6,-39.626,66
2013,180,0,30110,Kyle Stanley,-0.708,-42.496,60
2014,1,0,10860,Justin Leonard,0.571,35.431,62
2014,2,0,6522,Ernie Els,0.529,33.299,63
2014,3,0,34021,Bud Cauley,0.467,21.479,46
2014,4,0,10423,Mike Weir,0.443,23.46,53
2014,5,0,26331,Charl Schwartzel,0.421,22.721,54
2014,6,0,10809,Jim Furyk,0.408,26.941,66
2014,7,0,28089,Jason Day,0.402,13.255,33
2014,8,0,21753,Brian Davis,0.399,32.282,81
2014,9,0,25396,Kevin Na,0.397,30.945,78
2014,10,0,34360,Patrick Reed,0.393,29.101,74
2014,11,0,20160,Charlie Wi,0.383,24.866,65
2014,12,0,23108,Matt Kuchar,0.38,28.882,76
2014,13,0,32200,Roberto Castro,0.365,21.541,59
2014,14,0,22405,Justin Rose,0.36,18.737,52
2014,15,0,25349,Tim Wilkinson,0.354,25.112,71
2014,16,0,23983,Luke Donald,0.351,15.447,44
2014,17,0,20098,Stuart Appleby,0.345,29.017,84
2014,18,0,25274,Steven Bowditch,0.307,23.908,78
2014,19,0,30927,Brendon Todd,0.289,26.266,91
2014,20,0,21209,Sergio Garcia,0.286,11.421,40
2014,21,0,27141,J.B. Holmes,0.283,21.825,77
2014,22,0,27963,Chris Stroud,0.278,20.038,72
2014,23,0,19846,Brian Gay,0.276,17.379,63
2014,24,0,23800,Bryce Molder,0.275,17.606,64
2014,24,0,29221,Webb Simpson,0.275,20.315,74
2014,26,0,25720,Chad Collins,0.273,16.64,61
2014,27,0,20157,Retief Goosen,0.269,20.955,78
2014,28,0,1810,Phil Mickelson,0.266,13.319,50
