YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
2013,1,0,25804,Bubba Watson,69.14,1873732.0,271014
2013,2,0,28237,Rory McIlroy,68.44,1257485.0,183741
2013,3,0,30925,Dustin Johnson,67.97,1634368.0,240441
2013,4,0,23452,Nicolas Colsaerts,67.67,1139938.0,168444
2013,5,0,30110,Kyle Stanley,67.31,1846683.0,274343
2013,6,0,24358,Robert Garrigus,67.26,1476512.0,219524
2013,7,0,27129,Luke List,67.25,1595442.0,237242
2013,8,0,30692,Scott Stallings,67.21,2035520.0,302844
2013,9,0,25818,Scott Piercy,67.19,1950333.0,290285
2013,10,0,25274,Steven Bowditch,67.16,1797881.0,267695
2013,11,0,33141,Keegan Bradley,67.11,2282841.0,340187
2013,12,0,33461,Morgan Hoffmann,66.98,1695593.0,253158
2013,13,0,33869,Eric Meierdierks,66.88,1133650.0,169499
2013,14,0,23320,Ryan Palmer,66.78,2143759.0,321037
2013,15,0,30944,Jason Kokrak,66.69,2206407.0,330866
2013,16,0,28089,Jason Day,66.67,1873057.0,280924
2013,17,0,31323,Gary Woodland,66.61,2568179.0,385533
2013,18,0,32334,Charlie Beljan,66.51,1673351.0,251582
2013,19,0,25632,Jimmy Walker,66.49,2260543.0,340000
2013,20,0,23621,Rory Sabbatini,66.46,2237647.0,336682
2013,21,0,28500,Martin Flores,66.38,2356939.0,355043
2013,21,0,21961,Charles Howell III,66.38,2444084.0,368205
2013,23,0,28307,Matt Every,66.37,2434142.0,366741
2013,23,0,12716,Charley Hoffman,66.37,2190003.0,329986
2013,25,0,25345,Carl Pettersson,66.32,1962008.0,295827
2013,26,0,29289,S.Y. Noh,66.3,1882279.0,283915
2013,27,0,24138,Ian Poulter,66.29,1200045.0,181020
2013,28,0,33418,Shawn Stefani,66.26,1549564.0,233874
2013,29,0,20848,Ángel Cabrera,66.21,1759424.0,265723
2013,29,0,24781,Hunter Mahan,66.21,2066345.0,312098
2013,31,0,26679,Kevin Stadler,66.19,2104812.0,317984
2013,31,0,27095,Nick Watney,66.19,2216715.0,334880
2013,33,0,34360,Patrick Reed,66.16,2295493.0,346971
2013,34,0,25562,Andres Romero,66.15,1591375.0,240571
2013,35,0,22913,John Rollins,66.14,2086894.0,315518
2013,36,0,37273,Derek Ernst,66.12,1520665.0,229991
2013,37,0,24502,Adam Scott,66.11,1346420.0,203657
2013,38,0,34099,Harris English,66.1,2511321.0,379917
2013,39,0,25686,Jason Dufner,66.09,1883821.0,285046
2013,40,0,27644,Brian Harman,66.07,2308098.0,349329
2013,41,0,1810,Phil Mickelson,66.05,1745963.0,264334
2013,42,0,20396,Lee Westwood,66.04,1546083.0,234114
2013,43,0,22405,Justin Rose,66.01,1420883.0,215260
2013,43,0,34046,Jordan Spieth,66.01,2055524.0,311377
2013,45,0,30750,Tommy Gainey,65.98,2321181.0,351785
2013,46,0,27120,Troy Matteson,65.95,1782875.0,270328
2013,47,0,31557,Jim Herman,65.93,1356691.0,205792
2013,48,0,23497,Tag Ridings,65.92,1761951.0,267305
2013,49,0,26289,Boo Weekley,65.91,2557153.0,387996
2013,50,0,28475,Jeff Overton,65.9,2250974.0,341563
2013,51,0,28780,Nicholas Thompson,65.89,2612559.0,396485
2013,52,0,24140,Sean O'Hair,65.88,1537343.0,233358
2013,52,0,22056,Cameron Percy,65.88,1749905.0,265622
2013,54,0,34431,Robert Streb,65.85,1905358.0,289366
2013,55,0,29221,Webb Simpson,65.84,2146192.0,325990
2013,56,0,26331,Charl Schwartzel,65.83,1673129.0,254173
2013,57,0,21731,Freddie Jacobson,65.82,1426571.0,216734
2013,58,0,20766,Padraig Harrington,65.79,1074926.0,163382
2013,59,0,27330,Josh Teater,65.78,1815456.0,276010
2013,60,0,32366,Kevin Chappell,65.75,1998537.0,303966
2013,60,0,30852,Ryo Ishikawa,65.75,1673759.0,254572
2013,62,0,29420,Billy Horschel,65.73,2519957.0,383392
2013,62,0,20691,Greg Owen,65.73,2011141.0,305987
2013,64,0,24924,Bill Haas,65.72,2113502.0,321615
2013,65,0,25900,Lucas Glover,65.7,1545866.0,235288
2013,66,0,27936,Martin Laird,65.68,1572074.0,239358
2013,67,0,23108,Matt Kuchar,65.58,2087775.0,318354
2013,68,0,6527,Steve Stricker,65.55,1063733.0,162290
2013,69,0,34098,Russell Henley,65.54,2025617.0,309069
2013,70,0,24399,Scott Gardiner,65.51,1565813.0,239015
2013,71,0,29479,Scott Brown,65.48,1623810.0,247982
2013,72,0,26851,Marc Leishman,65.44,1956376.0,298954
2013,73,0,29425,Andrew Svoboda,65.37,1073695.0,164237
2013,74,0,27436,Graham DeLaet,65.36,2456370.0,375850
2013,75,0,6567,Vijay Singh,65.34,1460377.0,223516
2013,76,0,22792,Peter Hanson,65.33,1032006.0,157968
2013,77,0,27503,Steve LeBrun,65.32,1600094.0,244974
2013,78,0,6522,Ernie Els,65.31,1452826.0,222466
2013,78,0,32698,Bobby Gates,65.31,1150372.0,176151
2013,80,0,27408,Martin Kaymer,65.28,1293488.0,198159
2013,81,0,23788,D.J. Trahan,65.27,1143902.0,175257
2013,82,0,30926,Chris Kirk,65.26,2431344.0,372538
