YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
2013,1,0,21528,Henrik Stenson,4750,2,8,
2013,64,0,23800,Bryce Molder,979,0,3373,
2013,102,0,24490,George McNeill,524,0,3828,
2013,109,0,20645,John Senden,498,0,3854,
2013,118,0,26476,Chez Reavie,439,0,3913,
2013,126,0,34431,Robert Streb,359,0,3993,
2013,131,0,34021,Bud Cauley,343,0,4009,
2013,132,0,24846,Ricky Barnes,342,0,4010,
2013,134,0,20691,Greg Owen,336,0,4016,
2013,145,0,30927,Brendon Todd,293,0,4059,
2013,146,0,6567,Vijay Singh,291,0,4061,
2013,147,0,22806,Doug LaBelle II,290,0,4062,
2013,149,0,6573,Brandt Jobe,283,0,4069,
2014,1,0,29420,Billy Horschel,4750,2,5,
2014,80,0,20229,Stewart Cink,866,0,3448,
2014,95,0,25364,Paul Casey,699,0,3615,
2014,110,0,21753,Brian Davis,538,0,3776,
2014,122,0,28259,Sangmoon Bae,466,0,3848,
2014,125,0,10885,Robert Allenby,438,0,3876,
2014,128,0,23353,J.J. Henry,425,0,3889,
2014,133,0,27933,John Merrick,399,0,3915,
2014,144,0,28132,Tyrone Van Aswegen,355,0,3959,
2014,148,0,27330,Josh Teater,334,0,3980,
2014,149,0,20160,Charlie Wi,329,0,3985,
2024,1,0,46046,Scottie Scheffler,-30,7,16,0.0
2024,2,0,50525,Collin Morikawa,-26,0,8,0.0
2024,3,0,51634,Sahith Theegala,-24,0,8,0.0
2024,4,0,34098,Russell Henley,-19,0,7,0.0
2024,4,0,48081,Xander Schauffele,-19,2,15,0.0
2024,4,0,24502,Adam Scott,-19,0,5,0.0
2024,7,0,39971,Sungjae Im,-18,0,8,0.0
2024,8,0,51766,Wyndham Clark,-17,1,8,0.0
2024,9,0,33204,Shane Lowry,-16,1,7,0.0
2024,9,0,32839,Hideki Matsuyama,-16,2,7,0.0
2024,9,0,28237,Rory McIlroy,-16,2,7,0.0
2024,12,0,47504,Sam Burns,-15,0,8,0.0
2024,12,0,46717,Viktor Hovland,-15,0,2,0.0
2024,14,0,40250,Taylor Pendrith,-14,1,6,0.0
2024,14,0,33448,Justin Thomas,-14,0,5,0.0
2024,16,0,52955,Ludvig Åberg,-12,0,8,0.0
2024,17,0,35450,Patrick Cantlay,-11,0,4,0.0
2024,17,0,52215,Robert MacIntyre,-11,2,6,0.0
2024,17,0,48153,Matthieu Pavon,-11,1,4,0.0
2024,20,0,30911,Tommy Fleetwood,-10,0,4,0.0
2024,21,0,33948,Byeong Hun An,-8,0,5,0.0
2024,21,0,33141,Keegan Bradley,-8,1,3,0.0
2024,23,0,29725,Tony Finau,-6,0,5,0.0
2024,23,0,29420,Billy Horschel,-6,1,7,0.0
2024,23,0,46414,Aaron Rai,-6,1,6,0.0
2024,26,0,56630,Akshay Bhatia,-5,1,3,0.0
2024,27,0,30926,Chris Kirk,-3,1,3,0.0
2024,27,0,49960,Sepp Straka,-3,0,4,0.0
2024,29,0,45522,Christiaan Bezuidenhout,3,0,3,0.0
2024,29,0,35532,Tom Hoge,3,0,3,0.0
2024,31,0,27644,Brian Harman,1588,0,3,0.0
2024,32,0,37455,Si Woo Kim,1580,0,2,0.0
2024,33,0,28089,Jason Day,1567,0,4,0.0
2024,34,0,58168,Davis Thompson,1523,1,4,0.0
2024,35,0,47993,Denny McCarthy,1498,0,4,0.0
2024,36,0,45157,Cam Davis,1490,1,2,0.0
2024,37,0,27349,Alex Noren,1483,0,4,0.0
2024,38,0,47483,Will Zalatoris,1461,0,3,0.0
2024,39,0,39997,Corey Conners,1433,0,3,0.0
2024,40,0,40098,Matt Fitzpatrick,1376,0,3,0.0
2024,41,0,49771,J.T. Poston,1355,0,4,0.0
2024,42,0,33653,Thomas Detry,1344,0,4,0.0
2024,43,0,36799,Stephan Jaeger,1327,1,3,0.0
2024,44,0,57366,Cameron Young,1295,0,6,0.0
2024,45,0,57362,Austin Eckroat,1294,1,2,0.0
2024,46,0,39977,Max Homa,1288,0,3,0.0
2024,47,0,33399,Adam Hadwin,1266,0,5,0.0
2024,48,0,51977,Max Greyserman,1239,0,4,0.0
2024,49,0,59866,Nick Dunlap,1224,2,4,0.0
2024,50,0,47591,Eric Cole,1173,0,4,0.0
2024,51,0,55182,Tom Kim,1079,0,2,0.0
2024,52,0,35506,Mackenzie Hughes,1048,0,3,0.0
2024,53,0,46442,Maverick McNealy,1045,0,4,0.0
2024,54,0,36699,Patrick Rodgers,1032,0,4,0.0
