YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
2013,1,0,30926,Chris Kirk,14,280,4
2013,2,0,30925,Dustin Johnson,11,213,1
2013,2,0,30944,Jason Kokrak,11,249,4
2013,4,0,33141,Keegan Bradley,10,260,2
2013,4,0,34360,Patrick Reed,10,255,2
2013,4,0,34046,Jordan Spieth,10,251,4
2013,7,0,12510,Chad Campbell,9,239,4
2013,7,0,21209,Sergio Garcia,9,192,1
2013,7,0,32448,James Hahn,9,247,3
2013,7,0,26679,Kevin Stadler,9,249,4
2013,7,0,30110,Kyle Stanley,9,229,2
2013,7,0,21528,Henrik Stenson,9,196,1
2013,7,0,25834,Daniel Summerhays,9,273,4
2013,7,0,31323,Gary Woodland,9,282,1
2013,15,0,28089,Jason Day,8,251,1
2013,15,0,23638,Brendon de Jonge,8,341,3
2013,15,0,6522,Ernie Els,8,192,2
2013,15,0,28500,Martin Flores,8,259,0
2013,15,0,32102,Rickie Fowler,8,230,0
2013,15,0,24358,Robert Garrigus,8,217,1
2013,15,0,12716,Charley Hoffman,8,270,2
2013,15,0,23108,Matt Kuchar,8,270,0
2013,15,0,24490,George McNeill,8,209,0
2013,15,0,27933,John Merrick,8,250,2
2013,15,0,23621,Rory Sabbatini,8,248,3
2013,15,0,27770,Camilo Villegas,8,235,3
2013,15,0,25632,Jimmy Walker,8,279,2
2013,15,0,26289,Boo Weekley,8,302,1
2013,15,0,8793,Tiger Woods,8,184,1
2013,30,0,22371,Aaron Baddeley,7,223,2
2013,30,0,32200,Roberto Castro,7,309,0
2013,30,0,28307,Matt Every,7,287,1
2013,30,0,27644,Brian Harman,7,276,2
2013,30,0,34098,Russell Henley,7,238,2
2013,30,0,21961,Charles Howell III,7,274,1
2013,30,0,26300,Matt Jones,7,263,2
2013,30,0,36884,Ben Kohles,7,229,1
2013,30,0,22806,Doug LaBelle II,7,219,1
2013,30,0,28092,D.H. Lee,7,205,2
2013,30,0,27129,Luke List,7,204,3
2013,30,0,30692,Scott Stallings,7,246,2
2013,30,0,27214,Kevin Streelman,7,263,1
2013,30,0,32150,Michael Thompson,7,202,3
2013,30,0,28780,Nicholas Thompson,7,313,2
2013,30,0,27095,Nick Watney,7,281,0
2013,46,0,34021,Bud Cauley,6,204,2
2013,46,0,20593,Greg Chalmers,6,239,2
2013,46,0,32366,Kevin Chappell,6,261,0
2013,46,0,23452,Nicolas Colsaerts,6,143,2
2013,46,0,24494,Erik Compton,6,230,2
2013,46,0,29740,Brad Fritsch,6,247,1
2013,46,0,24399,Scott Gardiner,6,192,0
2013,46,0,27408,Martin Kaymer,6,166,0
2013,46,0,27936,Martin Laird,6,224,2
2013,46,0,28237,Rory McIlroy,6,180,1
2013,46,0,24140,Sean O'Hair,6,181,1
2013,46,0,20691,Greg Owen,6,223,0
2013,46,0,25818,Scott Piercy,6,230,2
2013,46,0,27556,Ted Potter Jr.,6,183,1
2013,46,0,27649,Brandt Snedeker,6,251,0
2013,46,0,6527,Steve Stricker,6,144,2
2013,46,0,33419,Cameron Tringale,6,261,1
2013,63,0,29479,Scott Brown,5,219,1
2013,63,0,27436,Graham DeLaet,5,294,0
2013,63,0,25900,Lucas Glover,5,215,3
2013,63,0,24924,Bill Haas,5,265,3
2013,63,0,23353,J.J. Henry,5,255,0
2013,63,0,34174,John Huh,5,274,2
2013,63,0,30852,Ryo Ishikawa,5,225,1
2013,63,0,24024,Zach Johnson,5,256,0
2013,63,0,19970,Robert Karlsson,5,164,1
2013,63,0,8075,Jerry Kelly,5,235,2
2013,63,0,27503,Steve LeBrun,5,204,1
2013,63,0,10860,Justin Leonard,5,274,2
2013,63,0,27120,Troy Matteson,5,216,1
2013,63,0,31202,William McGirt,5,240,1
2013,63,0,1810,Phil Mickelson,5,245,0
2013,63,0,23800,Bryce Molder,5,251,2
2013,63,0,26596,Ryan Moore,5,220,1
2013,63,0,22056,Cameron Percy,5,206,1
2013,63,0,25336,Alistair Presnell,5,181,1
2013,63,0,23497,Tag Ridings,5,207,0
2013,63,0,25562,Andres Romero,5,191,0
2013,63,0,29221,Webb Simpson,5,264,1
2013,63,0,29518,Brendan Steele,5,262,2
2013,63,0,34431,Robert Streb,5,219,1
2013,63,0,31560,Brian Stuard,5,235,0
2013,63,0,29425,Andrew Svoboda,5,136,2
2013,63,0,23623,Bo Van Pelt,5,227,0
2013,63,0,25804,Bubba Watson,5,234,0
2013,91,0,6004,Stephen Ames,4,148,0
2013,91,0,28259,Sangmoon Bae,4,256,1
