YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
2013,1,0,21528,Henrik Stenson,71.96,829,1152,-0.27
2013,2,0,6527,Steve Stricker,71.16,602,846,-0.3
2013,3,0,27436,Graham DeLaet,70.51,1193,1692,-0.25
2013,4,0,24846,Ricky Barnes,70.48,888,1260,-0.21
2013,5,0,25804,Bubba Watson,69.41,912,1314,-0.27
2013,6,0,26289,Boo Weekley,69.39,1249,1800,-0.24
2013,7,0,6567,Vijay Singh,69.13,759,1098,-0.16
2013,8,0,26679,Kevin Stadler,68.92,980,1422,-0.29
2013,9,0,22405,Justin Rose,68.89,744,1080,-0.26
2013,10,0,23638,Brendon de Jonge,68.84,1363,1980,-0.26
2013,11,0,24502,Adam Scott,68.8,743,1080,-0.27
2013,12,0,25444,Justin Hicks,68.59,926,1350,-0.23
2013,13,0,27095,Nick Watney,68.48,1060,1548,-0.24
2013,14,0,10809,Jim Furyk,68.3,959,1404,-0.25
2013,15,0,24024,Zach Johnson,68.14,1018,1494,-0.25
2013,16,0,31557,Jim Herman,67.98,673,990,-0.24
2013,17,0,23353,J.J. Henry,67.97,991,1458,-0.21
2013,18,0,24361,Pat Perez,67.87,843,1242,-0.27
2013,18,0,23788,D.J. Trahan,67.87,562,828,-0.24
2013,20,0,28780,Nicholas Thompson,67.85,1209,1782,-0.24
2013,21,0,24924,Bill Haas,67.79,1025,1512,-0.26
2013,22,0,20229,Stewart Cink,67.76,866,1278,-0.24
2013,23,0,23621,Rory Sabbatini,67.75,1000,1476,-0.28
2013,24,0,8793,Tiger Woods,67.59,730,1080,-0.31
2013,25,0,24781,Hunter Mahan,67.58,1034,1530,-0.26
2013,26,0,25686,Jason Dufner,67.53,936,1386,-0.24
2013,27,0,29420,Billy Horschel,67.48,1166,1728,-0.29
2013,28,0,27503,Steve LeBrun,67.47,753,1116,-0.22
2013,29,0,21209,Sergio Garcia,67.46,765,1134,-0.28
2013,30,0,22913,John Rollins,67.43,886,1314,-0.26
2013,31,0,30163,Henrik Norlander,67.4,825,1224,-0.24
2013,32,0,30110,Kyle Stanley,67.37,861,1278,-0.21
2013,33,0,32200,Roberto Castro,67.3,1175,1746,-0.26
2013,34,0,12510,Chad Campbell,67.03,917,1368,-0.24
2013,35,0,33419,Cameron Tringale,67.01,965,1440,-0.25
2013,36,0,31323,Gary Woodland,66.98,1085,1620,-0.28
2013,37,0,34046,Jordan Spieth,66.94,988,1476,-0.3
2013,38,0,23452,Nicolas Colsaerts,66.78,565,846,-0.2
2013,39,0,30925,Dustin Johnson,66.75,841,1260,-0.29
2013,40,0,26476,Chez Reavie,66.74,865,1296,-0.25
2013,40,0,27770,Camilo Villegas,66.74,901,1350,-0.27
2013,42,0,21961,Charles Howell III,66.73,1021,1530,-0.28
2013,43,0,1810,Phil Mickelson,66.67,936,1404,-0.32
2013,43,0,29221,Webb Simpson,66.67,1056,1584,-0.27
2013,45,0,34174,John Huh,66.6,1055,1584,-0.22
2013,46,0,29740,Brad Fritsch,66.59,923,1386,-0.27
2013,47,0,1724,Jeff Maggert,66.58,755,1134,-0.23
2013,48,0,33869,Eric Meierdierks,66.55,551,828,-0.21
2013,49,0,33141,Keegan Bradley,66.54,1042,1566,-0.29
2013,50,0,27933,John Merrick,66.53,946,1422,-0.26
2013,50,0,27330,Josh Teater,66.53,982,1476,-0.26
2013,52,0,35139,Richard Lee,66.52,922,1386,-0.24
2013,53,0,22378,Trevor Immelman,66.51,826,1242,-0.18
2013,54,0,25900,Lucas Glover,66.41,777,1170,-0.21
2013,54,0,27214,Kevin Streelman,66.41,1028,1548,-0.25
2013,56,0,23320,Ryan Palmer,66.24,942,1422,-0.3
2013,56,0,21878,Mark Wilson,66.24,620,936,-0.21
2013,58,0,24358,Robert Garrigus,66.15,774,1170,-0.3
2013,59,0,1116,Michael Bradley,66.13,619,936,-0.19
2013,60,0,32366,Kevin Chappell,66.11,952,1440,-0.25
2013,61,0,25632,Jimmy Walker,66.07,999,1512,-0.29
2013,62,0,30852,Ryo Ishikawa,66.03,832,1260,-0.22
2013,63,0,34099,Harris English,66.02,1129,1710,-0.29
2013,64,0,6573,Brandt Jobe,66.0,689,1044,-0.23
2013,64,0,26300,Matt Jones,66.0,986,1494,-0.27
2013,66,0,29518,Brendan Steele,65.99,974,1476,-0.25
2013,67,0,28092,D.H. Lee,65.98,772,1170,-0.26
2013,68,0,20645,John Senden,65.95,926,1404,-0.22
2013,69,0,30926,Chris Kirk,65.92,1056,1602,-0.31
2013,70,0,29425,Andrew Svoboda,65.91,522,792,-0.24
2013,71,0,24357,K.J. Choi,65.87,996,1512,-0.22
2013,72,0,26331,Charl Schwartzel,65.85,806,1224,-0.31
2013,73,0,23108,Matt Kuchar,65.84,1031,1566,-0.29
2013,74,0,23497,Tag Ridings,65.81,770,1170,-0.25
2013,75,0,31560,Brian Stuard,65.77,876,1332,-0.25
2013,76,0,22056,Cameron Percy,65.74,781,1188,-0.24
2013,77,0,20691,Greg Owen,65.73,840,1278,-0.23
2013,78,0,28455,Will Claxton,65.7,745,1134,-0.21
2013,79,0,27649,Brandt Snedeker,65.68,934,1422,-0.3
2013,80,0,30944,Jason Kokrak,65.67,922,1404,-0.27
2013,81,0,23623,Bo Van Pelt,65.63,827,1260,-0.25
2013,82,0,34431,Robert Streb,65.57,838,1278,-0.24
2013,83,0,28307,Matt Every,65.54,1050,1602,-0.29
2013,84,0,28500,Martin Flores,65.53,979,1494,-0.26
2013,85,0,12716,Charley Hoffman,65.48,990,1512,-0.3
2013,86,0,28237,Rory McIlroy,65.45,648,990,-0.3
2013,87,0,8075,Jerry Kelly,65.41,883,1350,-0.25
2013,88,0,31202,William McGirt,65.33,882,1350,-0.26
2013,89,0,24490,George McNeill,65.28,799,1224,-0.25
2013,90,0,36884,Ben Kohles,65.26,834,1278,-0.22
2013,91,0,20396,Lee Westwood,65.22,810,1242,-0.23
2013,92,0,20098,Stuart Appleby,65.21,986,1512,-0.23
2013,93,0,24494,Erik Compton,65.09,867,1332,-0.25
2013,94,0,26851,Marc Leishman,65.08,902,1386,-0.24
2013,95,0,20848,Ángel Cabrera,64.99,854,1314,-0.24
2013,96,0,28089,Jason Day,64.93,935,1440,-0.28
2013,97,0,1320,Bob Estes,64.9,771,1188,-0.25
2013,98,0,28475,Jeff Overton,64.89,911,1404,-0.28
2013,99,0,27408,Martin Kaymer,64.85,677,1044,-0.24
2013,100,0,27120,Troy Matteson,64.81,770,1188,-0.22
2013,101,0,32448,James Hahn,64.71,862,1332,-0.29
2013,101,0,26758,David Hearn,64.71,1025,1584,-0.28
2013,103,0,33461,Morgan Hoffmann,64.67,745,1152,-0.29
2013,104,0,30692,Scott Stallings,64.63,919,1422,-0.26
2013,105,0,32334,Charlie Beljan,64.61,721,1116,-0.24
2013,106,0,20572,Rod Pampling,64.55,488,756,-0.24
2013,107,0,27556,Ted Potter Jr.,64.48,708,1098,-0.24
2013,108,0,25834,Daniel Summerhays,64.46,963,1494,-0.29
2013,109,0,24507,Jason Bohn,64.44,812,1260,-0.28
2013,110,0,10213,Dicky Pride,64.43,777,1206,-0.23
2013,111,0,22806,Doug LaBelle II,64.37,811,1260,-0.27
2013,112,0,26951,Johnson Wagner,64.35,695,1080,-0.19
2013,113,0,27963,Chris Stroud,64.33,1019,1584,-0.27
2013,114,0,26596,Ryan Moore,64.32,822,1278,-0.25
2013,115,0,29289,S.Y. Noh,64.26,775,1206,-0.25
2013,116,0,34098,Russell Henley,64.25,902,1404,-0.28
2013,117,0,24399,Scott Gardiner,64.12,681,1062,-0.24
2013,118,0,29479,Scott Brown,64.1,750,1170,-0.25
2013,118,0,28679,Fabián Gómez,64.1,750,1170,-0.27
2013,120,0,34261,Scott Langley,64.0,864,1350,-0.23
2013,121,0,23541,Ben Crane,63.98,668,1044,-0.23
2013,122,0,37273,Derek Ernst,63.89,667,1044,-0.23
2013,123,0,22621,Ben Curtis,63.84,655,1026,-0.2
2013,124,0,23409,James Driscoll,63.81,827,1296,-0.28
2013,125,0,34360,Patrick Reed,63.79,953,1494,-0.28
2013,126,0,34021,Bud Cauley,63.76,723,1134,-0.25
2013,127,0,28259,Sangmoon Bae,63.72,952,1494,-0.28
2013,128,0,23800,Bryce Molder,63.68,917,1440,-0.29
2013,129,0,33418,Shawn Stefani,63.67,722,1134,-0.25
2013,130,0,27936,Martin Laird,63.64,779,1224,-0.23
2013,130,0,2206,David Toms,63.64,504,792,-0.24
2013,132,0,35539,Luke Guthrie,63.62,939,1476,-0.24
2013,133,0,22961,David Mathis,63.6,767,1206,-0.23
2013,134,0,32102,Rickie Fowler,63.59,847,1332,-0.28
2013,135,0,23325,Vaughn Taylor,63.53,526,828,-0.28
2013,136,0,24138,Ian Poulter,63.52,606,954,-0.23
2013,137,0,20443,Jin Park,63.44,571,900,-0.23
2013,138,0,34409,David Lingmerth,63.24,774,1224,-0.26
2013,139,0,19970,Robert Karlsson,63.14,591,936,-0.22
2013,140,0,10860,Justin Leonard,63.11,977,1548,-0.28
2013,141,0,20104,Ken Duke,63.09,988,1566,-0.24
2013,142,0,32698,Bobby Gates,62.84,509,810,-0.2
2013,143,0,25240,D.A. Points,62.77,983,1566,-0.25
2013,144,0,25572,Graeme McDowell,62.7,553,882,-0.23
2013,144,0,24663,Y.E. Yang,62.7,632,1008,-0.23
2013,146,0,27644,Brian Harman,62.61,958,1530,-0.26
2013,147,0,21099,David Lynn,62.48,776,1242,-0.24
2013,148,0,10885,Robert Allenby,62.4,629,1008,-0.23
2013,149,0,27129,Luke List,62.39,685,1098,-0.26
2013,150,0,25818,Scott Piercy,62.3,841,1350,-0.28
2013,151,0,25336,Alistair Presnell,62.28,639,1026,-0.23
2013,152,0,28135,Aaron Watkins,62.25,493,792,-0.25
