YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PLAYOFF POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
2014,51,0,30944,Jason Kokrak,6.0,300,5000,0,
2014,52,0,27436,Graham DeLaet,5.87,440,7500,0,
2014,53,0,26758,David Hearn,5.7,285,5000,0,
2014,54,0,23541,Ben Crane,5.67,425,7500,0,
2014,55,0,31560,Brian Stuard,5.66,424,7500,0,
2014,56,0,8075,Jerry Kelly,5.47,410,7500,0,
2014,57,0,30927,Brendon Todd,5.38,538,10000,0,
2014,58,0,24490,George McNeill,5.2,390,7500,0,
2014,59,0,25274,Steven Bowditch,5.13,385,7500,0,
2014,60,0,30852,Ryo Ishikawa,5.1,255,5000,0,
2014,60,0,27214,Kevin Streelman,5.1,383,7500,0,
2014,62,0,24494,Erik Compton,4.97,373,7500,0,
2014,62,0,25834,Daniel Summerhays,4.97,373,7500,0,
2014,64,0,24138,Ian Poulter,4.7,235,5000,0,
2014,65,0,33141,Keegan Bradley,4.57,343,7500,0,
2014,66,0,27770,Camilo Villegas,4.53,340,7500,0,
2014,67,0,32640,Troy Merritt,4.4,110,2500,0,
2014,67,0,23800,Bryce Molder,4.4,110,2500,0,
2014,69,0,34261,Scott Langley,4.25,213,5000,0,
2014,70,0,33418,Shawn Stefani,4.05,203,5000,0,
2014,71,0,12716,Charley Hoffman,3.53,265,7500,0,
2014,72,0,6567,Vijay Singh,3.5,175,5000,0,
2014,73,0,30692,Scott Stallings,3.25,163,5000,0,
2014,74,0,23135,Tim Clark,3.2,160,5000,0,
2014,75,0,34174,John Huh,3.07,154,5000,0,
2014,76,0,29518,Brendan Steele,3.05,153,5000,0,
2014,77,0,25562,Andres Romero,3.04,152,5000,0,
2014,78,0,24507,Jason Bohn,3.03,228,7500,0,
2014,79,0,27644,Brian Harman,2.97,223,7500,0,
2014,80,0,24357,K.J. Choi,2.73,205,7500,0,
2014,81,0,34099,Harris English,2.57,193,7500,0,
2014,82,0,20396,Lee Westwood,2.5,63,2500,0,
2014,83,0,24912,Will MacKenzie,2.3,173,7500,0,
2014,84,0,33413,Ben Martin,2.2,110,5000,0,
2014,85,0,28486,Michael Putnam,1.8,90,5000,0,
2014,86,0,28475,Jeff Overton,1.77,89,5000,0,
2014,87,0,1810,Phil Mickelson,1.66,124,7500,0,
2014,88,0,26289,Boo Weekley,1.6,40,2500,0,
2014,89,0,26596,Ryan Moore,1.4,105,7500,0,
2014,90,0,28307,Matt Every,1.39,104,7500,0,
2014,91,0,26851,Marc Leishman,1.37,103,7500,0,
2014,92,0,23983,Luke Donald,1.1,55,5000,0,
2014,92,0,29222,Billy Hurley III,1.1,55,5000,0,
2014,92,0,29425,Andrew Svoboda,1.1,55,5000,0,
2014,95,0,21731,Freddie Jacobson,1.09,82,7500,0,
2014,95,0,26300,Matt Jones,1.09,82,7500,0,
2014,97,0,20157,Retief Goosen,0.9,23,2500,0,
2014,97,0,27064,Jhonattan Vegas,0.9,23,2500,0,
2014,99,0,23638,Brendon de Jonge,0.89,45,5000,0,
2014,100,0,24846,Ricky Barnes,0.5,13,2500,0,
2014,101,0,35539,Luke Guthrie,0.19,5,2500,0,
2014,101,0,25349,Tim Wilkinson,0.19,5,2500,0,
2014,103,0,21753,Brian Davis,0.18,4,2500,0,
2014,103,0,2206,David Toms,0.18,4,2500,0,
2014,105,0,28500,Martin Flores,0.16,4,2500,0,
2014,106,0,29479,Scott Brown,0.09,4,5000,0,
2022,1,0,35450,Patrick Cantlay,50.53,2021,4000,1,2.0
2022,2,0,47483,Will Zalatoris,50.0,2000,4000,1,1.0
2022,3,0,49960,Sepp Straka,32.88,1315,4000,0,2.0
2022,4,0,30692,Scott Stallings,30.0,1200,4000,0,1.0
2022,5,0,24502,Adam Scott,18.71,749,4000,0,2.0
2022,6,0,27644,Brian Harman,17.95,718,4000,0,1.0
2022,7,0,48081,Xander Schauffele,16.78,671,4000,0,2.0
2022,8,0,25900,Lucas Glover,16.63,665,4000,0,1.0
2022,9,0,46970,Jon Rahm,16.46,659,4000,0,2.0
2022,10,0,46046,Scottie Scheffler,16.25,650,4000,0,2.0
2022,11,0,46601,Trey Mullinax,14.78,591,4000,0,1.0
2022,12,0,32791,K.H. Lee,13.84,554,4000,0,1.0
2022,13,0,45486,Joaquin Niemann,13.06,523,4000,0,1.0
2022,14,0,39997,Corey Conners,12.95,518,4000,0,1.0
2022,15,0,34256,Andrew Putnam,12.27,491,4000,0,1.0
2022,16,0,39971,Sungjae Im,11.7,468,4000,0,1.0
2022,17,0,29725,Tony Finau,11.59,464,4000,0,2.0
2022,18,0,54628,Lee Hodges,10.63,213,2000,0,0.0
2022,18,0,35891,Cameron Smith,10.63,213,2000,0,0.0
2022,20,0,51634,Sahith Theegala,10.51,421,4000,0,0.0
2022,21,0,50525,Collin Morikawa,9.8,392,4000,0,1.0
2022,22,0,40098,Matt Fitzpatrick,9.59,384,4000,0,1.0
2022,23,0,47504,Sam Burns,8.24,330,4000,0,0.0
2022,24,0,40250,Taylor Pendrith,8.09,324,4000,0,1.0
2022,25,0,28237,Rory McIlroy,7.75,310,4000,1,2.0
2022,26,0,29970,Dylan Frittelli,7.68,154,2000,0,0.0
2022,26,0,23320,Ryan Palmer,7.68,154,2000,0,0.0
2022,28,0,49964,Aaron Wise,7.23,289,4000,0,0.0
2022,29,0,33204,Shane Lowry,7.02,281,4000,0,0.0
2022,30,0,45157,Cam Davis,7.01,281,4000,0,0.0
2022,31,0,47993,Denny McCarthy,6.71,269,4000,0,0.0
2022,32,0,45522,Christiaan Bezuidenhout,6.47,259,4000,0,0.0
2022,33,0,31646,Emiliano Grillo,6.43,257,4000,0,0.0
2022,34,0,33448,Justin Thomas,6.04,242,4000,0,1.0
2022,35,0,55182,Tom Kim,5.91,236,4000,0,0.0
2022,36,0,34363,Tyrrell Hatton,5.59,223,4000,0,0.0
2022,36,0,57366,Cameron Young,5.59,223,4000,0,0.0
2022,38,0,46717,Viktor Hovland,5.54,222,4000,0,0.0
2022,38,0,49771,J.T. Poston,5.54,222,4000,0,0.0
2022,40,0,39058,Lucas Herbert,5.2,208,4000,0,0.0
2022,41,0,39977,Max Homa,4.81,192,4000,0,1.0
2022,41,0,39324,J.J. Spaun,4.81,192,4000,0,0.0
2022,43,0,29478,Kevin Kisner,4.71,189,4000,0,0.0
2022,44,0,48117,Kurt Kitayama,4.4,176,4000,0,0.0
2022,44,0,34046,Jordan Spieth,4.4,176,4000,0,0.0
2022,46,0,46442,Maverick McNealy,4.38,175,4000,0,0.0
2022,46,0,39546,Keith Mitchell,4.38,175,4000,0,0.0
2022,48,0,45609,Tyler Duncan,4.05,81,2000,0,0.0
2022,48,0,47347,Adam Schenk,4.05,81,2000,0,0.0
2022,48,0,32150,Michael Thompson,4.05,81,2000,0,0.0
2022,51,0,32640,Troy Merritt,3.47,139,4000,0,0.0
2022,52,0,32839,Hideki Matsuyama,3.4,68,2000,0,0.0
2022,53,0,51766,Wyndham Clark,3.37,135,4000,0,0.0
2022,54,0,26851,Marc Leishman,3.28,131,4000,0,0.0
2022,55,0,49947,Taylor Moore,3.11,125,4000,0,0.0
2022,56,0,48822,Sebastián Muñoz,2.65,106,4000,0,0.0
2022,57,0,47995,Davis Riley,2.62,105,4000,0,0.0
2022,58,0,29518,Brendan Steele,2.35,94,4000,0,0.0
2022,59,0,36799,Stephan Jaeger,1.9,38,2000,0,0.0
2022,59,0,36326,David Lipsky,1.9,38,2000,0,0.0
2022,61,0,47529,Mito Pereira,1.85,74,4000,0,0.0
2022,62,0,34098,Russell Henley,1.7,68,4000,0,0.0
2022,62,0,29420,Billy Horschel,1.7,68,4000,0,0.0
2022,62,0,23108,Matt Kuchar,1.7,68,4000,0,0.0
2022,65,0,37455,Si Woo Kim,1.61,64,4000,0,0.0
2022,66,0,35506,Mackenzie Hughes,1.47,59,4000,0,0.0
2022,67,0,33399,Adam Hadwin,1.41,56,4000,0,0.0
2022,68,0,46414,Aaron Rai,1.36,27,2000,0,0.0
2022,68,0,37275,Sam Ryder,1.36,27,2000,0,0.0
2022,68,0,34431,Robert Streb,1.36,27,2000,0,0.0
2022,68,0,40115,Adam Svensson,1.36,27,2000,0,0.0
2022,68,0,31323,Gary Woodland,1.36,27,2000,0,0.0
2022,73,0,26476,Chez Reavie,1.28,51,4000,0,0.0
2022,74,0,46340,Alex Smalley,1.09,44,4000,0,0.0
2022,75,0,35461,Beau Hossler,1.06,21,2000,0,0.0
2022,75,0,27936,Martin Laird,1.06,21,2000,0,0.0
2022,77,0,55708,Hayden Buckley,0.92,18,2000,0,0.0
2022,77,0,32448,James Hahn,0.92,18,2000,0,0.0
2022,77,0,51890,Greyson Sigg,0.92,18,2000,0,0.0
2022,80,0,35532,Tom Hoge,0.88,35,4000,0,1.0
2022,80,0,37189,Harold Varner III,0.88,35,4000,0,0.0
2022,82,0,32102,Rickie Fowler,0.8,16,2000,0,0.0
2022,83,0,27349,Alex Noren,0.73,29,4000,0,0.0
2022,84,0,30927,Brendon Todd,0.72,14,2000,0,0.0
2022,85,0,33141,Keegan Bradley,0.52,21,4000,0,0.0
2022,86,0,30926,Chris Kirk,0.47,19,4000,0,0.0
2022,86,0,27129,Luke List,0.47,19,4000,0,0.0
2022,88,0,33419,Cameron Tringale,0.44,18,4000,0,0.0
2022,89,0,28252,Seamus Power,0.4,16,4000,0,0.0
2024,1,0,46046,Scottie Scheffler,99.99%,24000622,24004000,1,2.0
2024,2,0,50525,Collin Morikawa,47.91%,11500258,24004000,0,1.0
2024,3,0,51634,Sahith Theegala,27.08%,6500077,24004000,0,1.0
2024,4,0,34098,Russell Henley,16.39%,3933595,24004000,0,1.0
2024,4,0,48081,Xander Schauffele,16.39%,3934698,24004000,0,3.0
2024,4,0,24502,Adam Scott,16.39%,3934351,24004000,0,2.0
2024,7,0,28252,Seamus Power,14.50%,290,2000,0,1.0
2024,8,0,59866,Nick Dunlap,13.08%,523,4000,0,1.0
2024,9,0,46442,Maverick McNealy,11.85%,237,2000,0,0.0
2024,10,0,47993,Denny McCarthy,11.33%,453,4000,0,1.0
2024,11,0,47483,Will Zalatoris,11.04%,441,4000,0,0.0
2024,12,0,45157,Cam Davis,10.98%,439,4000,0,1.0
2024,13,0,27349,Alex Noren,10.40%,416,4000,0,1.0
2024,14,0,37455,Si Woo Kim,10.31%,412,4000,0,1.0
2024,15,0,39971,Sungjae Im,8.54%,2050324,24004000,0,1.0
2024,16,0,40098,Matt Fitzpatrick,7.55%,302,4000,0,0.0
2024,17,0,37378,Min Woo Lee,6.99%,140,2000,0,0.0
2024,17,0,22405,Justin Rose,6.99%,140,2000,0,0.0
2024,17,0,30927,Brendon Todd,6.99%,140,2000,0,0.0
2024,20,0,51766,Wyndham Clark,6.88%,1650554,24004000,0,2.0
2024,21,0,47591,Eric Cole,5.63%,225,4000,0,0.0
2024,21,0,57362,Austin Eckroat,5.63%,225,4000,0,0.0
2024,23,0,28089,Jason Day,5.55%,222,4000,0,0.0
2024,24,0,51977,Max Greyserman,4.96%,198,4000,0,0.0
2024,25,0,39997,Corey Conners,4.59%,183,4000,0,0.0
2024,25,0,32839,Hideki Matsuyama,4.59%,1102000,24004000,1,2.0
2024,27,0,33204,Shane Lowry,4.58%,1100232,24004000,0,1.0
2024,27,0,28237,Rory McIlroy,4.58%,1100283,24004000,0,1.0
2024,29,0,27644,Brian Harman,4.24%,169,4000,0,0.0
2024,30,0,49771,J.T. Poston,4.07%,163,4000,0,0.0
2024,31,0,31646,Emiliano Grillo,4.01%,80,2000,0,0.0
2024,31,0,36699,Patrick Rodgers,4.01%,80,2000,0,0.0
2024,31,0,40006,Erik van Rooyen,4.01%,80,2000,0,0.0
2024,34,0,33653,Thomas Detry,3.55%,142,4000,0,0.0
2024,35,0,58168,Davis Thompson,3.46%,138,4000,0,0.0
2024,36,0,36799,Stephan Jaeger,3.00%,120,4000,0,0.0
2024,37,0,47679,Victor Perez,2.70%,54,2000,0,0.0
2024,37,0,27064,Jhonattan Vegas,2.70%,54,2000,0,0.0
2024,39,0,39977,Max Homa,2.36%,94,4000,0,0.0
2024,40,0,47504,Sam Burns,2.35%,563753,24004000,0,2.0
2024,40,0,46717,Viktor Hovland,2.35%,563613,24004000,0,1.0
2024,42,0,40250,Taylor Pendrith,2.15%,515344,24004000,0,0.0
2024,42,0,33448,Justin Thomas,2.15%,515172,24004000,0,0.0
2024,44,0,33399,Adam Hadwin,2.14%,85,4000,0,0.0
2024,45,0,52955,Ludvig Åberg,1.82%,435887,24004000,0,1.0
2024,46,0,35450,Patrick Cantlay,1.73%,415441,24004000,0,0.0
2024,46,0,52215,Robert MacIntyre,1.73%,415350,24004000,0,1.0
2024,46,0,48153,Matthieu Pavon,1.73%,415121,24004000,0,0.0
2024,49,0,57366,Cameron Young,1.70%,68,4000,0,0.0
2024,50,0,30911,Tommy Fleetwood,1.65%,395525,24004000,0,1.0
2024,51,0,33141,Keegan Bradley,1.49%,357020,24004000,1,1.0
2024,52,0,33948,Byeong Hun An,1.48%,355285,24004000,0,0.0
2024,53,0,29725,Tony Finau,1.38%,330412,24004000,0,0.0
2024,53,0,29420,Billy Horschel,1.38%,330446,24004000,0,1.0
2024,53,0,46414,Aaron Rai,1.38%,330258,24004000,0,0.0
2024,56,0,54591,Ben Griffin,1.37%,27,2000,0,0.0
2024,56,0,55182,Tom Kim,1.37%,27,2000,0,0.0
2024,58,0,56630,Akshay Bhatia,1.31%,315281,24004000,0,0.0
2024,59,0,30926,Chris Kirk,1.28%,307837,24004000,0,1.0
2024,59,0,49960,Sepp Straka,1.28%,307722,24004000,0,0.0
2024,61,0,45522,Christiaan Bezuidenhout,1.24%,297722,24004000,0,0.0
2024,61,0,35532,Tom Hoge,1.24%,297743,24004000,0,0.0
2024,63,0,35506,Mackenzie Hughes,1.08%,22,2000,0,0.0
2024,64,0,34466,Peter Malnati,1.02%,20,2000,0,0.0
2024,65,0,34099,Harris English,.90%,18,2000,0,0.0
2024,65,0,36801,Mark Hubbard,.90%,18,2000,0,0.0
2024,67,0,25493,Nick Taylor,.80%,16,2000,0,0.0
2024,68,0,49947,Taylor Moore,.76%,15,2000,0,0.0
2024,69,0,47420,Jake Knapp,.72%,14,2000,0,0.0
2024,70,0,34046,Jordan Spieth,.66%,13,2000,0,0.0
2023,1,0,46717,Viktor Hovland,55.73%,2229,4000,2,2.0
2023,2,0,25900,Lucas Glover,53.90%,2156,4000,1,1.0
2023,3,0,35450,Patrick Cantlay,35.00%,1400,4000,0,2.0
2023,4,0,28237,Rory McIlroy,29.75%,1190,4000,0,3.0
2023,5,0,46046,Scottie Scheffler,26.80%,1072,4000,0,2.0
2023,6,0,40098,Matt Fitzpatrick,24.84%,994,4000,0,2.0
2023,7,0,30911,Tommy Fleetwood,19.58%,783,4000,0,2.0
2023,8,0,39977,Max Homa,18.57%,743,4000,0,3.0
2023,9,0,39971,Sungjae Im,17.07%,683,4000,0,2.0
2023,10,0,34098,Russell Henley,16.32%,653,4000,0,2.0
2023,11,0,39997,Corey Conners,14.61%,584,4000,0,2.0
2023,12,0,27644,Brian Harman,12.80%,512,4000,0,1.0
2023,13,0,49947,Taylor Moore,11.90%,476,4000,0,1.0
2023,14,0,48081,Xander Schauffele,11.50%,460,4000,0,2.0
2023,15,0,51634,Sahith Theegala,10.73%,429,4000,0,0.0
2023,16,0,47347,Adam Schenk,10.17%,407,4000,0,2.0
2023,16,0,34046,Jordan Spieth,10.17%,407,4000,0,1.0
2023,18,0,55182,Tom Kim,9.79%,392,4000,0,1.0
2023,18,0,34256,Andrew Putnam,9.79%,392,4000,0,1.0
2023,20,0,45157,Cam Davis,9.67%,387,4000,0,1.0
2023,21,0,50525,Collin Morikawa,9.06%,362,4000,0,1.0
2023,22,0,35461,Beau Hossler,8.40%,168,2000,0,0.0
2023,22,0,36799,Stephan Jaeger,8.40%,168,2000,0,0.0
2023,24,0,22405,Justin Rose,8.10%,324,4000,0,0.0
2023,25,0,30926,Chris Kirk,7.88%,315,4000,0,0.0
2023,26,0,37455,Si Woo Kim,7.50%,300,4000,0,0.0
2023,27,0,57366,Cameron Young,7.30%,292,4000,0,0.0
2023,28,0,34099,Harris English,7.18%,287,4000,0,1.0
2023,29,0,49771,J.T. Poston,7.15%,286,4000,0,0.0
2023,30,0,47993,Denny McCarthy,6.88%,275,4000,0,1.0
2023,31,0,31646,Emiliano Grillo,6.70%,268,4000,0,0.0
2023,32,0,40115,Adam Svensson,6.65%,266,4000,0,0.0
2023,33,0,54591,Ben Griffin,6.50%,130,2000,0,0.0
2023,33,0,39324,J.J. Spaun,6.50%,130,2000,0,0.0
2023,35,0,33399,Adam Hadwin,6.20%,248,4000,0,0.0
2023,36,0,47504,Sam Burns,5.64%,226,4000,0,1.0
2023,37,0,47591,Eric Cole,5.63%,225,4000,0,0.0
2023,38,0,35532,Tom Hoge,5.40%,216,4000,0,0.0
2023,39,0,51766,Wyndham Clark,5.34%,214,4000,0,1.0
2023,40,0,32839,Hideki Matsuyama,5.00%,200,4000,0,0.0
2023,41,0,37275,Sam Ryder,4.60%,92,2000,0,0.0
2023,42,0,25493,Nick Taylor,4.25%,170,4000,0,0.0
2023,43,0,46970,Jon Rahm,4.15%,166,4000,0,0.0
2023,44,0,33141,Keegan Bradley,3.98%,159,4000,0,1.0
2023,45,0,32102,Rickie Fowler,3.85%,154,4000,0,0.0
2023,46,0,54628,Lee Hodges,3.38%,135,4000,0,0.0
2023,47,0,55789,Taylor Montgomery,3.30%,66,2000,0,0.0
2023,47,0,55893,Sam Stevens,3.30%,66,2000,0,0.0
2023,47,0,52374,Brandon Wu,3.30%,66,2000,0,0.0
2023,50,0,34363,Tyrrell Hatton,3.20%,128,4000,0,0.0
2023,51,0,33948,Byeong Hun An,2.95%,118,4000,0,0.0
2023,52,0,30927,Brendon Todd,2.55%,102,4000,0,0.0
2023,53,0,36699,Patrick Rodgers,2.44%,98,4000,0,0.0
2023,54,0,49960,Sepp Straka,2.24%,90,4000,0,0.0
2023,55,0,29725,Tony Finau,2.22%,89,4000,0,0.0
2023,56,0,39546,Keith Mitchell,2.20%,44,2000,0,0.0
