YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PLAYOFF POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
2013,1,0,21528,Henrik Stenson,53.03,5303,10000,2,2.0
2013,2,0,6527,Steve Stricker,44.17,3313,7500,0,3.0
2013,3,0,24024,Zach Johnson,41.87,3140,7500,1,2.0
2013,4,0,24502,Adam Scott,30.53,3053,10000,1,1.0
2013,5,0,27436,Graham DeLaet,23.7,2370,10000,0,2.0
2013,6,0,34046,Jordan Spieth,23.33,2333,10000,0,2.0
2013,7,0,27095,Nick Watney,23.08,2308,10000,0,2.0
2013,8,0,10809,Jim Furyk,19.38,1938,10000,0,2.0
2013,9,0,22405,Justin Rose,18.95,1895,10000,0,2.0
2013,10,0,31323,Gary Woodland,15.85,1585,10000,0,1.0
2013,11,0,8793,Tiger Woods,15.35,1535,10000,0,1.0
2013,12,0,21209,Sergio Garcia,13.55,1355,10000,0,2.0
2013,13,0,28089,Jason Day,13.41,1341,10000,0,1.0
2013,14,0,29221,Webb Simpson,13.2,1320,10000,0,1.0
2013,15,0,24781,Hunter Mahan,13.16,1316,10000,0,1.0
2013,16,0,23108,Matt Kuchar,12.6,1260,10000,0,1.0
2013,17,0,32200,Roberto Castro,12.3,1230,10000,0,2.0
2013,18,0,26679,Kevin Stadler,11.53,865,7500,0,1.0
2013,19,0,23638,Brendon de Jonge,11.28,1128,10000,0,1.0
2013,20,0,23983,Luke Donald,11.1,1110,10000,0,1.0
2013,21,0,1810,Phil Mickelson,10.86,1086,10000,0,1.0
2013,22,0,26331,Charl Schwartzel,10.58,1058,10000,0,1.0
2013,23,0,33141,Keegan Bradley,10.35,1035,10000,0,
2013,24,0,25686,Jason Dufner,9.8,980,10000,0,2.0
2013,25,0,25834,Daniel Summerhays,9.5,713,7500,0,
2013,26,0,23621,Rory Sabbatini,9.03,678,7500,0,
2013,27,0,34174,John Huh,8.23,618,7500,0,
2013,28,0,21753,Brian Davis,8.03,603,7500,0,1.0
2013,29,0,27214,Kevin Streelman,7.95,795,10000,0,
2013,30,0,30925,Dustin Johnson,7.93,793,10000,0,1.0
2013,31,0,26300,Matt Jones,7.77,583,7500,0,1.0
2013,32,0,27649,Brandt Snedeker,7.6,760,10000,0,1.0
2013,33,0,25240,D.A. Points,7.48,748,10000,0,1.0
2013,34,0,28307,Matt Every,7.37,553,7500,0,1.0
2013,35,0,32366,Kevin Chappell,7.3,548,7500,0,
2013,36,0,25804,Bubba Watson,7.13,535,7500,0,
2013,37,0,26596,Ryan Moore,7.09,532,7500,0,
2013,38,0,29420,Billy Horschel,6.97,697,10000,0,1.0
2013,39,0,32102,Rickie Fowler,6.83,513,7500,0,1.0
2013,40,0,30926,Chris Kirk,6.6,495,7500,0,
2013,41,0,30944,Jason Kokrak,6.56,492,7500,0,1.0
2013,42,0,24924,Bill Haas,6.5,650,10000,0,
2013,42,0,21099,David Lynn,6.5,488,7500,0,
2013,42,0,24138,Ian Poulter,6.5,488,7500,0,1.0
2013,45,0,23800,Bryce Molder,6.33,475,7500,0,
2013,46,0,28780,Nicholas Thompson,6.1,458,7500,0,
2013,47,0,27963,Chris Stroud,5.93,445,7500,0,
2013,48,0,20396,Lee Westwood,5.8,435,7500,0,
2013,49,0,26851,Marc Leishman,5.63,422,7500,0,
2013,49,0,27933,John Merrick,5.63,423,7500,0,
2013,51,0,25818,Scott Piercy,5.61,421,7500,0,
2013,52,0,28237,Rory McIlroy,5.5,413,7500,0,
2013,53,0,21961,Charles Howell III,5.37,403,7500,0,
2013,54,0,25632,Jimmy Walker,5.23,393,7500,0,
2013,55,0,26289,Boo Weekley,5.1,510,10000,0,
2013,56,0,26758,David Hearn,5.03,377,7500,0,
2013,57,0,22371,Aaron Baddeley,5.0,125,2500,0,
2013,57,0,24490,George McNeill,5.0,125,2500,0,
2013,59,0,27770,Camilo Villegas,4.9,245,5000,0,
2013,60,0,19846,Brian Gay,4.73,355,7500,0,
2013,61,0,6522,Ernie Els,4.63,348,7500,0,
2013,62,0,20229,Stewart Cink,4.3,215,5000,0,
2013,63,0,34099,Harris English,4.1,308,7500,0,
2013,63,0,27408,Martin Kaymer,4.1,205,5000,0,
2013,65,0,29518,Brendan Steele,4.03,303,7500,0,
2013,66,0,20098,Stuart Appleby,3.5,175,5000,0,
2013,67,0,1320,Bob Estes,3.3,165,5000,0,
2013,68,0,20593,Greg Chalmers,3.25,163,5000,0,
2013,68,0,21731,Freddie Jacobson,3.25,163,5000,0,
2013,70,0,25345,Carl Pettersson,3.1,78,2500,0,
2013,71,0,24357,K.J. Choi,3.0,150,5000,0,
2013,72,0,27895,Jonas Blixt,2.97,223,7500,0,
2013,72,0,12716,Charley Hoffman,2.97,223,7500,0,
2013,74,0,34098,Russell Henley,2.53,190,7500,0,
2013,75,0,24494,Erik Compton,2.5,125,5000,0,
2013,76,0,25572,Graeme McDowell,2.33,175,7500,0,
2013,76,0,30692,Scott Stallings,2.33,175,7500,0,
2013,78,0,10860,Justin Leonard,2.15,108,5000,0,
2013,79,0,30110,Kyle Stanley,1.95,98,5000,0,
2013,80,0,20848,Ángel Cabrera,1.73,129,7500,0,
2013,81,0,34261,Scott Langley,1.6,40,2500,0,
2013,81,0,20645,John Senden,1.6,40,2500,0,
2013,83,0,28500,Martin Flores,1.55,78,5000,0,
2013,84,0,32150,Michael Thompson,1.47,110,7500,0,
2013,85,0,33419,Cameron Tringale,1.45,73,5000,0,
2013,86,0,8075,Jerry Kelly,1.4,70,5000,0,
2013,86,0,23623,Bo Van Pelt,1.4,70,5000,0,
2013,88,0,22046,Geoff Ogilvy,1.2,30,2500,0,
2013,89,0,28259,Sangmoon Bae,1.07,80,7500,0,
2013,90,0,28475,Jeff Overton,0.9,23,2500,0,
2013,91,0,27330,Josh Teater,0.89,45,5000,0,
2013,92,0,34360,Patrick Reed,0.83,62,7500,0,
2013,93,0,29479,Scott Brown,0.8,40,5000,0,
2013,94,0,23320,Ryan Palmer,0.45,23,5000,0,
2013,95,0,20104,Ken Duke,0.37,28,7500,0,
2013,96,0,31560,Brian Stuard,0.3,15,5000,0,
2013,97,0,24361,Pat Perez,0.1,5,5000,0,
2013,98,0,27936,Martin Laird,0.09,5,5000,0,
2013,98,0,35139,Richard Lee,0.09,5,5000,0,
2014,1,0,29420,Billy Horschel,60.83,6083,10000,2,3.0
2014,2,0,30926,Chris Kirk,33.43,3343,10000,1,2.0
2014,3,0,24781,Hunter Mahan,28.23,2823,10000,1,1.0
2014,4,0,10809,Jim Furyk,24.73,2473,10000,0,3.0
2014,5,0,28237,Rory McIlroy,24.03,2403,10000,0,3.0
2014,6,0,25804,Bubba Watson,21.7,2170,10000,0,1.0
2014,7,0,28089,Jason Day,21.21,2121,10000,0,3.0
2014,8,0,33461,Morgan Hoffmann,17.43,1743,10000,0,2.0
2014,9,0,20098,Stuart Appleby,16.01,1201,7500,0,1.0
2014,10,0,32102,Rickie Fowler,15.85,1585,10000,0,3.0
2014,11,0,33419,Cameron Tringale,15.62,1562,10000,0,1.0
2014,12,0,34098,Russell Henley,15.01,1501,10000,0,1.0
2014,13,0,22046,Geoff Ogilvy,14.53,1453,10000,0,1.0
2014,14,0,21209,Sergio Garcia,13.33,1000,7500,0,2.0
2014,15,0,24502,Adam Scott,13.08,1308,10000,0,2.0
2014,16,0,22405,Justin Rose,12.9,968,7500,0,1.0
2014,17,0,23320,Ryan Palmer,12.77,1277,10000,0,2.0
2014,18,0,20645,John Senden,12.05,1205,10000,0,1.0
2014,19,0,24924,Bill Haas,11.46,1146,10000,0,1.0
2014,20,0,6522,Ernie Els,11.43,858,7500,0,1.0
2014,21,0,23108,Matt Kuchar,11.15,1115,10000,0,1.0
2014,22,0,31323,Gary Woodland,10.93,1093,10000,0,1.0
2014,23,0,34046,Jordan Spieth,10.43,1043,10000,0,1.0
2014,24,0,27408,Martin Kaymer,9.4,940,10000,0,1.0
2014,25,0,25364,Paul Casey,9.1,228,2500,0,
2014,26,0,24024,Zach Johnson,8.73,873,10000,0,
2014,27,0,29289,S.Y. Noh,8.54,641,7500,0,1.0
2014,28,0,25632,Jimmy Walker,8.48,848,10000,0,1.0
2014,29,0,34563,Chesson Hadley,8.44,633,7500,0,1.0
2014,30,0,26331,Charl Schwartzel,8.3,623,7500,0,
2014,31,0,33122,Russell Knox,7.93,595,7500,0,
2014,31,0,21528,Henrik Stenson,7.93,595,7500,0,
2014,33,0,25191,Gonzalo Fernandez-Castaño,7.85,393,5000,0,
2014,34,0,32839,Hideki Matsuyama,7.38,738,10000,0,
2014,34,0,25396,Kevin Na,7.38,738,10000,0,1.0
2014,36,0,21961,Charles Howell III,7.33,550,7500,0,
2014,37,0,32366,Kevin Chappell,7.27,545,7500,0,
2014,38,0,20229,Stewart Cink,7.25,363,5000,0,
2014,39,0,31202,William McGirt,7.15,536,7500,0,1.0
2014,40,0,34360,Patrick Reed,7.02,702,10000,0,1.0
2014,41,0,20848,Ángel Cabrera,7.0,525,7500,0,
2014,42,0,25345,Carl Pettersson,6.98,523,7500,0,1.0
2014,43,0,23623,Bo Van Pelt,6.95,348,5000,0,
2014,44,0,27963,Chris Stroud,6.8,510,7500,0,
2014,45,0,34431,Robert Streb,6.61,331,5000,0,1.0
2014,46,0,29221,Webb Simpson,6.43,643,10000,0,1.0
2014,47,0,26679,Kevin Stadler,6.27,470,7500,0,
2014,48,0,29926,Danny Lee,6.2,310,5000,0,
2014,49,0,25572,Graeme McDowell,6.15,308,5000,0,
2014,50,0,27141,J.B. Holmes,6.13,460,7500,0,
