YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
2013,1,0,37273,Derek Ernst,"21' 1""",8551.583,405
2013,2,0,27936,Martin Laird,"22' 2""",9766.0,440
2013,3,0,34021,Bud Cauley,"22' 3""",10214.0,459
2013,4,0,19970,Robert Karlsson,"22' 7""",6866.75,304
2013,5,0,20396,Lee Westwood,"22' 9""",10026.75,440
2013,6,0,29420,Billy Horschel,"22' 10""",16727.167,732
2013,7,0,33461,Morgan Hoffmann,"22' 11""",9428.0,411
2013,8,0,25686,Jason Dufner,"23' 0""",12544.083,546
2013,8,0,20572,Rod Pampling,"23' 0""",6970.5,303
2013,8,0,26289,Boo Weekley,"23' 0""",17502.0,761
2013,11,0,34098,Russell Henley,"23' 1""",13702.75,593
2013,11,0,34046,Jordan Spieth,"23' 1""",14552.083,631
2013,13,0,32200,Roberto Castro,"23' 2""",18020.167,779
2013,13,0,28780,Nicholas Thompson,"23' 2""",17783.917,767
2013,13,0,23623,Bo Van Pelt,"23' 2""",11012.917,475
2013,16,0,23409,James Driscoll,"23' 3""",10711.167,461
2013,16,0,24663,Y.E. Yang,"23' 3""",8534.583,367
2013,18,0,27933,John Merrick,"23' 5""",13251.0,566
2013,19,0,27408,Martin Kaymer,"23' 6""",8406.25,358
2013,20,0,21099,David Lynn,"23' 7""",10793.333,458
2013,20,0,30163,Henrik Norlander,"23' 7""",11503.083,487
2013,22,0,6004,Stephen Ames,"23' 8""",8295.75,351
2013,22,0,25900,Lucas Glover,"23' 8""",10294.083,435
2013,22,0,28092,D.H. Lee,"23' 8""",12565.667,531
2013,25,0,24494,Erik Compton,"23' 9""",12080.75,508
2013,25,0,21731,Freddie Jacobson,"23' 9""",8655.333,364
2013,25,0,28237,Rory McIlroy,"23' 9""",7585.417,319
2013,28,0,21528,Henrik Stenson,"23' 10""",10237.75,429
2013,28,0,6527,Steve Stricker,"23' 10""",8297.167,348
2013,28,0,27770,Camilo Villegas,"23' 10""",12303.333,517
2013,31,0,8725,Tom Gillis,"23' 11""",12854.167,538
2013,32,0,35539,Luke Guthrie,"24' 0""",12991.333,541
2013,32,0,23108,Matt Kuchar,"24' 0""",13186.167,549
2013,32,0,20443,Jin Park,"24' 0""",9690.75,404
2013,35,0,28455,Will Claxton,"24' 1""",11716.5,486
2013,35,0,23638,Brendon de Jonge,"24' 1""",21222.0,882
2013,35,0,27644,Brian Harman,"24' 1""",15159.25,629
2013,35,0,22913,John Rollins,"24' 1""",13093.833,544
2013,35,0,27214,Kevin Streelman,"24' 1""",15048.083,625
2013,35,0,32150,Michael Thompson,"24' 1""",10944.083,454
2013,41,0,20104,Ken Duke,"24' 2""",17571.75,728
2013,41,0,34261,Scott Langley,"24' 2""",13365.25,553
2013,41,0,27649,Brandt Snedeker,"24' 2""",12018.75,498
2013,44,0,29479,Scott Brown,"24' 4""",11343.917,466
2013,44,0,23541,Ben Crane,"24' 4""",11353.583,466
2013,44,0,30852,Ryo Ishikawa,"24' 4""",10185.333,418
2013,44,0,34409,David Lingmerth,"24' 4""",12589.083,517
2013,44,0,24502,Adam Scott,"24' 4""",9113.417,375
2013,49,0,24227,Justin Bolli,"24' 5""",9399.917,385
2013,49,0,24357,K.J. Choi,"24' 5""",14627.667,600
2013,49,0,20691,Greg Owen,"24' 5""",13127.417,537
2013,49,0,20645,John Senden,"24' 5""",12449.417,510
2013,49,0,25632,Jimmy Walker,"24' 5""",13084.833,536
2013,54,0,1320,Bob Estes,"24' 6""",13262.667,541
2013,54,0,28307,Matt Every,"24' 6""",15773.167,644
2013,54,0,22405,Justin Rose,"24' 6""",9960.583,406
2013,57,0,21209,Sergio Garcia,"24' 7""",9524.917,388
2013,57,0,32698,Bobby Gates,"24' 7""",6448.667,262
2013,57,0,25240,D.A. Points,"24' 7""",14691.333,598
2013,57,0,26476,Chez Reavie,"24' 7""",15968.333,649
