YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,START TOURNAMENT ID,NUMBER OF CUTS
2013,1,0,23108,Matt Kuchar,27.0,2012380.0,
2013,2,0,24502,Adam Scott,26.0,2012240.0,
2013,3,0,28089,Jason Day,25.0,2012380.0,
2013,4,0,6527,Steve Stricker,24.0,2012240.0,
2013,5,0,8793,Tiger Woods,23.0,2012320.0,
2013,6,0,21209,Sergio Garcia,21.0,2012370.0,
2013,7,0,29221,Webb Simpson,11.0,2013250.0,
2013,7,0,21528,Henrik Stenson,11.0,2013200.0,
2013,9,0,31323,Gary Woodland,10.0,2013270.0,
2013,10,0,33141,Keegan Bradley,9.0,2013260.0,
2013,10,0,23638,Brendon de Jonge,9.0,2013280.0,
2013,10,0,24024,Zach Johnson,9.0,2013260.0,
2013,10,0,27408,Martin Kaymer,9.0,2013200.0,
2013,10,0,26289,Boo Weekley,9.0,2013290.0,
2013,15,0,26596,Ryan Moore,8.0,2013260.0,
2013,15,0,27214,Kevin Streelman,8.0,2013290.0,
2013,15,0,20396,Lee Westwood,8.0,2013250.0,
2013,18,0,20098,Stuart Appleby,7.0,2013290.0,
2013,18,0,24357,K.J. Choi,7.0,2013280.0,
2013,18,0,1226,Fred Couples,7.0,2012150.0,
2013,18,0,25686,Jason Dufner,7.0,2013310.0,
2013,18,0,10809,Jim Furyk,7.0,2013320.0,
2013,18,0,24781,Hunter Mahan,7.0,2013310.0,
2013,18,0,1810,Phil Mickelson,7.0,2013310.0,
2013,18,0,23621,Rory Sabbatini,7.0,2013300.0,
2013,18,0,2076,Peter Senior,7.0,2000310.0,
2013,18,0,28780,Nicholas Thompson,7.0,2013290.0,
2013,28,0,27895,Jonas Blixt,6.0,2013310.0,
2013,28,0,26758,David Hearn,6.0,2013290.0,
2013,28,0,24957,Simon Khan,6.0,2010310.0,
2013,28,0,32839,Hideki Matsuyama,6.0,2013250.0,
2013,28,0,27933,John Merrick,6.0,2013320.0,
2013,28,0,23814,Edoardo Molinari,6.0,2011240.0,
2013,28,0,25818,Scott Piercy,6.0,2013320.0,
2013,28,0,22405,Justin Rose,6.0,2013340.0,
2013,28,0,2190,Doug Tewell,6.0,1999230.0,
2013,37,0,20376,Stephen Gallacher,5.0,2013080.0,
2013,37,0,20574,Mathew Goggin,5.0,2012430.0,
2013,37,0,12716,Charley Hoffman,5.0,2013320.0,
2013,37,0,19958,Miguel Angel Jiménez,5.0,2012320.0,
2013,37,0,27503,Steve LeBrun,5.0,2013290.0,
2013,37,0,1682,Wayne Levi,5.0,2001300.0,
2013,37,0,22961,David Mathis,5.0,2013290.0,
2013,37,0,28237,Rory McIlroy,5.0,2013340.0,
2013,37,0,34046,Jordan Spieth,5.0,2013360.0,
2013,37,0,27770,Camilo Villegas,5.0,2013320.0,
2013,47,0,33120,Mark Anderson,4.0,2012440.0,
2013,47,0,26499,Rafa Cabrera Bello,4.0,2013080.0,
2013,47,0,32200,Roberto Castro,4.0,2013370.0,
2013,47,0,32366,Kevin Chappell,4.0,2013360.0,
2013,47,0,28455,Will Claxton,4.0,2013300.0,
2013,47,0,27436,Graham DeLaet,4.0,2013370.0,
2013,47,0,23983,Luke Donald,4.0,2013370.0,
2013,47,0,1320,Bob Estes,4.0,2013320.0,
2013,47,0,28307,Matt Every,4.0,2013360.0,
2013,47,0,30750,Tommy Gainey,4.0,2013320.0,
2013,47,0,34174,John Huh,4.0,2013360.0,
2013,47,0,31558,J.J. Killeen,4.0,2012430.0,
2013,47,0,26851,Marc Leishman,4.0,2013350.0,
2013,47,0,23800,Bryce Molder,4.0,2013360.0,
2013,47,0,26331,Charl Schwartzel,4.0,2013370.0,
2013,47,0,22293,Heath Slocum,4.0,2013260.0,
2013,47,0,27963,Chris Stroud,4.0,2013360.0,
2013,47,0,27095,Nick Watney,4.0,2013370.0,
2013,65,0,6214,Guy Boros,3.0,2011300.0,
2013,65,0,6034,Marco Dawson,3.0,2012450.0,
2013,65,0,19846,Brian Gay,3.0,2013370.0,
2013,65,0,29420,Billy Horschel,3.0,2013380.0,
2013,65,0,21961,Charles Howell III,3.0,2013370.0,
2013,65,0,22378,Trevor Immelman,3.0,2013320.0,
2013,65,0,30925,Dustin Johnson,3.0,2013380.0,
2013,65,0,1619,Skip Kendall,3.0,2012310.0,
2013,65,0,28258,K.T. Kim,3.0,2012350.0,
2013,65,0,30944,Jason Kokrak,3.0,2013370.0,
2013,65,0,35879,Kelly Kraft,3.0,2012440.0,
2013,65,0,33204,Shane Lowry,3.0,2013310.0,
2013,65,0,33413,Ben Martin,3.0,2011430.0,
2013,65,0,25198,Francesco Molinari,3.0,2013310.0,
2013,65,0,22400,Hennie Otto,3.0,2010350.0,
2013,65,0,20095,Carl Paulson,3.0,2011450.0,
2013,65,0,34358,Jonathan Randolph,3.0,2011300.0,
2013,65,0,20645,John Senden,3.0,2013350.0,
2013,65,0,2084,Bob Shearer,3.0,1984320.0,
2013,65,0,27649,Brandt Snedeker,3.0,2013380.0,
2013,65,0,26679,Kevin Stadler,3.0,2013370.0,
2013,65,0,20580,Andre Stolz,3.0,2011300.0,
2013,65,0,25834,Daniel Summerhays,3.0,2013370.0,
