YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2013,1,0,8793,Tiger Woods,82.93,41,34
2013,2,0,31202,William McGirt,82.43,74,61
2013,3,0,23983,Luke Donald,82.0,50,41
2013,4,0,28475,Jeff Overton,81.08,74,60
2013,5,0,27503,Steve LeBrun,80.28,71,57
2013,6,0,20229,Stewart Cink,80.0,50,40
2013,6,0,26951,Johnson Wagner,80.0,45,36
2013,8,0,26497,Casey Wittenberg,79.66,59,47
2013,9,0,24361,Pat Perez,79.63,54,43
2013,10,0,25572,Graeme McDowell,79.41,34,27
2013,11,0,27936,Martin Laird,79.25,53,42
2013,12,0,27644,Brian Harman,79.22,77,61
2013,13,0,20593,Greg Chalmers,79.17,72,57
2013,14,0,25632,Jimmy Walker,78.95,95,75
2013,15,0,32334,Charlie Beljan,78.33,60,47
2013,16,0,34098,Russell Henley,78.26,69,54
2013,17,0,25562,Andres Romero,78.13,64,50
2013,18,0,6527,Steve Stricker,77.78,45,35
2013,19,0,35139,Richard Lee,77.61,67,52
2013,20,0,30711,Colt Knost,77.19,57,44
2013,20,0,22056,Cameron Percy,77.19,57,44
2013,22,0,36884,Ben Kohles,77.14,70,54
2013,23,0,27963,Chris Stroud,77.03,74,57
2013,24,0,27120,Troy Matteson,76.79,56,43
2013,25,0,23623,Bo Van Pelt,76.67,60,46
2013,26,0,26758,David Hearn,76.54,81,62
2013,27,0,30692,Scott Stallings,76.47,68,52
2013,27,0,31560,Brian Stuard,76.47,51,39
2013,29,0,24924,Bill Haas,76.19,84,64
2013,30,0,29425,Andrew Svoboda,76.09,46,35
2013,31,0,25336,Alistair Presnell,75.93,54,41
2013,31,0,27649,Brandt Snedeker,75.93,54,41
2013,33,0,21753,Brian Davis,75.82,91,69
2013,34,0,33461,Morgan Hoffmann,75.76,66,50
2013,34,0,27556,Ted Potter Jr.,75.76,66,50
2013,36,0,22806,Doug LaBelle II,75.68,74,56
2013,37,0,26851,Marc Leishman,75.51,49,37
2013,38,0,24358,Robert Garrigus,75.47,53,40
2013,39,0,27408,Martin Kaymer,75.0,44,33
2013,40,0,28259,Sangmoon Bae,74.68,79,59
2013,41,0,23409,James Driscoll,74.65,71,53
2013,42,0,20848,Ángel Cabrera,74.55,55,41
2013,42,0,30925,Dustin Johnson,74.55,55,41
2013,44,0,29221,Webb Simpson,74.36,78,58
2013,45,0,22792,Peter Hanson,74.19,31,23
2013,46,0,32102,Rickie Fowler,73.85,65,48
2013,47,0,20098,Stuart Appleby,73.81,84,62
2013,48,0,21209,Sergio Garcia,73.17,41,30
2013,48,0,32698,Bobby Gates,73.17,41,30
2013,50,0,19846,Brian Gay,73.13,67,49
2013,51,0,28089,Jason Day,72.88,59,43
2013,52,0,25444,Justin Hicks,72.86,70,51
2013,53,0,22371,Aaron Baddeley,72.73,44,32
2013,53,0,28679,Fabián Gómez,72.73,66,48
2013,55,0,21099,David Lynn,72.58,62,45
2013,56,0,25345,Carl Pettersson,72.37,76,55
2013,57,0,27129,Luke List,72.22,54,39
2013,57,0,26596,Ryan Moore,72.22,54,39
2013,59,0,6004,Stephen Ames,72.09,43,31
2013,60,0,24494,Erik Compton,72.0,75,54
2013,61,0,21878,Mark Wilson,71.93,57,41
2013,62,0,8725,Tom Gillis,71.88,64,46
2013,62,0,34046,Jordan Spieth,71.88,64,46
2013,64,0,30944,Jason Kokrak,71.83,71,51
2013,65,0,26476,Chez Reavie,71.79,78,56
2013,66,0,22378,Trevor Immelman,71.64,67,48
2013,67,0,25274,Steven Bowditch,71.43,70,50
