YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
2013,86,0,22764,Michael Block,$12342,1234200,
2013,87,0,26733,John Kimbell,$12162,1216240,
2013,88,0,25863,Rod Perry,$11656,1165600,
2013,89,0,23778,Brad Adamonis,$11340,1134000,
2013,90,0,35469,Sebastián Vázquez,$7700,770000,
2013,91,0,24461,Thomas Aiken,$7104,710400,
2013,92,0,32070,Rafael Campos,$6650,665000,
2013,93,0,29478,Kevin Kisner,$6180,618000,
2013,94,0,23290,Andrew Johnson,$5850,585000,
2014,1,0,28339,Victor Dubuisson,$1576986,67098557,90600000.0
2014,2,0,25369,Jamie Donaldson,$1265323,30265600,96266667.0
2014,3,0,25198,Francesco Molinari,$1047074,84797432,19910000.0
2014,4,0,36689,Brooks Koepka,$1043115,104311475,
2014,5,0,19958,Miguel Angel Jiménez,$689000,43200000,25700000.0
2014,6,0,24459,Richard Sterne,$654232,5573200,59850000.0
2014,7,0,10944,Thomas Bjørn,$629950,31495013,31500000.0
2014,8,0,23540,Jason Allred,$626734,62673366,
2014,9,0,30978,Kiradech Aphibarnrat,$584428,44517800,13925000.0
2014,10,0,20376,Stephen Gallacher,$561251,16591757,39533333.0
2014,11,0,33199,Matteo Manassero,$559318,33696750,22235000.0
2014,12,0,19970,Robert Karlsson,$545695,54569524,
2014,13,0,24511,Thongchai Jaidee,$475211,7675266,39845834.0
2014,14,0,24956,Mikko Ilonen,$429475,26300000,16647500.0
2014,15,0,28937,George Coetzee,$428239,14857275,27966667.0
2014,16,0,28300,Joost Luiten,$368250,16250000,20575000.0
2014,17,0,29974,Branden Grace,$334368,8286831,25150000.0
2014,18,0,23814,Edoardo Molinari,$288911,28891113,
2014,19,0,33204,Shane Lowry,$217867,21786657,
2014,20,0,27060,John Mallinger,$209958,20995800,
2014,21,0,20608,David Howell,$208943,11731757,9162500.0
2014,22,0,39977,Max Homa,$195924,19592400,
2014,23,0,23063,Scott Hend,$193767,2800000,16576667.0
2014,24,0,27929,Shiv Kapur,$191968,19196800,
2014,25,0,29454,Bernd Wiesberger,$175889,12788888,4800000.0
2014,26,0,33448,Justin Thomas,$170237,17023667,
2014,27,0,25841,Marc Warren,$164142,16414155,
2014,28,0,22000,Chris Wood,$162251,10425132,5800000.0
2014,29,0,23481,Marcel Siem,$156679,15667900,
2014,30,0,32878,Jin Jeong,$135250,0,13525000.0
2014,31,0,29484,Peter Uihlein,$122250,0,12225000.0
2014,32,0,21498,Hideto Tanihara,$119000,11900000,
2014,33,0,34579,Alexander Levy,$108500,6200000,4650000.0
2014,34,0,20721,Darren Fichardt,$107750,0,10775000.0
2014,35,0,46435,Austin Cook,$102467,10246666,
2014,36,0,26525,Grégory Bourdy,$102458,2735821,7510000.0
2014,37,0,29939,Fabrizio Zanotti,$100575,2537500,7520000.0
2014,38,0,39954,Cody Gribble,$98598,9859800,
2014,39,0,24748,WC Liang,$93500,0,9350000.0
2014,40,0,37092,Hyung-Sung Kim,$92982,2448200,6850000.0
2014,41,0,32139,Danny Willett,$92828,9282800,
2014,42,0,29670,Pablo Larrazabal,$92250,0,9225000.0
2014,43,0,30911,Tommy Fleetwood,$87000,0,8700000.0
2014,44,0,23797,Brett Rumford,$86000,0,8600000.0
2014,45,0,27171,Jay McLuen,$84171,8417143,
2014,45,0,27072,Alvaro Quiros,$84171,8417143,
2014,47,0,28697,Gaganjeet Bhullar,$83925,4042500,4350000.0
2014,48,0,36699,Patrick Rodgers,$75104,7510397,
