YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
2013,1,0,23541,Ben Crane,75.0,24,32
2013,2,0,25274,Steven Bowditch,74.07,20,27
2013,3,0,24357,K.J. Choi,70.37,19,27
2013,4,0,32102,Rickie Fowler,66.67,14,21
2013,4,0,20572,Rod Pampling,66.67,6,9
2013,4,0,2206,David Toms,66.67,6,9
2013,7,0,1810,Phil Mickelson,65.38,17,26
2013,8,0,32150,Michael Thompson,65.22,15,23
2013,9,0,20396,Lee Westwood,64.29,9,14
2013,10,0,10423,Mike Weir,64.0,16,25
2013,10,0,21878,Mark Wilson,64.0,16,25
2013,12,0,8725,Tom Gillis,63.64,14,22
2013,12,0,27129,Luke List,63.64,14,22
2013,14,0,21731,Freddie Jacobson,63.16,12,19
2013,15,0,20593,Greg Chalmers,62.5,25,40
2013,15,0,25572,Graeme McDowell,62.5,10,16
2013,15,0,20443,Jin Park,62.5,15,24
2013,15,0,27649,Brandt Snedeker,62.5,15,24
2013,15,0,28310,Lee Williams,62.5,15,24
2013,20,0,26476,Chez Reavie,62.07,18,29
2013,21,0,22378,Trevor Immelman,61.9,13,21
2013,21,0,22056,Cameron Percy,61.9,13,21
2013,21,0,23325,Vaughn Taylor,61.9,13,21
2013,24,0,23108,Matt Kuchar,61.11,22,36
2013,25,0,22295,Darron Stiles,60.87,14,23
2013,26,0,32698,Bobby Gates,60.0,15,25
2013,26,0,25900,Lucas Glover,60.0,15,25
2013,26,0,24924,Bill Haas,60.0,15,25
2013,29,0,32366,Kevin Chappell,59.26,16,27
2013,30,0,20098,Stuart Appleby,58.82,20,34
2013,31,0,23135,Tim Clark,58.33,14,24
2013,31,0,28089,Jason Day,58.33,21,36
2013,31,0,23983,Luke Donald,58.33,14,24
2013,34,0,33418,Shawn Stefani,58.06,18,31
2013,35,0,22806,Doug LaBelle II,57.5,23,40
2013,36,0,30711,Colt Knost,56.52,13,23
2013,37,0,24490,George McNeill,56.25,18,32
2013,38,0,26300,Matt Jones,56.0,14,25
2013,38,0,26497,Casey Wittenberg,56.0,14,25
2013,40,0,21753,Brian Davis,55.88,19,34
2013,40,0,27436,Graham DeLaet,55.88,19,34
