YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
2013,1,0,24357,K.J. Choi,67.18,88,131,22.0
2013,2,0,25274,Steven Bowditch,64.91,74,114,7.0
2013,3,0,23108,Matt Kuchar,64.9,98,151,31.0
2013,4,0,28310,Lee Williams,63.64,63,99,18.0
2013,5,0,26497,Casey Wittenberg,63.3,69,109,20.0
2013,6,0,23541,Ben Crane,63.11,65,103,27.0
2013,7,0,8725,Tom Gillis,62.61,72,115,31.0
2013,8,0,32366,Kevin Chappell,61.74,71,115,27.0
2013,9,0,20098,Stuart Appleby,61.72,79,128,31.0
2013,10,0,33419,Cameron Tringale,61.47,67,109,23.0
2013,11,0,28089,Jason Day,61.36,81,132,26.0
2013,12,0,22792,Peter Hanson,61.02,36,59,12.0
2013,13,0,32150,Michael Thompson,60.87,70,115,33.0
2013,14,0,8793,Tiger Woods,60.82,59,97,19.0
2013,15,0,27649,Brandt Snedeker,60.48,75,124,35.0
2013,16,0,32102,Rickie Fowler,60.34,70,116,31.0
2013,17,0,1320,Bob Estes,59.8,61,102,29.0
2013,18,0,34360,Patrick Reed,59.71,83,139,37.0
2013,19,0,33418,Shawn Stefani,59.48,69,116,37.0
2013,20,0,22405,Justin Rose,59.26,48,81,23.0
2013,21,0,19846,Brian Gay,59.09,78,132,37.0
2013,22,0,20443,Jin Park,58.97,46,78,29.0
2013,22,0,22295,Darron Stiles,58.97,46,78,20.0
2013,24,0,20593,Greg Chalmers,58.87,73,124,41.0
2013,25,0,29740,Brad Fritsch,58.7,81,138,30.0
2013,26,0,27129,Luke List,58.33,63,108,27.0
2013,27,0,10423,Mike Weir,58.26,67,115,37.0
2013,28,0,22056,Cameron Percy,58.16,57,98,27.0
2013,29,0,24138,Ian Poulter,57.14,44,77,27.0
2013,30,0,24507,Jason Bohn,56.88,62,109,32.0
2013,31,0,21099,David Lynn,56.86,58,102,25.0
2013,32,0,25562,Andres Romero,56.45,70,124,42.0
2013,33,0,31202,William McGirt,56.41,66,117,33.0
2013,34,0,2206,David Toms,56.36,31,55,23.0
2013,35,0,28500,Martin Flores,56.3,76,135,30.0
2013,36,0,33141,Keegan Bradley,56.25,81,144,32.0
2013,37,0,22806,Doug LaBelle II,56.06,74,132,50.0
2013,38,0,23983,Luke Donald,55.81,48,86,30.0
2013,39,0,26300,Matt Jones,55.73,73,131,31.0
2013,40,0,1810,Phil Mickelson,55.65,69,124,39.0
2013,41,0,19970,Robert Karlsson,55.56,50,90,30.0
2013,41,0,29221,Webb Simpson,55.56,65,117,35.0
2013,43,0,35139,Richard Lee,55.47,71,128,47.0
2013,44,0,21753,Brian Davis,55.42,92,166,68.0
2013,45,0,10809,Jim Furyk,55.37,67,121,40.0
2013,46,0,20396,Lee Westwood,55.0,55,100,36.0
2013,46,0,20160,Charlie Wi,55.0,77,140,56.0
2013,48,0,23800,Bryce Molder,54.81,74,135,51.0
2013,49,0,25336,Alistair Presnell,54.74,52,95,31.0
2013,49,0,25632,Jimmy Walker,54.74,75,137,33.0
2013,51,0,6527,Steve Stricker,54.72,29,53,12.0
2013,52,0,23409,James Driscoll,54.26,70,129,47.0
2013,53,0,27895,Jonas Blixt,54.23,77,142,42.0
2013,54,0,27770,Camilo Villegas,54.21,58,107,33.0
2013,55,0,32200,Roberto Castro,53.96,75,139,42.0
2013,56,0,23638,Brendon de Jonge,53.9,83,154,46.0
2013,57,0,24502,Adam Scott,53.85,49,91,11.0
2013,58,0,30944,Jason Kokrak,53.62,74,138,45.0
2013,59,0,30711,Colt Knost,53.47,54,101,40.0
2013,60,0,20229,Stewart Cink,53.4,55,103,32.0
2013,61,0,29518,Brendan Steele,53.17,67,126,38.0
2013,62,0,29420,Billy Horschel,53.07,95,179,51.0
2013,63,0,6004,Stephen Ames,53.01,44,83,32.0
2013,64,0,25572,Graeme McDowell,52.86,37,70,28.0
2013,65,0,34099,Harris English,52.74,77,146,49.0
2013,65,0,28307,Matt Every,52.74,77,146,46.0
2013,67,0,8075,Jerry Kelly,52.68,59,112,42.0
2013,68,0,34409,David Lingmerth,52.63,60,114,36.0
2013,69,0,20572,Rod Pampling,52.46,32,61,17.0
2013,70,0,21961,Charles Howell III,52.38,66,126,30.0
2013,70,0,23497,Tag Ridings,52.38,55,105,30.0
2013,72,0,34174,John Huh,52.27,69,132,51.0
2013,73,0,20766,Padraig Harrington,52.05,38,73,24.0
2013,74,0,23135,Tim Clark,52.04,51,98,39.0
2013,75,0,28780,Nicholas Thompson,52.0,78,150,37.0
2013,76,0,22371,Aaron Baddeley,51.94,67,129,46.0
2013,77,0,30750,Tommy Gainey,51.82,71,137,52.0
2013,78,0,22913,John Rollins,51.64,63,122,42.0
2013,78,0,34046,Jordan Spieth,51.64,63,122,31.0
2013,80,0,27963,Chris Stroud,51.63,79,153,49.0
2013,81,0,25686,Jason Dufner,51.55,50,97,40.0
2013,82,0,30163,Henrik Norlander,51.49,52,101,41.0
2013,83,0,12782,Tim Herron,51.28,40,78,28.0
2013,84,0,12716,Charley Hoffman,51.06,72,141,46.0
2013,85,0,21731,Freddie Jacobson,50.98,52,102,34.0
2013,86,0,26596,Ryan Moore,50.94,54,106,41.0
2013,87,0,24924,Bill Haas,50.82,62,122,36.0
2013,88,0,23325,Vaughn Taylor,50.67,38,75,24.0
2013,89,0,26331,Charl Schwartzel,50.66,77,152,48.0
2013,90,0,21878,Mark Wilson,50.57,44,87,29.0
2013,91,0,27120,Troy Matteson,50.51,50,99,36.0
2013,92,0,10213,Dicky Pride,50.44,57,113,46.0
2013,93,0,20691,Greg Owen,50.43,59,117,39.0
2013,94,0,10860,Justin Leonard,50.39,65,129,44.0
2013,95,0,30692,Scott Stallings,50.34,73,145,49.0
2013,96,0,24494,Erik Compton,50.0,68,136,48.0
2013,96,0,21209,Sergio Garcia,50.0,52,104,31.0
2013,96,0,33461,Morgan Hoffmann,50.0,50,100,38.0
2013,96,0,24490,George McNeill,50.0,51,102,39.0
2013,96,0,26679,Kevin Stadler,50.0,58,116,28.0
2013,96,0,31560,Brian Stuard,50.0,57,114,54.0
2013,102,0,28259,Sangmoon Bae,49.65,70,141,52.0
2013,102,0,34098,Russell Henley,49.65,70,141,50.0
2013,102,0,26289,Boo Weekley,49.65,71,143,33.0
2013,105,0,26476,Chez Reavie,49.61,63,127,42.0
2013,106,0,10885,Robert Allenby,49.51,51,103,43.0
2013,107,0,6522,Ernie Els,49.44,44,89,37.0
2013,108,0,30926,Chris Kirk,49.23,64,130,49.0
2013,109,0,27436,Graham DeLaet,48.85,64,131,44.0
2013,110,0,33869,Eric Meierdierks,48.78,40,82,28.0
2013,111,0,12510,Chad Campbell,48.65,54,111,36.0
2013,112,0,6567,Vijay Singh,48.6,52,107,47.0
2013,113,0,24781,Hunter Mahan,48.53,66,136,45.0
2013,114,0,27936,Martin Laird,48.33,58,120,46.0
2013,115,0,1724,Jeff Maggert,48.31,43,89,35.0
2013,116,0,27214,Kevin Streelman,48.25,69,143,58.0
2013,117,0,28679,Fabián Gómez,48.21,54,112,31.0
2013,118,0,23621,Rory Sabbatini,47.93,58,121,32.0
2013,119,0,22378,Trevor Immelman,47.92,46,96,33.0
2013,120,0,30852,Ryo Ishikawa,47.9,57,119,45.0
2013,121,0,28135,Aaron Watkins,47.83,33,69,31.0
2013,122,0,24140,Sean O'Hair,47.67,41,86,34.0
2013,123,0,34021,Bud Cauley,47.57,49,103,34.0
2013,124,0,24399,Scott Gardiner,47.46,56,118,40.0
2013,125,0,32334,Charlie Beljan,47.42,46,97,42.0
2013,126,0,28092,D.H. Lee,47.22,51,108,38.0
2013,127,0,27330,Josh Teater,47.14,66,140,52.0
2013,128,0,25240,D.A. Points,47.1,73,155,58.0
2013,129,0,24227,Justin Bolli,46.88,45,96,47.0
2013,130,0,6573,Brandt Jobe,46.6,48,103,45.0
2013,131,0,34261,Scott Langley,46.53,47,101,39.0
2013,132,0,32448,James Hahn,46.36,51,110,47.0
2013,133,0,25345,Carl Pettersson,46.26,68,147,58.0
2013,134,0,21528,Henrik Stenson,46.24,43,93,28.0
2013,135,0,26851,Marc Leishman,46.15,54,117,38.0
2013,136,0,25804,Bubba Watson,46.08,47,102,39.0
2013,137,0,28475,Jeff Overton,45.99,63,137,44.0
2013,138,0,27408,Martin Kaymer,45.98,40,87,35.0
2013,138,0,27503,Steve LeBrun,45.98,40,87,38.0
2013,140,0,35539,Luke Guthrie,45.93,62,135,63.0
2013,141,0,26951,Johnson Wagner,45.28,48,106,50.0
2013,142,0,27644,Brian Harman,45.14,65,144,55.0
2013,143,0,23320,Ryan Palmer,44.96,58,129,30.0
2013,144,0,25834,Daniel Summerhays,44.68,63,141,63.0
2013,145,0,24846,Ricky Barnes,44.44,44,99,39.0
2013,145,0,24024,Zach Johnson,44.44,44,99,37.0
2013,147,0,22046,Geoff Ogilvy,44.34,47,106,58.0
