YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
2013,1,0,8793,Tiger Woods,6.88,8553438,124250000
2013,2,0,21528,Henrik Stenson,4.83,6388228,132200000
2013,3,0,6527,Steve Stricker,4.43,4440531,100250000
2013,4,0,24502,Adam Scott,3.93,4892607,124550000
2013,5,0,1810,Phil Mickelson,3.59,5495791,153100000
2013,6,0,23108,Matt Kuchar,3.39,5616807,165650000
2013,7,0,27649,Brandt Snedeker,3.33,5318086,159850000
2013,8,0,22405,Justin Rose,3.17,4146147,130850000
2013,9,0,34046,Jordan Spieth,2.57,3879817,151100000
2013,10,0,24024,Zach Johnson,2.41,4044507,168050000
2013,11,0,28089,Jason Day,2.33,3625026,155450000
2013,12,0,33141,Keegan Bradley,2.04,3636810,178550000
2013,13,0,10505,Shane Bertsch,2.0,112000,5600000
2013,13,0,29926,Danny Lee,2.0,112000,5600000
2013,15,0,10809,Jim Furyk,1.99,3204778,161250000
2013,15,0,19958,Miguel Angel Jiménez,1.99,491546,24750000
2013,17,0,29420,Billy Horschel,1.98,3501701,177050000
2013,18,0,25686,Jason Dufner,1.95,3132266,160950000
2013,19,0,24924,Bill Haas,1.94,3475561,179150000
2013,20,0,30925,Dustin Johnson,1.85,2963212,159950000
2013,21,0,27214,Kevin Streelman,1.82,3088281,169750000
2013,22,0,34358,Jonathan Randolph,1.8,54000,3000000
2013,23,0,25572,Graeme McDowell,1.78,2174593,121950000
2013,24,0,32800,Franklin Corpening,1.75,112000,6400000
2013,25,0,21209,Sergio Garcia,1.73,2251136,130050000
2013,26,0,24781,Hunter Mahan,1.71,3036163,177800000
2013,27,0,27436,Graham DeLaet,1.66,2834897,171200000
2013,27,0,29221,Webb Simpson,1.66,2957579,177850000
2013,29,0,32839,Hideki Matsuyama,1.57,771638,49250000
2013,29,0,26331,Charl Schwartzel,1.57,2256721,143450000
2013,31,0,26289,Boo Weekley,1.55,2786659,179250000
2013,32,0,23983,Luke Donald,1.49,1930645,129450000
2013,33,0,28237,Rory McIlroy,1.46,1802441,123050000
2013,33,0,20396,Lee Westwood,1.46,2081729,142250000
2013,35,0,24138,Ian Poulter,1.42,1723461,121650000
2013,36,0,25240,D.A. Points,1.4,2658886,189650000
2013,37,0,27095,Nick Watney,1.34,2477637,184350000
2013,38,0,25632,Jimmy Walker,1.32,2117569,160200000
2013,39,0,7867,Woody Austin,1.31,568800,43400000
2013,40,0,34099,Harris English,1.27,2201163,173350000
2013,41,0,27895,Jonas Blixt,1.26,2027515,161350000
2013,42,0,27933,John Merrick,1.23,1969476,160000000
2013,43,0,20848,Ángel Cabrera,1.22,1791181,146950000
2013,43,0,20634,Peter Lonard,1.22,36666,3000000
2013,43,0,34360,Patrick Reed,1.22,1961518,160300000
2013,43,0,8375,Paul Stankowski,1.22,36666,3000000
2013,47,0,27936,Martin Laird,1.2,1755393,146650000
2013,48,0,23790,Eduardo De La Riva,1.19,95043,8000000
2013,49,0,34098,Russell Henley,1.17,2008023,171350000
2013,49,0,31323,Gary Woodland,1.17,1915730,164400000
2013,51,0,32200,Roberto Castro,1.16,2154895,185300000
2013,51,0,34409,David Lingmerth,1.16,1748108,150800000
2013,53,0,25804,Bubba Watson,1.14,1759274,153950000
2013,54,0,32102,Rickie Fowler,1.13,1816740,160450000
2013,54,0,26300,Matt Jones,1.13,1724706,152800000
2013,54,0,30926,Chris Kirk,1.13,1728615,153200000
2013,57,0,21961,Charles Howell III,1.1,1877385,170900000
2013,58,0,32150,Michael Thompson,1.09,1707636,156300000
2013,59,0,20574,Mathew Goggin,1.08,86579,8000000
2013,60,0,25818,Scott Piercy,1.07,1830083,171450000
2013,61,0,23320,Ryan Palmer,1.05,1521591,145500000
2013,62,0,12716,Charley Hoffman,1.04,1582423,152600000
2013,62,0,21099,David Lynn,1.04,1633253,157250000
2013,64,0,28259,Sangmoon Bae,1.01,1714637,170550000
2013,64,0,32366,Kevin Chappell,1.01,1589838,156900000
2013,66,0,37273,Derek Ernst,0.98,1330856,135450000
2013,66,0,27963,Chris Stroud,0.98,1602121,163800000
2013,68,0,23135,Tim Clark,0.96,1355951,141000000
2013,68,0,25892,Steve Wheatcroft,0.96,59520,6200000
2013,70,0,23638,Brendon de Jonge,0.95,1795240,188900000
2013,70,0,26851,Marc Leishman,0.95,1491357,157300000
2013,70,0,26596,Ryan Moore,0.95,1490263,157550000
2013,73,0,25191,Gonzalo Fernandez-Castaño,0.93,858653,92450000
2013,73,0,30110,Kyle Stanley,0.93,1462942,157600000
2013,73,0,30927,Brendon Todd,0.93,473219,51000000
2013,76,0,20104,Ken Duke,0.92,1722582,186450000
2013,76,0,30692,Scott Stallings,0.92,1622626,177200000
2013,78,0,21731,Freddie Jacobson,0.9,1236721,137900000
2013,79,0,19846,Brian Gay,0.88,1426016,162100000
2013,80,0,27330,Josh Teater,0.87,1332651,153800000
2013,81,0,24459,Richard Sterne,0.86,483757,56050000
2013,82,0,6522,Ernie Els,0.84,1173760,140050000
2013,83,0,26679,Kevin Stadler,0.83,1281175,155200000
2013,83,0,25841,Marc Warren,0.83,132785,16000000
2013,85,0,33968,Thorbjørn Olesen,0.82,713300,86750000
2013,86,0,34174,John Huh,0.81,1529482,188650000
2013,87,0,22913,John Rollins,0.8,1164047,146000000
