YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
2013,1,0,32200,Roberto Castro,337,579,58.2
2013,2,0,23638,Brendon de Jonge,335,656,51.1
2013,3,0,21753,Brian Davis,334,634,52.7
2013,3,0,19846,Brian Gay,334,589,56.7
2013,5,0,21961,Charles Howell III,329,596,55.2
2013,5,0,27963,Chris Stroud,329,596,55.2
2013,7,0,10860,Justin Leonard,326,571,57.1
2013,8,0,30926,Chris Kirk,318,643,49.5
2013,9,0,28780,Nicholas Thompson,304,589,51.6
2013,10,0,20098,Stuart Appleby,303,576,52.6
2013,11,0,27644,Brian Harman,302,552,54.7
2013,12,0,28307,Matt Every,299,593,50.4
2013,13,0,28500,Martin Flores,298,554,53.8
2013,14,0,34360,Patrick Reed,297,558,53.2
2013,15,0,34099,Harris English,293,603,48.6
2013,16,0,27895,Jonas Blixt,292,513,56.9
2013,17,0,25834,Daniel Summerhays,289,554,52.2
2013,18,0,30944,Jason Kokrak,286,517,55.3
2013,18,0,23800,Bryce Molder,286,540,53.0
2013,20,0,31323,Gary Woodland,285,574,49.7
2013,21,0,26300,Matt Jones,284,519,54.7
2013,22,0,26289,Boo Weekley,282,531,53.1
2013,23,0,23108,Matt Kuchar,281,520,54.0
2013,23,0,29518,Brendan Steele,281,520,54.0
2013,25,0,20104,Ken Duke,275,538,51.1
2013,25,0,33419,Cameron Tringale,275,525,52.4
2013,27,0,22371,Aaron Baddeley,274,477,57.4
2013,27,0,28475,Jeff Overton,274,543,50.5
2013,29,0,27436,Graham DeLaet,273,539,50.6
2013,30,0,29420,Billy Horschel,272,595,45.7
2013,31,0,26758,David Hearn,271,554,48.9
2013,32,0,20593,Greg Chalmers,270,547,49.4
2013,33,0,31202,William McGirt,268,507,52.9
2013,33,0,25632,Jimmy Walker,268,552,48.6
2013,35,0,30750,Tommy Gainey,267,535,49.9
2013,36,0,29221,Webb Simpson,265,512,51.8
2013,37,0,1320,Bob Estes,263,461,57.0
2013,37,0,23320,Ryan Palmer,263,518,50.8
2013,39,0,33141,Keegan Bradley,260,505,51.5
