YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
2013,1,0,6527,Steve Stricker,2.193,76.771,51.586,25.185,35
2013,2,0,8793,Tiger Woods,2.064,88.731,70.396,18.333,43
2013,3,0,22405,Justin Rose,1.723,79.269,87.932,-8.662,46
2013,4,0,21528,Henrik Stenson,1.618,71.179,71.008,0.171,44
2013,5,0,21209,Sergio Garcia,1.519,71.404,43.604,27.798,47
2013,6,0,34046,Jordan Spieth,1.473,98.676,86.489,12.183,67
2013,7,0,1810,Phil Mickelson,1.436,81.832,44.16,37.669,57
2013,8,0,33141,Keegan Bradley,1.403,101.011,83.011,18.002,72
2013,9,0,23108,Matt Kuchar,1.398,96.449,68.95,27.495,69
2013,10,0,10809,Jim Furyk,1.389,88.906,83.001,5.901,64
2013,11,0,24502,Adam Scott,1.31,57.657,58.83,-1.174,44
2013,12,0,23983,Luke Donald,1.279,58.853,34.584,24.266,46
2013,13,0,29221,Webb Simpson,1.271,88.966,67.026,21.939,70
2013,14,0,26331,Charl Schwartzel,1.268,68.492,52.241,16.246,54
2013,15,0,24924,Bill Haas,1.265,87.294,68.945,18.348,69
2013,16,0,27649,Brandt Snedeker,1.141,66.179,26.026,40.15,58
2013,17,0,24781,Hunter Mahan,1.134,77.108,51.144,25.964,68
2013,18,0,21731,Freddie Jacobson,1.075,49.456,28.785,20.669,46
2013,19,0,27436,Graham DeLaet,1.069,86.559,78.479,8.078,81
2013,19,0,25804,Bubba Watson,1.069,63.059,68.702,-5.642,59
2013,21,0,28237,Rory McIlroy,0.985,40.365,44.161,-3.796,41
2013,22,0,28089,Jason Day,0.976,59.508,36.959,22.546,61
2013,23,0,30926,Chris Kirk,0.962,77.953,40.995,36.956,81
2013,24,0,25632,Jimmy Walker,0.93,69.722,49.033,20.687,75
2013,25,0,26300,Matt Jones,0.885,61.918,51.769,10.147,70
2013,26,0,23320,Ryan Palmer,0.883,60.897,37.925,22.968,69
2013,27,0,21961,Charles Howell III,0.862,68.969,33.91,35.056,80
2013,28,0,27214,Kevin Streelman,0.858,58.317,41.579,16.735,68
2013,29,0,24357,K.J. Choi,0.845,53.225,31.979,21.244,63
2013,30,0,24024,Zach Johnson,0.844,56.552,32.066,24.485,67
2013,31,0,30925,Dustin Johnson,0.805,41.048,46.187,-5.14,51
2013,32,0,32102,Rickie Fowler,0.783,46.222,21.124,25.099,59
2013,33,0,1320,Bob Estes,0.759,47.066,26.293,20.768,62
2013,34,0,23638,Brendon de Jonge,0.756,73.294,70.355,2.936,97
2013,35,0,34098,Russell Henley,0.754,49.775,9.568,40.206,66
2013,36,0,21753,Brian Davis,0.689,57.207,37.975,19.228,83
2013,37,0,29420,Billy Horschel,0.656,54.488,22.866,31.619,83
2013,38,0,27963,Chris Stroud,0.616,48.083,21.524,26.558,78
2013,39,0,34099,Harris English,0.613,50.304,11.183,39.119,82
2013,40,0,20396,Lee Westwood,0.604,30.788,55.465,-24.676,51
2013,41,0,8075,Jerry Kelly,0.592,37.893,25.203,12.687,64
2013,42,0,25686,Jason Dufner,0.581,35.441,49.509,-14.069,61
2013,43,0,12716,Charley Hoffman,0.578,42.197,32.843,9.35,73
2013,44,0,25572,Graeme McDowell,0.543,20.089,15.058,5.027,37
2013,45,0,27933,John Merrick,0.517,35.165,30.848,4.317,68
2013,46,0,24138,Ian Poulter,0.514,20.049,13.142,6.906,39
2013,47,0,27095,Nick Watney,0.512,37.4,36.954,0.445,73
2013,48,0,22792,Peter Hanson,0.508,16.772,0.797,15.973,33
2013,49,0,23800,Bryce Molder,0.504,35.809,-6.4,42.205,71
2013,50,0,23621,Rory Sabbatini,0.469,33.794,53.491,-19.7,72
2013,51,0,26679,Kevin Stadler,0.467,32.234,51.808,-19.575,69
2013,52,0,32200,Roberto Castro,0.466,39.153,78.17,-39.019,84
2013,53,0,31323,Gary Woodland,0.459,38.082,32.972,5.105,83
2013,54,0,27770,Camilo Villegas,0.458,29.333,38.886,-9.556,64
2013,55,0,25834,Daniel Summerhays,0.453,35.337,18.065,17.267,78
2013,56,0,28500,Martin Flores,0.426,32.37,26.301,6.065,76
2013,57,0,20229,Stewart Cink,0.416,23.268,36.606,-13.337,56
2013,58,0,27556,Ted Potter Jr.,0.406,22.345,8.778,13.565,55
2013,59,0,23409,James Driscoll,0.389,24.49,-16.461,40.948,63
2013,60,0,32366,Kevin Chappell,0.384,25.745,48.402,-22.66,67
2013,61,0,26476,Chez Reavie,0.375,25.098,25.679,-0.584,67
2013,62,0,21099,David Lynn,0.361,20.213,-3.957,24.168,56
2013,63,0,26596,Ryan Moore,0.35,19.939,21.508,-1.568,57
2013,64,0,26758,David Hearn,0.345,25.179,-10.166,35.344,73
2013,65,0,33419,Cameron Tringale,0.343,25.708,17.941,7.766,75
2013,66,0,27330,Josh Teater,0.338,20.615,19.246,1.368,61
2013,67,0,28475,Jeff Overton,0.327,24.165,0.848,23.314,74
2013,68,0,33461,Morgan Hoffmann,0.318,16.859,6.616,10.24,53
2013,68,0,26851,Marc Leishman,0.318,20.339,15.195,5.144,64
2013,70,0,35139,Richard Lee,0.313,22.543,-18.08,40.621,72
2013,71,0,6522,Ernie Els,0.308,14.778,21.323,-6.547,48
2013,72,0,21878,Mark Wilson,0.3,14.989,25.488,-10.499,50
2013,73,0,34174,John Huh,0.298,22.353,39.364,-17.011,75
2013,74,0,28307,Matt Every,0.293,23.468,30.838,-7.372,80
2013,75,0,24361,Pat Perez,0.284,18.164,20.677,-2.515,64
2013,76,0,20098,Stuart Appleby,0.241,19.039,-8.862,27.895,79
2013,77,0,22913,John Rollins,0.227,15.457,31.974,-16.518,68
2013,78,0,28780,Nicholas Thompson,0.225,19.333,43.459,-24.131,86
2013,79,0,23541,Ben Crane,0.199,10.968,9.646,1.321,55
2013,80,0,30944,Jason Kokrak,0.19,13.668,22.268,-8.601,72
2013,81,0,24490,George McNeill,0.185,11.848,13.657,-1.807,64
2013,82,0,23135,Tim Clark,0.144,6.193,3.696,2.497,43
2013,83,0,27408,Martin Kaymer,0.135,5.658,-0.116,5.77,42
2013,84,0,34360,Patrick Reed,0.122,9.062,-16.818,25.875,74
2013,85,0,6573,Brandt Jobe,0.121,6.419,6.497,-0.08,53
2013,86,0,24358,Robert Garrigus,0.116,5.703,27.095,-21.395,49
2013,87,0,10860,Justin Leonard,0.115,8.613,-17.458,26.068,75
2013,88,0,26289,Boo Weekley,0.099,8.19,64.281,-56.094,83
2013,89,0,20645,John Senden,0.078,4.787,13.203,-8.416,61
2013,90,0,23353,J.J. Henry,0.072,5.324,-5.457,10.78,74
2013,91,0,31202,William McGirt,0.068,4.845,-11.41,16.251,71
2013,92,0,20848,Ángel Cabrera,0.063,3.616,-0.328,3.943,57
2013,93,0,31557,Jim Herman,0.053,2.347,12.427,-10.081,44
2013,94,0,29518,Brendan Steele,0.023,1.736,-0.386,2.119,77
2013,95,0,35539,Luke Guthrie,0.015,0.95,14.261,-13.313,65
2013,95,0,34409,David Lingmerth,0.015,0.827,1.353,-0.526,57
2013,97,0,27936,Martin Laird,0.009,0.496,7.218,-6.723,53
2013,98,0,25240,D.A. Points,0.0,-0.013,10.903,-10.919,68
2013,99,0,6567,Vijay Singh,-0.025,-1.193,40.831,-42.025,48
2013,100,0,24507,Jason Bohn,-0.033,-2.152,-14.35,12.192,66
2013,100,0,20593,Greg Chalmers,-0.033,-2.34,-62.31,59.966,70
2013,102,0,23325,Vaughn Taylor,-0.038,-1.52,-5.641,4.118,40
2013,103,0,12510,Chad Campbell,-0.044,-3.156,14.779,-17.935,72
2013,104,0,29740,Brad Fritsch,-0.046,-3.111,11.316,-14.429,68
2013,105,0,20104,Ken Duke,-0.065,-4.884,-2.968,-1.917,75
2013,106,0,29479,Scott Brown,-0.067,-3.673,8.278,-11.954,55
2013,106,0,32448,James Hahn,-0.067,-4.506,-4.661,0.153,67
2013,108,0,31560,Brian Stuard,-0.068,-4.277,-8.512,4.232,63
2013,109,0,23623,Bo Van Pelt,-0.07,-3.805,5.968,-9.773,54
2013,110,0,25818,Scott Piercy,-0.083,-5.148,6.23,-11.378,62
2013,111,0,25900,Lucas Glover,-0.086,-4.49,39.774,-44.265,52
2013,112,0,20766,Padraig Harrington,-0.089,-3.102,1.482,-4.584,35
2013,113,0,28259,Sangmoon Bae,-0.116,-8.36,-35.101,26.74,72
2013,114,0,25345,Carl Pettersson,-0.129,-8.264,-6.465,-1.797,64
2013,115,0,25444,Justin Hicks,-0.139,-9.166,5.256,-14.424,66
2013,116,0,22056,Cameron Percy,-0.167,-9.516,-16.427,6.908,57
