YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
2013,1,0,28259,Sangmoon Bae,21.28,94,20.0
2013,2,0,26476,Chez Reavie,20.78,77,16.0
2013,3,0,6004,Stephen Ames,20.69,58,12.0
2013,4,0,33461,Morgan Hoffmann,20.27,74,15.0
2013,5,0,34261,Scott Langley,19.78,91,18.0
2013,6,0,22371,Aaron Baddeley,19.67,61,12.0
2013,6,0,28237,Rory McIlroy,19.67,61,12.0
2013,8,0,23409,James Driscoll,18.84,69,13.0
2013,9,0,20593,Greg Chalmers,18.75,80,15.0
2013,9,0,27556,Ted Potter Jr.,18.75,64,12.0
2013,11,0,25562,Andres Romero,18.64,59,11.0
2013,12,0,23108,Matt Kuchar,18.37,98,18.0
2013,13,0,34046,Jordan Spieth,17.98,89,16.0
2013,14,0,28780,Nicholas Thompson,17.8,118,21.0
2013,15,0,23800,Bryce Molder,17.78,90,16.0
2013,16,0,24140,Sean O'Hair,17.65,51,9.0
2013,17,0,25336,Alistair Presnell,17.46,63,11.0
2013,18,0,35539,Luke Guthrie,16.22,74,12.0
2013,18,0,27330,Josh Teater,16.22,74,12.0
2013,20,0,20848,Ángel Cabrera,16.18,68,11.0
2013,21,0,23788,D.J. Trahan,16.0,50,8.0
2013,21,0,24663,Y.E. Yang,16.0,50,8.0
2013,23,0,34099,Harris English,15.79,95,15.0
2013,24,0,22792,Peter Hanson,15.38,39,6.0
2013,25,0,23497,Tag Ridings,15.05,93,14.0
2013,26,0,1320,Bob Estes,15.0,80,12.0
2013,27,0,34098,Russell Henley,14.94,87,13.0
2013,28,0,34409,David Lingmerth,14.93,67,10.0
2013,29,0,28475,Jeff Overton,14.89,94,14.0
2013,30,0,27933,John Merrick,14.81,81,12.0
2013,31,0,20229,Stewart Cink,14.77,88,13.0
2013,32,0,22046,Geoff Ogilvy,14.75,61,9.0
2013,33,0,24361,Pat Perez,14.74,95,14.0
2013,34,0,32150,Michael Thompson,14.52,62,9.0
2013,35,0,26331,Charl Schwartzel,14.49,69,10.0
2013,36,0,27936,Martin Laird,14.47,76,11.0
2013,37,0,8075,Jerry Kelly,14.43,97,14.0
2013,38,0,28307,Matt Every,14.42,104,15.0
2013,38,0,26679,Kevin Stadler,14.42,104,15.0
2013,40,0,32366,Kevin Chappell,14.29,70,10.0
2013,40,0,29420,Billy Horschel,14.29,98,14.0
2013,40,0,25818,Scott Piercy,14.29,77,11.0
2013,43,0,26289,Boo Weekley,14.16,113,16.0
2013,44,0,12782,Tim Herron,14.04,57,8.0
2013,45,0,34431,Robert Streb,13.79,87,12.0
2013,46,0,24494,Erik Compton,13.75,80,11.0
2013,47,0,23135,Tim Clark,13.73,51,7.0
2013,47,0,27129,Luke List,13.73,51,7.0
2013,49,0,24399,Scott Gardiner,13.64,66,9.0
2013,49,0,1724,Jeff Maggert,13.64,66,9.0
2013,51,0,8793,Tiger Woods,13.56,59,8.0
2013,52,0,25834,Daniel Summerhays,13.48,89,12.0
2013,53,0,34360,Patrick Reed,13.41,82,11.0
2013,54,0,21961,Charles Howell III,13.39,112,15.0
2013,55,0,22913,John Rollins,13.33,90,12.0
2013,56,0,33141,Keegan Bradley,13.19,91,12.0
2013,57,0,27436,Graham DeLaet,13.14,137,18.0
2013,58,0,27408,Martin Kaymer,13.11,61,8.0
2013,58,0,1810,Phil Mickelson,13.11,61,8.0
2013,60,0,26758,David Hearn,12.9,93,12.0
2013,61,0,27095,Nick Watney,12.84,109,14.0
2013,62,0,36884,Ben Kohles,12.82,78,10.0
2013,63,0,20104,Ken Duke,12.79,86,11.0
2013,64,0,20160,Charlie Wi,12.7,63,8.0
2013,65,0,20098,Stuart Appleby,12.62,103,13.0
2013,66,0,23541,Ben Crane,12.5,64,8.0
2013,66,0,6522,Ernie Els,12.5,56,7.0
2013,68,0,27770,Camilo Villegas,12.37,97,12.0
2013,69,0,25444,Justin Hicks,12.36,89,11.0
2013,70,0,23623,Bo Van Pelt,12.33,73,9.0
2013,71,0,27895,Jonas Blixt,12.24,98,12.0
2013,71,0,27644,Brian Harman,12.24,98,12.0
2013,71,0,22295,Darron Stiles,12.24,49,6.0
2013,74,0,28092,D.H. Lee,12.16,74,9.0
2013,75,0,27963,Chris Stroud,12.15,107,13.0
2013,76,0,21528,Henrik Stenson,12.12,66,8.0
2013,77,0,20443,Jin Park,12.0,50,6.0
2013,78,0,33419,Cameron Tringale,11.96,92,11.0
2013,79,0,22806,Doug LaBelle II,11.9,84,10.0
2013,80,0,25345,Carl Pettersson,11.83,93,11.0
2013,81,0,21731,Freddie Jacobson,11.67,60,7.0
2013,82,0,27214,Kevin Streelman,11.65,103,12.0
2013,83,0,28089,Jason Day,11.63,86,10.0
2013,84,0,30944,Jason Kokrak,11.54,104,12.0
2013,85,0,21753,Brian Davis,11.49,87,10.0
2013,86,0,32334,Charlie Beljan,11.48,61,7.0
2013,87,0,30692,Scott Stallings,11.36,88,10.0
2013,88,0,31202,William McGirt,11.34,97,11.0
2013,89,0,25900,Lucas Glover,11.27,71,8.0
2013,90,0,23621,Rory Sabbatini,11.24,89,10.0
2013,91,0,32102,Rickie Fowler,11.11,72,8.0
2013,91,0,19970,Robert Karlsson,11.11,45,5.0
2013,91,0,21099,David Lynn,11.11,81,9.0
2013,94,0,29518,Brendan Steele,11.0,100,11.0
2013,95,0,23983,Luke Donald,10.96,73,8.0
2013,96,0,1116,Michael Bradley,10.91,55,6.0
2013,97,0,10860,Justin Leonard,10.78,102,11.0
2013,98,0,24781,Hunter Mahan,10.68,103,11.0
2013,99,0,25274,Steven Bowditch,10.67,75,8.0
2013,100,0,28500,Martin Flores,10.64,94,10.0
2013,101,0,21878,Mark Wilson,10.61,66,7.0
2013,102,0,12716,Charley Hoffman,10.59,85,9.0
2013,103,0,30750,Tommy Gainey,10.53,95,10.0
2013,104,0,27649,Brandt Snedeker,10.47,86,9.0
2013,105,0,2206,David Toms,10.42,48,5.0
2013,106,0,31323,Gary Woodland,10.38,106,11.0
2013,107,0,34021,Bud Cauley,10.34,58,6.0
2013,108,0,22621,Ben Curtis,10.29,68,7.0
2013,108,0,8725,Tom Gillis,10.29,68,7.0
2013,108,0,26596,Ryan Moore,10.29,68,7.0
2013,111,0,10809,Jim Furyk,10.23,88,9.0
2013,112,0,23452,Nicolas Colsaerts,10.17,59,6.0
2013,113,0,34174,John Huh,10.0,100,10.0
2013,114,0,29740,Brad Fritsch,9.88,81,8.0
2013,114,0,22961,David Mathis,9.88,81,8.0
2013,116,0,22405,Justin Rose,9.64,83,8.0
2013,116,0,29221,Webb Simpson,9.64,83,8.0
2013,118,0,29289,S.Y. Noh,9.52,84,8.0
2013,119,0,23638,Brendon de Jonge,9.4,117,11.0
2013,120,0,25240,D.A. Points,9.33,75,7.0
2013,121,0,28135,Aaron Watkins,9.3,43,4.0
2013,122,0,37273,Derek Ernst,9.26,54,5.0
2013,123,0,10885,Robert Allenby,9.23,65,6.0
2013,123,0,24490,George McNeill,9.23,65,6.0
2013,125,0,29479,Scott Brown,9.21,76,7.0
2013,126,0,21209,Sergio Garcia,9.09,66,6.0
2013,127,0,24024,Zach Johnson,8.91,101,9.0
2013,128,0,32698,Bobby Gates,8.89,45,4.0
2013,129,0,24924,Bill Haas,8.79,91,8.0
2013,130,0,27503,Steve LeBrun,8.75,80,7.0
2013,131,0,27120,Troy Matteson,8.7,69,6.0
2013,132,0,6527,Steve Stricker,8.62,58,5.0
2013,133,0,30926,Chris Kirk,8.55,117,10.0
2013,134,0,30163,Henrik Norlander,8.43,83,7.0
2013,134,0,23320,Ryan Palmer,8.43,83,7.0
2013,134,0,25632,Jimmy Walker,8.43,83,7.0
2013,137,0,24358,Robert Garrigus,8.33,48,4.0
2013,137,0,31557,Jim Herman,8.33,60,5.0
2013,137,0,24138,Ian Poulter,8.33,60,5.0
2013,140,0,24507,Jason Bohn,8.24,85,7.0
2013,140,0,32448,James Hahn,8.24,85,7.0
2013,142,0,26851,Marc Leishman,8.22,73,6.0
