YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,RTP SCORE
2013,1,0,29221,Webb Simpson,-.109
2013,2,0,6527,Steve Stricker,-.052
2013,3,0,1810,Phil Mickelson,-.048
2013,4,0,25632,Jimmy Walker,-.045
2013,5,0,34098,Russell Henley,-.044
2013,5,0,26300,Matt Jones,-.044
2013,7,0,34046,Jordan Spieth,-.041
2013,8,0,33418,Shawn Stefani,-.030
2013,9,0,27129,Luke List,-.029
2013,10,0,22056,Cameron Percy,-.026
2013,11,0,21961,Charles Howell III,-.023
2013,12,0,35539,Luke Guthrie,-.022
2013,12,0,12716,Charley Hoffman,-.022
2013,14,0,26851,Marc Leishman,-.019
2013,15,0,33141,Keegan Bradley,-.014
2013,16,0,22405,Justin Rose,-.011
2013,17,0,25336,Alistair Presnell,-.010
2013,18,0,24924,Bill Haas,-.008
2013,18,0,27963,Chris Stroud,-.008
2013,20,0,28089,Jason Day,E
2013,20,0,34099,Harris English,E
2013,22,0,28500,Martin Flores,+.006
2013,23,0,24781,Hunter Mahan,+.007
2013,24,0,6522,Ernie Els,+.010
2013,25,0,23325,Vaughn Taylor,+.014
2013,26,0,30925,Dustin Johnson,+.024
2013,27,0,30944,Jason Kokrak,+.026
2013,27,0,23621,Rory Sabbatini,+.026
2013,29,0,24138,Ian Poulter,+.028
2013,30,0,1116,Michael Bradley,+.029
2013,30,0,32102,Rickie Fowler,+.029
2013,32,0,33461,Morgan Hoffmann,+.030
2013,32,0,23320,Ryan Palmer,+.030
2013,34,0,30110,Kyle Stanley,+.031
2013,35,0,29740,Brad Fritsch,+.032
2013,36,0,21731,Freddie Jacobson,+.035
2013,36,0,25240,D.A. Points,+.035
2013,36,0,27330,Josh Teater,+.035
2013,39,0,10860,Justin Leonard,+.037
2013,40,0,21209,Sergio Garcia,+.041
2013,41,0,29420,Billy Horschel,+.043
2013,41,0,27214,Kevin Streelman,+.043
2013,43,0,24399,Scott Gardiner,+.045
2013,44,0,26331,Charl Schwartzel,+.047
2013,45,0,24502,Adam Scott,+.049
2013,46,0,25274,Steven Bowditch,+.050
2013,47,0,31202,William McGirt,+.051
2013,47,0,28780,Nicholas Thompson,+.051
2013,49,0,25562,Andres Romero,+.052
2013,49,0,21528,Henrik Stenson,+.052
2013,51,0,23638,Brendon de Jonge,+.054
2013,51,0,23108,Matt Kuchar,+.054
2013,51,0,26951,Johnson Wagner,+.054
2013,51,0,25804,Bubba Watson,+.054
2013,55,0,27120,Troy Matteson,+.057
2013,55,0,34360,Patrick Reed,+.057
2013,57,0,27770,Camilo Villegas,+.058
2013,58,0,23983,Luke Donald,+.059
2013,59,0,20645,John Senden,+.060
2013,60,0,27436,Graham DeLaet,+.063
2013,61,0,25818,Scott Piercy,+.064
2013,62,0,6004,Stephen Ames,+.066
2013,62,0,10213,Dicky Pride,+.066
2013,64,0,32200,Roberto Castro,+.067
2013,64,0,12782,Tim Herron,+.067
2013,64,0,24024,Zach Johnson,+.067
2013,67,0,23135,Tim Clark,+.070
2013,68,0,24357,K.J. Choi,+.071
2013,69,0,25572,Graeme McDowell,+.073
2013,69,0,8793,Tiger Woods,+.073
2013,71,0,22371,Aaron Baddeley,+.075
2013,71,0,25345,Carl Pettersson,+.075
2013,73,0,33419,Cameron Tringale,+.080
2013,74,0,24494,Erik Compton,+.081
2013,74,0,10423,Mike Weir,+.081
2013,76,0,27649,Brandt Snedeker,+.084
2013,77,0,34174,John Huh,+.085
2013,78,0,28475,Jeff Overton,+.086
2013,79,0,20848,Ángel Cabrera,+.088
2013,79,0,34409,David Lingmerth,+.088
2013,81,0,23452,Nicolas Colsaerts,+.089
2013,81,0,28092,D.H. Lee,+.089
2013,83,0,30926,Chris Kirk,+.090
2013,83,0,27503,Steve LeBrun,+.090
2013,83,0,26476,Chez Reavie,+.090
2013,86,0,32334,Charlie Beljan,+.092
2013,87,0,35139,Richard Lee,+.093
2013,88,0,25834,Daniel Summerhays,+.094
2013,89,0,26679,Kevin Stadler,+.095
2013,90,0,20229,Stewart Cink,+.096
2013,91,0,32448,James Hahn,+.097
2013,92,0,20098,Stuart Appleby,+.098
2013,92,0,22046,Geoff Ogilvy,+.098
2013,94,0,29479,Scott Brown,+.099
2013,94,0,29425,Andrew Svoboda,+.099
2013,94,0,20396,Lee Westwood,+.099
2013,94,0,31323,Gary Woodland,+.099
2013,98,0,25900,Lucas Glover,+.100
2013,99,0,21099,David Lynn,+.101
2013,99,0,23800,Bryce Molder,+.101
2013,101,0,24358,Robert Garrigus,+.102
2013,102,0,29289,S.Y. Noh,+.104
2013,103,0,27933,John Merrick,+.105
2013,104,0,28259,Sangmoon Bae,+.108
2013,104,0,23409,James Driscoll,+.108
2013,104,0,28307,Matt Every,+.108
2013,107,0,27895,Jonas Blixt,+.110
2013,108,0,21878,Mark Wilson,+.115
2013,109,0,23788,D.J. Trahan,+.116
2013,110,0,1320,Bob Estes,+.118
2013,111,0,36884,Ben Kohles,+.119
2013,112,0,30852,Ryo Ishikawa,+.120
2013,112,0,32150,Michael Thompson,+.120
2013,114,0,21753,Brian Davis,+.122
2013,115,0,27095,Nick Watney,+.124
2013,116,0,30692,Scott Stallings,+.125
2013,117,0,24361,Pat Perez,+.129
2013,118,0,10809,Jim Furyk,+.132
2013,118,0,31560,Brian Stuard,+.132
2013,120,0,30163,Henrik Norlander,+.134
2013,120,0,24140,Sean O'Hair,+.134
2013,122,0,22913,John Rollins,+.135
2013,123,0,28679,Fabián Gómez,+.137
2013,124,0,31557,Jim Herman,+.138
2013,124,0,28237,Rory McIlroy,+.138
2013,126,0,8075,Jerry Kelly,+.140
2013,127,0,22378,Trevor Immelman,+.142
2013,127,0,20160,Charlie Wi,+.142
2013,129,0,25686,Jason Dufner,+.143
2013,129,0,28310,Lee Williams,+.143
2013,131,0,30711,Colt Knost,+.144
2013,131,0,27556,Ted Potter Jr.,+.144
2013,133,0,20766,Padraig Harrington,+.145
2013,133,0,23353,J.J. Henry,+.145
2013,133,0,1724,Jeff Maggert,+.145
2013,133,0,28135,Aaron Watkins,+.145
2013,137,0,34261,Scott Langley,+.146
2013,138,0,25444,Justin Hicks,+.149
2013,138,0,29518,Brendan Steele,+.149
2013,138,0,26289,Boo Weekley,+.149
2013,141,0,22792,Peter Hanson,+.150
2013,142,0,27644,Brian Harman,+.154
2013,143,0,32366,Kevin Chappell,+.156
2013,144,0,20572,Rod Pampling,+.157
2013,145,0,30750,Tommy Gainey,+.159
2013,145,0,22295,Darron Stiles,+.159
2013,147,0,26758,David Hearn,+.160
2013,148,0,37273,Derek Ernst,+.161
2013,149,0,23497,Tag Ridings,+.163
2013,150,0,32698,Bobby Gates,+.164
2013,151,0,34021,Bud Cauley,+.165
2013,152,0,2206,David Toms,+.167
2013,153,0,6567,Vijay Singh,+.168
2013,154,0,22621,Ben Curtis,+.173
2013,155,0,20593,Greg Chalmers,+.176
2013,155,0,33869,Eric Meierdierks,+.176
2013,157,0,24507,Jason Bohn,+.182
2013,157,0,26497,Casey Wittenberg,+.182
2013,159,0,20104,Ken Duke,+.185
2013,160,0,19970,Robert Karlsson,+.190
2013,160,0,22806,Doug LaBelle II,+.190
2013,162,0,27936,Martin Laird,+.193
2013,163,0,22961,David Mathis,+.194
2013,164,0,20443,Jin Park,+.200
2013,165,0,23623,Bo Van Pelt,+.202
2013,166,0,19846,Brian Gay,+.203
2013,167,0,28455,Will Claxton,+.210
2013,168,0,24663,Y.E. Yang,+.211
2013,169,0,27408,Martin Kaymer,+.213
2013,170,0,23541,Ben Crane,+.214
2013,171,0,8725,Tom Gillis,+.221
2013,172,0,24490,George McNeill,+.223
2013,173,0,12510,Chad Campbell,+.226
2013,174,0,34431,Robert Streb,+.232
2013,175,0,24846,Ricky Barnes,+.235
2013,176,0,26596,Ryan Moore,+.242
2013,177,0,6573,Brandt Jobe,+.247
2013,178,0,20691,Greg Owen,+.261
2013,179,0,10885,Robert Allenby,+.291
2013,180,0,24227,Justin Bolli,+.327
2014,1,0,21209,Sergio Garcia,-.096
2014,2,0,25834,Daniel Summerhays,-.051
2014,3,0,20848,Ángel Cabrera,-.030
2014,4,0,30944,Jason Kokrak,-.024
2014,5,0,22405,Justin Rose,-.022
2014,6,0,24502,Adam Scott,-.008
2014,7,0,35300,Andrew Loupe,-.007
2014,7,0,29461,Jamie Lovemark,-.007
2014,9,0,12716,Charley Hoffman,-.006
2014,9,0,23621,Rory Sabbatini,-.006
2014,11,0,25364,Paul Casey,E
2014,11,0,1810,Phil Mickelson,E
2014,13,0,21753,Brian Davis,+.008
2014,13,0,31560,Brian Stuard,+.008
2014,15,0,36689,Brooks Koepka,+.011
2014,16,0,27141,J.B. Holmes,+.018
2014,17,0,25444,Justin Hicks,+.022
2014,17,0,29221,Webb Simpson,+.022
2014,19,0,22046,Geoff Ogilvy,+.025
2014,19,0,34431,Robert Streb,+.025
2014,21,0,32839,Hideki Matsuyama,+.027
2014,21,0,23320,Ryan Palmer,+.027
2014,23,0,25632,Jimmy Walker,+.028
2014,24,0,21731,Freddie Jacobson,+.029
2014,24,0,10423,Mike Weir,+.029
2014,26,0,28237,Rory McIlroy,+.030
2014,27,0,27895,Jonas Blixt,+.033
2014,27,0,21528,Henrik Stenson,+.033
2014,29,0,33141,Keegan Bradley,+.039
2014,29,0,25396,Kevin Na,+.039
2014,31,0,29740,Brad Fritsch,+.041
2014,31,0,26596,Ryan Moore,+.041
2014,33,0,26956,Bronson La'Cassie,+.042
2014,34,0,24361,Pat Perez,+.045
2014,35,0,25562,Andres Romero,+.050
2014,36,0,28089,Jason Day,+.051
2014,36,0,23108,Matt Kuchar,+.051
2014,36,0,1724,Jeff Maggert,+.051
2014,39,0,26679,Kevin Stadler,+.052
2014,40,0,29289,S.Y. Noh,+.054
2014,41,0,1706,Davis Love III,+.055
2014,42,0,32366,Kevin Chappell,+.056
2014,42,0,25349,Tim Wilkinson,+.056
2014,44,0,20229,Stewart Cink,+.057
2014,44,0,35539,Luke Guthrie,+.057
2014,44,0,30926,Chris Kirk,+.057
2014,47,0,25804,Bubba Watson,+.058
2014,48,0,27436,Graham DeLaet,+.060
2014,48,0,24490,George McNeill,+.060
2014,48,0,6567,Vijay Singh,+.060
2014,51,0,34021,Bud Cauley,+.061
2014,51,0,28500,Martin Flores,+.061
2014,51,0,30925,Dustin Johnson,+.061
2014,51,0,30692,Scott Stallings,+.061
2014,55,0,24663,Y.E. Yang,+.065
2014,56,0,20157,Retief Goosen,+.066
2014,56,0,25345,Carl Pettersson,+.066
2014,58,0,28259,Sangmoon Bae,+.067
2014,59,0,24846,Ricky Barnes,+.068
2014,59,0,24494,Erik Compton,+.068
2014,59,0,22913,John Rollins,+.068
2014,59,0,27095,Nick Watney,+.068
2014,59,0,31323,Gary Woodland,+.068
2014,64,0,30750,Tommy Gainey,+.069
2014,64,0,29222,Billy Hurley III,+.069
2014,66,0,34098,Russell Henley,+.070
2014,67,0,33413,Ben Martin,+.072
2014,68,0,28307,Matt Every,+.073
2014,69,0,34099,Harris English,+.077
2014,69,0,27556,Ted Potter Jr.,+.077
2014,69,0,33419,Cameron Tringale,+.077
2014,72,0,19846,Brian Gay,+.078
2014,73,0,24507,Jason Bohn,+.079
2014,73,0,27649,Brandt Snedeker,+.079
2014,73,0,34046,Jordan Spieth,+.079
2014,76,0,20098,Stuart Appleby,+.081
2014,76,0,20593,Greg Chalmers,+.081
2014,78,0,27644,Brian Harman,+.082
2014,78,0,35541,John Peterson,+.082
2014,80,0,30852,Ryo Ishikawa,+.083
2014,81,0,34409,David Lingmerth,+.085
2014,82,0,22371,Aaron Baddeley,+.089
2014,82,0,24781,Hunter Mahan,+.089
2014,84,0,24140,Sean O'Hair,+.090
2014,85,0,25572,Graeme McDowell,+.094
2014,86,0,33418,Shawn Stefani,+.095
2014,87,0,33122,Russell Knox,+.097
2014,88,0,24925,Jonathan Byrd,+.098
2014,89,0,24924,Bill Haas,+.099
2014,89,0,31202,William McGirt,+.099
2014,89,0,34360,Patrick Reed,+.099
2014,92,0,26851,Marc Leishman,+.101
2014,93,0,26331,Charl Schwartzel,+.103
2014,93,0,30110,Kyle Stanley,+.103
2014,93,0,2206,David Toms,+.103
2014,96,0,24357,K.J. Choi,+.104
2014,97,0,34261,Scott Langley,+.105
2014,98,0,24912,Will MacKenzie,+.106
2014,99,0,27770,Camilo Villegas,+.108
2014,100,0,27933,John Merrick,+.109
2014,101,0,24358,Robert Garrigus,+.110
2014,102,0,6522,Ernie Els,+.112
2014,103,0,33461,Morgan Hoffmann,+.113
2014,103,0,26289,Boo Weekley,+.113
2014,103,0,20160,Charlie Wi,+.113
2014,106,0,27064,Jhonattan Vegas,+.114
2014,107,0,22293,Heath Slocum,+.116
2014,108,0,22378,Trevor Immelman,+.118
2014,108,0,27963,Chris Stroud,+.118
2014,110,0,34563,Chesson Hadley,+.119
2014,111,0,23409,James Driscoll,+.120
2014,111,0,29926,Danny Lee,+.120
2014,111,0,23623,Bo Van Pelt,+.120
2014,114,0,21961,Charles Howell III,+.121
2014,115,0,25720,Chad Collins,+.122
2014,116,0,20498,Briny Baird,+.123
2014,116,0,35732,Wes Roach,+.123
2014,118,0,29518,Brendan Steele,+.124
2014,119,0,31557,Jim Herman,+.125
2014,119,0,30927,Brendon Todd,+.125
2014,121,0,32448,James Hahn,+.127
2014,122,0,29535,Brice Garnett,+.128
2014,123,0,35139,Richard Lee,+.132
2014,124,0,10809,Jim Furyk,+.133
2014,124,0,27330,Josh Teater,+.133
2014,126,0,20104,Ken Duke,+.135
2014,127,0,29479,Scott Brown,+.139
2014,128,0,12510,Chad Campbell,+.141
2014,128,0,34174,John Huh,+.141
2014,128,0,20396,Lee Westwood,+.141
2014,131,0,25686,Jason Dufner,+.146
2014,131,0,28092,D.H. Lee,+.146
