YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3 PUTTS,TOTAL ROUNDS
2013,1,0,25900,Lucas Glover,1.0,65,65
2013,2,0,22046,Geoff Ogilvy,0.95,54,57
2013,3,0,30110,Kyle Stanley,0.93,66,71
2013,4,0,33869,Eric Meierdierks,0.91,42,46
2013,5,0,6567,Vijay Singh,0.9,55,61
2013,6,0,31557,Jim Herman,0.89,49,55
2013,7,0,19970,Robert Karlsson,0.88,46,52
2013,8,0,1116,Michael Bradley,0.83,43,52
2013,9,0,35539,Luke Guthrie,0.8,66,82
2013,9,0,27556,Ted Potter Jr.,0.8,49,61
2013,11,0,23621,Rory Sabbatini,0.79,65,82
2013,12,0,26289,Boo Weekley,0.78,78,100
2013,13,0,23452,Nicolas Colsaerts,0.77,36,47
2013,13,0,25686,Jason Dufner,0.77,59,77
2013,15,0,27408,Martin Kaymer,0.76,44,58
2013,15,0,20691,Greg Owen,0.76,54,71
2013,15,0,27095,Nick Watney,0.76,65,86
2013,18,0,28259,Sangmoon Bae,0.75,62,83
2013,19,0,27129,Luke List,0.74,45,61
2013,20,0,32334,Charlie Beljan,0.73,45,62
2013,20,0,28455,Will Claxton,0.73,46,63
2013,20,0,34174,John Huh,0.73,64,88
2013,23,0,20443,Jin Park,0.72,36,50
2013,23,0,25336,Alistair Presnell,0.72,41,57
2013,25,0,20848,Ángel Cabrera,0.71,52,73
2013,25,0,25444,Justin Hicks,0.71,53,75
2013,25,0,1724,Jeff Maggert,0.71,45,63
2013,28,0,32366,Kevin Chappell,0.7,56,80
2013,28,0,20229,Stewart Cink,0.7,50,71
2013,28,0,30852,Ryo Ishikawa,0.7,49,70
2013,28,0,21528,Henrik Stenson,0.7,45,64
2013,28,0,26951,Johnson Wagner,0.7,42,60
2013,33,0,27936,Martin Laird,0.69,47,68
2013,33,0,27503,Steve LeBrun,0.69,43,62
2013,33,0,26596,Ryan Moore,0.69,49,71
2013,36,0,28780,Nicholas Thompson,0.68,67,99
2013,37,0,22621,Ben Curtis,0.67,38,57
2013,37,0,27436,Graham DeLaet,0.67,63,94
2013,37,0,22378,Trevor Immelman,0.67,46,69
2013,37,0,30944,Jason Kokrak,0.67,52,78
2013,37,0,22405,Justin Rose,0.67,40,60
2013,42,0,24227,Justin Bolli,0.65,36,55
2013,43,0,28307,Matt Every,0.64,57,89
2013,43,0,28237,Rory McIlroy,0.64,35,55
2013,43,0,29289,S.Y. Noh,0.64,43,67
2013,43,0,25240,D.A. Points,0.64,56,87
2013,43,0,20396,Lee Westwood,0.64,44,69
2013,48,0,10885,Robert Allenby,0.63,35,56
2013,48,0,12716,Charley Hoffman,0.63,53,84
2013,48,0,30925,Dustin Johnson,0.63,44,70
2013,48,0,34409,David Lingmerth,0.63,43,68
2013,48,0,22295,Darron Stiles,0.63,31,49
2013,48,0,21878,Mark Wilson,0.63,33,52
2013,54,0,29740,Brad Fritsch,0.62,48,77
2013,54,0,8725,Tom Gillis,0.62,40,65
2013,54,0,28092,D.H. Lee,0.62,40,65
2013,54,0,30163,Henrik Norlander,0.62,42,68
2013,54,0,20645,John Senden,0.62,48,78
2013,59,0,24494,Erik Compton,0.61,45,74
2013,59,0,28500,Martin Flores,0.61,51,83
2013,59,0,30750,Tommy Gainey,0.61,51,84
2013,59,0,26851,Marc Leishman,0.61,47,77
2013,59,0,22961,David Mathis,0.61,41,67
2013,59,0,24140,Sean O'Hair,0.61,34,56
2013,59,0,32150,Michael Thompson,0.61,40,66
2013,59,0,23788,D.J. Trahan,0.61,28,46
2013,59,0,23623,Bo Van Pelt,0.61,43,70
2013,68,0,24846,Ricky Barnes,0.6,42,70
2013,68,0,24490,George McNeill,0.6,41,68
2013,68,0,25818,Scott Piercy,0.6,45,75
2013,68,0,25804,Bubba Watson,0.6,44,73
2013,72,0,12510,Chad Campbell,0.59,45,76
2013,72,0,34021,Bud Cauley,0.59,37,63
2013,72,0,20104,Ken Duke,0.59,51,87
2013,72,0,36884,Ben Kohles,0.59,42,71
2013,72,0,34360,Patrick Reed,0.59,49,83
2013,72,0,29518,Brendan Steele,0.59,48,82
2013,72,0,2206,David Toms,0.59,26,44
2013,79,0,24357,K.J. Choi,0.58,49,84
2013,79,0,24399,Scott Gardiner,0.58,34,59
2013,81,0,23541,Ben Crane,0.57,33,58
