YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.,TOTAL 1ST TEE LATE ROUNDS,TOTAL LATE ROUNDS
2013,1,0,6527,Steve Stricker,66.5,133,2.0,,
2013,2,0,24502,Adam Scott,67.0,67,1.0,,
2013,3,0,21209,Sergio Garcia,68.0,340,5.0,,
2013,4,0,25572,Graeme McDowell,68.33,205,3.0,,
2013,5,0,10809,Jim Furyk,68.44,616,9.0,,
2013,6,0,26331,Charl Schwartzel,69.13,553,8.0,,
2013,7,0,27436,Graham DeLaet,69.17,830,12.0,,
2013,8,0,21961,Charles Howell III,69.29,970,14.0,,
2013,9,0,30926,Chris Kirk,69.36,1526,22.0,,
2013,10,0,29221,Webb Simpson,69.4,347,5.0,,
2013,11,0,28500,Martin Flores,69.56,1252,18.0,,
2013,12,0,24490,George McNeill,69.57,974,14.0,,
2013,13,0,25274,Steven Bowditch,69.62,905,13.0,,
2013,14,0,25900,Lucas Glover,69.67,836,12.0,,
2013,14,0,23320,Ryan Palmer,69.67,836,12.0,,
2013,16,0,22792,Peter Hanson,69.71,488,7.0,,
2013,16,0,27214,Kevin Streelman,69.71,976,14.0,,
2013,18,0,6004,Stephen Ames,69.73,767,11.0,,
2013,18,0,27556,Ted Potter Jr.,69.73,767,11.0,,
2013,20,0,1320,Bob Estes,69.78,628,9.0,,
2013,21,0,34174,John Huh,69.8,1047,15.0,,
2013,21,0,34046,Jordan Spieth,69.8,698,10.0,,
2013,23,0,31560,Brian Stuard,69.82,768,11.0,,
2013,24,0,24357,K.J. Choi,69.83,838,12.0,,
2013,24,0,25804,Bubba Watson,69.83,419,6.0,,
2013,26,0,23135,Tim Clark,69.85,908,13.0,,
2013,27,0,31557,Jim Herman,69.88,559,8.0,,
2013,28,0,20098,Stuart Appleby,69.91,769,11.0,,
2013,28,0,34099,Harris English,69.91,769,11.0,,
2013,30,0,20593,Greg Chalmers,69.93,979,14.0,,
2013,31,0,23541,Ben Crane,70.0,910,13.0,,
2013,31,0,21753,Brian Davis,70.0,910,13.0,,
2013,31,0,21878,Mark Wilson,70.0,630,9.0,,
2013,34,0,25632,Jimmy Walker,70.04,1611,23.0,,
2013,35,0,23621,Rory Sabbatini,70.07,1051,15.0,,
2013,36,0,20229,Stewart Cink,70.11,631,9.0,,
2013,36,0,2206,David Toms,70.11,631,9.0,,
2013,36,0,20160,Charlie Wi,70.11,631,9.0,,
2013,39,0,23638,Brendon de Jonge,70.13,1052,15.0,,
2013,40,0,23497,Tag Ridings,70.14,982,14.0,,
