YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
2013,1,0,29425,Andrew Svoboda,"53' 0""",6.999,11
2013,2,0,22371,Aaron Baddeley,"52' 0""",16.84,27
2013,3,0,23353,J.J. Henry,"51' 1""",20.855,34
2013,4,0,23108,Matt Kuchar,"51' 0""",11.015,18
2013,5,0,28455,Will Claxton,"49' 1""",21.797,37
2013,6,0,1116,Michael Bradley,"48' 11""",16.424,28
2013,7,0,10423,Mike Weir,"48' 3""",9.271,16
2013,8,0,25336,Alistair Presnell,"47' 6""",15.38,27
2013,9,0,23638,Brendon de Jonge,"47' 3""",23.262,41
2013,10,0,22913,John Rollins,"47' 2""",16.973,30
2013,11,0,25804,Bubba Watson,"46' 10""",15.166,27
2013,12,0,22806,Doug LaBelle II,"46' 6""",12.274,22
2013,13,0,24357,K.J. Choi,"46' 4""",18.913,34
2013,14,0,23541,Ben Crane,"46' 3""",14.972,27
2013,15,0,20848,Ángel Cabrera,"46' 2""",20.5,37
2013,16,0,20645,John Senden,"45' 11""",18.196,33
2013,17,0,10860,Justin Leonard,"45' 10""",12.641,23
2013,18,0,28679,Fabián Gómez,"45' 9""",13.722,25
2013,18,0,22378,Trevor Immelman,"45' 9""",21.397,39
2013,20,0,37273,Derek Ernst,"45' 8""",13.699,25
2013,21,0,22621,Ben Curtis,"45' 5""",16.345,30
2013,21,0,24924,Bill Haas,"45' 5""",14.159,26
2013,23,0,6522,Ernie Els,"45' 4""",10.345,19
2013,24,0,27936,Martin Laird,"45' 3""",18.446,34
2013,25,0,20766,Padraig Harrington,"45' 2""",10.303,19
2013,26,0,27963,Chris Stroud,"45' 0""",17.813,33
2013,27,0,33141,Keegan Bradley,"44' 11""",14.015,26
2013,27,0,21961,Charles Howell III,"44' 11""",20.468,38
2013,29,0,20691,Greg Owen,"44' 10""",25.844,48
2013,30,0,28500,Martin Flores,"44' 9""",21.997,41
2013,31,0,25834,Daniel Summerhays,"44' 8""",15.536,29
2013,32,0,23409,James Driscoll,"44' 7""",16.598,31
2013,33,0,26679,Kevin Stadler,"44' 6""",16.541,31
2013,34,0,34099,Harris English,"44' 5""",19.711,37
2013,34,0,24399,Scott Gardiner,"44' 5""",12.786,24
2013,36,0,23325,Vaughn Taylor,"44' 3""",12.205,23
2013,37,0,20593,Greg Chalmers,"44' 2""",11.139,21
2013,37,0,30925,Dustin Johnson,"44' 2""",14.826,28
2013,37,0,27408,Martin Kaymer,"44' 2""",12.724,24
2013,37,0,31202,William McGirt,"44' 2""",15.898,30
2013,41,0,27129,Luke List,"44' 1""",18.529,35
2013,41,0,28475,Jeff Overton,"44' 1""",13.742,26
