YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
2013,1,0,34021,Bud Cauley,"6' 11""",574.583,83,165
2013,1,0,28089,Jason Day,"6' 11""",657.667,95,27
2013,1,0,22405,Justin Rose,"6' 11""",407.167,59,35
2013,1,0,28310,Lee Williams,"6' 11""",565.083,82,7
2013,5,0,25274,Steven Bowditch,"7' 1""",672.333,95,17
2013,5,0,10860,Justin Leonard,"7' 1""",687.583,97,72
2013,5,0,20443,Jin Park,"7' 1""",445.417,63,65
2013,8,0,20160,Charlie Wi,"7' 2""",884.167,123,47
2013,8,0,26497,Casey Wittenberg,"7' 2""",652.083,91,37
2013,10,0,23983,Luke Donald,"7' 3""",427.667,59,22
2013,11,0,1320,Bob Estes,"7' 4""",629.083,86,1
2013,11,0,8725,Tom Gillis,"7' 4""",707.5,96,44
2013,11,0,19970,Robert Karlsson,"7' 4""",408.667,56,100
2013,11,0,10423,Mike Weir,"7' 4""",706.0,96,70
2013,15,0,32366,Kevin Chappell,"7' 7""",650.083,86,81
2013,15,0,20229,Stewart Cink,"7' 7""",626.75,83,164
2013,17,0,20098,Stuart Appleby,"7' 8""",824.667,108,4
2013,17,0,24357,K.J. Choi,"7' 8""",746.5,97,13
2013,17,0,23541,Ben Crane,"7' 8""",664.583,87,9
2013,17,0,22295,Darron Stiles,"7' 8""",497.75,65,29
2013,21,0,32200,Roberto Castro,"7' 9""",871.583,112,26
2013,21,0,10809,Jim Furyk,"7' 9""",723.917,93,57
2013,21,0,19846,Brian Gay,"7' 9""",870.417,112,10
2013,21,0,23108,Matt Kuchar,"7' 9""",863.0,111,12
2013,21,0,34046,Jordan Spieth,"7' 9""",691.75,89,31
2013,26,0,21099,David Lynn,"7' 10""",526.417,67,38
2013,26,0,1810,Phil Mickelson,"7' 10""",727.0,93,78
2013,26,0,24502,Adam Scott,"7' 10""",531.167,68,119
2013,26,0,21528,Henrik Stenson,"7' 10""",439.25,56,102
2013,26,0,21878,Mark Wilson,"7' 10""",561.333,72,27
2013,31,0,32102,Rickie Fowler,"7' 11""",614.417,78,56
2013,31,0,12782,Tim Herron,"7' 11""",553.667,70,117
2013,31,0,6567,Vijay Singh,"7' 11""",625.0,79,103
2013,31,0,27770,Camilo Villegas,"7' 11""",640.5,81,123
