YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
2013,1,0,6527,Steve Stricker,72.31,47,65,-50,-29.00
2013,2,0,20443,Jin Park,70.21,33,47,-36,-7.00
2013,3,0,28092,D.H. Lee,68.89,62,90,-67,-1.00
2013,4,0,30711,Colt Knost,68.42,39,57,-42,-17.00
2013,5,0,27649,Brandt Snedeker,67.01,65,97,-71,-23.00
2013,6,0,34099,Harris English,66.26,108,163,-113,+7.00
2013,7,0,25834,Daniel Summerhays,65.44,89,136,-97,-11.00
2013,8,0,33141,Keegan Bradley,65.43,123,188,-132,-4.00
2013,9,0,25572,Graeme McDowell,65.38,34,52,-37,-4.00
2013,10,0,8793,Tiger Woods,65.26,62,95,-69,-12.00
2013,11,0,22405,Justin Rose,65.17,58,89,-61,-5.00
2013,12,0,23325,Vaughn Taylor,64.52,40,62,-41,-12.00
2013,13,0,29420,Billy Horschel,64.43,96,149,-97,-18.00
2013,14,0,26596,Ryan Moore,64.42,67,104,-71,-9.00
2013,15,0,28089,Jason Day,64.29,81,126,-88,-9.00
2013,15,0,1810,Phil Mickelson,64.29,81,126,-86,-14.00
2013,17,0,30163,Henrik Norlander,64.22,70,109,-73,+4.00
2013,18,0,23983,Luke Donald,64.18,43,67,-44,-19.00
2013,19,0,32200,Roberto Castro,63.97,87,136,-94,-32.00
2013,20,0,26331,Charl Schwartzel,63.78,81,127,-82,-6.00
2013,21,0,32448,James Hahn,63.64,77,121,-86,-11.00
2013,22,0,23621,Rory Sabbatini,63.58,96,151,-104,+1.00
2013,23,0,21209,Sergio Garcia,63.46,66,104,-74,-11.00
2013,24,0,24502,Adam Scott,63.21,67,106,-71,-6.00
2013,25,0,34409,David Lingmerth,63.1,53,84,-57,-1.00
2013,26,0,12716,Charley Hoffman,62.66,99,158,-108,-6.00
2013,27,0,28500,Martin Flores,62.41,88,141,-94,-8.00
2013,27,0,29518,Brendan Steele,62.41,83,133,-87,-11.00
2013,29,0,23135,Tim Clark,62.3,38,61,-41,-15.00
2013,30,0,25562,Andres Romero,62.28,71,114,-74,+14.00
2013,31,0,6522,Ernie Els,62.22,56,90,-59,-4.00
2013,32,0,21528,Henrik Stenson,62.16,69,111,-76,+7.00
2013,33,0,23800,Bryce Molder,62.12,41,66,-44,-34.00
2013,34,0,20572,Rod Pampling,61.9,39,63,-39,+4.00
2013,35,0,23108,Matt Kuchar,61.83,81,131,-88,-27.00
2013,36,0,23638,Brendon de Jonge,61.8,110,178,-115,-23.00
2013,37,0,10809,Jim Furyk,61.76,42,68,-44,-36.00
2013,37,0,34360,Patrick Reed,61.76,84,136,-93,-9.00
2013,37,0,28135,Aaron Watkins,61.76,21,34,-22,-18.00
2013,40,0,34098,Russell Henley,61.74,71,115,-76,-4.00
2013,41,0,22792,Peter Hanson,61.67,37,60,-39,-4.00
2013,42,0,27214,Kevin Streelman,61.65,82,133,-88,-9.00
2013,43,0,22806,Doug LaBelle II,61.64,45,73,-48,-17.00
2013,44,0,31202,William McGirt,61.4,70,114,-75,-1.00
2013,45,0,6004,Stephen Ames,61.11,33,54,-36,-11.00
2013,46,0,25274,Steven Bowditch,60.9,81,133,-83,E
2013,47,0,20645,John Senden,60.8,76,125,-78,-2.00
2013,48,0,34021,Bud Cauley,60.64,57,94,-60,-9.00
2013,49,0,31557,Jim Herman,60.42,58,96,-60,+5.00
2013,50,0,32102,Rickie Fowler,60.0,69,115,-75,-19.00
2013,50,0,34261,Scott Langley,60.0,42,70,-46,-23.00
2013,50,0,31560,Brian Stuard,60.0,48,80,-50,-10.00
2013,53,0,23497,Tag Ridings,59.8,61,102,-64,+16.00
2013,54,0,30925,Dustin Johnson,59.68,74,124,-81,-2.00
2013,55,0,27129,Luke List,59.46,66,111,-70,+3.00
2013,56,0,27963,Chris Stroud,59.38,76,128,-78,-17.00
2013,56,0,25632,Jimmy Walker,59.38,95,160,-100,-14.00
2013,58,0,19970,Robert Karlsson,59.32,35,59,-38,+6.00
2013,59,0,32150,Michael Thompson,59.21,45,76,-51,-7.00
2013,60,0,25345,Carl Pettersson,59.13,68,115,-71,-2.00
2013,61,0,27436,Graham DeLaet,59.12,94,159,-99,-15.00
2013,62,0,32366,Kevin Chappell,59.09,78,132,-85,E
2013,62,0,25336,Alistair Presnell,59.09,39,66,-44,-7.00
2013,64,0,24663,Y.E. Yang,59.02,36,61,-37,+1.00
2013,65,0,27330,Josh Teater,58.91,76,129,-79,-7.00
2013,66,0,28679,Fabián Gómez,58.89,53,90,-55,-5.00
2013,67,0,30944,Jason Kokrak,58.75,94,160,-103,-10.00
2013,68,0,30692,Scott Stallings,58.57,82,140,-86,+2.00
2013,69,0,22371,Aaron Baddeley,58.41,66,113,-74,-18.00
2013,70,0,24399,Scott Gardiner,58.33,49,84,-53,+8.00
2013,71,0,29740,Brad Fritsch,58.06,72,124,-78,+2.00
2013,72,0,20593,Greg Chalmers,58.04,65,112,-69,-11.00
2013,73,0,20229,Stewart Cink,58.0,58,100,-60,-10.00
2013,74,0,33419,Cameron Tringale,57.98,69,119,-74,-25.00
2013,75,0,20396,Lee Westwood,57.85,70,121,-71,+12.00
2013,76,0,33418,Shawn Stefani,57.78,52,90,-55,-5.00
