YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2013,1,0,25240,D.A. Points,-.162
2013,2,0,24024,Zach Johnson,-.143
2013,3,0,28135,Aaron Watkins,-.130
2013,4,0,23800,Bryce Molder,-.111
2013,5,0,27936,Martin Laird,-.097
2013,6,0,29518,Brendan Steele,-.096
2013,7,0,1810,Phil Mickelson,-.094
2013,8,0,34360,Patrick Reed,-.091
2013,9,0,21209,Sergio Garcia,-.088
2013,10,0,32448,James Hahn,-.080
2013,11,0,20443,Jin Park,-.074
2013,12,0,22295,Darron Stiles,-.071
2013,13,0,28089,Jason Day,-.070
2013,14,0,23353,J.J. Henry,-.061
2013,15,0,6527,Steve Stricker,-.059
2013,16,0,33419,Cameron Tringale,-.057
2013,17,0,24507,Jason Bohn,-.051
2013,17,0,20160,Charlie Wi,-.051
2013,19,0,24358,Robert Garrigus,-.049
2013,20,0,12510,Chad Campbell,-.042
2013,20,0,23983,Luke Donald,-.042
2013,22,0,31323,Gary Woodland,-.039
2013,23,0,23409,James Driscoll,-.034
2013,23,0,22405,Justin Rose,-.034
2013,25,0,25804,Bubba Watson,-.031
2013,26,0,21731,Freddie Jacobson,-.029
2013,27,0,28310,Lee Williams,-.028
2013,28,0,33418,Shawn Stefani,-.026
2013,29,0,24399,Scott Gardiner,-.024
2013,30,0,24924,Bill Haas,-.021
2013,31,0,30926,Chris Kirk,-.017
2013,32,0,23108,Matt Kuchar,-.016
2013,33,0,23541,Ben Crane,E
2013,33,0,21753,Brian Davis,E
2013,33,0,27436,Graham DeLaet,E
2013,33,0,19846,Brian Gay,E
2013,33,0,21961,Charles Howell III,E
2013,33,0,10860,Justin Leonard,E
2013,33,0,31202,William McGirt,E
2013,33,0,25562,Andres Romero,E
2013,33,0,34046,Jordan Spieth,E
2013,33,0,31560,Brian Stuard,E
2013,33,0,23788,D.J. Trahan,E
2013,33,0,26951,Johnson Wagner,E
2013,33,0,21878,Mark Wilson,E
2013,46,0,34099,Harris English,+.016
2013,47,0,29740,Brad Fritsch,+.017
2013,47,0,28475,Jeff Overton,+.017
2013,49,0,23638,Brendon de Jonge,+.019
2013,49,0,27129,Luke List,+.019
2013,51,0,34409,David Lingmerth,+.020
2013,51,0,27770,Camilo Villegas,+.020
2013,53,0,26758,David Hearn,+.022
2013,54,0,33461,Morgan Hoffmann,+.023
2013,55,0,24361,Pat Perez,+.024
2013,55,0,10213,Dicky Pride,+.024
2013,55,0,26476,Chez Reavie,+.024
2013,58,0,27408,Martin Kaymer,+.030
2013,58,0,23623,Bo Van Pelt,+.030
2013,60,0,28500,Martin Flores,+.031
2013,61,0,22056,Cameron Percy,+.034
2013,62,0,30925,Dustin Johnson,+.036
2013,62,0,1724,Jeff Maggert,+.036
2013,64,0,35139,Richard Lee,+.043
2013,65,0,24494,Erik Compton,+.044
2013,65,0,27963,Chris Stroud,+.044
2013,67,0,20593,Greg Chalmers,+.047
2013,68,0,32200,Roberto Castro,+.053
2013,68,0,19970,Robert Karlsson,+.053
2013,68,0,23621,Rory Sabbatini,+.053
2013,71,0,22792,Peter Hanson,+.054
2013,72,0,32366,Kevin Chappell,+.056
2013,72,0,20229,Stewart Cink,+.056
2013,72,0,22961,David Mathis,+.056
2013,72,0,27933,John Merrick,+.056
2013,76,0,20104,Ken Duke,+.059
2013,77,0,24846,Ricky Barnes,+.060
2013,78,0,30163,Henrik Norlander,+.065
2013,79,0,24357,K.J. Choi,+.067
2013,79,0,27214,Kevin Streelman,+.067
2013,81,0,20848,Ángel Cabrera,+.071
2013,81,0,6573,Brandt Jobe,+.071
2013,83,0,24781,Hunter Mahan,+.073
2013,83,0,29221,Webb Simpson,+.073
2013,85,0,27644,Brian Harman,+.075
2013,86,0,10809,Jim Furyk,+.077
2013,87,0,28259,Sangmoon Bae,+.082
2013,88,0,22378,Trevor Immelman,+.083
2013,88,0,25336,Alistair Presnell,+.083
2013,90,0,34261,Scott Langley,+.085
2013,91,0,12716,Charley Hoffman,+.086
2013,92,0,33141,Keegan Bradley,+.091
2013,92,0,28307,Matt Every,+.091
2013,92,0,26497,Casey Wittenberg,+.091
2013,95,0,27330,Josh Teater,+.095
2013,96,0,29289,S.Y. Noh,+.096
2013,97,0,29420,Billy Horschel,+.097
2013,98,0,25274,Steven Bowditch,+.100
2013,98,0,27120,Troy Matteson,+.100
2013,98,0,25572,Graeme McDowell,+.100
2013,101,0,25834,Daniel Summerhays,+.104
2013,102,0,23497,Tag Ridings,+.110
