YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
2013,1,0,23983,Luke Donald,100.0,3,3.0
2013,1,0,22046,Geoff Ogilvy,100.0,2,2.0
2013,3,0,20443,Jin Park,80.0,4,5.0
2013,4,0,32334,Charlie Beljan,75.0,3,4.0
2013,4,0,22792,Peter Hanson,75.0,3,4.0
2013,4,0,6527,Steve Stricker,75.0,3,4.0
2013,7,0,27330,Josh Teater,71.43,5,7.0
2013,8,0,27129,Luke List,69.23,9,13.0
2013,9,0,23800,Bryce Molder,66.67,2,3.0
2013,9,0,21528,Henrik Stenson,66.67,2,3.0
2013,11,0,34099,Harris English,64.29,9,14.0
2013,12,0,30750,Tommy Gainey,62.5,10,16.0
2013,12,0,27649,Brandt Snedeker,62.5,5,8.0
2013,14,0,23452,Nicolas Colsaerts,60.0,3,5.0
2013,14,0,31557,Jim Herman,60.0,3,5.0
2013,14,0,30944,Jason Kokrak,60.0,6,10.0
2013,17,0,25345,Carl Pettersson,58.82,10,17.0
2013,18,0,25336,Alistair Presnell,58.33,7,12.0
2013,18,0,20160,Charlie Wi,58.33,7,12.0
2013,20,0,1320,Bob Estes,57.14,4,7.0
2013,20,0,29420,Billy Horschel,57.14,8,14.0
2013,20,0,29289,S.Y. Noh,57.14,8,14.0
2013,20,0,30163,Henrik Norlander,57.14,4,7.0
2013,20,0,27214,Kevin Streelman,57.14,4,7.0
2013,25,0,1116,Michael Bradley,55.56,5,9.0
2013,25,0,32366,Kevin Chappell,55.56,5,9.0
2013,27,0,23108,Matt Kuchar,54.55,6,11.0
2013,27,0,26497,Casey Wittenberg,54.55,6,11.0
2013,29,0,24507,Jason Bohn,50.0,5,10.0
2013,29,0,32200,Roberto Castro,50.0,4,8.0
2013,29,0,23541,Ben Crane,50.0,6,12.0
2013,29,0,10809,Jim Furyk,50.0,2,4.0
2013,29,0,25900,Lucas Glover,50.0,5,10.0
2013,29,0,28679,Fabián Gómez,50.0,3,6.0
2013,29,0,32448,James Hahn,50.0,4,8.0
2013,29,0,20766,Padraig Harrington,50.0,3,6.0
2013,29,0,33461,Morgan Hoffmann,50.0,3,6.0
2013,29,0,21099,David Lynn,50.0,8,16.0
2013,29,0,31202,William McGirt,50.0,6,12.0
2013,29,0,24361,Pat Perez,50.0,5,10.0
2013,29,0,24138,Ian Poulter,50.0,5,10.0
2013,29,0,22405,Justin Rose,50.0,1,2.0
2013,29,0,29221,Webb Simpson,50.0,3,6.0
2013,29,0,20396,Lee Westwood,50.0,4,8.0
2013,45,0,10423,Mike Weir,46.67,7,15.0
2013,46,0,23409,James Driscoll,46.15,6,13.0
2013,46,0,26758,David Hearn,46.15,6,13.0
2013,48,0,28092,D.H. Lee,45.45,5,11.0
2013,48,0,33418,Shawn Stefani,45.45,5,11.0
2013,48,0,31560,Brian Stuard,45.45,5,11.0
2013,51,0,29479,Scott Brown,44.44,4,9.0
2013,51,0,25686,Jason Dufner,44.44,4,9.0
2013,51,0,8075,Jerry Kelly,44.44,4,9.0
2013,54,0,30926,Chris Kirk,43.75,7,16.0
2013,54,0,25632,Jimmy Walker,43.75,7,16.0
2013,56,0,24846,Ricky Barnes,42.86,6,14.0
2013,56,0,12716,Charley Hoffman,42.86,3,7.0
2013,56,0,23621,Rory Sabbatini,42.86,6,14.0
2013,56,0,24502,Adam Scott,42.86,3,7.0
2013,60,0,23638,Brendon de Jonge,42.11,8,19.0
2013,61,0,26300,Matt Jones,41.67,5,12.0
2013,61,0,34046,Jordan Spieth,41.67,5,12.0
2013,63,0,6004,Stephen Ames,40.0,4,10.0
2013,63,0,25274,Steven Bowditch,40.0,6,15.0
2013,63,0,28089,Jason Day,40.0,4,10.0
2013,63,0,28307,Matt Every,40.0,6,15.0
2013,63,0,27503,Steve LeBrun,40.0,4,10.0
2013,63,0,26851,Marc Leishman,40.0,4,10.0
2013,63,0,33419,Cameron Tringale,40.0,4,10.0
2013,70,0,25804,Bubba Watson,38.46,5,13.0
2013,71,0,20098,Stuart Appleby,37.5,6,16.0
2013,71,0,23135,Tim Clark,37.5,3,8.0
2013,71,0,28455,Will Claxton,37.5,6,16.0
2013,71,0,29740,Brad Fritsch,37.5,3,8.0
2013,71,0,24399,Scott Gardiner,37.5,3,8.0
2013,71,0,32698,Bobby Gates,37.5,3,8.0
2013,71,0,19846,Brian Gay,37.5,3,8.0
2013,71,0,1810,Phil Mickelson,37.5,3,8.0
2013,71,0,23325,Vaughn Taylor,37.5,3,8.0
2013,80,0,27644,Brian Harman,36.36,4,11.0
2013,80,0,27936,Martin Laird,36.36,4,11.0
2013,80,0,20691,Greg Owen,36.36,4,11.0
2013,80,0,25240,D.A. Points,36.36,4,11.0
2013,80,0,26331,Charl Schwartzel,36.36,4,11.0
2013,85,0,10860,Justin Leonard,35.71,5,14.0
2013,85,0,25562,Andres Romero,35.71,5,14.0
2013,87,0,22806,Doug LaBelle II,35.29,6,17.0
2013,88,0,27963,Chris Stroud,35.0,7,20.0
2013,89,0,10885,Robert Allenby,33.33,4,12.0
2013,89,0,27895,Jonas Blixt,33.33,6,18.0
2013,89,0,24227,Justin Bolli,33.33,3,9.0
2013,89,0,34021,Bud Cauley,33.33,3,9.0
2013,89,0,27436,Graham DeLaet,33.33,5,15.0
2013,89,0,6522,Ernie Els,33.33,2,6.0
2013,89,0,32102,Rickie Fowler,33.33,3,9.0
2013,89,0,24358,Robert Garrigus,33.33,2,6.0
2013,89,0,8725,Tom Gillis,33.33,4,12.0
2013,89,0,25572,Graeme McDowell,33.33,1,3.0
2013,89,0,24490,George McNeill,33.33,3,9.0
2013,89,0,27933,John Merrick,33.33,4,12.0
2013,89,0,26596,Ryan Moore,33.33,4,12.0
2013,89,0,23320,Ryan Palmer,33.33,6,18.0
2013,89,0,27556,Ted Potter Jr.,33.33,3,9.0
2013,89,0,10213,Dicky Pride,33.33,3,9.0
2013,89,0,34360,Patrick Reed,33.33,3,9.0
2013,89,0,6567,Vijay Singh,33.33,2,6.0
2013,89,0,23623,Bo Van Pelt,33.33,2,6.0
2013,89,0,28310,Lee Williams,33.33,3,9.0
2013,89,0,21878,Mark Wilson,33.33,2,6.0
2013,89,0,8793,Tiger Woods,33.33,3,9.0
2013,111,0,24781,Hunter Mahan,31.25,5,16.0
2013,111,0,26476,Chez Reavie,31.25,5,16.0
2013,111,0,34431,Robert Streb,31.25,5,16.0
2013,114,0,24357,K.J. Choi,30.77,4,13.0
2013,114,0,37273,Derek Ernst,30.77,4,13.0
2013,114,0,25818,Scott Piercy,30.77,4,13.0
2013,117,0,28259,Sangmoon Bae,30.0,3,10.0
2013,117,0,23353,J.J. Henry,30.0,3,10.0
2013,117,0,26951,Johnson Wagner,30.0,3,10.0
2013,120,0,6573,Brandt Jobe,28.57,2,7.0
2013,120,0,27408,Martin Kaymer,28.57,2,7.0
2013,120,0,33869,Eric Meierdierks,28.57,2,7.0
2013,120,0,27770,Camilo Villegas,28.57,2,7.0
2013,124,0,28475,Jeff Overton,27.78,5,18.0
2013,125,0,20593,Greg Chalmers,27.27,3,11.0
2013,125,0,21753,Brian Davis,27.27,3,11.0
2013,125,0,20104,Ken Duke,27.27,3,11.0
2013,125,0,28500,Martin Flores,27.27,3,11.0
2013,125,0,30711,Colt Knost,27.27,3,11.0
2013,130,0,21961,Charles Howell III,26.67,4,15.0
2013,130,0,22913,John Rollins,26.67,4,15.0
2013,130,0,27095,Nick Watney,26.67,4,15.0
2013,133,0,12782,Tim Herron,25.0,2,8.0
2013,133,0,24024,Zach Johnson,25.0,3,12.0
2013,133,0,35139,Richard Lee,25.0,2,8.0
2013,133,0,34409,David Lingmerth,25.0,2,8.0
2013,133,0,22961,David Mathis,25.0,3,12.0
2013,133,0,31323,Gary Woodland,25.0,2,8.0
2013,139,0,24494,Erik Compton,23.08,3,13.0
2013,139,0,34174,John Huh,23.08,3,13.0
2013,139,0,28135,Aaron Watkins,23.08,3,13.0
2013,142,0,20229,Stewart Cink,22.22,2,9.0
2013,142,0,24924,Bill Haas,22.22,2,9.0
2013,142,0,30852,Ryo Ishikawa,22.22,2,9.0
2013,142,0,28237,Rory McIlroy,22.22,2,9.0
2013,142,0,22056,Cameron Percy,22.22,2,9.0
2013,142,0,32150,Michael Thompson,22.22,2,9.0
2013,142,0,24663,Y.E. Yang,22.22,2,9.0
2013,149,0,26679,Kevin Stadler,21.43,3,14.0
2013,149,0,26289,Boo Weekley,21.43,3,14.0
2013,151,0,28780,Nicholas Thompson,21.05,4,19.0
2013,152,0,22621,Ben Curtis,20.0,1,5.0
2013,152,0,21209,Sergio Garcia,20.0,2,10.0
2013,152,0,35539,Luke Guthrie,20.0,2,10.0
2013,152,0,36884,Ben Kohles,20.0,2,10.0
2013,152,0,29518,Brendan Steele,20.0,2,10.0
2013,152,0,22295,Darron Stiles,20.0,1,5.0
2013,158,0,22378,Trevor Immelman,18.75,3,16.0
2013,159,0,30110,Kyle Stanley,18.18,2,11.0
2013,160,0,33141,Keegan Bradley,16.67,1,6.0
2013,160,0,20645,John Senden,16.67,1,6.0
2013,160,0,2206,David Toms,16.67,1,6.0
2013,163,0,34098,Russell Henley,15.38,2,13.0
2013,163,0,30692,Scott Stallings,15.38,2,13.0
2013,165,0,12510,Chad Campbell,14.29,1,7.0
2013,165,0,34261,Scott Langley,14.29,1,7.0
2013,167,0,21731,Freddie Jacobson,12.5,1,8.0
2013,167,0,23497,Tag Ridings,12.5,2,16.0
2013,169,0,24140,Sean O'Hair,11.11,1,9.0
2013,170,0,30925,Dustin Johnson,10.0,1,10.0
2013,170,0,27120,Troy Matteson,10.0,1,10.0
2013,172,0,22371,Aaron Baddeley,7.69,1,13.0
2013,173,0,20848,Ángel Cabrera,0.0,0,2.0
2013,173,0,25444,Justin Hicks,0.0,0,6.0
2013,173,0,19970,Robert Karlsson,0.0,0,3.0
2013,173,0,1724,Jeff Maggert,0.0,0,9.0
2013,173,0,20572,Rod Pampling,0.0,0,7.0
2013,173,0,25834,Daniel Summerhays,0.0,0,11.0
2013,173,0,29425,Andrew Svoboda,0.0,0,2.0
2013,173,0,23788,D.J. Trahan,0.0,0,4.0
2014,1,0,35539,Luke Guthrie,80.0,8,10.0
2014,2,0,24140,Sean O'Hair,70.0,7,10.0
2014,3,0,27466,Spencer Levin,66.67,4,6.0
2014,4,0,10885,Robert Allenby,62.5,10,16.0
2014,4,0,24138,Ian Poulter,62.5,5,8.0
2014,4,0,6567,Vijay Singh,62.5,5,8.0
2014,4,0,10423,Mike Weir,62.5,5,8.0
2014,8,0,20098,Stuart Appleby,61.11,11,18.0
2014,8,0,33461,Morgan Hoffmann,61.11,11,18.0
2014,10,0,23541,Ben Crane,60.0,12,20.0
2014,10,0,19846,Brian Gay,60.0,6,10.0
2014,12,0,20645,John Senden,58.82,10,17.0
2014,13,0,24357,K.J. Choi,58.33,7,12.0
2014,13,0,26851,Marc Leishman,58.33,7,12.0
2014,15,0,25632,Jimmy Walker,57.89,11,19.0
2014,16,0,20498,Briny Baird,57.14,4,7.0
2014,16,0,30944,Jason Kokrak,57.14,4,7.0
2014,16,0,25349,Tim Wilkinson,57.14,8,14.0
2014,19,0,26596,Ryan Moore,55.56,5,9.0
2014,19,0,29289,S.Y. Noh,55.56,5,9.0
2014,21,0,35139,Richard Lee,54.55,6,11.0
2014,21,0,24781,Hunter Mahan,54.55,6,11.0
2014,23,0,32150,Michael Thompson,53.85,7,13.0
2014,24,0,20229,Stewart Cink,52.94,9,17.0
2014,25,0,23983,Luke Donald,50.0,8,16.0
2014,25,0,21961,Charles Howell III,50.0,6,12.0
2014,25,0,35300,Andrew Loupe,50.0,5,10.0
2014,25,0,23800,Bryce Molder,50.0,5,10.0
2014,25,0,23320,Ryan Palmer,50.0,7,14.0
2014,25,0,22405,Justin Rose,50.0,4,8.0
2014,25,0,27963,Chris Stroud,50.0,11,22.0
2014,25,0,25834,Daniel Summerhays,50.0,12,24.0
2014,25,0,25804,Bubba Watson,50.0,6,12.0
2014,34,0,29535,Brice Garnett,46.67,7,15.0
2014,34,0,34098,Russell Henley,46.67,7,15.0
2014,34,0,30927,Brendon Todd,46.67,7,15.0
2014,37,0,25274,Steven Bowditch,45.45,5,11.0
2014,37,0,27556,Ted Potter Jr.,45.45,5,11.0
2014,37,0,29518,Brendan Steele,45.45,5,11.0
2014,40,0,34046,Jordan Spieth,45.0,9,20.0
2014,41,0,28259,Sangmoon Bae,44.44,4,9.0
2014,41,0,12716,Charley Hoffman,44.44,4,9.0
2014,41,0,26329,Louis Oosthuizen,44.44,4,9.0
2014,41,0,20160,Charlie Wi,44.44,4,9.0
2014,45,0,20593,Greg Chalmers,43.75,7,16.0
2014,46,0,27436,Graham DeLaet,42.86,3,7.0
2014,46,0,20157,Retief Goosen,42.86,6,14.0
