YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3+ PUTTS,TOTAL ROUNDS,TOTAL 2 PUTTS,TOTAL 3 PUTTS,TOTAL 1 PUTTS,TOTAL PUTTS,LOW TOTAL PUTTS
2013,1,0,23541,Ben Crane,0.07,4.0,58,,,,,
2013,2,0,34174,John Huh,0.05,4.0,88,,,,,
2013,2,0,29425,Andrew Svoboda,0.05,2.0,44,,,,,
2013,2,0,2206,David Toms,0.05,2.0,44,,,,,
2013,5,0,23452,Nicolas Colsaerts,0.04,2.0,47,,,,,
2013,5,0,29740,Brad Fritsch,0.04,3.0,77,,,,,
2013,5,0,25444,Justin Hicks,0.04,3.0,75,,,,,
2013,5,0,34409,David Lingmerth,0.04,3.0,68,,,,,
2013,5,0,1810,Phil Mickelson,0.04,3.0,78,,,,,
2013,5,0,26679,Kevin Stadler,0.04,3.0,79,,,,,
2013,5,0,30110,Kyle Stanley,0.04,3.0,71,,,,,
2013,5,0,28780,Nicholas Thompson,0.04,4.0,99,,,,,
2013,5,0,20396,Lee Westwood,0.04,3.0,69,,,,,
2013,14,0,24846,Ricky Barnes,0.03,2.0,70,,,,,
2013,14,0,27895,Jonas Blixt,0.03,2.0,76,,,,,
2013,14,0,25274,Steven Bowditch,0.03,2.0,65,,,,,
2013,14,0,20848,Ángel Cabrera,0.03,2.0,73,,,,,
2013,14,0,32366,Kevin Chappell,0.03,2.0,80,,,,,
2013,14,0,24494,Erik Compton,0.03,2.0,74,,,,,
2013,14,0,24399,Scott Gardiner,0.03,2.0,59,,,,,
2013,14,0,25900,Lucas Glover,0.03,2.0,65,,,,,
2013,14,0,34098,Russell Henley,0.03,2.0,78,,,,,
2013,14,0,27408,Martin Kaymer,0.03,2.0,58,,,,,
2013,14,0,30944,Jason Kokrak,0.03,2.0,78,,,,,
2013,14,0,22806,Doug LaBelle II,0.03,2.0,70,,,,,
2013,14,0,27129,Luke List,0.03,2.0,61,,,,,
2013,14,0,25240,D.A. Points,0.03,3.0,87,,,,,
2013,14,0,20645,John Senden,0.03,2.0,78,,,,,
2013,14,0,30692,Scott Stallings,0.03,2.0,79,,,,,
2013,14,0,20160,Charlie Wi,0.03,2.0,71,,,,,
2013,31,0,10885,Robert Allenby,0.02,1.0,56,,,,,
2013,31,0,32334,Charlie Beljan,0.02,1.0,62,,,,,
2013,31,0,1116,Michael Bradley,0.02,1.0,52,,,,,
