YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
2013,1,0,28237,Rory McIlroy,30.99,22,71
2013,2,0,21731,Freddie Jacobson,25.64,20,78
2013,3,0,8793,Tiger Woods,25.53,12,47
2013,4,0,21209,Sergio Garcia,23.47,23,98
2013,5,0,25804,Bubba Watson,22.86,24,105
2013,6,0,22371,Aaron Baddeley,22.66,29,128
2013,7,0,23621,Rory Sabbatini,21.74,30,138
2013,8,0,26331,Charl Schwartzel,21.51,20,93
2013,9,0,23623,Bo Van Pelt,21.13,15,71
2013,10,0,30925,Dustin Johnson,21.05,24,114
2013,11,0,34360,Patrick Reed,20.92,32,153
2013,12,0,26679,Kevin Stadler,20.9,28,134
2013,13,0,25632,Jimmy Walker,20.83,30,144
2013,14,0,24358,Robert Garrigus,20.37,22,108
2013,15,0,6522,Ernie Els,20.0,14,70
2013,16,0,1810,Phil Mickelson,19.4,26,134
2013,17,0,12510,Chad Campbell,19.35,24,124
2013,18,0,20766,Padraig Harrington,19.3,11,57
2013,19,0,33419,Cameron Tringale,19.2,24,125
2013,20,0,24357,K.J. Choi,19.1,17,89
2013,21,0,6527,Steve Stricker,19.05,8,42
2013,22,0,21961,Charles Howell III,19.01,23,121
2013,23,0,24502,Adam Scott,18.99,15,79
2013,24,0,24781,Hunter Mahan,18.95,18,95
2013,25,0,22913,John Rollins,18.87,20,106
2013,26,0,20160,Charlie Wi,18.68,17,91
2013,27,0,12716,Charley Hoffman,18.64,22,118
2013,28,0,32448,James Hahn,18.58,21,113
2013,29,0,30926,Chris Kirk,18.33,22,120
2013,30,0,27649,Brandt Snedeker,18.28,17,93
2013,31,0,23108,Matt Kuchar,18.25,23,126
2013,32,0,22405,Justin Rose,18.18,12,66
2013,32,0,21528,Henrik Stenson,18.18,12,66
2013,34,0,25686,Jason Dufner,18.1,19,105
2013,35,0,23983,Luke Donald,18.06,13,72
2013,36,0,29420,Billy Horschel,18.05,24,133
2013,37,0,20848,Ángel Cabrera,18.02,20,111
2013,38,0,23320,Ryan Palmer,17.97,23,128
2013,39,0,27214,Kevin Streelman,17.76,19,107
2013,40,0,6573,Brandt Jobe,17.65,12,68
2013,41,0,22046,Geoff Ogilvy,17.57,13,74
2013,42,0,34021,Bud Cauley,17.53,17,97
2013,43,0,22792,Peter Hanson,17.5,14,80
2013,43,0,25240,D.A. Points,17.5,21,120
2013,45,0,24024,Zach Johnson,17.31,18,104
2013,45,0,28135,Aaron Watkins,17.31,9,52
2013,47,0,25834,Daniel Summerhays,17.27,24,139
2013,48,0,27556,Ted Potter Jr.,17.05,15,88
2013,49,0,20593,Greg Chalmers,17.0,17,100
2013,50,0,27436,Graham DeLaet,16.95,20,118
2013,51,0,30944,Jason Kokrak,16.88,26,154
2013,52,0,24507,Jason Bohn,16.67,17,102
2013,52,0,21753,Brian Davis,16.67,23,138
2013,52,0,23409,James Driscoll,16.67,22,132
2013,52,0,27129,Luke List,16.67,27,162
2013,52,0,25818,Scott Piercy,16.67,15,90
