YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRVS - OVERALL,RELATIVE TO PAR
2013,1,0,29518,Brendan Steele,52.5,84,160,-0.13
2013,2,0,33419,Cameron Tringale,51.88,83,160,-0.11
2013,3,0,24663,Y.E. Yang,50.0,46,92,-0.17
2013,4,0,29479,Scott Brown,49.18,60,122,-0.18
2013,5,0,12782,Tim Herron,48.89,44,90,-0.07
2013,6,0,32102,Rickie Fowler,48.33,58,120,-0.17
2013,7,0,25900,Lucas Glover,48.18,53,110,-0.15
2013,8,0,23108,Matt Kuchar,47.89,68,142,-0.24
2013,9,0,24490,George McNeill,47.06,64,136,-0.19
2013,10,0,27120,Troy Matteson,46.97,62,132,-0.10
2013,11,0,6522,Ernie Els,46.88,45,96,-0.04
2013,11,0,23621,Rory Sabbatini,46.88,75,160,-0.11
2013,13,0,22046,Geoff Ogilvy,46.81,44,94,-0.16
2013,14,0,29221,Webb Simpson,46.62,69,148,-0.26
2013,15,0,29425,Andrew Svoboda,46.43,39,84,-0.18
2013,16,0,26289,Boo Weekley,46.11,83,180,-0.29
2013,17,0,35539,Luke Guthrie,45.95,68,148,-0.13
2013,18,0,22913,John Rollins,45.89,67,146,-0.18
2013,19,0,23409,James Driscoll,45.83,66,144,-0.11
2013,20,0,21209,Sergio Garcia,45.74,43,94,-0.23
2013,21,0,28455,Will Claxton,45.24,57,126,-0.14
2013,22,0,25444,Justin Hicks,45.21,66,146,-0.15
2013,23,0,31560,Brian Stuard,45.14,65,144,-0.26
2013,24,0,28475,Jeff Overton,44.87,70,156,-0.07
2013,24,0,24138,Ian Poulter,44.87,35,78,-0.06
2013,26,0,23788,D.J. Trahan,44.57,41,92,-0.05
2013,27,0,27933,John Merrick,44.52,65,146,-0.05
2013,28,0,24357,K.J. Choi,44.12,60,136,-0.10
2013,28,0,6567,Vijay Singh,44.12,45,102,-0.04
2013,30,0,22056,Cameron Percy,43.94,58,132,-0.02
2013,31,0,34046,Jordan Spieth,43.92,65,148,-0.11
2013,32,0,28092,D.H. Lee,43.85,57,130,-0.19
2013,33,0,37273,Derek Ernst,43.75,49,112,-0.08
2013,34,0,24781,Hunter Mahan,43.66,62,142,-0.13
2013,35,0,27649,Brandt Snedeker,43.65,55,126,-0.13
2013,36,0,22405,Justin Rose,43.48,40,92,-0.10
2013,37,0,25686,Jason Dufner,43.44,53,122,-0.28
2013,38,0,34360,Patrick Reed,43.37,72,166,-0.11
2013,39,0,20766,Padraig Harrington,43.24,32,74,-0.31
2013,40,0,28307,Matt Every,43.1,75,174,-0.07
2013,41,0,27644,Brian Harman,42.94,73,170,-0.01
2013,42,0,30852,Ryo Ishikawa,42.74,53,124,-0.13
2013,43,0,22961,David Mathis,42.54,57,134,-0.05
2013,44,0,20396,Lee Westwood,42.45,45,106,-0.29
2013,45,0,22792,Peter Hanson,42.42,28,66,-0.32
2013,46,0,19970,Robert Karlsson,42.39,39,92,-0.03
2013,47,0,1116,Michael Bradley,42.31,44,104,-0.07
2013,47,0,22378,Trevor Immelman,42.31,55,130,-0.13
2013,49,0,29740,Brad Fritsch,42.21,65,154,+0.02
2013,50,0,20645,John Senden,42.19,54,128,-0.22
2013,51,0,27556,Ted Potter Jr.,42.11,48,114,-0.08
2013,52,0,8793,Tiger Woods,42.05,37,88,-0.14
2013,53,0,34098,Russell Henley,41.91,57,136,+0.04
2013,54,0,27408,Martin Kaymer,41.67,35,84,-0.20
2013,55,0,23353,J.J. Henry,41.56,64,154,+0.05
2013,55,0,26679,Kevin Stadler,41.56,64,154,-0.22
2013,57,0,25274,Steven Bowditch,41.54,54,130,-0.13
2013,58,0,32200,Roberto Castro,41.4,77,186,-0.19
2013,59,0,23325,Vaughn Taylor,41.3,38,92,-0.18
2013,60,0,30926,Chris Kirk,41.18,70,170,-0.20
2013,61,0,28259,Sangmoon Bae,41.14,65,158,+0.02
2013,61,0,26300,Matt Jones,41.14,65,158,-0.23
2013,63,0,34409,David Lingmerth,41.13,51,124,-0.08
2013,64,0,21961,Charles Howell III,40.96,68,166,-0.13
2013,65,0,25345,Carl Pettersson,40.91,54,132,-0.13
2013,66,0,12716,Charley Hoffman,40.79,62,152,-0.21
2013,67,0,34021,Bud Cauley,40.68,48,118,-0.02
2013,68,0,30750,Tommy Gainey,40.63,65,160,-0.14
2013,69,0,28780,Nicholas Thompson,40.53,77,190,-0.10
2013,70,0,20098,Stuart Appleby,40.48,68,168,-0.18
2013,71,0,23983,Luke Donald,40.22,37,92,-0.03
2013,72,0,27095,Nick Watney,40.13,61,152,+0.03
