RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,48081,Xander Schauffele,67.73,1761,26
2,0,46046,Scottie Scheffler,68.39,1573,23
3,0,57975,Harry Hall,68.55,3496,51
4,0,39975,Michael Kim,68.60,2950,43
5,0,48117,Kurt Kitayama,68.61,2813,41
6,0,47504,Sam Burns,68.70,2061,30
7,0,57900,Chandler Phillips,68.74,3162,46
8,0,39327,Ben Silverman,68.86,3030,44
9,0,39971,Sungjae Im,68.95,2689,39
10,0,52955,Ludvig Ãberg,69.00,2208,32
10,0,32839,Hideki Matsuyama,69.00,2001,29
10,0,59143,Mac Meissner,69.00,3105,45
13,0,39546,Keith Mitchell,69.02,3106,45
14,0,29420,Billy Horschel,69.05,2762,40
15,0,28237,Rory McIlroy,69.08,1658,24
16,0,51766,Wyndham Clark,69.09,2349,34
16,0,34587,Chan Kim,69.09,3040,44
18,0,50525,Collin Morikawa,69.10,2004,29
19,0,39997,Corey Conners,69.11,2626,38
20,0,60004,Jacob Bridgeman,69.13,2765,40
20,0,28089,Jason Day,69.13,2627,38
22,0,54591,Ben Griffin,69.16,4426,64
23,0,54576,Patrick Fishburn,69.17,2490,36
24,0,46442,Maverick McNealy,69.18,3390,49
25,0,40250,Taylor Pendrith,69.20,2422,35
25,0,24502,Adam Scott,69.20,2422,35
27,0,51977,Max Greyserman,69.22,2492,36
28,0,28252,Seamus Power,69.24,2908,42
29,0,55893,Sam Stevens,69.25,3532,51
30,0,47983,Chad Ramey,69.26,2701,39
31,0,52375,Doug Ghim,69.27,3533,51
31,0,50484,Hayden Springer,69.27,2286,33
33,0,35450,Patrick Cantlay,69.28,2217,32
34,0,46414,Aaron Rai,69.29,3118,45
35,0,36699,Patrick Rodgers,69.31,3327,48
36,0,51287,Ryo Hisatsune,69.33,3813,55
37,0,60067,Joe Highsmith,69.36,2705,39
37,0,40162,Justin Lower,69.36,3260,47
37,0,48887,Matt Wallace,69.36,2497,36
40,0,34098,Russell Henley,69.37,2081,30
41,0,29725,Tony Finau,69.38,2567,37
42,0,35461,Beau Hossler,69.39,2845,41
43,0,30163,Henrik Norlander,69.41,2013,29
44,0,28775,Nate Lashley,69.42,2985,43
45,0,51696,Rico Hoey,69.45,2917,42
45,0,36801,Mark Hubbard,69.45,3889,56
47,0,27644,Brian Harman,69.48,3057,44
47,0,39324,J.J. Spaun,69.48,2779,40
49,0,51349,Nico Echavarria,69.50,3197,46
49,0,29908,C.T. Pan,69.50,1946,28
49,0,27064,Jhonattan Vegas,69.50,2502,36
52,0,51997,Andrew Novak,69.56,2991,43
52,0,49771,J.T. Poston,69.56,3130,45
54,0,37455,Si Woo Kim,69.59,3549,51
55,0,58168,Davis Thompson,69.60,3619,52
56,0,46717,Viktor Hovland,69.61,2158,31
56,0,47679,Victor Perez,69.61,2854,41
56,0,33448,Justin Thomas,69.61,2297,33
59,0,34021,Bud Cauley,69.63,2089,30
59,0,27349,Alex Noren,69.63,2228,32
59,0,51894,Vince Whaley,69.63,2646,38
62,0,48084,Wesley Bryan,69.64,1741,25
62,0,35506,Mackenzie Hughes,69.64,3273,47
64,0,48867,Matti Schmid,69.65,2786,40
65,0,40026,Daniel Berger,69.67,2717,39
65,0,50188,S.H. Kim,69.67,4459,64
67,0,54421,Garrick Higgo,69.70,3067,44
68,0,35532,Tom Hoge,69.71,3834,55
68,0,40006,Erik van Rooyen,69.71,2928,42
70,0,32367,Jorge Campillo,69.72,2022,29
70,0,25900,Lucas Glover,69.72,3207,46
72,0,29936,Ryan Fox,69.73,2301,33
73,0,32333,Kevin Tway,69.75,1953,28
74,0,45522,Christiaan Bezuidenhout,69.76,2930,42
74,0,52514,Trace Crowe,69.76,2581,37
74,0,51890,Greyson Sigg,69.76,2930,42
77,0,32791,K.H. Lee,69.83,2863,41
78,0,34255,Joseph Bramlett,69.84,3073,44
78,0,30911,Tommy Fleetwood,69.84,2235,32
80,0,30926,Chris Kirk,69.85,2794,40
80,0,34256,Andrew Putnam,69.85,3283,47
82,0,59836,Pierceson Coody,69.86,2934,42
82,0,50095,Austin Smotherman,69.86,2515,36
84,0,46441,Robby Shelton,69.88,2795,40
84,0,50493,Justin Suh,69.88,2935,42
86,0,26596,Ryan Moore,69.92,2517,36
86,0,36871,Matt NeSmith,69.92,2727,39
88,0,56630,Akshay Bhatia,69.93,2867,41
89,0,49947,Taylor Moore,69.94,3497,50
90,0,36884,Ben Kohles,69.95,2938,42
91,0,31323,Gary Woodland,69.96,3358,48
91,0,52513,Carson Young,69.96,3288,47
93,0,32366,Kevin Chappell,69.97,2309,33
94,0,33948,Byeong Hun An,70.00,2520,36
94,0,27936,Martin Laird,70.00,2800,40
96,0,40058,Zac Blair,70.02,3011,43
96,0,54783,Dylan Wu,70.02,3361,48
98,0,32757,Patton Kizzire,70.03,2171,31
99,0,24024,Zach Johnson,70.04,1961,28
100,0,34099,Harris English,70.06,3503,50
100,0,40098,Matt Fitzpatrick,70.06,2312,33
102,0,29535,Brice Garnett,70.08,1752,25
102,0,34563,Chesson Hadley,70.08,2803,40
102,0,12716,Charley Hoffman,70.08,2663,38
102,0,52374,Brandon Wu,70.08,3434,49
106,0,33141,Keegan Bradley,70.10,2734,39
107,0,33204,Shane Lowry,70.11,2664,38
