RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,28089,Jason Day,68.64,961,14
2,0,21961,Charles Howell III,68.88,1102,16
3,0,26596,Ryan Moore,69.09,760,11
4,0,29420,Billy Horschel,69.12,1175,17
5,0,34046,Jordan Spieth,69.14,968,14
6,0,26331,Charl Schwartzel,69.17,830,12
7,0,25834,Daniel Summerhays,69.19,1107,16
8,0,26851,Marc Leishman,69.20,1038,15
8,0,24502,Adam Scott,69.20,1038,15
10,0,30925,Dustin Johnson,69.29,970,14
11,0,31323,Gary Woodland,69.44,1111,16
12,0,26758,David Hearn,69.45,1528,22
13,0,24846,Ricky Barnes,69.46,1667,24
14,0,21209,Sergio Garcia,69.50,556,8
14,0,25396,Kevin Na,69.50,834,12
16,0,01810,Phil Mickelson,69.53,1182,17
17,0,27936,Martin Laird,69.55,1530,22
17,0,20645,John Senden,69.55,765,11
19,0,23108,Matt Kuchar,69.62,1810,26
20,0,26951,Johnson Wagner,69.64,975,14
20,0,25632,Jimmy Walker,69.64,975,14
22,0,33141,Keegan Bradley,69.69,1115,16
23,0,12510,Chad Campbell,69.71,1464,21
24,0,23541,Ben Crane,69.73,767,11
25,0,31560,Brian Stuard,69.77,907,13
26,0,26329,Louis Oosthuizen,69.78,628,9
27,0,25804,Bubba Watson,69.79,977,14
28,0,33399,Adam Hadwin,69.82,1187,17
28,0,33122,Russell Knox,69.82,1187,17
30,0,25686,Jason Dufner,69.83,1257,18
31,0,29518,Brendan Steele,69.87,1048,15
32,0,34563,Chesson Hadley,69.90,699,10
33,0,23800,Bryce Molder,69.92,839,12
34,0,25493,Nick Taylor,69.93,1049,15
35,0,36699,Patrick Rodgers,69.94,1119,16
36,0,29476,Kyle Reifers,69.96,1959,28
37,0,10809,Jim Furyk,70.00,840,12
37,0,31646,Emiliano Grillo,70.00,980,14
37,0,32839,Hideki Matsuyama,70.00,980,14
37,0,30692,Scott Stallings,70.00,490,7
37,0,33419,Cameron Tringale,70.00,560,8
37,0,27064,Jhonattan Vegas,70.00,1540,22
43,0,29268,Bronson Burgoon,70.05,1331,19
44,0,25900,Lucas Glover,70.06,1191,17
44,0,31420,Anirban Lahiri,70.06,1121,16
44,0,06527,Steve Stricker,70.06,1121,16
47,0,32102,Rickie Fowler,70.07,1051,15
47,0,34409,David Lingmerth,70.07,981,14
49,0,26300,Matt Jones,70.08,911,13
50,0,30944,Jason Kokrak,70.09,1612,23
51,0,24024,Zach Johnson,70.10,1402,20
52,0,20098,Stuart Appleby,70.11,631,9
53,0,28132,Tyrone Van Aswegen,70.15,1403,20
54,0,20766,Padraig Harrington,70.17,842,12
55,0,27974,Sung Kang,70.18,1193,17
56,0,34099,Harris English,70.21,1334,19
56,0,26476,Chez Reavie,70.21,1334,19
56,0,33418,Shawn Stefani,70.21,1334,19
59,0,27644,Brian Harman,70.24,1194,17
60,0,28679,Fabián Gómez,70.25,843,12
60,0,20157,Retief Goosen,70.25,843,12
60,0,25818,Scott Piercy,70.25,562,8
63,0,37455,Si Woo Kim,70.27,1054,15
63,0,28237,Rory McIlroy,70.27,773,11
65,0,27129,Luke List,70.29,1476,21
65,0,29461,Jamie Lovemark,70.29,1476,21
67,0,32200,Roberto Castro,70.35,1407,20
68,0,33413,Ben Martin,70.39,1267,18
69,0,24357,K.J. Choi,70.40,1056,15
70,0,25349,Tim Wilkinson,70.42,1338,19
71,0,30926,Chris Kirk,70.43,986,14
71,0,25198,Francesco Molinari,70.43,986,14
71,0,34360,Patrick Reed,70.43,1479,21
71,0,37189,Harold Varner III,70.43,986,14
75,0,22892,Jason Gore,70.44,1127,16
76,0,21731,Freddie Jacobson,70.47,1198,17
76,0,24140,Sean O'Hair,70.47,1057,15
78,0,27436,Graham DeLaet,70.50,1128,16
78,0,33410,Andrew Landry,70.50,846,12
80,0,27649,Brandt Snedeker,70.52,1622,23
81,0,02206,David Toms,70.54,917,13
82,0,29725,Tony Finau,70.56,1270,18
82,0,29222,Billy Hurley III,70.56,1129,16
84,0,27942,Rob Oppenheim,70.57,988,14
84,0,26289,Boo Weekley,70.57,988,14
86,0,29479,Scott Brown,70.59,1553,22
86,0,32150,Michael Thompson,70.59,1200,17
88,0,27895,Jonas Blixt,70.61,1271,18
89,0,24490,George McNeill,70.62,918,13
90,0,34466,Peter Malnati,70.63,1342,19
91,0,28475,Jeff Overton,70.64,989,14
92,0,27141,J.B. Holmes,70.67,848,12
92,0,34174,John Huh,70.67,1060,15
94,0,29485,Brett Stegmaier,70.68,1343,19
95,0,35879,Kelly Kraft,70.69,919,13
95,0,34261,Scott Langley,70.69,1131,16
97,0,21878,Mark Wilson,70.72,1273,18
98,0,36689,Brooks Koepka,70.73,778,11
99,0,22371,Aaron Baddeley,70.74,1627,23
100,0,24912,Will MacKenzie,70.76,1486,21
100,0,20691,Greg Owen,70.76,1203,17
102,0,20472,Alex Cejka,70.77,920,13
102,0,22405,Justin Rose,70.77,920,13
104,0,28158,Steve Marino,70.79,991,14
105,0,23638,Brendon de Jonge,70.81,1487,21
106,0,08075,Jerry Kelly,70.82,779,11
106,0,39975,Michael Kim,70.82,1558,22
106,0,34431,Robert Streb,70.82,1204,17
109,0,35545,Blayne Barber,70.83,850,12
109,0,29221,Webb Simpson,70.83,850,12
109,0,27963,Chris Stroud,70.83,1275,18
112,0,24924,Bill Haas,70.85,921,13
