RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,28089,Jason Day,72.50,116,160,-123,+16.00
2,0,33448,Justin Thomas,70.64,166,235,-178,-7.00
3,0,10860,Justin Leonard,70.59,24,34,-26,-17.00
4,0,22371,Aaron Baddeley,66.14,84,127,-92,-3.00
5,0,30927,Brendon Todd,65.63,63,96,-67,-29.00
6,0,34262,Jon Curran,65.38,34,52,-36,-13.00
7,0,22293,Heath Slocum,65.31,32,49,-32,-5.00
8,0,36689,Brooks Koepka,65.16,101,155,-118,+13.00
9,0,33413,Ben Martin,64.84,83,128,-86,-5.00
10,0,32150,Michael Thompson,64.57,82,127,-87,-3.00
11,0,33122,Russell Knox,64.52,80,124,-82,-10.00
12,0,36801,Mark Hubbard,64.29,63,98,-65,-14.00
13,0,32839,Hideki Matsuyama,64.15,102,159,-109,-16.00
14,0,29289,S.Y. Noh,63.73,65,102,-70,E
15,0,33461,Morgan Hoffmann,63.41,104,164,-111,-3.00
16,0,29221,Webb Simpson,63.36,83,131,-91,-7.00
17,0,25396,Kevin Na,63.30,69,109,-72,-24.00
18,0,22405,Justin Rose,62.96,68,108,-70,-13.00
19,0,25349,Tim Wilkinson,62.69,42,67,-44,-8.00
20,0,33141,Keegan Bradley,62.42,98,157,-104,-18.00
20,0,34264,Hudson Swafford,62.42,103,165,-109,-4.00
22,0,27770,Camilo Villegas,62.41,83,133,-86,-1.00
23,0,24502,Adam Scott,62.32,43,69,-48,-5.00
24,0,24494,Erik Compton,62.20,79,127,-87,+9.00
25,0,12510,Chad Campbell,62.12,82,132,-85,-29.00
26,0,32200,Roberto Castro,62.07,36,58,-41,-11.00
27,0,31557,Jim Herman,62.02,80,129,-85,-4.00
28,0,34358,Jonathan Randolph,61.90,65,105,-67,-10.00
29,0,33486,Roger Sloan,61.84,47,76,-47,+10.00
30,0,30925,Dustin Johnson,61.76,84,136,-92,-7.00
31,0,29223,Sam Saunders,61.70,87,141,-91,-13.00
32,0,25364,Paul Casey,61.47,67,109,-73,-13.00
32,0,34261,Scott Langley,61.47,67,109,-71,-29.00
34,0,37273,Derek Ernst,61.36,81,132,-86,+8.00
34,0,25804,Bubba Watson,61.36,108,176,-118,+3.00
36,0,27436,Graham DeLaet,61.11,66,108,-72,-3.00
37,0,30946,Alex Prugh,61.07,80,131,-85,-7.00
38,0,24024,Zach Johnson,60.91,67,110,-72,-25.00
39,0,23108,Matt Kuchar,60.90,95,156,-104,-33.00
40,0,29725,Tony Finau,60.87,154,253,-164,+1.00
40,0,25632,Jimmy Walker,60.87,84,138,-86,-16.00
42,0,27644,Brian Harman,60.78,93,153,-97,-14.00
42,0,30926,Chris Kirk,60.78,62,102,-64,-10.00
44,0,25720,Chad Collins,60.71,51,84,-54,-17.00
45,0,31416,Derek Fathauer,60.68,71,117,-79,-2.00
46,0,26289,Boo Weekley,60.58,83,137,-87,-12.00
47,0,27895,Jonas Blixt,60.56,43,71,-46,-11.00
48,0,26300,Matt Jones,60.34,105,174,-113,-15.00
49,0,34046,Jordan Spieth,60.29,82,136,-89,-18.00
50,0,25900,Lucas Glover,60.28,85,141,-91,E
51,0,27141,J.B. Holmes,60.23,103,171,-111,E
52,0,24846,Ricky Barnes,60.00,63,105,-66,-1.00
52,0,36699,Patrick Rodgers,60.00,63,105,-66,+4.00
52,0,30692,Scott Stallings,60.00,66,110,-70,+14.00
52,0,26951,Johnson Wagner,60.00,51,85,-55,-5.00
56,0,26851,Marc Leishman,59.82,67,112,-69,E
57,0,34360,Patrick Reed,59.73,89,149,-91,-18.00
58,0,29479,Scott Brown,59.72,86,144,-91,-13.00
59,0,40026,Daniel Berger,59.69,114,191,-120,-11.00
60,0,34431,Robert Streb,59.59,115,193,-120,-19.00
61,0,25493,Nick Taylor,59.54,103,173,-107,-16.00
62,0,10809,Jim Furyk,59.42,41,69,-41,-13.00
63,0,34130,Sung Joon Park,59.34,54,91,-57,-8.00
64,0,33667,Carlos Ortiz,59.22,122,206,-133,-13.00
65,0,34265,Will Wilcox,59.21,45,76,-50,-7.00
66,0,29425,Andrew Svoboda,59.13,68,115,-74,+10.00
67,0,24361,Pat Perez,59.12,81,137,-86,-24.00
68,0,30711,Colt Knost,59.09,52,88,-55,-31.00
69,0,32334,Charlie Beljan,59.06,75,127,-79,-2.00
70,0,35451,Scott Pinckney,58.91,76,129,-86,-3.00
71,0,22056,Cameron Percy,58.88,63,107,-70,-3.00
72,0,20771,Steven Alker,58.82,40,68,-45,-15.00
72,0,24357,K.J. Choi,58.82,40,68,-43,-19.00
