RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,52514,Trace Crowe,3,23
1,0,35461,Beau Hossler,3,31
3,0,51349,Nico Echavarria,2,34
3,0,34587,Chan Kim,2,48
3,0,29478,Kevin Kisner,2,34
3,0,34466,Peter Malnati,2,29
3,0,26596,Ryan Moore,2,44
3,0,34256,Andrew Putnam,2,28
3,0,29221,Webb Simpson,2,27
3,0,27770,Camilo Villegas,2,29
11,0,33408,Tyson Alexander,1,31
11,0,40058,Zac Blair,1,36
11,0,33141,Keegan Bradley,1,27
11,0,34255,Joseph Bramlett,1,53
11,0,47504,Sam Burns,1,19
11,0,34021,Bud Cauley,1,24
11,0,51766,Wyndham Clark,1,21
11,0,39997,Corey Conners,1,35
11,0,30911,Tommy Fleetwood,1,24
11,0,32102,Rickie Fowler,1,32
11,0,29535,Brice Garnett,1,30
11,0,25900,Lucas Glover,1,27
11,0,59095,Chris Gotterup,1,39
11,0,51977,Max Greyserman,1,27
11,0,60767,Blaine Hale Jr.,1,26
11,0,12716,Charley Hoffman,1,32
11,0,30926,Chris Kirk,1,31
11,0,32757,Patton Kizzire,1,32
11,0,23108,Matt Kuchar,1,23
11,0,28775,Nate Lashley,1,36
11,0,59143,Mac Meissner,1,26
11,0,49771,J.T. Poston,1,30
11,0,26476,Chez Reavie,1,27
11,0,47995,Davis Riley,1,30
11,0,22405,Justin Rose,1,27
11,0,37275,Sam Ryder,1,39
11,0,47347,Adam Schenk,1,44
11,0,48867,Matti Schmid,1,38
11,0,46441,Robby Shelton,1,34
11,0,51890,Greyson Sigg,1,35
11,0,33486,Roger Sloan,1,28
11,0,50484,Hayden Springer,1,34
11,0,33448,Justin Thomas,1,20
11,0,35617,Martin Trainer,1,25
11,0,52666,Sami Valimaki,1,29
11,0,31323,Gary Woodland,1,41
11,0,52513,Carson Young,1,45
