RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,23135,Tim Clark,79' 0",79.000,1,79,79
2,0,06012,Greg Kraft,46' 8",46.667,1,47,47
3,0,29910,Blake Adams,41' 8",83.250,2,51,32
4,0,21878,Mark Wilson,38' 3",76.417,2,46,31
5,0,06004,Stephen Ames,37' 2",111.583,3,80,8
6,0,22913,John Rollins,36' 8",110.000,3,55,18
7,0,08537,J.P. Hayes,36' 6",109.417,3,55,18
8,0,20105,Jeff Gove,35' 5",35.417,1,35,35
9,0,22056,Cameron Percy,35' 2",70.333,2,54,16
10,0,28500,Martin Flores,34' 7",103.833,3,51,6
11,0,25720,Chad Collins,34' 1",34.083,1,34,34
12,0,24138,Ian Poulter,33' 3",66.417,2,54,12
13,0,19846,Brian Gay,33' 2",33.167,1,33,33
14,0,23541,Ben Crane,32' 10",65.667,2,49,17
15,0,27963,Chris Stroud,31' 0",31.000,1,31,31
16,0,07749,Brett Quigley,30' 10",123.417,4,56,8
17,0,28087,Kris Blanks,30' 4",30.333,1,30,30
18,0,10809,Jim Furyk,29' 10",59.583,2,34,26
18,0,22046,Geoff Ogilvy,29' 10",29.833,1,30,30
20,0,32617,Jerod Turner,28' 11",57.750,2,49,9
21,0,20574,Mathew Goggin,28' 3",141.417,5,66,6
22,0,12510,Chad Campbell,27' 11",55.833,2,29,27
23,0,28089,Jason Day,27' 3",81.833,3,36,21
23,0,26420,Richard Johnson,27' 3",163.250,6,61,2
25,0,25190,Jeff Quinney,27' 1",81.250,3,54,8
26,0,20663,Brenden Pappas,26' 11",26.917,1,27,27
26,0,02239,Scott Verplank,26' 11",53.833,2,50,4
28,0,12755,Vance Veazey,26' 7",26.583,1,27,27
29,0,01577,Lee Janzen,26' 6",53.000,2,38,16
30,0,26882,Michael Sim,25' 5",25.417,1,25,25
31,0,10860,Justin Leonard,25' 4",25.333,1,25,25
31,0,32640,Troy Merritt,25' 4",76.083,3,46,14
33,0,06514,Kevin Johnson,24' 11",24.917,1,25,25
34,0,22621,Ben Curtis,24' 4",48.583,2,34,15
34,0,24502,Adam Scott,24' 4",97.167,4,45,9
36,0,10585,Scott McCarron,24' 3",121.083,5,51,8
37,0,20160,Charlie Wi,23' 9",95.083,4,48,10
38,0,22371,Aaron Baddeley,23' 8",141.917,6,48,3
38,0,21350,Ryuji Imada,23' 8",47.250,2,38,10
40,0,28475,Jeff Overton,23' 6",94.000,4,59,1
40,0,27330,Josh Teater,23' 6",117.417,5,51,12
42,0,10425,Jay Williamson,23' 2",46.250,2,39,7
43,0,21731,Freddie Jacobson,23' 1",46.083,2,27,19
44,0,26679,Kevin Stadler,23' 0",160.833,7,64,4
45,0,27060,John Mallinger,22' 8",67.917,3,29,17
45,0,27770,Camilo Villegas,22' 8",90.583,4,42,8
47,0,01810,Phil Mickelson,22' 6",112.500,5,65,7
48,0,23307,Roger Tambellini,22' 5",44.833,2,26,19
49,0,24024,Zach Johnson,22' 3",22.250,1,22,22
50,0,01724,Jeff Maggert,22' 0",43.917,2,38,6
51,0,26289,Boo Weekley,21' 8",129.833,6,50,7
52,0,21949,Joe Ogilvie,21' 6",64.583,3,33,13
53,0,01313,Steve Elkington,21' 5",21.417,1,21,21
54,0,30925,Dustin Johnson,21' 1",147.750,7,50,4
55,0,30946,Alex Prugh,20' 9",186.667,9,57,1
56,0,24924,Bill Haas,20' 6",102.417,5,33,11
57,0,25562,Andres Romero,20' 4",121.750,6,37,6
58,0,20229,Stewart Cink,20' 0",60.083,3,29,14
59,0,20127,Chris Riley,19' 9",59.333,3,32,9
60,0,23548,Bill Lunde,19' 7",117.500,6,51,5
60,0,24912,Will MacKenzie,19' 7",58.667,3,35,8
62,0,25892,Steve Wheatcroft,18' 10",37.583,2,27,11
63,0,20472,Alex Cejka,18' 9",56.250,3,28,8
63,0,24358,Robert Garrigus,18' 9",56.167,3,42,6
65,0,20848,Ángel Cabrera,18' 3",54.750,3,26,8
66,0,23353,J.J. Henry,18' 2",54.500,3,39,4
67,0,27214,Kevin Streelman,18' 1",54.333,3,29,10
68,0,20098,Stuart Appleby,17' 9",88.917,5,39,3
69,0,26596,Ryan Moore,17' 7",70.167,4,40,2
69,0,10423,Mike Weir,17' 7",35.167,2,18,18
71,0,26951,Johnson Wagner,17' 6",52.417,3,27,7
72,0,06567,Vijay Singh,17' 5",69.667,4,56,9"
73,0,28158,Steve Marino,17' 2",34.333,2,32,3
74,0,24925,Jonathan Byrd,17' 1",68.167,4,24,14
75,0,24361,Pat Perez,16' 10",33.583,2,27,6
75,0,25818,Scott Piercy,16' 10",134.417,8,40,11"
77,0,01249,John Daly,16' 9",66.833,4,27,8"
77,0,24663,Y.E. Yang,16' 9",50.333,3,35,4
79,0,32102,Rickie Fowler,16' 4",81.500,5,34,5
80,0,10885,Robert Allenby,16' 2",64.583,4,36,4
81,0,23349,Charles Warren,16' 1",112.500,7,41,4
82,0,28780,Nicholas Thompson,15' 9",78.667,5,32,4
83,0,01161,Mark Calcavecchia,15' 8",47.000,3,28,9
83,0,20572,Rod Pampling,15' 8",47.000,3,28,6
85,0,01707,Steve Lowery,15' 7",31.083,2,17,14
86,0,06621,Joe Durant,15' 5",61.583,4,22,5
86,0,07457,Steve Flesch,15' 5",46.167,3,36,8"
86,0,23320,Ryan Palmer,15' 5",61.500,4,28,4
86,0,06595,Kevin Sutherland,15' 5",123.500,8,34,8
90,0,22946,Henrik Bjornstad,15' 1",45.167,3,40,8"
91,0,23613,Rich Barcelo,14' 8",73.333,5,31,2
92,0,23673,Michael Connell,14' 1",84.667,6,44,1
92,0,09011,David Duval,14' 1",28.167,2,19,9
94,0,25900,Lucas Glover,13' 11",69.417,5,28,3
94,0,26301,James Nitties,13' 11",69.667,5,23,6
94,0,25345,Carl Pettersson,13' 11",97.500,7,34,5
97,0,01320,Bob Estes,13' 10",27.583,2,16,12
97,0,01329,Brad Faxon,13' 10",27.667,2,22,6
97,0,01948,Tim Petrovic,13' 10",27.667,2,15,13
100,0,25364,Paul Casey,13' 8",95.833,7,29,4
100,0,31560,Brian Stuard,13' 8",41.000,3,23,8
102,0,12716,Charley Hoffman,13' 7",95.083,7,39,3
103,0,07867,Woody Austin,13' 6",53.917,4,25,1
104,0,24781,Hunter Mahan,13' 3",79.250,6,27,3
105,0,20766,Padraig Harrington,13' 2",66.000,5,39,2
106,0,28307,Matt Every,13' 1",39.167,3,15,11
106,0,26851,Marc Leishman,13' 1",39.333,3,14,12
108,0,23638,Brendon de Jonge,12' 11",77.333,6,17,1
109,0,20070,Matt Bettencourt,12' 9",140.167,11,32,1
109,0,25804,Bubba Watson,12' 9",89.333,7,33,4
111,0,27797,Derek Lamely,12' 8",76.167,6,24,1
