RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,01329,Brad Faxon,11' 9",1677.500,143,45,1
2,0,06515,Shaun Micheel,11' 8",2082.750,179,48,4"
3,0,26420,Richard Johnson,11' 7",2493.083,216,64,4"
3,0,12714,Chris Tidland,11' 7",2623.583,226,57,2"
5,0,27613,David Lutterus,11' 6",1753.500,153,48,5"
6,0,24357,K.J. Choi,11' 4",2439.833,215,59,6"
6,0,29285,Brent Delahoussaye,11' 4",1484.083,131,64,3"
8,0,06004,Stephen Ames,11' 3",2677.750,238,55,4"
9,0,20160,Charlie Wi,11' 2",3462.667,310,55,2"
10,0,29910,Blake Adams,11' 1",2742.583,248,57,1"
10,0,25720,Chad Collins,11' 1",2644.500,239,74,5"
12,0,23800,Bryce Molder,10' 10",2576.083,238,57,2"
12,0,25345,Carl Pettersson,10' 10",2998.750,277,56,3"
12,0,25562,Andres Romero,10' 10",2562.583,236,56,5"
12,0,12602,Dean Wilson,10' 10",1779.333,164,45,5"
16,0,26289,Boo Weekley,10' 9",2534.000,235,50,5"
17,0,20593,Greg Chalmers,10' 8",3160.333,297,46,5"
17,0,23673,Michael Connell,10' 8",2823.583,264,57,1"
17,0,06251,Chris DiMarco,10' 8",2616.250,246,89,3"
17,0,23983,Luke Donald,10' 8",2055.833,192,47,7"
17,0,27797,Derek Lamely,10' 8",2042.333,192,64,3"
17,0,08375,Paul Stankowski,10' 8",2193.083,206,54,3"
23,0,10885,Robert Allenby,10' 7",2394.750,227,50,3"
23,0,23541,Ben Crane,10' 7",2515.000,238,48,5"
23,0,22378,Trevor Immelman,10' 7",1320.417,125,50,5"
23,0,21731,Freddie Jacobson,10' 7",2839.083,269,52,4"
23,0,31560,Brian Stuard,10' 7",2364.250,223,49,6"
23,0,32617,Jerod Turner,10' 7",1213.583,115,56,6"
23,0,26951,Johnson Wagner,10' 7",2606.917,247,48,1"
23,0,10425,Jay Williamson,10' 7",2088.250,198,46,4"
23,0,21878,Mark Wilson,10' 7",2654.417,251,39,5"
32,0,07363,Craig Bowden,10' 6",1336.083,127,55,1"
32,0,28307,Matt Every,10' 6",1892.833,180,56,5"
32,0,08725,Tom Gillis,10' 6",3546.417,338,61,3"
32,0,23718,Nathan Green,10' 6",2721.833,260,61,6"
32,0,01619,Skip Kendall,10' 6",1522.667,145,46,1"
32,0,10860,Justin Leonard,10' 6",2696.417,256,59,4"
32,0,23548,Bill Lunde,10' 6",2054.500,196,56,4"
39,0,24507,Jason Bohn,10' 5",2826.917,272,51,3"
39,0,22621,Ben Curtis,10' 5",2104.167,202,45,4"
39,0,28089,Jason Day,10' 5",2523.833,243,58,3"
39,0,25396,Kevin Na,10' 5",2835.917,272,53,1"
39,0,25240,D.A. Points,10' 5",2635.250,254,52,5"
44,0,12652,Cameron Beckman,10' 4",1832.000,178,46,3"
44,0,25364,Paul Casey,10' 4",1738.167,168,55,2"
44,0,20105,Jeff Gove,10' 4",1366.333,132,66,4"
44,0,07749,Brett Quigley,10' 4",3037.250,295,65,1"
48,0,01320,Bob Estes,10' 3",2415.833,235,44,3"
48,0,08537,J.P. Hayes,10' 3",2365.583,230,43,4"
48,0,21350,Ryuji Imada,10' 3",2814.917,275,59,4"
48,0,01724,Jeff Maggert,10' 3",2000.250,195,60,7"
48,0,32640,Troy Merritt,10' 3",2893.500,282,51,1"
48,0,06527,Steve Stricker,10' 3",2261.917,221,51,2"
48,0,02206,David Toms,10' 3",2604.583,255,50,3"
48,0,33419,Cameron Tringale,10' 3",1438.833,140,43,7"
56,0,11123,Chris Couch,10' 2",2297.583,226,49,3"
56,0,01707,Steve Lowery,10' 2",1681.500,166,49,5"
56,0,22046,Geoff Ogilvy,10' 2",2029.500,200,53,3"
56,0,24138,Ian Poulter,10' 2",998.167,98,73,4"
56,0,28620,Aron Price,10' 2",2260.917,223,54,3"
56,0,24663,Y.E. Yang,10' 2",2094.167,206,42,4"
62,0,01116,Michael Bradley,10' 1",2134.833,211,46,3"
62,0,01577,Lee Janzen,10' 1",2240.667,222,54,9"
62,0,10585,Scott McCarron,10' 1",2677.667,265,50,1"
62,0,01941,Tom Pernice Jr.,10' 1",1838.250,183,63,5"
62,0,20686,Jeev Milkha Singh,10' 1",1571.667,156,61,1"
62,0,12755,Vance Veazey,10' 1",1403.583,139,55,5"
68,0,21753,Brian Davis,10' 0",2847.167,285,67,2"
68,0,20157,Retief Goosen,10' 0",1906.083,190,58,4"
68,0,12782,Tim Herron,10' 0",2258.917,225,50,1"
68,0,28475,Jeff Overton,10' 0",2647.333,264,50,6"
68,0,26882,Michael Sim,10' 0",1825.750,182,65,4"
68,0,27963,Chris Stroud,10' 0",2433.583,244,78,2"
68,0,08385,Omar Uresti,10' 0",1624.500,163,44,4"
68,0,23322,Brett Wetterich,10' 0",1837.000,183,61,4"
76,0,20229,Stewart Cink,9' 11",2389.417,240,47,3"
76,0,20574,Mathew Goggin,9' 11",2296.417,232,48,1"
