RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,58696,Peter Kuest,83.33%,15,18
2,0,27644,Brian Harman,73.33%,44,60
3,0,49771,J.T. Poston,72.55%,37,51
4,0,22405,Justin Rose,72.09%,31,43
5,0,33948,Byeong Hun An,69.35%,43,62
6,0,23108,Matt Kuchar,69.23%,54,78
7,0,34256,Andrew Putnam,68.42%,39,57
8,0,24502,Adam Scott,68.18%,30,44
9,0,39971,Sungjae Im,68.00%,51,75
10,0,34046,Jordan Spieth,67.19%,43,64
11,0,46435,Austin Cook,66.67%,28,42
11,0,30926,Chris Kirk,66.67%,38,57
11,0,24140,Sean O'Hair,66.67%,18,27
11,0,39324,J.J. Spaun,66.67%,46,69
15,0,34409,David Lingmerth,66.15%,43,65
16,0,51766,Wyndham Clark,66.13%,41,62
17,0,34076,Joel Dahmen,66.10%,39,59
18,0,46441,Robby Shelton,65.67%,44,67
19,0,29289,S.Y. Noh,65.38%,17,26
20,0,45157,Cam Davis,65.28%,47,72
21,0,50188,S.H. Kim,64.95%,63,97
22,0,47591,Eric Cole,64.89%,61,94
23,0,39975,Michael Kim,64.86%,24,37
24,0,30927,Brendon Todd,64.47%,49,76
25,0,30692,Scott Stallings,63.83%,30,47
26,0,40098,Matt Fitzpatrick,63.64%,35,55
26,0,52453,Nicolai Hojgaard,63.64%,14,22
28,0,51950,Max McGreevy,63.51%,47,74
29,0,32816,Satoshi Kodaira,63.41%,26,41
30,0,27963,Chris Stroud,62.96%,17,27
31,0,47993,Denny McCarthy,62.86%,44,70
31,0,31202,William McGirt,62.86%,22,35
33,0,36699,Patrick Rodgers,62.69%,42,67
34,0,48084,Wesley Bryan,62.50%,15,24
35,0,55789,Taylor Montgomery,62.34%,48,77
36,0,55893,Sam Stevens,62.30%,38,61
37,0,56630,Akshay Bhatia,62.22%,28,45
38,0,45522,Christiaan Bezuidenhout,61.40%,35,57
38,0,32139,Danny Willett,61.40%,35,57
40,0,34563,Chesson Hadley,61.29%,38,62
41,0,57975,Harry Hall,61.22%,30,49
42,0,25900,Lucas Glover,60.94%,39,64
42,0,39977,Max Homa,60.94%,39,64
44,0,32102,Rickie Fowler,60.71%,34,56
45,0,40115,Adam Svensson,60.53%,46,76
46,0,25686,Jason Dufner,60.47%,26,43
47,0,54591,Ben Griffin,60.24%,50,83
48,0,46442,Maverick McNealy,60.00%,24,40
48,0,55454,Carl Yuan,60.00%,30,50
50,0,58168,Davis Thompson,59.70%,40,67
51,0,32839,Hideki Matsuyama,59.62%,31,52
52,0,27349,Alex Noren,59.52%,25,42
52,0,30163,Henrik Norlander,59.52%,25,42
54,0,34610,Matthias Schwab,59.42%,41,69
55,0,26596,Ryan Moore,59.32%,35,59
56,0,35310,Lanto Griffin,59.18%,29,49
57,0,33399,Adam Hadwin,59.15%,42,71
58,0,28237,Rory McIlroy,59.09%,26,44
59,0,29535,Brice Garnett,58.82%,30,51
59,0,34363,Tyrrell Hatton,58.82%,30,51
61,0,47983,Chad Ramey,58.73%,37,63
61,0,25493,Nick Taylor,58.73%,37,63
63,0,36871,Matt NeSmith,58.21%,39,67
64,0,46601,Trey Mullinax,58.00%,29,50
65,0,40058,Zac Blair,57.89%,33,57
66,0,31577,Tano Goya,57.69%,30,52
66,0,29908,C.T. Pan,57.69%,15,26
68,0,23320,Ryan Palmer,57.58%,38,66
69,0,33413,Ben Martin,57.35%,39,68
70,0,30911,Tommy Fleetwood,57.14%,28,49
70,0,59018,Ryan Gerard,57.14%,20,35
70,0,49766,Hank Lebioda,57.14%,20,35
73,0,27214,Kevin Streelman,56.94%,41,72
74,0,32791,K.H. Lee,56.92%,37,65
75,0,57362,Austin Eckroat,56.72%,38,67
76,0,33597,Harry Higgs,56.67%,34,60
77,0,46717,Viktor Hovland,56.60%,30,53
77,0,31560,Brian Stuard,56.60%,30,53
79,0,47504,Sam Burns,56.45%,35,62
80,0,39546,Keith Mitchell,56.25%,27,48
81,0,34255,Joseph Bramlett,56.14%,32,57
81,0,28089,Jason Day,56.14%,32,57
81,0,49298,Kramer Hickok,56.14%,32,57
84,0,36799,Stephan Jaeger,56.12%,55,98
85,0,24925,Jonathan Byrd,56.00%,14,25
86,0,51890,Greyson Sigg,55.93%,33,59
87,0,33408,Tyson Alexander,55.88%,38,68
88,0,37455,Si Woo Kim,55.56%,55,99
89,0,27554,Scott Harrington,55.32%,26,47
90,0,27936,Martin Laird,55.10%,27,49
91,0,45242,Kevin Yu,54.84%,17,31
92,0,47347,Adam Schenk,54.76%,46,84
93,0,51634,Sahith Theegala,54.69%,35,64
94,0,39067,MJ Daffue,54.67%,41,75
94,0,54421,Garrick Higgo,54.67%,41,75
96,0,50095,Austin Smotherman,54.55%,36,66
97,0,34099,Harris English,54.41%,37,68
97,0,25632,Jimmy Walker,54.41%,37,68
99,0,35449,Adam Long,54.32%,44,81
100,0,32640,Troy Merritt,54.24%,32,59
101,0,35450,Patrick Cantlay,54.10%,33,61
102,0,46046,Scottie Scheffler,54.00%,27,50
103,0,40162,Justin Lower,53.95%,41,76
104,0,29725,Tony Finau,53.85%,28,52
105,0,50525,Collin Morikawa,53.70%,29,54
106,0,34466,Peter Malnati,53.52%,38,71
107,0,33204,Shane Lowry,53.49%,23,43
108,0,32757,Patton Kizzire,53.13%,34,64
108,0,46340,Alex Smalley,53.13%,34,64
108,0,52513,Carson Young,53.13%,34,64
111,0,53165,Doc Redman,52.94%,27,51
112,0,33410,Andrew Landry,52.73%,29,55
