RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,30926,Chris Kirk,27.38,657,24
2,0,28237,Rory McIlroy,27.50,385,14
3,0,20593,Greg Chalmers,27.61,635,23
4,0,06004,Stephen Ames,27.67,498,18
4,0,08793,Tiger Woods,27.67,415,15
6,0,01320,Bob Estes,27.78,500,18
7,0,20160,Charlie Wi,27.82,612,22
8,0,23638,Brendon de Jonge,27.97,839,30
9,0,22371,Aaron Baddeley,28.00,644,23
10,0,23983,Luke Donald,28.06,449,16
11,0,19846,Brian Gay,28.09,646,23
12,0,34099,Harris English,28.12,731,26
13,0,24357,K.J. Choi,28.13,647,23
13,0,23800,Bryce Molder,28.13,647,23
15,0,25274,Steven Bowditch,28.14,591,21
15,0,01810,Phil Mickelson,28.14,591,21
17,0,34360,Patrick Reed,28.15,732,26
18,0,10423,Mike Weir,28.19,592,21
19,0,12782,Tim Herron,28.20,423,15
20,0,10860,Justin Leonard,28.21,677,24
21,0,08725,Tom Gillis,28.24,593,21
22,0,06527,Steve Stricker,28.25,339,12
23,0,23108,Matt Kuchar,28.27,622,22
24,0,27644,Brian Harman,28.29,792,28
24,0,21099,David Lynn,28.29,594,21
26,0,30711,Colt Knost,28.30,651,23
26,0,24361,Pat Perez,28.30,566,20
28,0,34409,David Lingmerth,28.32,623,22
29,0,26758,David Hearn,28.35,737,26
29,0,28092,D.H. Lee,28.35,567,20
29,0,27649,Brandt Snedeker,28.35,652,23
32,0,22056,Cameron Percy,28.37,539,19
33,0,28259,Sangmoon Bae,28.40,710,25
34,0,24494,Erik Compton,28.43,654,23
35,0,22295,Darron Stiles,28.47,541,19
36,0,20098,Stuart Appleby,28.50,684,24
36,0,31202,William McGirt,28.50,684,24
36,0,26331,Charl Schwartzel,28.50,513,18
39,0,27895,Jonas Blixt,28.58,686,24
39,0,24924,Bill Haas,28.58,686,24
41,0,21753,Brian Davis,28.59,772,27
42,0,25562,Andres Romero,28.60,572,20
