RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,19846,Brian Gay,27.51,2173,79,21
2,0,22371,Aaron Baddeley,27.80,1835,66,23
3,0,20593,Greg Chalmers,28.01,2045,73,23
4,0,10423,Mike Weir,28.07,1628,58,22
5,0,23983,Luke Donald,28.21,1636,58,24
6,0,30926,Chris Kirk,28.26,2515,89,22
7,0,20160,Charlie Wi,28.34,2012,71,23
8,0,21753,Brian Davis,28.38,2583,91,23
8,0,10860,Justin Leonard,28.38,2441,86,21
8,0,27649,Brandt Snedeker,28.38,2242,79,22
11,0,27895,Jonas Blixt,28.39,2158,76,22
12,0,23800,Bryce Molder,28.40,2272,80,23
12,0,27963,Chris Stroud,28.40,2499,88,23
14,0,01320,Bob Estes,28.41,1875,66,23
15,0,25274,Steven Bowditch,28.48,1851,65,23
15,0,26758,David Hearn,28.48,2506,88,23
17,0,21731,Freddie Jacobson,28.50,1710,60,23
18,0,23409,James Driscoll,28.51,2053,72,23
19,0,06004,Stephen Ames,28.53,1398,49,22
20,0,27644,Brian Harman,28.54,2426,85,23
21,0,01810,Phil Mickelson,28.56,2228,78,23
22,0,25562,Andres Romero,28.58,1686,59,23
23,0,34360,Patrick Reed,28.60,2374,83,22
24,0,23325,Vaughn Taylor,28.61,1316,46,23
25,0,28089,Jason Day,28.63,2290,80,24
26,0,23108,Matt Kuchar,28.64,2492,87,22
27,0,32102,Rickie Fowler,28.65,2120,74,21
28,0,21961,Charles Howell III,28.66,2436,85,24
29,0,22792,Peter Hanson,28.67,1233,43,23
29,0,33461,Morgan Hoffmann,28.67,1835,64,23
31,0,34046,Jordan Spieth,28.68,2352,82,21
31,0,06527,Steve Stricker,28.68,1348,47,23
33,0,21099,David Lynn,28.70,1980,69,24
34,0,20098,Stuart Appleby,28.71,2412,84,22
35,0,25834,Daniel Summerhays,28.72,2384,83,23
36,0,28135,Aaron Watkins,28.75,1265,44,23
37,0,28475,Jeff Overton,28.77,2244,78,25
38,0,30711,Colt Knost,28.78,1871,65,23
39,0,24507,Jason Bohn,28.79,2015,70,24
40,0,28259,Sangmoon Bae,28.80,2390,83,23
40,0,32448,James Hahn,28.80,2131,74,22
42,0,12782,Tim Herron,28.82,1297,45,23
42,0,28310,Lee Williams,28.82,1729,60,24
44,0,24138,Ian Poulter,28.83,1528,53,23
45,0,08075,Jerry Kelly,28.84,2163,75,23
45,0,23320,Ryan Palmer,28.84,2278,79,22
47,0,28237,Rory McIlroy,28.85,1587,55,22
47,0,08793,Tiger Woods,28.85,1731,60,22
49,0,25632,Jimmy Walker,28.87,2425,84,24
50,0,34409,David Lingmerth,28.88,1964,68,21
50,0,31202,William McGirt,28.88,2166,75,24
52,0,23135,Tim Clark,28.89,1762,61,23
52,0,26300,Matt Jones,28.89,2398,83,20
54,0,22806,Doug LaBelle II,28.90,2023,70,23
55,0,20104,Ken Duke,28.92,2516,87,23
55,0,28500,Martin Flores,28.92,2400,83,23
55,0,21209,Sergio Garcia,28.92,1822,63,25
58,0,29221,Webb Simpson,28.93,2546,88,22
59,0,33141,Keegan Bradley,28.94,2518,87,24
59,0,34098,Russell Henley,28.94,2257,78,24
61,0,34099,Harris English,28.95,2750,95,22
62,0,30944,Jason Kokrak,28.96,2259,78,23
63,0,28679,Fabián Gómez,28.97,1883,65,23
64,0,23541,Ben Crane,28.98,1681,58,22
64,0,06522,Ernie Els,28.98,1797,62,24
66,0,30692,Scott Stallings,29.00,2291,79,23
66,0,33418,Shawn Stefani,29.00,1827,63,21
66,0,26497,Casey Wittenberg,29.00,2030,70,24
69,0,24494,Erik Compton,29.01,2147,74,22
69,0,28307,Matt Every,29.01,2582,89,23
69,0,26331,Charl Schwartzel,29.01,1973,68,25
72,0,08725,Tom Gillis,29.02,1886,65,23
72,0,02206,David Toms,29.02,1277,44,23
74,0,29479,Scott Brown,29.03,1887,65,21
74,0,26476,Chez Reavie,29.03,2090,72,23
76,0,25572,Graeme McDowell,29.04,1423,49,22
76,0,22295,Darron Stiles,29.04,1423,49,23
78,0,12716,Charley Hoffman,29.05,2440,84,21
78,0,35139,Richard Lee,29.05,2237,77,23
80,0,30750,Tommy Gainey,29.07,2442,84,23
80,0,35539,Luke Guthrie,29.07,2384,82,23
80,0,10213,Dicky Pride,29.07,1948,67,24
83,0,34261,Scott Langley,29.08,2181,75,23
83,0,25345,Carl Pettersson,29.08,2326,80,25
83,0,25240,D.A. Points,29.08,2530,87,23
86,0,24227,Justin Bolli,29.09,1600,55,21
86,0,33419,Cameron Tringale,29.09,2327,80,22
88,0,23638,Brendon de Jonge,29.10,3201,110,24
88,0,27556,Ted Potter Jr.,29.10,1775,61,24
90,0,27120,Troy Matteson,29.11,1921,66,24
90,0,24663,Y.E. Yang,29.11,1630,56,23
92,0,24357,K.J. Choi,29.12,2446,84,23
92,0,25818,Scott Piercy,29.12,2184,75,22
94,0,27770,Camilo Villegas,29.13,2185,75,24
95,0,29420,Billy Horschel,29.14,2797,96,21
95,0,22056,Cameron Percy,29.14,1923,66,23
97,0,26596,Ryan Moore,29.18,2072,71,23
97,0,32150,Michael Thompson,29.18,1926,66,23
99,0,28092,D.H. Lee,29.23,1900,65,24
100,0,32200,Roberto Castro,29.24,2836,97,23
100,0,20766,Padraig Harrington,29.24,1433,49,23
100,0,20443,Jin Park,29.24,1462,50,25
103,0,26851,Marc Leishman,29.25,2252,77,23
103,0,01724,Jeff Maggert,29.25,1843,63,22
105,0,24924,Bill Haas,29.27,2459,84,24
