RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,01249,John Daly,70.45,1595759,226511
2,0,27141,J.B. Holmes,70.23,2049945,291898
3,0,25804,Bubba Watson,69.40,2083920,300295
4,0,24358,Robert Garrigus,68.81,2706266,393294
5,0,23497,Tag Ridings,68.56,1355798,197759
6,0,28475,Jeff Overton,68.50,1663605,242851
7,0,26360,Bubba Dickerson,68.37,1312745,191993
8,0,21805,Harrison Frazar,68.11,2270935,333443
9,0,23322,Brett Wetterich,68.08,2243844,329575
10,0,27702,Matt Hendrix,67.91,1671441,246129
11,0,11123,Chris Couch,67.86,2265618,333850
12,0,21528,Henrik Stenson,67.80,1119974,165197
13,0,24980,Scott Gutschewski,67.70,1781564,263154
14,0,27095,Nick Watney,67.67,2162638,319598
15,0,26679,Kevin Stadler,67.66,2379366,351687
16,0,20378,Mathias Grönberg,67.60,2704904,400129
17,0,24924,Bill Haas,67.51,2523482,373794
18,0,24502,Adam Scott,67.47,1704804,252658
19,0,26289,Boo Weekley,67.45,2470603,366313
20,0,12716,Charley Hoffman,67.43,2541469,376914
21,0,29718,Anthony Kim,67.38,2492119,369833
22,0,21633,Steve Allan,67.35,1690158,250946
23,0,22892,Jason Gore,67.32,2383854,354123
24,0,21961,Charles Howell III,67.28,2062601,306579
25,0,23349,Charles Warren,67.24,2880635,428398
26,0,22046,Geoff Ogilvy,67.21,2047165,304579
27,0,23638,Brendon de Jonge,67.18,1995717,297075
28,0,06567,Vijay Singh,67.15,2608533,388467
29,0,23788,D.J. Trahan,67.08,2767891,412627
30,0,28158,Steve Marino,67.06,2789064,415936
30,0,20691,Greg Owen,67.06,2138689,318906
32,0,10425,Jay Williamson,67.04,1434807,214024
33,0,20850,Daniel Chopra,67.02,2868773,428067
34,0,06522,Ernie Els,66.93,1375949,205583
35,0,26881,Jarrod Lyle,66.90,2047143,306017
36,0,25273,Andrew Buckle,66.88,2099061,313875
37,0,01810,Phil Mickelson,66.87,1640293,245304
38,0,01706,Davis Love III,66.85,1668219,249555
39,0,26882,Michael Sim,66.84,1513399,226411
40,0,01707,Steve Lowery,66.83,2103655,314766
41,0,25900,Lucas Glover,66.81,2346239,351198
42,0,27933,John Merrick,66.78,2475343,370699
42,0,12714,Chris Tidland,66.78,1533113,229571
44,0,01945,Kenny Perry,66.74,2303424,345143
45,0,22913,John Rollins,66.72,2616845,392236
46,0,21660,Jason Schultz,66.71,1599807,239810
47,0,08375,Paul Stankowski,66.68,1255658,188305
48,0,19824,Craig Barlow,66.67,1341028,201147
49,0,21959,Ted Purdy,66.63,2635280,395510
50,0,24140,Sean O'Hair,66.61,2553172,383290
51,0,08123,Jeff Brehaut,66.60,1446959,217272
52,0,08537,J.P. Hayes,66.59,2420214,363433
52,0,27120,Troy Matteson,66.59,2352279,353254
54,0,21949,Joe Ogilvie,66.56,2653746,398694
55,0,20574,Mathew Goggin,66.53,2629740,395269
56,0,23320,Ryan Palmer,66.47,2462875,370532
57,0,01161,Mark Calcavecchia,66.42,2252790,339186
58,0,23623,Bo Van Pelt,66.40,2981213,448945
59,0,20572,Rod Pampling,66.37,2313906,348621
60,0,20766,Padraig Harrington,66.35,1432157,215854
61,0,24912,Will MacKenzie,66.34,2779260,418952
62,0,20157,Retief Goosen,66.33,1064528,160498
63,0,10885,Robert Allenby,66.32,2375918,358269
64,0,25892,Steve Wheatcroft,66.31,1814756,273668
65,0,23353,J.J. Henry,66.29,2101377,317015
65,0,08793,Tiger Woods,66.29,1349663,203614
67,0,24490,George McNeill,66.28,2400334,362145
68,0,02036,Jim Rutledge,66.26,1390557,209867
69,0,07223,Brian Bateman,66.24,1342922,202736
70,0,20472,Alex Cejka,66.22,2203596,332776
70,0,25345,Carl Pettersson,66.22,2823233,426359
72,0,29476,Kyle Reifers,66.20,1896617,286507
73,0,20229,Stewart Cink,66.19,2232805,337358
73,0,23800,Bryce Molder,66.19,1456657,220082
75,0,23614,Rich Beem,66.16,2141930,323727
76,0,20098,Stuart Appleby,66.13,1791287,270876
77,0,20634,Peter Lonard,66.12,2330947,352525
77,0,27963,Chris Stroud,66.12,1685566,254927
79,0,24361,Pat Perez,66.04,2036298,308335
80,0,27770,Camilo Villegas,66.01,2112070,319969
81,0,24781,Hunter Mahan,66.00,2248040,340634
81,0,10423,Mike Weir,66.00,1860831,281953
