RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,29222,Billy Hurley III,3,29
2,0,27974,Sung Kang,2,32
2,0,23108,Matt Kuchar,2,31
2,0,37278,Nicholas Lindheim,2,32
2,0,25818,Scott Piercy,2,50
6,0,47125,Matt Atkins,1,26
6,0,22371,Aaron Baddeley,1,33
6,0,24846,Ricky Barnes,1,18
6,0,33141,Keegan Bradley,1,39
6,0,29479,Scott Brown,1,31
6,0,26499,Rafa Cabrera Bello,1,23
6,0,25364,Paul Casey,1,18
6,0,47959,Bryson DeChambeau,1,47
6,0,34099,Harris English,1,30
6,0,28500,Martin Flores,1,44
6,0,25900,Lucas Glover,1,32
6,0,20157,Retief Goosen,1,22
6,0,39954,Cody Gribble,1,22
6,0,33399,Adam Hadwin,1,35
6,0,27644,Brian Harman,1,46
6,0,26758,David Hearn,1,30
6,0,24024,Zach Johnson,1,27
6,0,37454,Whee Kim,1,36
6,0,30926,Chris Kirk,1,39
6,0,32757,Patton Kizzire,1,41
6,0,36689,Brooks Koepka,1,33
6,0,30944,Jason Kokrak,1,50
6,0,33410,Andrew Landry,1,27
6,0,27129,Luke List,1,48
6,0,32839,Hideki Matsuyama,1,35
6,0,31202,William McGirt,1,33
6,0,39546,Keith Mitchell,1,62
6,0,25396,Kevin Na,1,34
6,0,24140,Sean O'Hair,1,28
6,0,27942,Rob Oppenheim,1,33
6,0,29908,C.T. Pan,1,36
6,0,34256,Andrew Putnam,1,38
6,0,46970,Jon Rahm,1,35
6,0,34358,Jonathan Randolph,1,33
6,0,26476,Chez Reavie,1,27
6,0,36699,Patrick Rodgers,1,32
6,0,37275,Sam Ryder,1,48
6,0,24502,Adam Scott,1,42
6,0,34264,Hudson Swafford,1,41
6,0,25493,Nick Taylor,1,51
6,0,37189,Harold Varner III,1,37
6,0,49964,Aaron Wise,1,52
6,0,31323,Gary Woodland,1,42
6,0,35544,Andrew Yun,1,23
6,0,32254,Xinjun Zhang,1,48
